ticker,date,open,high,low,close
ABB,2001-04-06,17.0,17.0,16.78,16.83
ABB,2001-04-09,16.9,17.3,16.9,17.3
ABB,2001-04-10,17.75,17.92,17.7,17.79
ABB,2001-04-11,17.5,17.6,17.4,17.6
ABB,2001-04-12,17.5,17.5,17.4,17.5
ABB,2001-04-16,17.5,17.56,17.5,17.5
ABB,2001-04-17,16.68,17.0,16.68,16.81
ABB,2001-04-18,17.0,17.25,16.96,17.2
ABB,2001-04-19,17.6,17.9,17.6,17.9
ABB,2001-04-20,17.83,18.0,17.6,17.85
ABB,2001-04-23,17.3,17.5,17.04,17.04
ABB,2001-04-24,17.5,17.6,17.45,17.55
ABB,2001-04-25,16.98,17.2,16.9,17.2
ABB,2001-04-26,17.12,17.2,17.05,17.2
ABB,2001-04-27,17.29,17.61,17.29,17.59
ABB,2001-04-30,17.85,18.3,17.85,18.19
ABB,2001-05-01,18.25,18.6,18.2,18.55
ABB,2001-05-02,18.5,18.5,18.15,18.3
ABB,2001-05-03,18.08,18.15,17.9,18.15
ABB,2001-05-04,18.25,18.65,18.25,18.35
ABB,2001-05-07,18.68,18.9,18.6,18.7
ABB,2001-05-08,18.38,18.38,18.25,18.35
ABB,2001-05-09,17.95,18.45,17.95,18.4
ABB,2001-05-10,18.69,18.69,18.52,18.65
ABB,2001-05-11,18.3,18.4,18.2,18.33
ABB,2001-05-14,18.3,18.3,17.28,17.47
ABB,2001-05-15,17.55,17.8,17.5,17.75
ABB,2001-05-16,17.66,18.1,17.62,18.1
ABB,2001-05-17,18.2,18.4,18.15,18.15
ABB,2001-05-18,18.3,18.46,18.27,18.46
ABB,2001-05-21,18.33,18.95,18.31,18.95
ABB,2001-05-22,18.75,18.95,18.74,18.85
ABB,2001-05-23,18.6,18.7,18.5,18.6
ABB,2001-05-24,18.85,18.9,18.75,18.79
ABB,2001-05-25,18.58,18.6,18.4,18.58
ABB,2001-05-29,18.28,18.31,18.2,18.28
ABB,2001-05-30,18.15,18.3,17.89,18.23
ABB,2001-05-31,18.1,18.13,17.99,18.1
ABB,2001-06-01,17.88,18.0,17.76,17.98
ABB,2001-06-04,17.95,18.0,17.8,18.0
ABB,2001-06-05,17.84,18.0,17.8,17.98
ABB,2001-06-06,17.7,17.72,17.53,17.72
ABB,2001-06-07,17.55,17.75,17.55,17.66
ABB,2001-06-08,17.41,17.6,17.36,17.53
ABB,2001-06-11,16.87,16.87,16.7,16.86
ABB,2001-06-12,16.4,16.4,16.07,16.22
ABB,2001-06-13,16.3,17.1,16.3,16.45
ABB,2001-06-14,16.28,16.5,16.27,16.27
ABB,2001-06-15,16.27,16.38,16.05,16.34
ABB,2001-06-18,16.0,16.27,16.0,16.1
ABB,2001-06-19,16.4,16.4,16.11,16.3
ABB,2001-06-20,15.52,15.8,15.47,15.6
ABB,2001-06-21,15.0,15.4,14.89,15.2
ABB,2001-06-22,14.95,14.95,14.7,14.7
ABB,2001-06-25,14.71,14.96,14.65,14.91
ABB,2001-06-26,14.3,14.37,14.1,14.24
ABB,2001-06-27,14.15,14.25,14.15,14.2
ABB,2001-06-28,14.55,15.05,14.55,15.0
ABB,2001-06-29,15.05,15.15,14.85,15.15
ABB,2001-07-02,14.92,15.23,14.85,15.2
ABB,2001-07-03,15.3,15.34,15.3,15.33
ABB,2001-07-05,14.6,14.6,14.02,14.22
ABB,2001-07-06,13.6,13.78,13.46,13.75
ABB,2001-07-09,13.7,13.79,13.5,13.65
ABB,2001-07-10,13.75,13.85,13.75,13.83
ABB,2001-07-11,13.3,13.4,13.2,13.4
ABB,2001-07-12,13.3,13.39,13.2,13.39
ABB,2001-07-13,13.51,14.05,13.51,14.04
ABB,2001-07-16,13.7,13.71,13.62,13.62
ABB,2001-07-17,13.5,13.75,13.5,13.75
ABB,2001-07-18,13.6,13.85,13.45,13.8
ABB,2001-07-19,13.85,14.2,13.85,14.15
ABB,2001-07-20,13.99,13.99,13.78,13.78
ABB,2001-07-23,13.79,13.79,13.61,13.75
ABB,2001-07-24,11.65,11.67,11.2,11.35
ABB,2001-07-25,10.6,11.0,10.51,11.0
ABB,2001-07-26,10.35,10.55,10.22,10.48
ABB,2001-07-27,10.63,10.83,10.63,10.7
ABB,2001-07-30,10.8,10.99,10.75,10.99
ABB,2001-07-31,10.98,11.05,10.93,11.05
ABB,2001-08-01,11.24,11.5,11.05,11.19
ABB,2001-08-02,11.45,11.63,11.4,11.59
ABB,2001-08-03,11.62,11.62,11.55,11.6
ABB,2001-08-06,11.25,11.45,11.2,11.4
ABB,2001-08-07,11.4,11.4,11.26,11.26
ABB,2001-08-08,11.2,11.5,11.2,11.4
ABB,2001-08-09,11.3,11.3,11.1,11.2
ABB,2001-08-10,11.3,11.38,11.2,11.25
ABB,2001-08-13,11.55,11.59,11.47,11.5
ABB,2001-08-14,11.8,11.92,11.8,11.9
ABB,2001-08-15,12.0,12.0,11.85,11.95
ABB,2001-08-16,11.46,11.7,11.4,11.66
ABB,2001-08-17,10.98,11.5,10.98,11.3
ABB,2001-08-20,10.93,11.15,10.79,11.13
ABB,2001-08-21,11.02,11.15,11.0,11.14
ABB,2001-08-22,11.18,11.19,11.13,11.13
ABB,2001-08-23,11.2,11.26,11.2,11.2
ABB,2001-08-24,11.37,11.53,11.3,11.53
ABB,2001-08-27,11.38,11.38,11.1,11.24
ABB,2001-08-28,11.17,11.18,11.01,11.15
ABB,2001-08-29,11.1,11.1,10.91,11.0
ABB,2001-08-30,10.75,10.8,10.6,10.75
ABB,2001-08-31,10.34,10.35,10.26,10.35
ABB,2001-09-04,9.6,10.0,9.6,9.97
ABB,2001-09-05,9.98,10.0,9.81,9.96
ABB,2001-09-06,9.91,9.98,9.8,9.98
ABB,2001-09-07,9.94,9.98,9.7,9.8
ABB,2001-09-10,9.26,9.4,9.2,9.29
ABB,2001-09-17,8.0,8.75,8.0,8.5
ABB,2001-09-18,7.8,8.09,7.75,8.03
ABB,2001-09-19,7.48,7.6,7.0,7.0
ABB,2001-09-20,6.85,7.1,6.85,7.08
ABB,2001-09-21,6.45,6.9,6.4,6.9
ABB,2001-09-24,6.67,7.4,6.62,7.15
ABB,2001-09-25,7.3,7.4,7.18,7.36
ABB,2001-09-26,7.1,7.1,7.0,7.1
ABB,2001-09-27,6.75,7.09,6.65,7.09
ABB,2001-09-28,7.2,7.32,7.11,7.31
ABB,2001-10-01,7.0,7.13,6.85,7.13
ABB,2001-10-02,6.55,6.8,6.52,6.8
ABB,2001-10-03,6.61,7.2,6.53,7.2
ABB,2001-10-04,6.95,6.95,6.44,6.66
ABB,2001-10-05,6.3,6.5,6.18,6.5
ABB,2001-10-08,6.1,6.49,6.1,6.49
ABB,2001-10-09,6.55,6.69,6.5,6.65
ABB,2001-10-10,6.75,7.05,6.75,7.03
ABB,2001-10-11,7.35,7.6,7.29,7.5
ABB,2001-10-12,7.16,7.25,7.02,7.25
ABB,2001-10-15,6.99,6.99,6.8,6.95
ABB,2001-10-16,6.88,6.88,6.8,6.87
ABB,2001-10-17,7.21,7.25,7.0,7.0
ABB,2001-10-18,7.1,7.36,7.1,7.15
ABB,2001-10-19,7.25,7.25,7.0,7.15
ABB,2001-10-22,7.14,7.35,7.1,7.3
ABB,2001-10-23,7.55,8.15,7.55,7.99
