ticker,date,open,high,low,close
AESI,2023-03-09,17.5,17.86,15.77,16.95
AESI,2023-03-10,17.24,17.49,16.25,16.5
AESI,2023-03-13,16.89,16.9,15.7,15.99
AESI,2023-03-14,16.23,17.21,16.0,16.61
AESI,2023-03-15,16.44,17.14,15.06,16.05
AESI,2023-03-16,16.05,16.42,15.65,16.12
AESI,2023-03-17,15.87,16.39,15.5,15.93
AESI,2023-03-20,16.09,16.27,15.93,16.1
AESI,2023-03-21,16.26,16.56,16.11,16.36
AESI,2023-03-22,16.22,16.61,16.22,16.41
AESI,2023-03-23,16.47,16.77,15.75,16.0
AESI,2023-03-24,15.99,16.15,15.84,16.12
AESI,2023-03-27,16.27,16.59,16.24,16.52
AESI,2023-03-28,16.65,16.72,16.25,16.61
AESI,2023-03-29,16.87,16.87,16.15,16.78
AESI,2023-03-30,16.99,17.04,16.57,16.96
AESI,2023-03-31,17.0,17.2,16.8,17.03
AESI,2023-04-03,17.87,17.92,17.33,17.84
AESI,2023-04-04,18.0,18.1986,17.0,17.22
AESI,2023-04-05,17.06,17.68,16.87,17.31
AESI,2023-04-06,17.26,17.8299,17.22,17.61
AESI,2023-04-10,17.7,18.1,17.17,17.34
AESI,2023-04-11,17.43,17.85,17.15,17.79
AESI,2023-04-12,17.94,18.13,17.601,17.81
AESI,2023-04-13,17.85,18.1199,17.85,17.95
AESI,2023-04-14,18.04,18.57,17.9384,18.24
AESI,2023-04-17,18.64,18.915,18.105,18.22
AESI,2023-04-18,18.26,18.5685,17.8,17.93
AESI,2023-04-19,17.85,18.43,17.85,18.07
