ticker,date,open,high,low,close
AFTR,2021-10-04,9.71,9.71,9.71,9.71
AFTR,2021-10-05,9.65,9.96,9.65,9.7
AFTR,2021-10-06,9.71,9.72,9.65,9.67
AFTR,2021-10-07,9.8,9.99,9.67,9.73
AFTR,2021-10-08,9.73,9.73,9.68,9.69
AFTR,2021-10-11,9.65,9.74,9.65,9.74
AFTR,2021-10-12,9.66,9.75,9.66,9.72
AFTR,2021-10-13,9.73,9.73,9.67,9.69
AFTR,2021-10-14,9.7,9.72,9.65,9.69
AFTR,2021-10-15,9.69,9.72,9.66,9.7
AFTR,2021-10-18,9.7,9.7,9.66,9.67
AFTR,2021-10-19,9.7,9.7,9.68,9.68
AFTR,2021-10-20,9.7,9.7,9.67,9.69
AFTR,2021-10-21,9.67,9.69,9.67,9.69
AFTR,2021-10-22,9.68,9.7,9.67,9.67
AFTR,2021-10-25,9.7,9.71,9.68,9.71
AFTR,2021-10-26,9.71,9.74,9.69,9.71
AFTR,2021-10-27,9.7,9.71,9.69,9.71
AFTR,2021-10-28,9.73,9.73,9.69,9.69
AFTR,2021-10-29,9.7,9.7,9.69,9.7
AFTR,2021-11-01,9.69,9.7,9.69,9.69
AFTR,2021-11-02,9.69,9.7,9.69,9.69
AFTR,2021-11-03,9.7,9.7,9.69,9.69
AFTR,2021-11-04,9.71,9.71,9.7,9.71
AFTR,2021-11-05,9.73,9.73,9.71,9.71
AFTR,2021-11-08,9.71,9.72,9.71,9.71
AFTR,2021-11-09,9.72,9.74,9.71,9.73
AFTR,2021-11-10,9.71,9.74,9.71,9.74
AFTR,2021-11-11,9.71,9.73,9.71,9.73
AFTR,2021-11-12,9.7,9.71,9.7,9.71
AFTR,2021-11-15,9.71,9.71,9.7,9.71
AFTR,2021-11-16,9.71,9.73,9.71,9.72
AFTR,2021-11-17,9.72,9.75,9.72,9.75
AFTR,2021-11-18,9.73,9.74,9.73,9.74
AFTR,2021-11-19,9.72,9.75,9.7,9.7
AFTR,2021-11-22,9.73,9.73,9.7,9.72
AFTR,2021-11-23,9.72,9.8,9.7,9.8
AFTR,2021-11-24,9.71,9.79,9.71,9.79
AFTR,2021-11-26,9.75,9.75,9.75,9.75
AFTR,2021-11-29,9.8,9.8,9.72,9.77
AFTR,2021-11-30,9.78,9.78,9.74,9.74
AFTR,2021-12-01,9.71,9.73,9.71,9.72
AFTR,2021-12-02,9.7,9.71,9.7,9.7
AFTR,2021-12-03,9.7,9.7,9.7,9.7
