ticker,date,open,high,low,close
AMPX,2022-09-15,9.01,26.01,8.9,10.0
AMPX,2022-09-16,15.73,16.8,7.9,8.3
AMPX,2022-09-19,8.4,9.15,5.64,5.9
AMPX,2022-09-20,5.7,14.0,5.66,11.0
AMPX,2022-09-21,9.6,10.4,7.5,9.45
AMPX,2022-09-22,9.78,12.5,9.01,11.54
AMPX,2022-09-23,11.05,15.39,10.42,12.94
AMPX,2022-09-26,12.31,13.7,11.12,12.75
AMPX,2022-09-27,12.87,13.55,11.69,11.91
AMPX,2022-09-28,11.2,11.75,9.91,10.84
AMPX,2022-09-29,10.61,10.84,9.43,9.62
AMPX,2022-09-30,9.61,10.29,9.15,9.22
AMPX,2022-10-03,9.0,9.51,8.65,8.83
AMPX,2022-10-04,8.8,9.81,8.8,9.39
AMPX,2022-10-05,9.1,9.6,8.75,8.91
AMPX,2022-10-06,9.06,9.25,8.01,8.06
AMPX,2022-10-07,8.21,8.45,6.76,6.99
AMPX,2022-10-10,7.13,7.9,6.81,7.49
AMPX,2022-10-11,7.69,9.1,7.2,7.2
AMPX,2022-10-12,7.39,7.4,6.62,7.12
AMPX,2022-10-13,7.15,7.37,6.7,6.95
AMPX,2022-10-14,7.01,7.47,6.61,6.65
AMPX,2022-10-17,6.59,6.69,6.0,6.08
AMPX,2022-10-18,6.0,6.32,6.0,6.21
AMPX,2022-10-19,6.36,11.52,6.28,11.01
AMPX,2022-10-20,10.91,11.14,8.77,9.45
AMPX,2022-10-21,9.5,12.49,8.7,11.11
AMPX,2022-10-24,10.89,12.55,10.67,11.65
AMPX,2022-10-25,11.38,12.24,10.56,11.2
AMPX,2022-10-26,11.38,12.15,11.1,12.15
AMPX,2022-10-27,11.71,12.22,10.77,10.97
AMPX,2022-10-28,11.24,11.84,10.95,11.39
AMPX,2022-10-31,11.38,11.65,11.06,11.51
AMPX,2022-11-01,11.78,12.25,10.99,11.74
AMPX,2022-11-02,11.87,11.9,10.51,10.68
AMPX,2022-11-03,10.7,11.04,10.22,10.48
AMPX,2022-11-04,10.8,10.8,9.76,9.8
