ticker,date,open,high,low,close
AQUA,2017-11-02,19.1,21.04,19.1,20.88
AQUA,2017-11-03,21.14,21.2,20.0,20.32
AQUA,2017-11-06,20.34,20.68,20.06,20.4
AQUA,2017-11-07,20.45,20.51,20.26,20.26
AQUA,2017-11-08,20.35,20.69,20.12,20.3
AQUA,2017-11-09,20.48,20.97,20.3,20.39
AQUA,2017-11-10,20.46,20.8,19.98,20.68
AQUA,2017-11-13,20.71,20.77,20.28,20.41
AQUA,2017-11-14,20.31,20.5,20.18,20.33
AQUA,2017-11-15,20.32,20.73,20.15,20.5
AQUA,2017-11-16,20.56,21.0,20.56,20.74
AQUA,2017-11-17,20.7,20.82,20.47,20.8
AQUA,2017-11-20,20.8,21.1,20.76,20.97
AQUA,2017-11-21,21.14,21.99,21.05,21.5
AQUA,2017-11-22,21.51,21.95,21.33,21.78
AQUA,2017-11-24,21.8,22.08,21.7,22.01
AQUA,2017-11-27,22.12,22.45,21.02,21.43
AQUA,2017-11-28,21.63,21.75,21.39,21.65
AQUA,2017-11-29,21.83,21.96,21.18,21.44
AQUA,2017-11-30,21.54,21.85,21.31,21.64
AQUA,2017-12-01,21.61,22.41,21.4,22.03
AQUA,2017-12-04,23.22,23.22,22.23,22.5
AQUA,2017-12-05,22.42,22.88,22.33,22.53
AQUA,2017-12-06,22.67,23.17,22.67,23.03
AQUA,2017-12-07,23.1,23.1,22.55,22.75
AQUA,2017-12-08,22.75,23.84,22.74,23.19
AQUA,2017-12-11,23.02,23.6,23.0,23.5
AQUA,2017-12-12,23.5,23.67,23.04,23.61
AQUA,2017-12-13,23.56,23.9,23.02,23.28
AQUA,2017-12-14,23.29,23.53,23.22,23.32
AQUA,2017-12-15,23.36,23.58,23.05,23.42
AQUA,2017-12-18,23.42,24.52,23.4,23.86
AQUA,2017-12-19,23.79,23.79,22.78,22.99
AQUA,2017-12-20,23.02,23.61,22.99,23.12
AQUA,2017-12-21,23.09,23.53,22.97,23.28
AQUA,2017-12-22,23.26,23.54,23.02,23.15
AQUA,2017-12-26,23.15,23.45,23.13,23.15
AQUA,2017-12-27,23.14,23.25,23.09,23.21
AQUA,2017-12-28,23.23,23.81,23.13,23.71
AQUA,2017-12-29,23.7,24.0,23.63,23.71
AQUA,2018-01-02,23.86,24.37,23.57,23.82
AQUA,2018-01-03,23.77,24.05,23.44,23.77
AQUA,2018-01-04,23.91,24.12,23.66,23.73
AQUA,2018-01-05,23.86,24.29,23.44,24.05
AQUA,2018-01-08,24.0,24.85,23.8,24.78
AQUA,2018-01-09,24.75,24.79,24.22,24.5
AQUA,2018-01-10,24.55,24.8,24.43,24.67
AQUA,2018-01-11,24.61,24.66,24.3,24.51
AQUA,2018-01-12,24.59,24.72,24.29,24.6
AQUA,2018-01-16,24.62,24.74,24.21,24.23
AQUA,2018-01-17,24.36,24.62,23.93,24.22
AQUA,2018-01-18,24.26,24.62,24.12,24.34
AQUA,2018-01-19,24.28,24.85,24.28,24.82
AQUA,2018-01-22,24.81,24.85,24.45,24.78
AQUA,2018-01-23,24.69,24.78,24.3,24.57
AQUA,2018-01-24,24.62,25.04,24.47,24.5
AQUA,2018-01-25,24.53,24.84,24.29,24.65
AQUA,2018-01-26,24.72,24.72,24.15,24.25
AQUA,2018-01-29,24.32,24.32,23.9,24.03
AQUA,2018-01-30,23.88,23.9,22.91,22.93
AQUA,2018-01-31,23.0,23.22,22.74,22.86
AQUA,2018-02-01,22.78,23.0,22.47,22.56
AQUA,2018-02-02,22.4,22.58,22.11,22.21
AQUA,2018-02-05,22.12,22.85,21.56,21.61
AQUA,2018-02-06,21.57,21.74,21.0,21.43
AQUA,2018-02-07,21.45,21.92,21.16,21.36
AQUA,2018-02-08,21.42,21.56,20.73,20.74
AQUA,2018-02-09,20.81,21.0,20.4,20.82
AQUA,2018-02-12,20.84,21.12,20.55,20.98
AQUA,2018-02-13,20.94,21.18,20.61,20.97
AQUA,2018-02-14,20.85,21.6,20.71,21.44
AQUA,2018-02-15,21.58,22.73,21.48,22.37
AQUA,2018-02-16,22.3,23.02,22.3,22.74
AQUA,2018-02-20,22.7,22.84,22.0,22.2
AQUA,2018-02-21,22.22,22.85,22.06,22.08
AQUA,2018-02-22,22.06,22.37,21.93,22.13
AQUA,2018-02-23,22.28,22.73,22.19,22.63
AQUA,2018-02-26,22.65,23.13,22.29,22.74
AQUA,2018-02-27,22.66,23.01,22.53,22.96
AQUA,2018-02-28,23.03,23.15,22.55,22.9
AQUA,2018-03-01,22.83,23.35,22.8,23.04
AQUA,2018-03-02,22.81,23.36,22.65,23.23
AQUA,2018-03-05,23.12,23.62,23.07,23.52
AQUA,2018-03-06,23.59,24.01,23.44,23.9
AQUA,2018-03-07,23.71,23.92,23.65,23.82
AQUA,2018-03-08,23.92,24.29,23.57,23.8
AQUA,2018-03-09,23.98,24.53,23.86,24.45
AQUA,2018-03-12,24.6,25.36,24.59,25.19
AQUA,2018-03-13,24.01,24.39,22.9,23.4
AQUA,2018-03-14,23.24,23.58,22.48,22.81
AQUA,2018-03-15,22.12,22.43,21.5,21.79
AQUA,2018-03-16,21.9,22.12,21.71,22.0
AQUA,2018-03-19,21.88,23.13,21.85,22.76
AQUA,2018-03-20,22.75,23.16,22.69,22.86
AQUA,2018-03-21,22.79,23.18,22.73,22.81
AQUA,2018-03-22,22.66,22.7,21.95,21.99
AQUA,2018-03-23,22.0,22.0,21.27,21.3
AQUA,2018-03-26,21.56,21.69,21.06,21.38
AQUA,2018-03-27,21.5,21.73,21.23,21.33
AQUA,2018-03-28,21.37,21.56,20.93,21.05
AQUA,2018-03-29,21.14,21.59,20.88,21.29
AQUA,2018-04-02,21.21,21.55,20.64,20.88
AQUA,2018-04-03,21.05,21.29,20.73,21.12
AQUA,2018-04-04,20.92,21.93,20.9,21.8
AQUA,2018-04-05,21.87,22.5,21.71,22.23
AQUA,2018-04-06,22.15,22.21,21.44,21.59
AQUA,2018-04-09,21.68,21.68,21.04,21.27
AQUA,2018-04-10,21.59,21.61,21.11,21.11
AQUA,2018-04-11,21.05,21.79,21.05,21.68
AQUA,2018-04-12,21.86,22.21,21.64,21.97
AQUA,2018-04-13,22.15,22.26,21.73,21.78
AQUA,2018-04-16,22.03,22.27,21.79,22.24
AQUA,2018-04-17,22.46,22.57,22.22,22.36
AQUA,2018-04-18,22.61,22.84,22.39,22.75
AQUA,2018-04-19,22.59,22.91,22.37,22.41
AQUA,2018-04-20,22.45,22.89,22.26,22.48
AQUA,2018-04-23,22.53,22.53,22.0,22.24
AQUA,2018-04-24,22.43,22.43,21.37,21.56
AQUA,2018-04-25,21.54,21.69,21.14,21.23
AQUA,2018-04-26,21.37,21.38,20.57,20.79
AQUA,2018-04-27,20.86,20.86,20.24,20.44
AQUA,2018-04-30,20.54,21.02,20.28,20.43
AQUA,2018-05-01,20.4,20.4,19.94,20.15
AQUA,2018-05-02,20.0,20.18,19.67,19.78
AQUA,2018-05-03,19.74,19.92,19.25,19.81
AQUA,2018-05-04,19.73,20.36,19.68,20.15
AQUA,2018-05-07,20.1,20.44,19.88,20.21
AQUA,2018-05-08,20.14,20.14,18.05,18.51
AQUA,2018-05-09,18.94,19.93,18.9,19.5
AQUA,2018-05-10,19.54,20.03,19.23,19.51
AQUA,2018-05-11,19.51,19.73,19.13,19.37
AQUA,2018-05-14,19.46,19.63,19.31,19.57
AQUA,2018-05-15,19.52,19.67,19.16,19.28
AQUA,2018-05-16,19.34,19.42,19.2,19.28
AQUA,2018-05-17,19.22,19.32,18.89,18.96
AQUA,2018-05-18,18.97,19.0,18.64,18.69
AQUA,2018-05-21,18.81,19.19,18.77,18.9
AQUA,2018-05-22,19.01,19.56,18.85,19.38
AQUA,2018-05-23,19.33,19.48,18.98,19.24
AQUA,2018-05-24,19.21,19.47,19.12,19.4
