ticker,date,open,high,low,close
ARNC,2020-04-01,15.0,15.0,5.8,6.92
ARNC,2020-04-02,7.31,7.98,6.0,6.21
ARNC,2020-04-03,6.61,8.1,6.33,8.06
ARNC,2020-04-06,8.68,9.0,7.23,7.3
ARNC,2020-04-07,7.5,7.58,7.2,7.3
ARNC,2020-04-08,7.2,10.3,7.2,10.03
ARNC,2020-04-09,10.87,11.14,10.0,10.79
ARNC,2020-04-13,10.97,11.84,9.45,9.5
ARNC,2020-04-14,10.0,10.19,9.11,9.66
ARNC,2020-04-15,9.12,9.24,8.7,8.89
ARNC,2020-04-16,8.77,9.04,8.06,8.54
ARNC,2020-04-17,8.94,10.2,8.9,9.47
ARNC,2020-04-20,9.01,9.97,8.6,9.76
ARNC,2020-04-21,9.49,9.86,9.27,9.31
ARNC,2020-04-22,9.56,9.65,9.29,9.3
ARNC,2020-04-23,9.32,9.5,8.81,8.82
ARNC,2020-04-24,8.82,8.93,7.9,8.04
ARNC,2020-04-27,8.1,9.41,8.1,9.15
ARNC,2020-04-28,9.4,9.8,7.91,8.2
ARNC,2020-04-29,8.64,8.92,8.4,8.81
ARNC,2020-04-30,8.57,8.8,8.32,8.72
ARNC,2020-05-01,8.4,8.69,8.32,8.55
ARNC,2020-05-04,8.2,9.02,8.16,8.88
ARNC,2020-05-05,8.94,9.05,8.51,8.84
ARNC,2020-05-06,8.75,8.75,8.3,8.34
ARNC,2020-05-07,8.47,8.82,8.41,8.67
ARNC,2020-05-08,8.74,9.12,8.63,9.12
ARNC,2020-05-11,8.94,9.1,8.65,8.78
ARNC,2020-05-12,8.85,9.04,8.5,8.52
ARNC,2020-05-13,8.49,8.6,8.23,8.3
ARNC,2020-05-14,8.13,8.46,7.79,8.33
ARNC,2020-05-15,8.21,8.62,8.04,8.34
ARNC,2020-05-18,8.68,9.3,8.64,9.27
ARNC,2020-05-19,9.29,9.59,8.98,9.29
ARNC,2020-05-20,9.94,10.83,9.9,10.5
ARNC,2020-05-21,10.4,11.61,10.25,11.28
ARNC,2020-05-22,11.72,13.05,11.54,12.84
ARNC,2020-05-26,14.1,15.78,12.78,13.05
ARNC,2020-05-27,13.44,14.21,13.31,13.95
ARNC,2020-05-28,14.51,14.75,13.53,13.73
ARNC,2020-05-29,13.5,14.63,13.33,14.47
ARNC,2020-06-01,14.41,15.06,14.02,14.93
ARNC,2020-06-02,15.13,16.12,15.09,15.95
ARNC,2020-06-03,16.6,17.31,16.16,17.09
ARNC,2020-06-04,17.25,17.9,16.63,17.32
ARNC,2020-06-05,17.8,18.78,17.6,18.69
ARNC,2020-06-08,19.48,19.69,16.27,18.52
ARNC,2020-06-09,17.5,18.6,17.15,17.8
ARNC,2020-06-10,17.46,17.77,16.56,16.76
ARNC,2020-06-11,15.0,16.57,14.71,15.37
ARNC,2020-06-12,16.5,17.19,15.92,16.48
ARNC,2020-06-15,15.47,16.59,15.25,16.26
ARNC,2020-06-16,17.18,17.18,16.27,16.61
ARNC,2020-06-17,16.63,16.75,15.43,15.51
ARNC,2020-06-18,15.26,15.78,15.05,15.74
ARNC,2020-06-19,15.99,15.99,15.08,15.4
ARNC,2020-06-22,15.44,16.21,15.34,15.77
ARNC,2020-06-23,16.03,16.37,15.75,15.92
ARNC,2020-06-24,15.71,15.87,14.69,15.05
ARNC,2020-06-25,14.92,15.85,14.75,15.46
ARNC,2020-06-26,15.22,15.33,13.56,13.67
ARNC,2020-06-29,14.03,14.3,13.51,13.84
ARNC,2020-06-30,13.83,14.13,13.38,13.93
ARNC,2020-07-01,13.94,14.16,13.19,13.23
ARNC,2020-07-02,13.53,13.76,12.94,13.07
ARNC,2020-07-06,13.45,14.25,13.3,14.19
ARNC,2020-07-07,13.95,14.44,13.7,14.12
ARNC,2020-07-08,14.17,14.65,13.72,14.54
ARNC,2020-07-09,14.51,14.61,13.96,14.07
ARNC,2020-07-10,14.05,14.56,14.02,14.51
ARNC,2020-07-13,14.75,15.69,14.69,14.94
ARNC,2020-07-14,14.81,15.74,14.53,15.72
ARNC,2020-07-15,16.27,16.5,15.67,16.41
ARNC,2020-07-16,16.32,16.92,16.28,16.73
ARNC,2020-07-17,16.75,16.88,16.06,16.25
ARNC,2020-07-20,16.04,16.4,15.81,16.25
ARNC,2020-07-21,16.22,16.99,16.18,16.79
ARNC,2020-07-22,16.57,17.32,16.45,17.21
ARNC,2020-07-23,17.07,17.21,16.25,16.37
