ticker,date,open,high,low,close
AXAC,2022-03-25,9.95,9.96,9.94,9.96
AXAC,2022-03-28,9.98,9.98,9.96,9.96
AXAC,2022-03-29,9.96,9.98,9.94,9.98
AXAC,2022-03-30,9.95,9.96,9.95,9.95
AXAC,2022-03-31,9.97,9.97,9.97,9.97
AXAC,2022-04-01,9.96,9.97,9.96,9.96
AXAC,2022-04-04,9.96,9.96,9.96,9.96
AXAC,2022-04-05,9.96,9.97,9.96,9.96
AXAC,2022-04-06,9.96,9.98,9.96,9.98
AXAC,2022-04-07,9.97,9.98,9.97,9.97
AXAC,2022-04-08,9.97,9.98,9.97,9.97
AXAC,2022-04-11,9.97,9.98,9.97,9.97
AXAC,2022-04-12,9.97,10.0,9.97,9.99
AXAC,2022-04-13,9.97,9.99,9.97,9.98
AXAC,2022-04-14,9.99,9.99,9.98,9.99
AXAC,2022-04-18,9.98,10.0,9.98,9.99
AXAC,2022-04-19,9.98,10.01,9.98,10.0
AXAC,2022-04-20,10.0,10.01,10.0,10.01
AXAC,2022-04-21,10.01,10.02,10.01,10.01
AXAC,2022-04-22,10.01,10.01,10.0,10.01
AXAC,2022-04-25,10.02,10.02,10.01,10.02
AXAC,2022-04-26,10.02,10.02,10.01,10.01
AXAC,2022-04-27,10.02,10.02,10.02,10.02
AXAC,2022-04-28,10.02,10.02,10.0,10.0
AXAC,2022-04-29,10.0,10.02,10.0,10.01
AXAC,2022-05-02,10.0,10.02,10.0,10.02
AXAC,2022-05-03,10.0,10.02,10.0,10.01
AXAC,2022-05-04,10.0,10.02,10.0,10.02
AXAC,2022-05-05,10.0,10.02,10.0,10.02
AXAC,2022-05-06,10.0,10.02,10.0,10.01
AXAC,2022-05-09,10.0,10.01,9.98,9.98
AXAC,2022-05-10,10.0,10.0,9.98,9.99
AXAC,2022-05-11,9.96,9.99,9.96,9.99
AXAC,2022-05-12,9.97,9.98,9.96,9.97
AXAC,2022-05-13,9.96,9.98,9.96,9.96
AXAC,2022-05-16,9.96,9.97,9.96,9.97
AXAC,2022-05-17,9.96,9.96,9.96,9.96
AXAC,2022-05-18,9.96,9.96,9.96,9.96
AXAC,2022-05-19,9.96,9.97,9.96,9.97
AXAC,2022-05-20,9.96,9.97,9.96,9.97
AXAC,2022-05-23,9.96,9.98,9.96,9.98
AXAC,2022-05-24,9.96,9.96,9.96,9.96
AXAC,2022-05-25,9.96,9.98,9.96,9.97
AXAC,2022-05-26,9.96,9.99,9.96,9.99
AXAC,2022-05-27,9.99,9.99,9.97,9.99
AXAC,2022-05-31,9.97,10.0,9.97,10.0
AXAC,2022-06-01,9.99,9.99,9.99,9.99
AXAC,2022-06-02,9.99,9.99,9.99,9.99
AXAC,2022-06-03,9.99,9.99,9.99,9.99
AXAC,2022-06-06,9.99,9.99,9.99,9.99
AXAC,2022-06-07,9.98,10.0,9.98,9.98
AXAC,2022-06-08,10.0,10.0,10.0,10.0
AXAC,2022-06-09,10.0,10.0,10.0,10.0
AXAC,2022-06-10,9.98,10.0,9.98,10.0
AXAC,2022-06-13,10.01,10.01,10.01,10.01
AXAC,2022-06-14,10.0,10.01,10.0,10.01
AXAC,2022-06-15,10.01,10.01,10.01,10.01
AXAC,2022-06-16,10.0,10.0,10.0,10.0
AXAC,2022-06-17,9.99,10.0,9.98,10.0
AXAC,2022-06-21,10.0,10.0,10.0,10.0
AXAC,2022-06-22,9.97,9.99,9.97,9.99
AXAC,2022-06-23,10.01,10.01,10.01,10.01
AXAC,2022-06-24,10.01,10.01,10.01,10.01
AXAC,2022-06-27,9.98,10.01,9.98,10.01
AXAC,2022-06-28,10.01,10.01,10.01,10.01
AXAC,2022-06-29,9.98,10.0,9.98,10.0
AXAC,2022-06-30,9.98,9.98,9.98,9.98
AXAC,2022-07-01,9.98,9.98,9.98,9.98
AXAC,2022-07-05,9.98,9.99,9.98,9.99
AXAC,2022-07-06,9.98,10.01,9.98,10.01
AXAC,2022-07-07,10.01,10.01,10.01,10.01
AXAC,2022-07-08,9.99,10.01,9.99,10.01
AXAC,2022-07-11,9.99,10.01,9.99,10.01
AXAC,2022-07-12,9.99,10.03,9.99,10.02
AXAC,2022-07-13,9.99,10.0,9.99,10.0
AXAC,2022-07-14,9.99,10.0,9.99,10.0
AXAC,2022-07-15,10.03,10.03,10.0,10.02
AXAC,2022-07-18,10.04,10.04,10.03,10.03
AXAC,2022-07-19,10.04,10.04,10.04,10.04
AXAC,2022-07-20,10.04,10.04,10.04,10.04
AXAC,2022-07-21,10.04,10.04,10.04,10.04
AXAC,2022-07-22,10.06,10.06,10.05,10.05
AXAC,2022-07-25,10.06,10.06,10.05,10.05
AXAC,2022-07-26,10.03,10.03,10.03,10.03
AXAC,2022-07-27,10.03,10.03,10.03,10.03
AXAC,2022-07-28,10.05,10.05,10.05,10.05
AXAC,2022-07-29,10.06,10.06,10.03,10.06
AXAC,2022-08-01,10.07,10.07,10.07,10.07
AXAC,2022-08-02,10.07,10.07,10.07,10.07
AXAC,2022-08-03,10.09,10.09,10.07,10.08
AXAC,2022-08-04,10.06,10.07,10.06,10.07
AXAC,2022-08-05,10.06,10.08,10.06,10.08
AXAC,2022-08-08,10.08,10.08,10.08,10.08
AXAC,2022-08-09,10.09,10.09,10.09,10.09
AXAC,2022-08-10,10.07,10.07,10.07,10.07
AXAC,2022-08-11,10.09,10.09,10.06,10.07
AXAC,2022-08-12,10.07,10.07,10.07,10.07
AXAC,2022-08-15,10.09,10.09,10.06,10.08
AXAC,2022-08-16,10.09,10.09,10.09,10.09
AXAC,2022-08-17,10.09,10.09,10.06,10.06
AXAC,2022-08-18,10.05,10.05,10.05,10.05
AXAC,2022-08-19,10.05,10.06,10.05,10.06
AXAC,2022-08-22,10.07,10.07,10.07,10.07
AXAC,2022-08-23,10.07,10.07,10.07,10.07
AXAC,2022-08-24,10.1,10.1,10.08,10.08
AXAC,2022-08-25,10.08,10.08,10.08,10.08
AXAC,2022-08-26,10.08,10.08,10.08,10.08
AXAC,2022-08-29,10.08,10.08,10.08,10.08
AXAC,2022-08-30,10.08,10.08,10.08,10.08
AXAC,2022-08-31,10.14,10.14,10.13,10.14
AXAC,2022-09-01,10.14,10.14,10.14,10.14
AXAC,2022-09-02,10.14,10.14,10.14,10.14
AXAC,2022-09-06,10.14,10.14,10.14,10.14
AXAC,2022-09-07,10.14,10.14,10.14,10.14
AXAC,2022-09-08,10.08,10.1,10.08,10.1
AXAC,2022-09-09,10.1,10.1,10.1,10.1
