ticker,date,open,high,low,close
AZRE,2016-10-12,16.12,16.39,14.5,14.6
AZRE,2016-10-13,14.72,14.72,12.73,13.65
AZRE,2016-10-14,14.16,14.495,13.4,13.75
AZRE,2016-10-17,13.62,14.5,13.62,14.31
AZRE,2016-10-18,14.99,14.99,14.5,14.9
AZRE,2016-10-19,14.81,15.61,14.781,15.6
AZRE,2016-10-20,15.49,15.8,15.4,15.8
AZRE,2016-10-21,15.55,15.79,15.5,15.56
AZRE,2016-10-24,15.608,15.8,15.588,15.72
AZRE,2016-10-25,15.54,15.96,15.52,15.96
AZRE,2016-10-26,15.98,15.98,15.8,15.82
AZRE,2016-10-27,15.69,15.85,15.5,15.72
AZRE,2016-10-28,15.95,15.95,15.5,15.89
AZRE,2016-10-31,15.76,15.95,15.5,15.95
AZRE,2016-11-01,15.95,16.0,15.87,16.0
AZRE,2016-11-02,15.8,16.28,15.444,16.18
AZRE,2016-11-03,16.4,17.04,16.1,16.92
AZRE,2016-11-04,16.81,16.95,16.46,16.95
AZRE,2016-11-07,16.71,16.752,16.55,16.55
AZRE,2016-11-08,16.74,16.836,16.529,16.7
AZRE,2016-11-09,16.75,16.95,16.611,16.95
AZRE,2016-11-10,16.88,17.07,16.51,16.7
AZRE,2016-11-11,16.75,17.15,16.7,17.15
AZRE,2016-11-14,17.06,17.23,16.747,17.06
AZRE,2016-11-15,17.24,17.24,16.72,17.049
AZRE,2016-11-16,17.032,18.55,16.99,18.55
AZRE,2016-11-17,18.41,18.5,17.0,17.4
AZRE,2016-11-18,16.9,18.03,16.9,18.03
AZRE,2016-11-21,17.6,18.0,17.6,17.97
AZRE,2016-11-22,17.81,17.95,17.675,17.95
AZRE,2016-11-23,17.82,18.01,17.51,17.51
AZRE,2016-11-25,17.55,17.98,17.31,17.98
AZRE,2016-11-28,17.71,17.97,17.57,17.9
AZRE,2016-11-29,17.949,18.05,17.66,17.82
AZRE,2016-11-30,17.825,17.98,17.052,17.5
AZRE,2016-12-01,17.4,18.05,17.38,17.85
AZRE,2016-12-02,17.857,18.68,17.6,18.35
AZRE,2016-12-05,18.57,18.68,17.74,18.0
AZRE,2016-12-06,17.91,18.0,17.85,17.85
AZRE,2016-12-07,17.7,18.72,17.67,17.77
AZRE,2016-12-08,17.72,18.325,17.72,18.01
AZRE,2016-12-09,18.156,18.34,17.9,18.0
AZRE,2016-12-12,17.0,18.69,16.73,17.9
AZRE,2016-12-13,18.04,18.06,17.0,17.0
AZRE,2016-12-14,17.0,17.15,16.294,16.74
AZRE,2016-12-15,16.5,16.5,15.5,15.95
AZRE,2016-12-16,15.82,17.185,15.82,16.25
AZRE,2016-12-19,16.3,16.87,16.15,16.52
AZRE,2016-12-20,16.7,17.25,16.7,17.1
AZRE,2016-12-21,16.958,17.55,16.958,17.25
AZRE,2016-12-22,17.25,17.25,17.25,17.25
AZRE,2016-12-23,17.25,17.25,17.25,17.25
AZRE,2016-12-27,17.25,17.25,17.173,17.173
AZRE,2016-12-28,17.5,17.5,16.54,16.8
AZRE,2016-12-29,16.65,17.0,16.65,17.0
AZRE,2016-12-30,16.94,17.0,16.92,17.0
AZRE,2017-01-03,17.0,17.35,16.52,17.15
AZRE,2017-01-04,17.13,17.7,16.56,16.85
AZRE,2017-01-05,16.9,17.71,16.7,17.02
AZRE,2017-01-06,17.13,17.15,16.25,16.55
AZRE,2017-01-09,16.71,17.45,16.25,16.75
AZRE,2017-01-10,16.69,17.26,16.5,16.77
AZRE,2017-01-11,16.65,17.215,16.2,16.47
AZRE,2017-01-12,16.588,16.855,16.1,16.1
AZRE,2017-01-13,16.51,16.88,16.1,16.875
AZRE,2017-01-17,16.875,16.875,16.875,16.875
AZRE,2017-01-18,16.608,16.69,16.5,16.57
AZRE,2017-01-19,16.5,16.57,16.4,16.4
AZRE,2017-01-20,16.45,16.92,16.4,16.45
AZRE,2017-01-23,16.4,16.56,16.2,16.377
AZRE,2017-01-24,16.3,16.55,16.3,16.4
AZRE,2017-01-25,16.35,16.445,16.3,16.41
AZRE,2017-01-26,16.4,16.95,16.3,16.893
AZRE,2017-01-27,16.8,17.4,16.42,16.65
AZRE,2017-01-30,16.9,17.0,16.5,16.85
AZRE,2017-01-31,16.7,17.6,16.5,16.64
AZRE,2017-02-01,16.6,17.66,16.6,17.5
AZRE,2017-02-02,17.72,18.3,16.76,17.96
AZRE,2017-02-03,17.85,18.75,17.27,18.25
AZRE,2017-02-06,18.4,18.4,17.26,17.55
AZRE,2017-02-07,17.52,19.985,17.51,17.9
AZRE,2017-02-08,17.85,17.85,17.141,17.47
AZRE,2017-02-09,17.47,18.26,16.9,17.8
AZRE,2017-02-10,17.65,18.08,17.3,17.7
AZRE,2017-02-13,18.08,18.08,17.26,17.87
AZRE,2017-02-14,18.15,18.16,17.275,17.5
AZRE,2017-02-15,17.52,18.08,17.25,17.63
AZRE,2017-02-16,17.65,17.65,16.7,17.14
AZRE,2017-02-17,16.909,16.95,16.77,16.82
AZRE,2017-02-21,17.02,17.49,17.02,17.2
AZRE,2017-02-22,17.02,17.13,16.95,16.95
AZRE,2017-02-23,16.81,17.13,16.8,16.8
AZRE,2017-02-24,16.68,17.155,14.29,14.33
AZRE,2017-02-27,15.21,17.48,15.21,16.89
AZRE,2017-02-28,17.05,17.19,16.63,17.03
AZRE,2017-03-01,17.5,17.5,16.74,17.05
AZRE,2017-03-02,17.4,17.4,17.0,17.0
AZRE,2017-03-03,17.43,17.43,16.95,16.95
AZRE,2017-03-06,17.22,17.22,16.65,17.1
AZRE,2017-03-07,17.25,18.0,16.68,17.01
AZRE,2017-03-08,17.27,17.45,16.39,16.5
AZRE,2017-03-09,16.99,16.99,16.26,16.5
AZRE,2017-03-10,16.6,16.74,16.54,16.7
AZRE,2017-03-13,16.84,17.05,16.53,16.91
AZRE,2017-03-14,17.04,17.75,16.5,17.24
AZRE,2017-03-15,17.36,17.36,16.8,17.0
AZRE,2017-03-16,16.82,16.97,16.2,16.45
AZRE,2017-03-17,16.45,17.46,16.45,17.25
AZRE,2017-03-20,17.25,17.5,17.06,17.34
AZRE,2017-03-21,17.48,17.99,16.91,17.2
AZRE,2017-03-22,17.2,17.32,17.06,17.06
AZRE,2017-03-23,17.2,17.32,17.15,17.15
AZRE,2017-03-24,17.29,17.63,17.1,17.46
AZRE,2017-03-27,17.05,17.55,17.05,17.42
AZRE,2017-03-28,17.56,17.95,17.56,17.94
AZRE,2017-03-29,17.99,18.09,17.82,18.09
AZRE,2017-03-30,18.5,18.65,18.22,18.31
AZRE,2017-03-31,18.5,18.69,18.32,18.66
AZRE,2017-04-03,18.59,21.75,18.59,21.75
AZRE,2017-04-04,21.75,22.0,21.0,21.07
AZRE,2017-04-05,21.4,21.53,19.87,19.98
AZRE,2017-04-06,20.15,20.2,19.89,19.98
AZRE,2017-04-07,19.959,20.0,19.25,19.25
AZRE,2017-04-10,19.35,19.54,19.2,19.2
AZRE,2017-04-11,19.95,19.95,19.2,19.2
AZRE,2017-04-12,19.08,19.11,18.32,18.32
AZRE,2017-04-13,18.47,18.75,18.32,18.45
AZRE,2017-04-17,18.33,18.37,18.1,18.1
AZRE,2017-04-18,18.0,18.3,18.0,18.3
AZRE,2017-04-19,18.35,18.5,18.25,18.25
AZRE,2017-04-20,18.01,18.17,16.67,16.84
AZRE,2017-04-21,16.98,17.08,16.1,16.1
AZRE,2017-04-24,16.25,16.74,16.11,16.39
AZRE,2017-04-25,16.65,16.69,16.4,16.4
AZRE,2017-04-26,16.5,16.6,16.3,16.37
AZRE,2017-04-27,16.35,16.48,16.15,16.48
AZRE,2017-04-28,16.28,17.14,16.28,16.73
AZRE,2017-05-01,16.95,17.072,16.78,16.97
AZRE,2017-05-02,16.87,17.085,16.77,16.8
AZRE,2017-05-03,16.78,16.99,16.78,16.84
AZRE,2017-05-04,16.77,16.885,16.77,16.885
AZRE,2017-05-05,16.77,16.91,16.281,16.42
AZRE,2017-05-08,16.0,17.19,15.14,16.99
AZRE,2017-05-09,17.0,17.5,17.0,17.3
AZRE,2017-05-10,17.33,17.58,16.9,16.92
AZRE,2017-05-11,17.0,17.0,16.58,16.58
AZRE,2017-05-12,16.75,16.92,16.5,16.64
AZRE,2017-05-15,16.64,17.0,16.52,16.97
AZRE,2017-05-16,17.0,17.25,16.89,16.99
AZRE,2017-05-17,16.844,17.0,16.76,16.98
AZRE,2017-05-18,16.47,16.96,15.8,16.96
AZRE,2017-05-19,16.776,17.0,16.776,17.0
AZRE,2017-05-22,16.85,16.95,15.41,15.74
AZRE,2017-05-23,15.74,16.99,15.65,16.28
AZRE,2017-05-24,16.47,16.47,15.76,16.0
AZRE,2017-05-25,16.1,17.0,15.8,16.82
AZRE,2017-05-26,16.6,16.63,15.8,16.27
AZRE,2017-05-30,16.29,16.7,15.4,16.1
AZRE,2017-05-31,17.0,17.0,16.027,16.06
AZRE,2017-06-01,16.46,16.471,15.33,16.01
AZRE,2017-06-02,15.72,16.25,15.429,16.25
AZRE,2017-06-05,16.47,16.64,16.222,16.37
AZRE,2017-06-06,16.5,16.5,15.55,16.01
AZRE,2017-06-07,15.99,16.69,15.85,16.3
AZRE,2017-06-08,16.53,16.6,16.02,16.02
AZRE,2017-06-09,16.0,16.45,15.7,15.71
AZRE,2017-06-12,15.88,15.9,15.01,15.02
AZRE,2017-06-13,15.15,15.74,15.02,15.74
AZRE,2017-06-14,15.925,16.233,15.5,16.22
AZRE,2017-06-15,16.11,16.11,15.71,15.75
AZRE,2017-06-16,15.75,15.98,15.51,15.75
AZRE,2017-06-19,15.5,15.75,15.274,15.53
AZRE,2017-06-20,15.68,15.99,15.56,15.99
AZRE,2017-06-21,15.78,16.0,15.78,16.0
AZRE,2017-06-22,15.87,16.0,15.77,15.92
AZRE,2017-06-23,16.0,16.3,15.99,16.15
AZRE,2017-06-26,16.3,16.8,16.17,16.55
AZRE,2017-06-27,16.53,16.7,15.77,16.0
AZRE,2017-06-28,16.02,16.82,15.86,16.69
AZRE,2017-06-29,16.83,16.83,16.27,16.8
AZRE,2017-06-30,16.8,16.82,16.31,16.31
AZRE,2017-07-03,16.56,16.79,16.5,16.61
AZRE,2017-07-05,16.5,17.15,16.2,17.01
AZRE,2017-07-06,17.01,17.09,16.8,17.0
AZRE,2017-07-07,16.86,17.07,16.57,17.065
