ticker,date,open,high,low,close
BAM,2022-12-01,32.55,36.5,32.0,32.0
BAM,2022-12-02,32.96,34.0,31.0,33.01
BAM,2022-12-05,32.6,34.0,32.6,32.94
BAM,2022-12-06,32.5,32.5,31.38,32.0
BAM,2022-12-07,32.0,34.24,31.82,33.01
BAM,2022-12-08,33.99,36.13,31.86,32.0
BAM,2022-12-09,32.96,32.96,31.99,32.0
BAM,2022-12-12,32.14,32.99,30.39,32.4
BAM,2022-12-13,33.38,33.64,30.6,30.76
BAM,2022-12-14,31.0,31.1,29.1,29.5
BAM,2022-12-15,29.08,29.78,28.48,28.48
BAM,2022-12-16,28.27,28.47,26.76,27.11
BAM,2022-12-19,27.12,28.46,27.1,28.01
BAM,2022-12-20,28.58,29.38,28.2,29.36
BAM,2022-12-21,29.38,29.6,28.18,28.2
BAM,2022-12-22,28.4,28.44,27.51,28.05
BAM,2022-12-23,28.22,28.42,27.8,28.04
BAM,2022-12-27,28.16,29.87,28.0,28.94
BAM,2022-12-28,28.91,29.01,27.89,28.14
BAM,2022-12-29,28.18,29.8,27.88,29.28
BAM,2022-12-30,29.01,29.03,28.11,28.67
BAM,2023-01-03,29.0,29.42,28.26,28.46
BAM,2023-01-04,28.77,29.79,28.68,29.67
BAM,2023-01-05,29.67,29.84,29.13,29.52
BAM,2023-01-06,29.73,29.97,29.02,29.78
BAM,2023-01-09,30.5,31.42,30.25,30.99
BAM,2023-01-10,30.78,30.88,30.18,30.21
BAM,2023-01-11,30.42,30.65,30.03,30.5
BAM,2023-01-12,30.63,31.49,30.32,30.97
BAM,2023-01-13,30.58,32.01,30.48,31.89
BAM,2023-01-17,32.47,32.48,31.53,31.86
BAM,2023-01-18,31.9,32.28,31.36,31.51
BAM,2023-01-19,31.3,31.53,30.93,31.4
BAM,2023-01-20,31.41,32.02,31.14,32.0
BAM,2023-01-23,32.26,32.65,31.8,32.4
BAM,2023-01-24,32.29,32.53,31.71,32.2
BAM,2023-01-25,32.2,32.25,31.26,31.61
BAM,2023-01-26,31.82,32.18,31.65,32.05
BAM,2023-01-27,32.2,32.84,32.08,32.5
BAM,2023-01-30,32.11,32.36,31.58,31.59
BAM,2023-01-31,31.6,32.71,31.55,32.65
BAM,2023-02-01,32.65,32.67,31.87,32.51
BAM,2023-02-02,32.61,33.42,32.51,33.37
BAM,2023-02-03,32.84,34.01,32.84,33.7
BAM,2023-02-06,33.29,33.67,32.98,33.53
BAM,2023-02-07,33.4,34.06,33.25,33.96
BAM,2023-02-08,34.84,35.21,34.03,34.71
BAM,2023-02-09,35.25,35.79,34.86,34.93
BAM,2023-02-10,34.95,35.22,34.42,34.68
BAM,2023-02-13,34.67,35.28,34.61,35.13
BAM,2023-02-14,35.04,35.65,34.79,35.53
BAM,2023-02-15,35.38,35.99,35.08,35.64
BAM,2023-02-16,35.01,35.72,34.82,35.38
BAM,2023-02-17,35.14,35.5,34.87,35.1
BAM,2023-02-21,34.75,35.0,34.26,34.46
BAM,2023-02-22,34.5,34.78,34.29,34.48
BAM,2023-02-23,34.65,34.74,33.67,34.06
BAM,2023-02-24,33.54,34.04,33.37,33.95
BAM,2023-02-27,34.0,34.04,33.34,33.5
BAM,2023-02-28,33.55,33.81,33.21,33.62
BAM,2023-03-01,33.64,34.19,33.46,33.8
BAM,2023-03-02,33.41,34.04,33.41,33.81
BAM,2023-03-03,33.96,34.5,33.87,34.28
BAM,2023-03-06,34.19,34.7,34.17,34.45
BAM,2023-03-07,34.47,34.56,33.43,33.66
BAM,2023-03-08,33.58,33.7,33.05,33.35
BAM,2023-03-09,33.24,33.67,32.66,32.82
BAM,2023-03-10,32.52,32.73,31.4,31.64
BAM,2023-03-13,31.03,31.61,30.51,30.98
BAM,2023-03-14,31.56,31.8,31.26,31.66
BAM,2023-03-15,30.79,31.11,30.12,30.83
BAM,2023-03-16,30.44,31.25,30.24,31.23
BAM,2023-03-17,30.97,31.17,30.29,30.72
BAM,2023-03-20,30.94,31.31,30.75,31.25
BAM,2023-03-21,31.98,32.0,31.36,31.68
BAM,2023-03-22,31.54,31.7,30.93,31.05
BAM,2023-03-23,31.05,31.73,31.05,31.24
BAM,2023-03-24,30.83,31.16,30.55,31.02
BAM,2023-03-27,31.24,31.38,30.93,31.07
BAM,2023-03-28,31.0,31.1,30.65,31.08
BAM,2023-03-29,31.66,31.66,30.79,31.39
BAM,2023-03-30,31.73,32.05,31.59,32.03
BAM,2023-03-31,32.17,32.79,31.9,32.72
BAM,2023-04-03,32.5,32.78,31.91,31.98
BAM,2023-04-04,31.98,32.03,31.68,31.78
BAM,2023-04-05,31.6,31.84,31.44,31.6
BAM,2023-04-06,31.46,31.76,31.4,31.62
BAM,2023-04-10,31.5,31.58,31.28,31.55
BAM,2023-04-11,31.59,32.04,31.59,31.84
BAM,2023-04-12,32.18,32.47,31.96,32.12
BAM,2023-04-13,32.37,33.54,32.37,33.52
BAM,2023-04-14,33.6,33.78,33.0775,33.49
BAM,2023-04-17,33.5,33.59,33.0,33.15
BAM,2023-04-18,32.69,32.95,31.94,32.94
BAM,2023-04-19,32.43,33.08,32.25,32.96
