ticker,date,open,high,low,close
BKI,2015-05-20,26.25,27.35,26.12,27.11
BKI,2015-05-21,27.0,28.0,26.82,27.73
BKI,2015-05-22,27.84,28.5,27.5,28.36
BKI,2015-05-26,28.37,28.72,27.89,27.99
BKI,2015-05-27,27.83,28.19,27.54,28.0
BKI,2015-05-28,28.0,28.22,27.61,28.0
BKI,2015-05-29,27.85,28.68,27.28,27.58
BKI,2015-06-01,27.7,28.24,27.7,28.0
BKI,2015-06-02,28.03,28.4,27.5,27.99
BKI,2015-06-03,27.9,29.27,27.87,28.78
BKI,2015-06-04,28.57,28.99,27.93,28.74
BKI,2015-06-05,28.4,29.0,28.3,28.6
BKI,2015-06-08,28.25,28.99,28.14,28.76
BKI,2015-06-09,28.65,28.93,28.11,28.33
BKI,2015-06-10,28.33,28.61,28.0,28.15
BKI,2015-06-11,28.1,28.37,27.8,28.0
BKI,2015-06-12,27.9,28.35,27.81,28.21
BKI,2015-06-15,28.02,29.0,27.78,28.72
BKI,2015-06-16,28.55,29.49,27.84,29.14
BKI,2015-06-17,29.38,29.74,29.0,29.55
BKI,2015-06-18,29.38,30.55,29.38,29.94
BKI,2015-06-19,29.88,30.46,29.53,30.11
BKI,2015-06-22,30.2,30.41,29.4,30.01
BKI,2015-06-23,30.16,30.79,29.66,30.25
BKI,2015-06-24,30.08,30.31,29.17,29.67
BKI,2015-06-25,29.7,30.05,29.41,30.01
BKI,2015-06-26,29.9,31.4,29.9,30.66
BKI,2015-06-29,30.66,30.92,29.78,30.0
BKI,2015-06-30,30.0,30.89,30.0,30.87
BKI,2015-07-01,31.08,31.08,29.6,30.05
BKI,2015-07-02,30.04,30.3,29.56,30.09
BKI,2015-07-06,30.1,30.29,28.98,29.78
BKI,2015-07-07,29.78,29.9,29.05,29.78
BKI,2015-07-08,29.63,30.45,29.06,30.13
BKI,2015-07-09,30.15,30.42,29.52,29.63
BKI,2015-07-10,29.65,30.06,29.64,29.95
BKI,2015-07-13,30.01,30.04,29.37,29.59
BKI,2015-07-14,29.7,30.0,29.53,29.73
BKI,2015-07-15,29.6,29.98,29.26,29.47
BKI,2015-07-16,29.51,29.86,29.28,29.34
BKI,2015-07-17,29.27,29.78,28.95,29.17
BKI,2015-07-20,29.32,29.64,28.38,28.54
BKI,2015-07-21,28.46,29.55,28.45,29.5
BKI,2015-07-22,29.41,29.76,29.34,29.61
BKI,2015-07-23,29.51,30.29,29.51,30.06
BKI,2015-07-24,30.14,30.4,29.92,30.28
BKI,2015-07-27,30.22,30.22,29.75,29.9
BKI,2015-07-28,29.97,30.14,29.23,30.07
BKI,2015-07-29,30.02,30.62,29.96,30.5
BKI,2015-07-30,30.85,33.1,30.75,31.71
BKI,2015-07-31,31.89,32.89,31.89,32.58
BKI,2015-08-03,32.71,33.41,32.45,32.84
BKI,2015-08-04,32.89,34.33,32.84,33.49
BKI,2015-08-05,33.63,34.39,33.35,34.24
BKI,2015-08-06,34.14,35.33,33.94,34.69
BKI,2015-08-07,34.51,34.99,34.35,34.69
BKI,2015-08-10,35.11,35.65,34.56,35.1
BKI,2015-08-11,34.9,35.5,34.71,35.35
BKI,2015-08-12,35.22,35.78,34.59,34.76
BKI,2015-08-13,34.77,35.18,33.98,34.66
BKI,2015-08-14,34.7,34.98,34.06,34.67
BKI,2015-08-17,34.45,35.0,34.34,34.87
BKI,2015-08-18,34.77,35.73,34.68,34.99
BKI,2015-08-19,34.89,34.89,33.11,34.04
BKI,2015-08-20,33.9,34.6,33.46,34.26
BKI,2015-08-21,33.78,34.35,33.17,33.62
BKI,2015-08-24,32.19,33.55,31.46,32.4
BKI,2015-08-25,33.21,33.21,30.66,30.76
BKI,2015-08-26,31.0,31.13,29.31,30.32
BKI,2015-08-27,30.41,31.11,30.3,30.81
BKI,2015-08-28,30.75,31.59,30.45,31.57
BKI,2015-08-31,31.41,32.53,31.2,32.47
BKI,2015-09-01,32.23,32.58,31.81,32.46
BKI,2015-09-02,32.67,33.8,32.01,33.71
BKI,2015-09-03,33.66,34.0,33.45,33.88
BKI,2015-09-04,33.66,33.84,32.98,33.73
BKI,2015-09-08,33.82,34.93,33.82,34.72
BKI,2015-09-09,34.74,35.1,34.41,34.57
BKI,2015-09-10,34.62,35.28,34.51,35.01
BKI,2015-09-11,34.82,35.26,34.7,35.25
BKI,2015-09-14,35.0,35.17,34.72,35.04
BKI,2015-09-15,35.04,35.3,34.82,35.05
