ticker,date,open,high,low,close
BLCO,2022-05-06,18.5,20.2,18.4,20.0
BLCO,2022-05-09,18.99,19.18,17.8,18.0
BLCO,2022-05-10,18.06,18.06,16.25,17.55
BLCO,2022-05-11,17.67,17.94,16.37,16.55
BLCO,2022-05-12,16.47,17.73,16.01,17.47
BLCO,2022-05-13,17.4,18.46,17.08,17.72
BLCO,2022-05-16,17.67,17.71,16.76,17.0
BLCO,2022-05-17,17.19,17.5,16.34,17.23
BLCO,2022-05-18,17.08,17.23,16.3,16.51
BLCO,2022-05-19,16.32,17.66,16.32,17.52
BLCO,2022-05-20,17.72,17.85,16.75,17.18
BLCO,2022-05-23,17.32,17.32,16.5,16.91
BLCO,2022-05-24,16.88,16.88,16.02,16.11
BLCO,2022-05-25,16.03,17.11,15.9,16.99
BLCO,2022-05-26,17.0,18.03,16.81,18.0
BLCO,2022-05-27,18.19,18.21,17.5,17.69
BLCO,2022-05-31,17.71,18.05,16.81,17.01
BLCO,2022-06-01,16.9,17.33,16.27,16.28
BLCO,2022-06-02,16.26,16.81,15.92,16.29
BLCO,2022-06-03,16.14,16.76,16.05,16.61
BLCO,2022-06-06,16.99,17.0,16.11,16.16
BLCO,2022-06-07,16.24,16.28,15.42,15.65
BLCO,2022-06-08,15.5,15.74,14.75,14.88
BLCO,2022-06-09,14.93,14.96,14.27,14.58
BLCO,2022-06-10,14.32,14.57,13.99,14.07
BLCO,2022-06-13,13.71,14.0,13.25,13.36
BLCO,2022-06-14,13.35,14.2,13.17,13.69
BLCO,2022-06-15,13.92,14.94,13.71,14.86
BLCO,2022-06-16,14.5,14.73,13.92,14.49
BLCO,2022-06-17,14.41,15.75,14.26,15.75
BLCO,2022-06-21,15.9,15.9,15.07,15.5
BLCO,2022-06-22,15.25,15.6,15.1,15.47
BLCO,2022-06-23,15.41,15.6,15.13,15.51
BLCO,2022-06-24,15.93,16.43,15.74,15.85
BLCO,2022-06-27,15.79,16.17,15.55,15.7
BLCO,2022-06-28,15.55,15.77,14.95,15.02
BLCO,2022-06-29,15.02,15.36,14.85,15.28
BLCO,2022-06-30,15.2,15.49,14.73,15.24
BLCO,2022-07-01,15.05,16.03,15.0,15.86
BLCO,2022-07-05,15.83,15.85,15.41,15.8
BLCO,2022-07-06,15.94,16.25,15.9,15.94
BLCO,2022-07-07,16.02,16.11,15.65,15.97
BLCO,2022-07-08,15.97,16.99,15.87,16.43
BLCO,2022-07-11,16.39,16.41,15.86,15.9
BLCO,2022-07-12,15.79,16.92,15.7,16.59
BLCO,2022-07-13,16.38,16.56,15.97,16.2
BLCO,2022-07-14,16.14,16.4,15.87,15.98
BLCO,2022-07-15,15.94,16.16,15.53,15.59
BLCO,2022-07-18,15.63,15.84,15.03,15.15
BLCO,2022-07-19,15.35,15.47,15.08,15.29
BLCO,2022-07-20,15.07,15.39,14.99,15.14
BLCO,2022-07-21,15.01,16.25,15.01,15.72
BLCO,2022-07-22,15.62,15.92,15.09,15.33
BLCO,2022-07-25,15.64,16.14,15.11,16.09
BLCO,2022-07-26,16.21,16.23,15.16,15.35
BLCO,2022-07-27,15.29,16.2,15.29,16.07
BLCO,2022-07-28,15.99,16.13,12.2,15.35
BLCO,2022-07-29,14.89,15.47,14.09,14.39
BLCO,2022-08-01,14.46,14.97,14.05,14.4
BLCO,2022-08-02,14.22,14.86,14.12,14.23
BLCO,2022-08-03,14.33,14.93,14.31,14.82
BLCO,2022-08-04,15.0,15.84,14.77,15.57
BLCO,2022-08-05,15.49,15.79,15.26,15.51
BLCO,2022-08-08,15.59,15.94,15.31,15.5
BLCO,2022-08-09,15.4,15.77,15.33,15.76
BLCO,2022-08-10,15.86,16.68,15.8,16.31
BLCO,2022-08-11,16.35,17.18,16.34,16.52
BLCO,2022-08-12,16.51,16.59,16.08,16.36
BLCO,2022-08-15,16.31,16.54,15.94,16.52
BLCO,2022-08-16,16.75,16.77,16.07,16.3
