ticker,date,open,high,low,close
BODY,2021-01-15,11.242,11.581,10.27,10.47
BODY,2021-01-19,10.5,10.62,10.31,10.46
BODY,2021-01-20,10.54,10.54,10.4,10.53
BODY,2021-01-21,10.58,10.65,10.51,10.58
BODY,2021-01-22,10.58,10.69,10.58,10.67
BODY,2021-01-25,10.9,11.13,10.69,11.03
BODY,2021-01-26,10.77,12.0,10.7,10.7
BODY,2021-01-27,10.78,10.78,10.25,10.3
BODY,2021-01-28,10.45,10.88,10.37,10.55
BODY,2021-01-29,10.73,10.73,10.35,10.42
BODY,2021-02-01,10.42,10.75,10.4,10.58
BODY,2021-02-02,10.58,10.7,10.42,10.42
BODY,2021-02-03,10.55,10.74,10.55,10.6
BODY,2021-02-04,10.7,10.7,10.55,10.685
BODY,2021-02-05,10.87,10.88,10.59,10.73
BODY,2021-02-08,10.78,10.82,10.67,10.79
BODY,2021-02-09,10.85,10.97,10.69,10.76
BODY,2021-02-10,11.64,11.71,10.9,11.67
BODY,2021-02-11,11.9,12.45,11.65,12.0
BODY,2021-02-12,11.99,12.14,11.327,11.48
BODY,2021-02-16,11.6,11.61,10.7,10.9
BODY,2021-02-17,11.0,11.15,10.7,11.15
BODY,2021-02-18,11.75,12.67,11.32,12.25
BODY,2021-02-19,13.99,17.23,13.85,14.05
BODY,2021-02-22,16.0,18.2,15.16,15.54
BODY,2021-02-23,14.35,14.88,12.1,13.31
BODY,2021-02-24,14.3,15.74,13.5,14.04
BODY,2021-02-25,13.06,13.84,11.84,12.64
BODY,2021-02-26,12.76,12.99,11.74,12.67
BODY,2021-03-01,13.07,13.42,12.529,12.68
BODY,2021-03-02,12.41,12.9,11.92,12.09
BODY,2021-03-03,11.94,12.225,10.88,11.33
BODY,2021-03-04,10.94,12.13,10.51,11.16
BODY,2021-03-05,11.15,12.0,10.13,11.89
BODY,2021-03-08,11.73,12.25,11.02,11.55
BODY,2021-03-09,11.51,11.89,11.22,11.36
BODY,2021-03-10,11.34,11.55,10.86,11.12
BODY,2021-03-11,11.12,11.44,10.97,11.24
BODY,2021-03-12,11.1,11.77,11.1,11.71
BODY,2021-03-15,11.65,11.99,11.52,11.68
BODY,2021-03-16,11.59,11.63,11.02,11.24
BODY,2021-03-17,10.93,11.205,10.81,10.94
BODY,2021-03-18,10.86,11.1,10.69,10.79
BODY,2021-03-19,10.75,10.78,10.51,10.66
BODY,2021-03-22,10.82,10.9,10.58,10.73
BODY,2021-03-23,10.62,10.69,10.32,10.35
BODY,2021-03-24,10.4,10.43,10.01,10.11
BODY,2021-03-25,9.92,10.25,9.72,10.14
BODY,2021-03-26,10.1,10.65,10.03,10.25
BODY,2021-03-29,10.17,10.45,10.085,10.31
BODY,2021-03-30,10.17,10.33,10.09,10.11
BODY,2021-03-31,10.2,10.21,10.05,10.12
BODY,2021-04-01,10.13,10.18,10.0,10.06
BODY,2021-04-05,10.06,10.14,10.02,10.11
BODY,2021-04-06,10.1,10.11,10.01,10.03
BODY,2021-04-07,10.05,10.08,9.995,10.01
BODY,2021-04-08,10.05,10.23,10.0,10.1
BODY,2021-04-09,10.12,10.29,10.035,10.05
BODY,2021-04-12,10.05,10.08,10.0,10.01
BODY,2021-04-13,10.04,10.04,9.95,9.95
BODY,2021-04-14,9.96,10.01,9.95,9.97
BODY,2021-04-15,9.97,9.98,9.93,9.93
BODY,2021-04-16,9.95,10.0,9.91,9.98
BODY,2021-04-19,9.95,9.96,9.88,9.9
BODY,2021-04-20,9.9,9.94,9.89,9.9
BODY,2021-04-21,9.88,9.92,9.863,9.91
BODY,2021-04-22,9.92,9.96,9.89,9.91
BODY,2021-04-23,9.91,10.04,9.91,10.01
BODY,2021-04-26,10.14,10.142,9.98,10.0
BODY,2021-04-27,10.01,10.025,9.95,10.0
BODY,2021-04-28,10.0,10.05,9.97,9.97
BODY,2021-04-29,9.98,10.03,9.98,10.02
BODY,2021-04-30,9.99,10.08,9.99,10.04
BODY,2021-05-03,10.09,10.11,10.02,10.03
BODY,2021-05-04,10.04,10.09,9.98,10.06
BODY,2021-05-05,10.02,10.13,9.99,10.05
BODY,2021-05-06,10.03,10.05,9.995,10.02
BODY,2021-05-07,10.02,10.12,9.99,10.07
BODY,2021-05-10,10.06,10.06,9.91,9.95
BODY,2021-05-11,9.88,9.98,9.83,9.96
BODY,2021-05-12,9.97,10.02,9.93,9.98
BODY,2021-05-13,9.98,9.98,9.89,9.9
BODY,2021-05-14,9.91,9.96,9.91,9.92
