ticker,date,open,high,low,close
BRDS,2021-03-01,11.0,11.32,10.51,10.92
BRDS,2021-03-02,11.11,11.25,10.01,10.75
BRDS,2021-03-03,10.92,11.03,10.3,10.53
BRDS,2021-03-04,10.98,10.98,10.08,10.17
BRDS,2021-03-05,10.18,10.6,10.08,10.37
BRDS,2021-03-08,11.19,11.19,10.2,10.2
BRDS,2021-03-09,10.39,10.43,10.22,10.43
BRDS,2021-03-10,10.77,10.77,10.25,10.305
BRDS,2021-03-11,10.59,10.59,10.2,10.42
BRDS,2021-03-12,10.32,10.373,10.25,10.31
BRDS,2021-03-15,10.4,10.4,10.2,10.22
BRDS,2021-03-16,10.29,10.29,10.08,10.23
BRDS,2021-03-17,10.21,10.31,10.12,10.23
BRDS,2021-03-18,10.25,10.25,10.15,10.15
BRDS,2021-03-19,10.19,10.2,10.08,10.15
BRDS,2021-03-22,10.13,10.3,10.13,10.2
BRDS,2021-03-23,10.22,10.22,9.97,10.02
BRDS,2021-03-24,10.02,10.177,9.81,9.86
BRDS,2021-03-25,9.8,9.9,9.7,9.84
BRDS,2021-03-26,9.88,9.995,9.75,9.995
BRDS,2021-03-29,9.9,10.02,9.87,9.96
BRDS,2021-03-30,9.92,9.92,9.8,9.815
BRDS,2021-03-31,9.838,9.91,9.79,9.83
BRDS,2021-04-01,9.97,10.03,9.834,9.95
BRDS,2021-04-05,10.01,10.09,9.94,9.95
BRDS,2021-04-06,9.91,9.99,9.91,9.99
BRDS,2021-04-07,9.91,9.98,9.89,9.97
BRDS,2021-04-08,9.92,10.11,9.91,10.11
BRDS,2021-04-09,10.21,10.21,10.1,10.15
BRDS,2021-04-12,10.09,10.21,10.01,10.19
BRDS,2021-04-13,10.06,10.11,10.05,10.08
BRDS,2021-04-14,10.1,10.15,10.02,10.11
BRDS,2021-04-15,10.088,10.102,10.02,10.08
BRDS,2021-04-16,10.03,10.08,10.01,10.06
BRDS,2021-04-19,9.97,10.1,9.92,10.03
BRDS,2021-04-20,10.015,10.015,9.91,9.95
BRDS,2021-04-21,9.98,10.03,9.9,9.92
BRDS,2021-04-22,9.94,10.12,9.92,10.0
BRDS,2021-04-23,10.0,10.0,9.93,9.93
BRDS,2021-04-26,9.91,10.0,9.85,9.85
BRDS,2021-04-27,9.87,9.89,9.85,9.88
BRDS,2021-04-28,9.89,9.94,9.87,9.94
BRDS,2021-04-29,9.94,10.0,9.93,10.0
BRDS,2021-04-30,9.96,10.04,9.96,10.04
BRDS,2021-05-03,10.0,10.008,9.95,10.0
BRDS,2021-05-04,9.97,10.0,9.91,9.96
BRDS,2021-05-05,9.97,9.99,9.94,9.96
BRDS,2021-05-06,9.96,9.96,9.93,9.95
BRDS,2021-05-07,9.92,9.98,9.92,9.93
BRDS,2021-05-10,9.92,10.02,9.91,9.962
BRDS,2021-05-11,9.92,9.97,9.84,9.97
