ticker,date,open,high,low,close
BRMK,2019-11-15,11.08,11.2,10.8,10.95
BRMK,2019-11-18,10.98,11.09,10.77,10.93
BRMK,2019-11-19,10.95,10.98,10.852,10.91
BRMK,2019-11-20,10.92,10.99,10.85,10.91
BRMK,2019-11-21,10.92,10.96,10.86,10.91
BRMK,2019-11-22,10.96,11.01,10.93,10.99
BRMK,2019-11-25,11.35,11.35,11.05,11.14
BRMK,2019-11-26,11.2,11.2,11.02,11.1
BRMK,2019-11-27,11.12,11.16,11.05,11.13
BRMK,2019-11-29,11.18,11.18,11.08,11.16
BRMK,2019-12-02,11.3,11.36,11.21,11.35
BRMK,2019-12-03,11.31,11.39,11.28,11.39
BRMK,2019-12-04,11.4,11.55,11.38,11.46
BRMK,2019-12-05,11.53,11.75,11.53,11.75
BRMK,2019-12-06,11.85,12.05,11.83,12.05
BRMK,2019-12-09,12.18,12.45,12.13,12.45
BRMK,2019-12-10,12.6,12.75,12.08,12.09
BRMK,2019-12-11,12.1,12.325,11.82,11.87
BRMK,2019-12-12,11.95,12.15,11.85,11.87
BRMK,2019-12-13,11.84,12.05,11.84,11.96
BRMK,2019-12-16,12.05,12.077,11.58,11.66
BRMK,2019-12-17,11.66,12.05,11.66,12.05
BRMK,2019-12-18,12.06,12.11,11.97,12.11
BRMK,2019-12-19,12.1,12.38,12.07,12.35
BRMK,2019-12-20,12.38,12.45,12.22,12.44
BRMK,2019-12-23,12.45,12.5,12.4,12.47
BRMK,2019-12-24,12.48,12.56,12.47,12.52
BRMK,2019-12-26,12.49,12.65,12.49,12.65
BRMK,2019-12-27,12.64,12.74,12.62,12.69
BRMK,2019-12-30,12.65,12.74,12.53,12.7
BRMK,2019-12-31,12.73,12.75,12.58,12.75
BRMK,2020-01-02,12.74,12.75,12.57,12.63
BRMK,2020-01-03,12.57,12.64,12.45,12.6
BRMK,2020-01-06,12.61,12.67,12.54,12.66
BRMK,2020-01-07,12.7,12.74,12.62,12.69
BRMK,2020-01-08,12.65,12.7,12.625,12.65
BRMK,2020-01-09,12.69,12.75,12.6,12.66
BRMK,2020-01-10,12.49,12.5,11.9,12.36
BRMK,2020-01-13,12.34,12.34,12.09,12.2
BRMK,2020-01-14,12.16,12.31,12.1,12.18
BRMK,2020-01-15,12.25,12.31,12.08,12.12
BRMK,2020-01-16,12.15,12.25,12.1,12.14
