ticker,date,open,high,low,close
CINT,2021-11-10,17.55,22.5,15.61,18.12
CINT,2021-11-11,18.0,19.86,17.47,18.89
CINT,2021-11-12,18.66,20.9,18.1,19.98
CINT,2021-11-15,19.78,19.92,19.14,19.64
CINT,2021-11-16,19.31,19.8,17.88,17.94
CINT,2021-11-17,17.85,18.19,17.19,17.25
CINT,2021-11-18,17.14,17.25,16.47,16.48
CINT,2021-11-19,16.25,16.55,14.5,14.66
CINT,2021-11-22,14.42,14.42,11.85,11.89
CINT,2021-11-23,12.12,12.99,11.89,12.75
CINT,2021-11-24,12.57,13.3,12.06,12.99
CINT,2021-11-26,12.65,12.97,12.23,12.44
CINT,2021-11-29,12.3,12.67,11.26,11.49
CINT,2021-11-30,11.5,11.71,11.16,11.56
CINT,2021-12-01,11.42,12.21,11.42,11.43
CINT,2021-12-02,11.26,12.45,11.26,12.41
CINT,2021-12-03,12.35,12.51,11.82,12.35
CINT,2021-12-06,12.14,13.69,11.85,13.54
CINT,2021-12-07,14.03,14.29,13.45,13.5
CINT,2021-12-08,13.81,13.81,13.11,13.29
CINT,2021-12-09,13.27,13.36,13.02,13.25
CINT,2021-12-10,13.15,14.17,13.12,13.79
CINT,2021-12-13,13.63,14.39,13.58,14.39
CINT,2021-12-14,14.13,14.82,14.02,14.48
CINT,2021-12-15,14.34,14.34,13.95,14.07
CINT,2021-12-16,14.11,14.2,12.02,12.28
CINT,2021-12-17,12.05,13.04,12.01,12.71
CINT,2021-12-20,12.58,12.8,11.98,12.34
CINT,2021-12-21,12.34,12.69,11.94,12.69
CINT,2021-12-22,12.55,13.14,12.24,12.59
CINT,2021-12-23,12.6,12.89,11.76,11.85
CINT,2021-12-27,12.0,12.02,11.61,11.62
CINT,2021-12-28,11.5,11.75,9.88,10.64
CINT,2021-12-29,10.7,11.13,10.67,11.08
CINT,2021-12-30,11.16,11.55,11.08,11.5
CINT,2021-12-31,11.59,12.04,11.26,11.89
CINT,2022-01-03,11.96,12.4,11.85,11.95
CINT,2022-01-04,12.03,12.32,11.11,11.76
CINT,2022-01-05,11.75,12.0,9.97,10.19
CINT,2022-01-06,10.37,10.95,10.14,10.85
CINT,2022-01-07,10.9,12.06,10.81,11.14
CINT,2022-01-10,11.4,11.47,10.13,11.16
CINT,2022-01-11,11.18,11.8,10.75,11.66
CINT,2022-01-12,11.92,13.7,11.44,13.61
CINT,2022-01-13,13.72,13.85,12.52,12.83
CINT,2022-01-14,12.6,13.5,11.57,12.07
CINT,2022-01-18,11.8,12.77,11.6,12.47
CINT,2022-01-19,12.54,13.15,12.34,12.62
CINT,2022-01-20,12.61,13.6,12.61,13.52
CINT,2022-01-21,13.49,14.8,13.26,13.99
CINT,2022-01-24,13.61,13.66,12.69,13.35
CINT,2022-01-25,13.1,13.52,13.03,13.12
CINT,2022-01-26,13.38,13.52,11.86,11.92
CINT,2022-01-27,11.96,12.23,11.31,11.56
CINT,2022-01-28,11.44,12.15,11.29,12.0
CINT,2022-01-31,11.97,13.0,11.97,12.66
CINT,2022-02-01,12.56,13.34,12.56,13.03
CINT,2022-02-02,13.0,13.04,12.37,12.63
CINT,2022-02-03,12.41,12.81,12.04,12.43
CINT,2022-02-04,12.31,12.67,11.81,12.13
CINT,2022-02-07,12.07,12.17,11.8,11.98
CINT,2022-02-08,11.87,13.48,11.7,13.48
CINT,2022-02-09,13.48,13.87,13.02,13.8
CINT,2022-02-10,13.51,14.9,13.51,14.27
CINT,2022-02-11,14.2,14.54,13.77,14.31
CINT,2022-02-14,14.31,15.45,14.31,15.07
CINT,2022-02-15,15.24,15.41,14.85,15.02
CINT,2022-02-16,15.0,15.19,14.34,15.18
CINT,2022-02-17,15.06,15.13,14.63,15.0
CINT,2022-02-18,14.92,15.27,14.04,14.65
CINT,2022-02-22,14.36,16.19,14.36,15.79
CINT,2022-02-23,15.98,15.98,14.93,15.14
CINT,2022-02-24,15.0,16.28,14.16,16.23
CINT,2022-02-25,16.19,16.46,15.51,16.4
CINT,2022-02-28,16.32,16.82,16.17,16.67
CINT,2022-03-01,16.54,17.02,16.28,16.34
CINT,2022-03-02,16.58,17.02,16.24,16.99
CINT,2022-03-03,16.99,17.6,16.52,17.59
CINT,2022-03-04,17.26,18.64,17.26,18.59
CINT,2022-03-07,18.05,19.0,17.93,18.29
CINT,2022-03-08,18.15,18.55,16.66,16.79
CINT,2022-03-09,17.16,17.16,15.53,15.97
CINT,2022-03-10,14.76,15.81,14.76,15.48
CINT,2022-03-11,15.77,15.77,14.6,15.07
CINT,2022-03-14,14.79,15.66,14.79,15.3
CINT,2022-03-15,15.47,16.56,15.34,16.24
CINT,2022-03-16,16.54,17.07,16.05,17.07
CINT,2022-03-17,16.85,17.65,16.85,17.65
CINT,2022-03-18,17.69,19.08,17.58,18.54
CINT,2022-03-21,18.53,18.95,17.94,18.58
CINT,2022-03-22,18.64,18.97,18.14,18.67
CINT,2022-03-23,18.31,18.74,17.6,17.74
CINT,2022-03-24,17.46,17.62,16.91,17.48
CINT,2022-03-25,17.35,17.35,16.22,16.3
CINT,2022-03-28,16.06,16.8,16.06,16.6
CINT,2022-03-29,16.69,16.98,16.39,16.43
CINT,2022-03-30,16.24,16.28,15.47,16.13
CINT,2022-03-31,15.92,17.33,15.72,16.02
CINT,2022-04-01,16.02,18.0,16.02,17.5
CINT,2022-04-04,17.38,17.41,16.66,17.1
CINT,2022-04-05,17.06,17.06,15.86,16.5
