ticker,date,open,high,low,close
CNM,2021-07-22,20.0,20.0,20.0,20.0
CNM,2021-07-23,21.7,25.86,21.45,23.7
CNM,2021-07-26,23.32,23.9,22.5,22.75
CNM,2021-07-27,22.64,23.83,22.5,23.3
CNM,2021-07-28,23.12,25.47,23.12,25.16
CNM,2021-07-29,25.3,26.96,24.59,26.94
CNM,2021-07-30,26.33,27.13,25.25,26.5
CNM,2021-08-02,26.66,27.13,25.92,26.49
CNM,2021-08-03,26.24,26.91,25.23,26.56
CNM,2021-08-04,26.04,27.0,25.0,25.33
CNM,2021-08-05,25.33,25.78,24.68,25.21
CNM,2021-08-06,25.19,25.56,24.16,24.37
CNM,2021-08-09,24.1,25.56,23.75,25.44
CNM,2021-08-10,25.5,26.75,25.25,26.12
CNM,2021-08-11,26.05,26.54,25.65,26.22
CNM,2021-08-12,26.15,27.53,25.73,27.4
CNM,2021-08-13,27.01,27.85,27.01,27.76
CNM,2021-08-16,27.5,27.85,27.23,27.53
CNM,2021-08-17,27.27,27.58,26.12,26.15
CNM,2021-08-18,26.54,27.84,25.66,27.25
CNM,2021-08-19,27.18,27.86,26.0,26.87
CNM,2021-08-20,27.0,27.18,26.51,26.92
CNM,2021-08-23,27.0,29.38,26.8,29.12
CNM,2021-08-24,28.76,29.15,28.2,28.25
CNM,2021-08-25,28.02,28.61,27.56,27.9
CNM,2021-08-26,27.69,28.3,27.68,28.16
CNM,2021-08-27,28.38,28.61,25.61,27.55
CNM,2021-08-30,27.3,27.55,25.69,26.82
CNM,2021-08-31,27.38,28.08,27.11,27.43
CNM,2021-09-01,27.5,28.32,27.1,27.93
CNM,2021-09-02,28.02,30.57,27.83,30.1
CNM,2021-09-03,29.8,30.03,27.7,27.78
CNM,2021-09-07,27.9,28.25,26.6,27.02
CNM,2021-09-08,26.8,27.37,25.56,26.01
CNM,2021-09-09,25.85,27.8,25.85,27.2
CNM,2021-09-10,27.28,28.17,27.26,27.4
CNM,2021-09-13,27.39,27.95,26.66,26.79
CNM,2021-09-14,27.54,27.6,26.75,27.04
CNM,2021-09-15,27.57,28.03,27.25,27.78
CNM,2021-09-16,28.24,28.77,27.06,27.39
CNM,2021-09-17,27.84,28.07,25.73,25.79
CNM,2021-09-20,25.25,25.71,24.58,25.18
CNM,2021-09-21,25.13,27.03,24.92,26.76
CNM,2021-09-22,26.76,27.01,25.26,25.89
CNM,2021-09-23,26.07,27.48,26.07,27.02
CNM,2021-09-24,26.71,28.33,26.52,27.03
CNM,2021-09-27,26.89,27.72,26.06,26.8
CNM,2021-09-28,26.5,26.83,25.72,25.77
CNM,2021-09-29,25.8,26.32,25.55,25.89
CNM,2021-09-30,25.9,26.65,25.55,26.21
CNM,2021-10-01,26.49,28.09,26.29,27.84
CNM,2021-10-04,27.62,28.13,26.24,26.9
CNM,2021-10-05,26.62,27.8,26.52,27.12
CNM,2021-10-06,26.63,27.1,26.38,26.56
CNM,2021-10-07,26.46,26.76,25.94,26.31
CNM,2021-10-08,26.13,26.33,25.06,25.09
CNM,2021-10-11,25.18,26.2,24.81,25.24
CNM,2021-10-12,25.15,25.7,24.9,25.44
CNM,2021-10-13,25.31,25.62,24.9,25.36
CNM,2021-10-14,25.49,25.75,25.12,25.42
CNM,2021-10-15,25.71,26.01,25.27,25.31
CNM,2021-10-18,25.07,25.17,24.32,24.57
CNM,2021-10-19,24.56,24.84,23.73,24.3
CNM,2021-10-20,24.5,25.3,24.41,24.52
CNM,2021-10-21,24.57,25.54,24.46,25.1
CNM,2021-10-22,25.08,25.71,24.5,24.54
CNM,2021-10-25,24.46,25.74,24.46,25.41
CNM,2021-10-26,25.41,25.88,25.13,25.56
CNM,2021-10-27,25.51,25.9,25.51,25.66
CNM,2021-10-28,25.8,26.83,25.76,26.69
CNM,2021-10-29,26.49,27.72,26.49,27.36
CNM,2021-11-01,27.34,28.47,27.34,27.76
CNM,2021-11-02,27.76,28.78,27.34,28.53
CNM,2021-11-03,28.4,28.45,27.17,27.32
CNM,2021-11-04,27.2,27.85,27.2,27.43
CNM,2021-11-05,27.64,27.95,26.64,27.11
CNM,2021-11-08,27.47,28.77,27.08,28.51
CNM,2021-11-09,28.77,29.17,27.82,28.92
CNM,2021-11-10,28.79,29.95,28.42,29.92
CNM,2021-11-11,29.72,30.25,29.15,29.21
CNM,2021-11-12,29.5,30.0,29.39,29.72
CNM,2021-11-15,30.42,31.93,30.2,30.89
CNM,2021-11-16,31.02,31.45,29.66,29.87
CNM,2021-11-17,29.86,29.99,28.61,29.06
CNM,2021-11-18,28.85,29.36,28.67,29.06
CNM,2021-11-19,29.0,29.86,28.88,29.63
CNM,2021-11-22,29.64,30.37,28.91,28.97
CNM,2021-11-23,29.14,29.33,27.72,28.18
CNM,2021-11-24,27.95,29.0,27.13,28.94
CNM,2021-11-26,28.32,29.38,27.93,29.0
CNM,2021-11-29,29.14,29.63,27.61,28.09
CNM,2021-11-30,27.86,28.25,26.31,26.63
CNM,2021-12-01,26.96,27.65,25.91,25.99
CNM,2021-12-02,25.97,27.03,25.3,26.53
CNM,2021-12-03,26.77,27.09,25.8,26.54
CNM,2021-12-06,26.37,26.56,25.63,26.09
CNM,2021-12-07,27.19,29.89,27.19,28.52
CNM,2021-12-08,28.31,29.23,27.34,28.05
CNM,2021-12-09,28.15,28.82,27.14,27.62
CNM,2021-12-10,27.79,27.79,25.92,26.38
CNM,2021-12-13,26.75,26.75,26.01,26.39
CNM,2021-12-14,26.3,27.0,25.98,26.66
CNM,2021-12-15,26.77,27.04,25.97,26.84
CNM,2021-12-16,27.24,27.58,26.51,26.89
CNM,2021-12-17,26.7,26.96,25.5,26.28
CNM,2021-12-20,25.81,25.89,23.92,25.89
CNM,2021-12-21,26.22,27.04,25.9,27.04
CNM,2021-12-22,26.9,28.9,26.88,28.4
CNM,2021-12-23,28.52,30.17,28.26,29.51
CNM,2021-12-27,29.58,30.95,29.25,29.95
CNM,2021-12-28,29.83,30.23,28.96,29.86
CNM,2021-12-29,29.98,32.51,29.94,31.5
CNM,2021-12-30,31.71,32.07,30.68,30.75
CNM,2021-12-31,30.68,30.81,29.64,30.34
CNM,2022-01-03,30.62,32.54,30.41,30.78
CNM,2022-01-04,27.7,28.24,26.8,27.32
CNM,2022-01-05,27.35,28.47,26.0,26.77
CNM,2022-01-06,25.49,25.9,25.03,25.35
CNM,2022-01-07,25.23,25.84,25.04,25.45
CNM,2022-01-10,25.56,25.58,24.05,24.75
CNM,2022-01-11,24.75,25.19,24.35,24.89
CNM,2022-01-12,25.0,25.58,24.85,25.5
CNM,2022-01-13,25.94,25.95,23.56,24.36
CNM,2022-01-14,23.98,24.52,23.44,24.45
CNM,2022-01-18,23.9,24.88,23.7,24.54
CNM,2022-01-19,24.99,25.64,24.55,24.99
CNM,2022-01-20,25.35,25.8,24.63,24.71
CNM,2022-01-21,24.64,24.7,23.75,23.89
CNM,2022-01-24,23.61,24.17,22.25,24.07
CNM,2022-01-25,23.5,24.15,23.06,24.1
CNM,2022-01-26,24.52,25.0,23.32,23.7
CNM,2022-01-27,23.84,24.16,22.57,22.9
CNM,2022-01-28,23.19,23.56,22.35,23.45
CNM,2022-01-31,23.63,24.4,23.53,24.05
CNM,2022-02-01,24.27,25.0,23.73,24.46
CNM,2022-02-02,24.6,24.82,24.23,24.48
CNM,2022-02-03,23.89,24.5,23.57,23.64
CNM,2022-02-04,23.49,24.01,22.86,23.27
CNM,2022-02-07,23.35,23.5,22.7,23.27
CNM,2022-02-08,23.05,23.81,23.0,23.73
CNM,2022-02-09,23.99,24.25,23.89,24.05
CNM,2022-02-10,23.61,24.43,23.14,23.28
CNM,2022-02-11,23.39,23.55,22.18,22.38
CNM,2022-02-14,22.25,22.61,21.88,22.04
CNM,2022-02-15,22.46,23.12,22.25,23.06
CNM,2022-02-16,23.1,23.67,22.87,23.61
CNM,2022-02-17,22.66,22.82,21.87,21.99
CNM,2022-02-18,21.91,22.24,21.42,21.47
CNM,2022-02-22,21.32,22.1,21.03,21.53
CNM,2022-02-23,21.84,21.97,20.58,20.77
CNM,2022-02-24,20.02,21.61,20.0,21.59
CNM,2022-02-25,21.77,22.33,21.55,22.27
