ticker,date,open,high,low,close
COE,2016-06-10,78.0,83.36,75.36,75.92
COE,2016-06-13,75.36,85.04,72.24,85.04
COE,2016-06-14,83.52,87.2,80.0,87.0
COE,2016-06-15,84.4,89.08,84.16,86.2
COE,2016-06-16,84.2,85.36,80.0,80.0
COE,2016-06-17,80.6,83.16,80.08,81.04
COE,2016-06-20,85.0,85.0,81.04,82.0
COE,2016-06-21,83.56,96.48,82.16,93.2
COE,2016-06-22,94.0,96.0,90.36,92.48
COE,2016-06-23,93.8,95.2,90.0,91.36
COE,2016-06-24,90.0,90.0,80.0,83.68
COE,2016-06-27,81.2,83.0,77.28,77.92
COE,2016-06-28,80.2,81.84,78.04,80.4
COE,2016-06-29,79.92,80.96,77.0,79.6
COE,2016-06-30,79.84,80.24,78.48,79.32
COE,2016-07-01,78.8,82.08,78.8,81.36
COE,2016-07-05,81.68,83.64,79.0,79.88
COE,2016-07-06,80.0,81.04,78.08,79.0
COE,2016-07-07,79.4,79.72,78.12,78.72
COE,2016-07-08,78.92,80.0,78.28,78.64
COE,2016-07-11,79.88,82.97,79.28,80.18
COE,2016-07-12,79.04,83.28,78.6,81.64
COE,2016-07-13,81.2,81.76,78.0,79.44
COE,2016-07-14,79.44,81.16,78.52,79.36
COE,2016-07-15,78.8,81.0,78.64,80.0
COE,2016-07-18,79.88,81.2,78.76,79.08
COE,2016-07-19,79.76,79.76,76.0,77.48
COE,2016-07-20,77.4,79.2,76.0,78.88
COE,2016-07-21,78.0,80.6,77.24,79.96
COE,2016-07-22,78.76,80.12,78.68,80.0
COE,2016-07-25,80.24,80.4,78.8,79.96
COE,2016-07-26,80.28,80.5,79.8,79.96
COE,2016-07-27,80.28,82.0,79.4,80.8
COE,2016-07-28,80.52,83.6,80.52,83.16
COE,2016-07-29,82.8,82.8,78.0,80.36
COE,2016-08-01,81.24,81.74,79.06,80.72
COE,2016-08-02,80.8,81.62,78.8,79.16
COE,2016-08-03,79.44,83.52,78.24,83.4
COE,2016-08-04,83.44,91.76,80.71,87.88
COE,2016-08-05,87.96,95.96,86.96,95.8
COE,2016-08-08,95.92,100.96,93.16,93.84
COE,2016-08-09,94.12,95.96,93.2,93.2
COE,2016-08-10,93.68,98.04,91.96,92.32
COE,2016-08-11,92.52,93.28,91.2,91.56
COE,2016-08-12,90.04,92.98,90.04,90.6
COE,2016-08-15,90.6,92.88,84.48,86.4
COE,2016-08-16,87.52,88.0,85.2,87.08
COE,2016-08-17,88.0,89.91,86.0,87.96
COE,2016-08-18,87.96,88.0,84.8,85.72
COE,2016-08-19,87.54,87.84,86.08,87.12
COE,2016-08-22,86.4,90.0,86.4,87.96
COE,2016-08-23,88.0,90.2,86.6,87.2
COE,2016-08-24,86.84,86.84,84.0,84.32
COE,2016-08-25,84.84,85.64,84.6,85.64
COE,2016-08-26,86.6,86.6,80.32,80.32
COE,2016-08-29,80.76,83.2,80.12,80.24
COE,2016-08-30,80.4,84.4,80.4,83.48
COE,2016-08-31,83.2,83.84,81.2,81.32
COE,2016-09-01,80.48,81.68,80.48,80.48
COE,2016-09-02,80.44,85.12,80.24,82.08
COE,2016-09-06,83.92,88.0,83.28,85.52
COE,2016-09-07,87.04,88.0,86.72,87.8
COE,2016-09-08,88.0,88.0,86.76,87.6
COE,2016-09-09,87.96,90.0,86.2,86.36
COE,2016-09-12,87.16,87.16,84.56,85.82
COE,2016-09-13,86.04,88.0,86.04,87.96
COE,2016-09-14,87.0,87.96,87.0,87.36
COE,2016-09-15,87.48,88.0,87.2,87.96
COE,2016-09-16,88.0,89.36,87.24,89.36
COE,2016-09-19,88.52,91.79,88.24,88.8
COE,2016-09-20,88.0,91.44,86.4,88.0
COE,2016-09-21,87.96,88.0,85.88,86.36
COE,2016-09-22,87.76,89.68,86.48,87.88
COE,2016-09-23,88.0,88.0,85.68,86.0
COE,2016-09-26,87.2,87.2,86.0,86.0
COE,2016-09-27,86.16,87.84,84.0,84.24
COE,2016-09-28,84.28,85.4,82.72,83.72
COE,2016-09-29,83.64,84.76,83.6,83.96
COE,2016-09-30,84.32,85.08,83.6,83.6
COE,2016-10-03,83.92,84.6,83.6,83.6
COE,2016-10-04,84.0,87.2,84.0,86.76
COE,2016-10-05,86.76,86.76,84.2,85.04
COE,2016-10-06,85.0,85.12,82.42,82.8
COE,2016-10-07,82.88,82.88,80.0,80.18
COE,2016-10-10,80.12,82.38,80.12,80.6
COE,2016-10-11,80.48,80.52,76.8,78.2
COE,2016-10-12,78.32,79.16,77.52,78.96
COE,2016-10-13,79.6,79.6,79.6,79.6
COE,2016-10-14,79.72,80.08,78.92,79.04
COE,2016-10-17,79.16,79.24,76.8,77.88
COE,2016-10-18,78.12,78.2,76.04,77.16
COE,2016-10-19,76.44,77.84,76.44,76.68
COE,2016-10-20,76.12,76.45,74.4,74.4
COE,2016-10-21,74.44,78.0,74.44,75.64
COE,2016-10-24,76.0,76.0,75.32,76.0
COE,2016-10-25,75.85,76.0,72.76,73.08
COE,2016-10-26,72.48,73.4,72.0,72.0
COE,2016-10-27,72.12,73.2,72.0,72.0
COE,2016-10-28,72.64,73.0,70.12,71.44
