ticker,date,open,high,low,close
CRBG,2022-09-15,20.0402,20.5779,19.8545,20.2651
CRBG,2022-09-16,20.56,20.81,20.0,20.72
CRBG,2022-09-19,20.6,22.0,20.48,21.62
CRBG,2022-09-20,21.29,21.87,20.68,21.55
CRBG,2022-09-21,21.65,21.83,21.03,21.19
CRBG,2022-09-22,21.0,21.16,20.57,20.85
CRBG,2022-09-23,20.76,20.83,20.2,20.25
CRBG,2022-09-26,20.1,20.41,19.94,20.04
CRBG,2022-09-27,20.32,20.8,20.0,20.19
CRBG,2022-09-28,20.21,20.58,20.06,20.43
CRBG,2022-09-29,20.45,20.45,19.48,19.56
CRBG,2022-09-30,19.67,20.23,19.14,19.69
CRBG,2022-10-03,19.81,20.46,19.66,20.23
CRBG,2022-10-04,20.31,21.01,20.26,20.84
CRBG,2022-10-05,20.86,20.91,20.4,20.45
CRBG,2022-10-06,20.1,20.54,19.87,19.89
CRBG,2022-10-07,19.89,20.02,19.58,19.94
CRBG,2022-10-10,19.99,20.35,19.37,19.69
CRBG,2022-10-11,19.58,19.77,19.18,19.48
CRBG,2022-10-12,19.56,19.87,19.27,19.81
CRBG,2022-10-13,19.49,20.4,19.42,20.32
CRBG,2022-10-14,20.28,20.67,19.95,20.02
CRBG,2022-10-17,20.18,20.7,20.12,20.69
CRBG,2022-10-18,20.87,21.37,20.87,21.28
CRBG,2022-10-19,21.11,21.43,20.7,20.9
CRBG,2022-10-20,20.69,21.01,20.46,20.59
CRBG,2022-10-21,20.45,21.69,20.29,21.64
CRBG,2022-10-24,21.6,22.08,21.56,22.07
CRBG,2022-10-25,22.05,22.58,22.0,22.37
CRBG,2022-10-26,22.19,22.71,22.12,22.48
CRBG,2022-10-27,22.58,22.85,22.46,22.62
CRBG,2022-10-28,22.59,23.02,22.4,23.01
CRBG,2022-10-31,23.0,23.26,22.63,22.67
CRBG,2022-11-01,22.5,22.84,22.28,22.74
CRBG,2022-11-02,22.77,23.13,22.56,22.64
CRBG,2022-11-03,22.39,22.5,21.39,21.41
CRBG,2022-11-04,21.52,21.83,21.23,21.77
CRBG,2022-11-07,21.74,21.99,21.57,21.67
CRBG,2022-11-08,21.55,22.21,21.47,21.73
CRBG,2022-11-09,22.0,22.59,21.51,21.93
CRBG,2022-11-10,22.35,23.5,21.9,22.85
CRBG,2022-11-11,22.92,23.26,22.47,22.54
CRBG,2022-11-14,22.62,22.85,22.03,22.03
CRBG,2022-11-15,22.07,22.83,22.07,22.25
CRBG,2022-11-16,22.11,22.43,22.05,22.14
CRBG,2022-11-17,22.0,22.15,21.83,21.83
CRBG,2022-11-18,21.86,22.14,21.66,21.93
CRBG,2022-11-21,21.86,21.99,21.6,21.92
CRBG,2022-11-22,21.97,22.46,21.97,22.15
CRBG,2022-11-23,22.07,22.62,22.07,22.41
CRBG,2022-11-25,22.4,22.44,22.13,22.39
CRBG,2022-11-28,22.34,22.34,21.56,21.58
CRBG,2022-11-29,21.61,22.0,21.57,21.71
CRBG,2022-11-30,21.73,22.34,21.55,22.24
CRBG,2022-12-01,22.31,22.42,22.14,22.2
CRBG,2022-12-02,21.84,22.36,21.82,22.06
CRBG,2022-12-05,21.9,22.09,21.19,21.22
CRBG,2022-12-06,21.16,21.43,20.51,20.66
CRBG,2022-12-07,20.51,20.87,20.05,20.1
CRBG,2022-12-08,20.28,20.52,19.83,20.01
CRBG,2022-12-09,19.92,20.37,19.78,19.84
CRBG,2022-12-12,19.95,20.46,19.59,20.38
CRBG,2022-12-13,20.78,20.95,20.23,20.41
CRBG,2022-12-14,20.32,20.85,20.06,20.34
CRBG,2022-12-15,19.78,20.1,19.66,19.68
CRBG,2022-12-16,19.64,20.05,18.81,18.87
CRBG,2022-12-19,18.94,19.53,18.94,19.41
CRBG,2022-12-20,19.43,20.03,19.43,19.7
CRBG,2022-12-21,19.86,20.64,19.78,20.54
CRBG,2022-12-22,20.32,20.47,19.67,20.09
CRBG,2022-12-23,20.14,20.36,19.82,20.27
CRBG,2022-12-27,20.37,20.48,19.89,19.96
CRBG,2022-12-28,19.89,20.0,19.72,19.83
CRBG,2022-12-29,19.86,20.27,19.86,20.21
CRBG,2022-12-30,20.09,20.2,19.85,20.06
CRBG,2023-01-03,20.07,20.2,19.87,20.14
CRBG,2023-01-04,20.22,20.77,20.15,20.68
CRBG,2023-01-05,20.72,20.72,19.88,19.97
CRBG,2023-01-06,20.2,20.2,19.84,20.09
CRBG,2023-01-09,20.23,20.76,20.15,20.44
CRBG,2023-01-10,20.49,20.67,20.28,20.35
CRBG,2023-01-11,20.32,20.96,20.25,20.89
CRBG,2023-01-12,20.95,21.25,20.72,21.1
CRBG,2023-01-13,20.61,21.15,20.49,20.89
CRBG,2023-01-17,20.78,21.33,20.66,21.24
CRBG,2023-01-18,21.25,21.29,20.35,20.35
CRBG,2023-01-19,20.12,20.53,19.96,20.22
CRBG,2023-01-20,20.24,20.84,20.23,20.74
CRBG,2023-01-23,20.81,21.23,20.58,21.19
CRBG,2023-01-24,21.03,21.51,20.92,21.4
CRBG,2023-01-25,21.23,21.64,21.18,21.5
CRBG,2023-01-26,21.69,21.79,21.48,21.74
CRBG,2023-01-27,21.76,21.86,21.52,21.58
CRBG,2023-01-30,21.43,21.83,21.39,21.39
CRBG,2023-01-31,21.32,21.81,21.14,21.76
CRBG,2023-02-01,21.51,22.0,21.22,21.6
CRBG,2023-02-02,21.62,21.83,21.15,21.49
CRBG,2023-02-03,21.35,21.67,21.25,21.32
CRBG,2023-02-06,21.21,21.71,21.1,21.7
CRBG,2023-02-07,21.64,22.05,21.54,22.0
CRBG,2023-02-08,21.93,22.11,21.72,21.85
CRBG,2023-02-09,21.98,22.09,21.24,21.41
CRBG,2023-02-10,21.24,21.5,21.16,21.36
CRBG,2023-02-13,21.36,21.65,21.18,21.65
CRBG,2023-02-14,21.46,21.88,21.41,21.59
CRBG,2023-02-15,21.37,21.59,21.22,21.56
CRBG,2023-02-16,21.32,21.72,20.54,20.7
CRBG,2023-02-17,20.52,21.01,19.89,20.82
CRBG,2023-02-21,20.2,20.58,19.86,20.3
CRBG,2023-02-22,20.23,20.48,20.1,20.24
CRBG,2023-02-23,20.39,20.61,20.18,20.32
CRBG,2023-02-24,20.2,20.4,19.96,20.33
CRBG,2023-02-27,20.5,20.67,20.07,20.13
CRBG,2023-02-28,20.18,20.44,20.0,20.22
CRBG,2023-03-01,20.49,20.63,20.26,20.47
CRBG,2023-03-02,20.3,20.57,20.3,20.5
CRBG,2023-03-03,20.45,20.78,20.41,20.73
