ticker,date,open,high,low,close
DMS,2018-04-16,9.55,9.55,9.55,9.55
DMS,2018-04-17,9.55,9.55,9.55,9.55
DMS,2018-04-18,9.55,9.55,9.55,9.55
DMS,2018-04-19,9.55,9.55,9.55,9.55
DMS,2018-04-20,9.6,9.65,9.6,9.65
DMS,2018-04-23,9.65,9.65,9.65,9.65
DMS,2018-04-24,9.65,9.65,9.65,9.65
DMS,2018-04-25,9.65,9.65,9.65,9.65
DMS,2018-04-26,9.65,9.69,9.6,9.6
DMS,2018-04-27,9.6,9.6,9.6,9.6
DMS,2018-04-30,9.6,9.6,9.6,9.6
DMS,2018-05-01,9.6,9.6,9.6,9.6
DMS,2018-05-02,9.6,9.6,9.6,9.6
DMS,2018-05-03,9.6,9.6,9.6,9.6
DMS,2018-05-04,9.6,9.6,9.6,9.6
DMS,2018-05-07,9.6,9.6,9.6,9.6
DMS,2018-05-08,9.6,9.6,9.6,9.6
DMS,2018-05-09,9.6,9.6,9.6,9.6
DMS,2018-05-10,9.61,9.61,9.61,9.61
DMS,2018-05-11,9.61,9.61,9.61,9.61
DMS,2018-05-14,9.61,9.61,9.61,9.61
DMS,2018-05-15,9.61,9.61,9.61,9.61
DMS,2018-05-16,9.61,9.61,9.61,9.61
DMS,2018-05-17,9.61,9.61,9.61,9.61
DMS,2018-05-18,9.61,9.61,9.61,9.61
DMS,2018-05-21,9.61,9.61,9.61,9.61
DMS,2018-05-22,9.61,9.61,9.61,9.61
DMS,2018-05-23,9.61,9.61,9.61,9.61
DMS,2018-05-24,9.64,9.64,9.615,9.615
DMS,2018-05-25,9.615,9.615,9.615,9.615
DMS,2018-05-29,9.68,9.7,9.66,9.7
DMS,2018-05-30,9.7,9.7,9.7,9.7
DMS,2018-05-31,9.7,9.7,9.7,9.7
DMS,2018-06-01,9.7,9.7,9.7,9.7
DMS,2018-06-04,9.7,9.7,9.7,9.7
DMS,2018-06-05,9.7,9.7,9.7,9.7
DMS,2018-06-06,9.7,9.7,9.7,9.7
DMS,2018-06-07,9.7,9.7,9.7,9.7
DMS,2018-06-08,9.7,9.7,9.7,9.7
DMS,2018-06-11,9.68,9.68,9.67,9.67
DMS,2018-06-12,9.68,9.68,9.68,9.68
DMS,2018-06-13,9.68,9.68,9.68,9.68
DMS,2018-06-14,9.8,9.8,9.67,9.67
DMS,2018-06-15,9.68,9.7,9.68,9.68
DMS,2018-06-18,9.69,9.69,9.68,9.68
DMS,2018-06-19,9.68,9.68,9.67,9.67
DMS,2018-06-20,9.67,9.67,9.67,9.67
DMS,2018-06-21,9.67,9.67,9.67,9.67
DMS,2018-06-22,9.68,9.68,9.68,9.68
DMS,2018-06-25,9.68,9.68,9.68,9.68
DMS,2018-06-26,9.68,9.68,9.68,9.68
DMS,2018-06-27,9.68,9.68,9.68,9.68
DMS,2018-06-28,9.68,9.68,9.68,9.68
DMS,2018-06-29,9.68,9.68,9.68,9.68
DMS,2018-07-02,9.68,9.68,9.68,9.68
DMS,2018-07-03,9.68,9.68,9.68,9.68
DMS,2018-07-05,9.68,9.68,9.68,9.68
DMS,2018-07-06,9.68,9.68,9.68,9.68
DMS,2018-07-09,9.68,9.68,9.68,9.68
DMS,2018-07-10,9.68,9.68,9.68,9.68
DMS,2018-07-11,9.68,9.68,9.68,9.68
DMS,2018-07-12,9.65,9.65,9.65,9.65
DMS,2018-07-13,9.65,9.65,9.65,9.65
DMS,2018-07-16,9.65,9.65,9.65,9.65
