ticker,date,open,high,low,close
DO,2022-03-30,12.0,12.04,6.69,7.5
DO,2022-03-31,7.5,7.85,7.13,7.13
DO,2022-04-01,7.47,7.47,6.83,6.89
DO,2022-04-04,7.09,7.16,6.86,7.0
DO,2022-04-05,7.18,7.19,6.71,6.78
DO,2022-04-06,6.75,6.84,6.65,6.75
DO,2022-04-07,6.95,6.95,6.7,6.76
DO,2022-04-08,6.92,6.94,6.58,6.64
DO,2022-04-11,6.65,6.97,6.6,6.97
DO,2022-04-12,7.11,7.25,6.74,7.0
DO,2022-04-13,7.0,7.64,6.88,7.62
DO,2022-04-14,7.5,7.53,7.26,7.48
DO,2022-04-18,7.6,7.7,7.4,7.43
DO,2022-04-19,7.5,7.99,7.43,7.93
DO,2022-04-20,7.95,7.99,7.68,7.79
DO,2022-04-21,7.9,7.93,7.34,7.45
DO,2022-04-22,7.45,7.56,7.06,7.33
DO,2022-04-25,7.01,7.29,6.84,7.26
DO,2022-04-26,7.3,7.49,7.19,7.21
DO,2022-04-27,7.24,7.44,7.22,7.38
DO,2022-04-28,7.4,7.95,7.34,7.95
DO,2022-04-29,7.94,8.02,7.69,7.85
DO,2022-05-02,7.78,7.82,7.34,7.41
DO,2022-05-03,7.36,7.88,7.33,7.85
DO,2022-05-04,8.05,8.26,7.78,7.99
DO,2022-05-05,8.11,8.16,7.65,7.89
DO,2022-05-06,7.92,7.99,7.76,7.79
DO,2022-05-09,7.7,7.78,6.92,7.05
DO,2022-05-10,7.15,7.3,6.65,6.69
DO,2022-05-11,6.69,7.11,6.69,6.75
DO,2022-05-12,6.72,6.79,6.37,6.64
DO,2022-05-13,6.64,7.19,6.64,7.06
DO,2022-05-16,7.06,7.5,6.93,7.25
DO,2022-05-17,7.3,7.72,7.25,7.68
DO,2022-05-18,7.61,7.67,7.17,7.4
DO,2022-05-19,7.28,7.51,7.2,7.32
DO,2022-05-20,7.35,7.46,7.0,7.19
DO,2022-05-23,7.42,7.48,7.25,7.4
DO,2022-05-24,7.34,7.39,7.05,7.28
DO,2022-05-25,7.34,7.64,7.22,7.56
DO,2022-05-26,7.64,8.05,7.41,7.97
DO,2022-05-27,7.84,8.16,7.75,8.1
DO,2022-05-31,8.23,8.45,7.91,7.96
DO,2022-06-01,8.12,8.2,7.84,8.07
DO,2022-06-02,8.08,8.08,7.8,7.9
DO,2022-06-03,7.82,8.19,7.63,8.16
DO,2022-06-06,8.45,8.92,8.24,8.71
DO,2022-06-07,8.73,9.07,8.6,8.81
DO,2022-06-08,8.88,9.98,8.86,9.83
DO,2022-06-09,9.73,9.73,9.26,9.27
DO,2022-06-10,9.12,9.24,8.36,8.63
DO,2022-06-13,8.28,8.41,7.92,7.98
DO,2022-06-14,8.15,8.24,7.56,7.68
DO,2022-06-15,7.65,8.07,7.65,7.85
DO,2022-06-16,7.7,7.92,7.38,7.75
DO,2022-06-17,7.65,7.96,7.41,7.55
DO,2022-06-21,7.75,8.01,7.43,7.47
DO,2022-06-22,7.12,7.25,6.82,7.1
DO,2022-06-23,7.02,7.24,6.57,6.74
DO,2022-06-24,6.77,7.12,6.52,6.54
DO,2022-06-27,6.65,6.84,6.53,6.81
DO,2022-06-28,7.0,7.18,6.69,6.71
DO,2022-06-29,6.73,6.73,6.24,6.31
DO,2022-06-30,6.14,6.24,5.86,5.89
