ticker,date,open,high,low,close
EE,2022-04-13,28.2,28.5,26.55,26.85
EE,2022-04-14,27.38,28.5,26.89,28.0
EE,2022-04-18,28.65,29.1,27.35,27.39
EE,2022-04-19,27.06,27.71,25.89,26.26
EE,2022-04-20,26.25,26.97,24.68,25.68
EE,2022-04-21,26.23,26.52,22.86,23.72
EE,2022-04-22,23.43,24.85,22.65,24.2
EE,2022-04-25,25.27,26.46,24.55,25.0
EE,2022-04-26,25.4,26.57,25.02,25.65
EE,2022-04-27,26.2,27.81,25.85,27.17
EE,2022-04-28,27.85,27.97,25.52,27.25
EE,2022-04-29,27.0,27.38,26.5,27.01
EE,2022-05-02,26.69,26.82,24.03,25.15
EE,2022-05-03,24.77,26.16,24.77,25.6
EE,2022-05-04,25.95,26.7,25.43,26.12
EE,2022-05-05,26.22,26.62,25.02,26.17
EE,2022-05-06,26.16,27.38,25.8,26.9
EE,2022-05-09,26.54,26.78,23.43,23.8
EE,2022-05-10,24.62,25.59,23.97,24.63
EE,2022-05-11,25.12,25.8,23.82,24.06
EE,2022-05-12,23.54,24.58,23.02,23.91
EE,2022-05-13,24.06,24.86,23.82,23.99
EE,2022-05-16,24.48,25.5,24.48,24.72
EE,2022-05-17,24.91,25.73,24.42,25.34
EE,2022-05-18,25.45,25.75,23.26,24.58
EE,2022-05-19,24.27,24.62,23.92,24.17
EE,2022-05-20,25.2,25.59,23.42,23.8
EE,2022-05-23,23.93,24.2,23.38,24.12
EE,2022-05-24,24.0,24.71,23.89,24.2
EE,2022-05-25,24.55,26.98,24.55,26.79
EE,2022-05-26,27.04,27.83,26.81,26.98
EE,2022-05-27,26.98,28.23,25.75,26.44
EE,2022-05-31,26.35,27.39,25.26,26.65
EE,2022-06-01,26.87,29.23,26.85,28.8
EE,2022-06-02,28.75,29.37,27.66,29.37
EE,2022-06-03,29.35,30.74,28.37,29.88
EE,2022-06-06,30.47,30.82,27.53,28.12
EE,2022-06-07,27.86,29.58,27.75,29.58
EE,2022-06-08,29.31,29.75,27.75,28.18
EE,2022-06-09,27.83,28.17,26.39,26.76
EE,2022-06-10,26.35,27.79,26.15,27.23
EE,2022-06-13,26.29,26.42,25.08,25.23
EE,2022-06-14,25.23,27.39,25.22,27.01
EE,2022-06-15,27.0,27.35,24.27,25.17
EE,2022-06-16,24.56,24.92,23.06,23.48
EE,2022-06-17,23.67,24.77,23.26,24.49
EE,2022-06-21,24.77,25.85,24.51,24.64
EE,2022-06-22,23.91,24.1,22.67,22.7
EE,2022-06-23,22.87,23.1,20.64,21.06
EE,2022-06-24,21.0,21.84,20.76,20.83
EE,2022-06-27,21.11,23.36,21.01,23.22
EE,2022-06-28,23.49,23.74,21.87,22.18
EE,2022-06-29,22.26,22.4,19.75,20.36
EE,2022-06-30,19.86,20.21,19.01,19.92
EE,2022-07-01,19.99,19.99,18.4,19.16
EE,2022-07-05,19.5,20.8,18.64,20.52
EE,2022-07-06,21.15,21.73,18.81,19.62
EE,2022-07-07,20.0,21.74,20.0,21.07
EE,2022-07-08,21.08,21.51,20.25,21.16
EE,2022-07-11,21.09,21.09,20.16,20.4
EE,2022-07-12,20.1,20.53,19.61,20.1
EE,2022-07-13,19.76,20.49,19.75,19.86
EE,2022-07-14,19.07,19.51,18.31,19.21
EE,2022-07-15,19.54,20.34,19.47,20.3
EE,2022-07-18,20.57,21.29,20.52,20.64
EE,2022-07-19,20.88,21.75,20.61,21.19
EE,2022-07-20,21.08,21.78,20.77,21.65
EE,2022-07-21,20.96,21.18,20.05,21.05
EE,2022-07-22,21.0,21.29,20.4,20.53
EE,2022-07-25,20.69,21.64,20.3,21.49
EE,2022-07-26,21.84,22.48,21.6,21.82
EE,2022-07-27,21.88,22.47,21.26,22.39
EE,2022-07-28,22.57,22.8,21.87,22.09
EE,2022-07-29,22.39,22.62,21.79,22.14
EE,2022-08-01,21.87,22.39,21.3,22.17
EE,2022-08-02,22.31,23.71,22.08,23.63
EE,2022-08-03,23.72,24.11,23.33,23.61
EE,2022-08-04,23.49,23.49,22.53,22.61
EE,2022-08-05,22.4,22.87,21.88,22.31
EE,2022-08-08,22.5,22.8,22.14,22.25
EE,2022-08-09,22.5,23.28,22.44,23.26
EE,2022-08-10,23.49,23.5,22.72,22.95
EE,2022-08-11,23.87,24.97,23.41,24.01
EE,2022-08-12,24.18,25.52,23.48,25.24
EE,2022-08-15,24.73,25.42,24.25,25.32
EE,2022-08-16,25.32,26.12,25.08,25.65
EE,2022-08-17,25.64,25.76,24.91,25.3
EE,2022-08-18,25.53,26.25,25.5,25.93
EE,2022-08-19,25.84,25.9,25.02,25.42
EE,2022-08-22,25.29,26.98,24.95,25.79
EE,2022-08-23,26.0,26.66,25.51,26.03
EE,2022-08-24,26.14,27.16,26.05,27.02
EE,2022-08-25,27.4,27.5,26.61,27.02
EE,2022-08-26,27.24,27.35,26.57,26.61
EE,2022-08-29,26.38,28.45,26.02,27.7
EE,2022-08-30,27.49,27.58,25.26,25.49
EE,2022-08-31,25.24,25.84,24.52,25.68
EE,2022-09-01,26.0,26.22,24.33,25.28
EE,2022-09-02,25.88,27.49,25.41,27.3
EE,2022-09-06,28.16,28.18,26.52,26.88
EE,2022-09-07,26.56,26.65,25.54,26.46
EE,2022-09-08,26.37,27.31,26.33,27.22
EE,2022-09-09,27.7,27.99,26.58,26.74
EE,2022-09-12,27.08,27.37,26.61,27.05
EE,2022-09-13,26.48,27.05,26.03,26.23
EE,2022-09-14,26.25,28.78,26.25,28.23
EE,2022-09-15,28.2,28.23,25.81,26.25
EE,2022-09-16,25.81,25.81,24.33,24.49
EE,2022-09-19,23.85,25.23,23.61,25.02
EE,2022-09-20,24.99,25.13,24.02,24.7
EE,2022-09-21,25.12,26.77,25.12,25.5
EE,2022-09-22,25.7,25.98,24.09,24.25
EE,2022-09-23,23.31,23.51,21.69,22.52
EE,2022-09-26,22.25,22.78,21.38,21.7
EE,2022-09-27,22.29,23.03,21.88,22.51
EE,2022-09-28,22.96,24.94,22.84,24.68
EE,2022-09-29,24.28,24.39,23.24,23.51
EE,2022-09-30,23.43,23.82,22.88,23.4
EE,2022-10-03,24.31,24.95,24.17,24.68
EE,2022-10-04,25.2,25.75,24.73,25.43
EE,2022-10-05,25.38,25.45,24.18,24.54
EE,2022-10-06,24.3,25.32,24.15,24.26
EE,2022-10-07,23.93,24.93,23.58,24.19
EE,2022-10-10,24.31,25.31,23.02,23.22
EE,2022-10-11,22.88,23.45,21.87,23.43
EE,2022-10-12,23.45,23.63,22.69,23.0
EE,2022-10-13,22.69,24.01,22.28,23.6
EE,2022-10-14,23.67,23.82,22.51,22.85
EE,2022-10-17,23.24,24.38,23.24,23.72
EE,2022-10-18,24.2,24.52,23.73,23.95
EE,2022-10-19,23.95,24.7,23.73,24.68
EE,2022-10-20,24.85,25.41,24.46,24.75
EE,2022-10-21,24.64,25.57,24.4,25.53
EE,2022-10-24,25.75,26.42,25.34,25.5
EE,2022-10-25,25.4,26.74,25.4,26.11
EE,2022-10-26,26.41,27.48,26.18,26.51
EE,2022-10-27,26.82,27.16,26.36,26.46
EE,2022-10-28,27.3,27.65,26.42,26.7
EE,2022-10-31,26.7,28.0,26.7,27.62
EE,2022-11-01,28.28,28.39,26.8,26.82
EE,2022-11-02,26.51,27.09,25.82,25.88
EE,2022-11-03,25.64,26.48,25.62,25.86
EE,2022-11-04,26.24,27.36,25.93,26.62
EE,2022-11-07,26.88,27.4,26.63,27.04
EE,2022-11-08,27.16,27.17,26.28,26.38
EE,2022-11-09,25.78,26.03,24.67,25.15
EE,2022-11-10,26.5,27.19,25.52,26.69
EE,2022-11-11,26.99,26.99,25.87,26.1
EE,2022-11-14,26.01,26.45,25.09,25.96
EE,2022-11-15,26.05,26.62,25.53,26.37
EE,2022-11-16,26.17,27.02,25.8,26.86
EE,2022-11-17,26.55,27.05,25.85,26.45
EE,2022-11-18,26.51,27.72,25.92,27.17
EE,2022-11-21,27.24,27.69,26.2,27.37
EE,2022-11-22,27.91,30.11,27.71,30.0
EE,2022-11-23,30.11,31.13,29.11,29.14
EE,2022-11-25,29.15,30.06,29.11,29.74
EE,2022-11-28,28.85,29.54,27.97,28.33
EE,2022-11-29,28.34,29.01,28.34,28.82
EE,2022-11-30,29.23,29.52,27.91,28.36
EE,2022-12-01,28.32,29.08,28.04,28.6
EE,2022-12-02,28.2,30.0,28.2,29.65
EE,2022-12-05,30.1,30.48,27.18,27.76
EE,2022-12-06,27.55,27.76,26.41,27.12
EE,2022-12-07,26.98,27.53,26.84,27.34
EE,2022-12-08,27.78,28.04,27.24,27.58
EE,2022-12-09,27.52,27.99,26.97,27.05
EE,2022-12-12,27.24,27.54,26.94,27.31
EE,2022-12-13,27.86,28.46,27.57,27.98
EE,2022-12-14,27.77,28.3,26.33,26.86
EE,2022-12-15,25.95,26.88,25.66,26.58
EE,2022-12-16,26.0,26.16,25.28,25.77
EE,2022-12-19,25.95,25.95,25.01,25.18
EE,2022-12-20,25.04,25.65,25.04,25.33
EE,2022-12-21,25.81,26.7,25.63,26.38
EE,2022-12-22,26.46,26.47,25.04,25.75
EE,2022-12-23,25.78,26.46,25.58,26.46
EE,2022-12-27,26.52,26.94,26.3,26.36
EE,2022-12-28,26.35,26.35,25.38,25.8
EE,2022-12-29,25.78,26.42,25.77,25.84
EE,2022-12-30,25.69,25.78,24.72,25.05
EE,2023-01-03,25.09,25.45,24.22,24.67
EE,2023-01-04,24.15,24.8,23.92,24.2
EE,2023-01-05,24.19,24.23,23.06,23.4
