ticker,date,open,high,low,close
ESAB,2022-03-29,50.0,50.0,50.0,50.0
ESAB,2022-03-30,50.0,50.0,50.0,50.0
ESAB,2022-03-31,50.0,50.0,50.0,50.0
ESAB,2022-04-01,50.0,50.0,50.0,50.0
ESAB,2022-04-04,50.0,50.0,50.0,50.0
ESAB,2022-04-05,50.0,54.0,44.88,44.88
ESAB,2022-04-06,44.73,46.92,42.96,45.05
ESAB,2022-04-07,44.2,48.4,44.2,45.76
ESAB,2022-04-08,46.0,48.11,45.5,46.91
ESAB,2022-04-11,47.04,49.38,46.07,48.73
ESAB,2022-04-12,49.5,54.63,49.24,52.41
ESAB,2022-04-13,52.75,58.08,51.44,55.46
ESAB,2022-04-14,55.73,56.07,51.45,54.9
ESAB,2022-04-18,54.64,55.14,52.76,54.15
ESAB,2022-04-19,54.01,55.08,52.5,53.52
ESAB,2022-04-20,55.07,55.07,52.71,53.72
ESAB,2022-04-21,53.83,54.32,50.59,51.68
ESAB,2022-04-22,51.32,53.1,50.73,51.5
ESAB,2022-04-25,51.05,51.25,48.54,50.14
ESAB,2022-04-26,49.09,50.45,48.59,48.77
ESAB,2022-04-27,48.64,49.64,45.94,47.04
ESAB,2022-04-28,48.07,49.21,47.36,48.97
ESAB,2022-04-29,47.68,50.71,46.85,47.0
ESAB,2022-05-02,48.11,49.39,46.02,48.21
ESAB,2022-05-03,48.66,50.74,48.6,50.12
ESAB,2022-05-04,50.26,51.68,48.19,50.95
ESAB,2022-05-05,50.93,51.0,48.69,48.87
ESAB,2022-05-06,49.1,50.28,47.9,48.25
ESAB,2022-05-09,47.28,47.85,45.58,46.13
ESAB,2022-05-10,48.57,49.71,43.56,48.0
ESAB,2022-05-11,47.93,48.06,44.59,45.46
ESAB,2022-05-12,45.48,47.66,44.67,47.34
ESAB,2022-05-13,47.3,50.66,46.03,50.25
ESAB,2022-05-16,50.21,51.6,49.16,49.87
ESAB,2022-05-17,50.68,51.44,50.29,50.93
ESAB,2022-05-18,50.3,50.3,48.07,48.13
ESAB,2022-05-19,47.79,48.57,46.27,46.79
ESAB,2022-05-20,47.73,48.38,45.87,47.5
ESAB,2022-05-23,48.12,50.21,47.85,49.34
ESAB,2022-05-24,49.25,49.6,47.82,48.92
ESAB,2022-05-25,48.99,49.54,48.71,48.85
ESAB,2022-05-26,49.11,49.61,48.78,49.45
ESAB,2022-05-27,49.86,50.76,49.35,50.07
ESAB,2022-05-31,50.39,50.39,48.51,50.0
ESAB,2022-06-01,50.46,50.58,48.78,49.84
ESAB,2022-06-02,49.88,52.48,49.6,51.42
ESAB,2022-06-03,51.45,51.45,47.76,49.18
ESAB,2022-06-06,50.42,51.74,49.81,51.24
ESAB,2022-06-07,49.36,51.02,48.32,50.21
ESAB,2022-06-08,48.7,50.69,48.7,49.4
ESAB,2022-06-09,49.5,50.65,48.01,48.43
ESAB,2022-06-10,47.88,47.95,45.6,45.64
ESAB,2022-06-13,44.68,45.51,44.06,44.47
ESAB,2022-06-14,44.41,45.54,44.41,45.01
