ticker,date,open,high,low,close
FG,2022-11-22,10.0,18.0,9.03,16.75
FG,2022-11-23,18.0,35.0,18.0,25.67
FG,2022-11-25,25.5,31.0,25.0,25.0
FG,2022-11-28,23.5,23.5,23.5,23.5
FG,2022-11-29,23.0,23.0,22.0,22.0
FG,2022-11-30,22.0,22.99,22.0,22.99
FG,2022-12-01,22.0,22.0,17.34,19.13
FG,2022-12-02,19.0,19.81,18.5,19.25
FG,2022-12-05,18.81,19.7,18.72,19.31
FG,2022-12-06,19.0,19.81,18.8,19.5
FG,2022-12-07,18.97,19.42,18.83,19.05
FG,2022-12-08,18.55,19.23,18.0,18.24
FG,2022-12-09,17.75,19.2,17.55,19.02
FG,2022-12-12,18.7,19.97,18.03,19.82
FG,2022-12-13,19.5,20.0,19.28,19.7
FG,2022-12-14,19.6,20.65,19.47,20.31
FG,2022-12-15,20.15,20.71,19.13,19.75
FG,2022-12-16,19.45,19.75,19.2,19.56
FG,2022-12-19,19.13,20.12,19.0,19.67
FG,2022-12-20,19.59,20.02,19.26,19.97
FG,2022-12-21,20.07,21.17,20.07,20.24
FG,2022-12-22,20.05,20.41,19.32,19.92
FG,2022-12-23,20.0,20.45,19.96,20.23
FG,2022-12-27,20.12,21.76,20.12,21.62
FG,2022-12-28,21.59,22.11,19.5,19.92
FG,2022-12-29,19.83,20.84,19.5,20.13
FG,2022-12-30,19.97,20.4,19.95,20.01
FG,2023-01-03,20.03,20.32,19.82,20.07
FG,2023-01-04,19.95,20.46,19.4,19.95
FG,2023-01-05,19.83,20.12,19.76,19.95
FG,2023-01-06,20.0,20.42,19.78,20.0
FG,2023-01-09,20.1,20.32,19.88,20.15
FG,2023-01-10,19.51,20.79,18.33,20.05
FG,2023-01-11,19.98,20.34,19.49,20.25
FG,2023-01-12,20.22,20.62,19.77,19.93
FG,2023-01-13,19.56,20.88,19.56,20.77
FG,2023-01-17,20.77,21.78,20.62,21.09
FG,2023-01-18,21.09,21.64,20.67,20.68
FG,2023-01-19,20.46,21.0,20.38,20.71
FG,2023-01-20,20.68,21.58,20.53,20.97
FG,2023-01-23,20.95,21.19,20.43,21.0
FG,2023-01-24,20.97,21.55,20.5,21.21
FG,2023-01-25,21.06,21.4,20.88,21.34
FG,2023-01-26,21.37,21.62,21.16,21.48
FG,2023-01-27,21.39,21.64,21.17,21.19
FG,2023-01-30,21.11,21.39,20.93,21.03
FG,2023-01-31,21.02,21.57,20.95,21.46
FG,2023-02-01,21.42,21.78,21.11,21.57
FG,2023-02-02,21.83,22.22,21.69,21.95
FG,2023-02-03,21.79,22.18,21.61,21.75
FG,2023-02-06,21.6,21.78,21.55,21.65
FG,2023-02-07,21.5,21.89,21.31,21.5
FG,2023-02-08,21.39,21.87,21.39,21.63
FG,2023-02-09,21.71,22.26,21.63,21.87
FG,2023-02-10,21.85,24.41,21.83,23.82
FG,2023-02-13,23.82,24.1,23.16,23.34
FG,2023-02-14,23.31,23.63,22.85,22.99
FG,2023-02-15,22.83,23.22,22.82,23.12
FG,2023-02-16,23.0,23.0,21.65,21.73
FG,2023-02-17,21.57,21.97,21.09,21.69
FG,2023-02-21,21.58,21.8,20.07,20.31
FG,2023-02-22,20.25,20.69,19.89,20.67
FG,2023-02-23,20.85,22.0,20.63,21.16
FG,2023-02-24,21.05,21.35,20.58,21.03
FG,2023-02-27,21.0,21.38,20.6,20.73
FG,2023-02-28,20.78,20.94,20.35,20.37
FG,2023-03-01,20.37,21.06,20.25,20.39
FG,2023-03-02,20.25,20.64,20.14,20.54
FG,2023-03-03,20.53,20.68,20.27,20.44
FG,2023-03-06,20.4,20.46,19.47,19.52
FG,2023-03-07,19.45,19.66,19.02,19.48
FG,2023-03-08,19.54,19.75,19.38,19.71
FG,2023-03-09,19.62,19.67,19.02,19.06
FG,2023-03-10,19.0,19.0,17.41,17.75
FG,2023-03-13,17.0,18.37,17.0,18.05
FG,2023-03-14,18.5,18.59,17.79,18.16
FG,2023-03-15,17.75,17.78,17.2,17.23
FG,2023-03-16,17.03,17.22,15.56,16.73
FG,2023-03-17,16.53,16.58,15.62,15.66
FG,2023-03-20,15.83,16.73,15.79,15.81
FG,2023-03-21,16.1,16.96,16.1,16.67
FG,2023-03-22,17.05,17.35,16.36,16.39
FG,2023-03-23,16.43,16.98,16.11,16.8
FG,2023-03-24,16.68,17.5,16.48,17.44
FG,2023-03-27,18.0,18.73,17.5,18.38
FG,2023-03-28,18.28,18.36,17.29,17.51
FG,2023-03-29,17.7,18.18,17.52,17.72
FG,2023-03-30,18.09,18.68,17.78,17.94
FG,2023-03-31,18.02,18.2,17.76,18.12
FG,2023-04-03,18.11,18.25,17.55,17.84
FG,2023-04-04,17.73,17.96,17.37,17.65
FG,2023-04-05,17.66,17.98,17.45,17.67
FG,2023-04-06,17.67,17.79,17.35,17.59
FG,2023-04-10,17.6,17.97,17.59,17.68
FG,2023-04-11,17.71,18.46,17.51,18.34
FG,2023-04-12,18.38,18.46,18.09,18.39
FG,2023-04-13,18.37,18.52,18.25,18.39
FG,2023-04-14,18.64,18.6425,18.21,18.38
FG,2023-04-17,18.34,18.77,18.15,18.69
FG,2023-04-18,18.67,18.68,18.23,18.61
FG,2023-04-19,18.5,18.82,18.405,18.81
