ticker,date,open,high,low,close
FORG,2021-09-16,35.0,37.74,33.16,36.5
FORG,2021-09-17,38.35,47.15,38.35,47.15
FORG,2021-09-20,44.0,45.64,41.05,42.85
FORG,2021-09-21,43.53,46.75,43.48,44.2
FORG,2021-09-22,44.4,46.3,42.17,45.49
FORG,2021-09-23,46.07,48.88,44.9,46.09
FORG,2021-09-24,45.11,46.45,43.47,46.37
FORG,2021-09-27,46.37,47.0,40.5,41.0
FORG,2021-09-28,40.36,40.72,37.07,37.82
FORG,2021-09-29,37.99,38.94,34.9,36.0
FORG,2021-09-30,36.54,39.77,36.5,38.93
FORG,2021-10-01,37.82,38.19,34.47,36.02
FORG,2021-10-04,36.11,36.45,31.01,33.54
FORG,2021-10-05,34.21,34.87,31.11,31.11
FORG,2021-10-06,30.61,31.46,30.25,30.84
FORG,2021-10-07,31.29,34.29,31.0,33.8
FORG,2021-10-08,33.78,34.32,32.6,33.06
FORG,2021-10-11,33.0,35.0,31.0,31.06
FORG,2021-10-12,30.81,32.72,30.62,32.13
FORG,2021-10-13,32.56,32.9,31.7,32.42
FORG,2021-10-14,33.47,34.15,32.6,33.83
FORG,2021-10-15,33.82,34.8,33.48,33.82
FORG,2021-10-18,33.77,34.36,31.01,31.42
FORG,2021-10-19,32.01,34.13,31.87,33.99
FORG,2021-10-20,34.0,34.25,32.58,33.0
FORG,2021-10-21,32.26,33.92,32.26,33.88
FORG,2021-10-22,34.99,36.0,31.91,32.1
FORG,2021-10-25,32.44,32.73,29.41,30.14
FORG,2021-10-26,29.77,30.0,28.25,29.37
FORG,2021-10-27,29.21,29.33,27.1,27.46
FORG,2021-10-28,27.46,30.52,27.25,30.34
FORG,2021-10-29,29.78,30.25,28.66,29.52
FORG,2021-11-01,29.37,30.18,28.85,29.5
FORG,2021-11-02,29.11,29.88,29.11,29.31
FORG,2021-11-03,29.26,30.14,29.0,29.92
FORG,2021-11-04,29.77,30.92,29.51,30.66
FORG,2021-11-05,30.87,31.25,27.89,28.19
FORG,2021-11-08,28.17,31.83,28.08,31.08
FORG,2021-11-09,31.41,33.23,30.75,33.17
FORG,2021-11-10,28.86,34.12,28.28,33.99
FORG,2021-11-11,30.78,32.95,28.7,32.54
FORG,2021-11-12,32.19,32.86,28.86,31.28
FORG,2021-11-15,31.29,31.7,27.75,28.01
FORG,2021-11-16,28.5,28.99,27.51,28.12
FORG,2021-11-17,28.01,32.33,28.01,31.47
FORG,2021-11-18,31.09,31.4,28.25,29.2
FORG,2021-11-19,28.98,29.75,27.3,27.49
FORG,2021-11-22,27.09,27.6,25.35,25.79
FORG,2021-11-23,25.78,27.1,23.6,24.78
FORG,2021-11-24,24.24,30.5,24.24,29.14
FORG,2021-11-26,27.88,28.5,26.7,27.49
FORG,2021-11-29,27.5,29.44,26.58,28.3
FORG,2021-11-30,27.92,29.38,26.29,26.79
FORG,2021-12-01,27.32,27.69,23.81,23.83
FORG,2021-12-02,23.8,25.52,23.49,25.13
FORG,2021-12-03,24.5,25.93,24.0,25.65
FORG,2021-12-06,25.65,25.75,24.3,24.96
FORG,2021-12-07,25.79,26.28,25.61,25.93
FORG,2021-12-08,25.86,26.95,25.2,26.74
FORG,2021-12-09,26.36,27.78,24.75,25.11
FORG,2021-12-10,25.32,26.29,24.65,25.83
FORG,2021-12-13,25.64,26.99,24.53,25.38
FORG,2021-12-14,24.64,26.0,23.83,24.76
FORG,2021-12-15,24.97,25.82,21.89,23.53
FORG,2021-12-16,23.53,24.6,21.02,21.46
FORG,2021-12-17,21.18,25.61,20.55,25.28
FORG,2021-12-20,24.12,24.55,21.01,21.71
FORG,2021-12-21,22.33,23.47,21.55,22.58
FORG,2021-12-22,22.54,26.0,21.97,25.75
FORG,2021-12-23,25.89,27.11,25.13,27.06
FORG,2021-12-27,27.05,28.0,26.65,27.96
FORG,2021-12-28,28.08,28.16,27.67,28.06
FORG,2021-12-29,27.69,27.9,26.51,27.24
FORG,2021-12-30,26.96,27.64,26.36,27.09
FORG,2021-12-31,27.0,28.33,26.51,26.69
FORG,2022-01-03,26.5,27.61,24.45,24.92
FORG,2022-01-04,24.63,24.9,21.56,22.84
FORG,2022-01-05,22.31,22.8,19.92,20.79
FORG,2022-01-06,20.71,21.97,19.28,19.59
FORG,2022-01-07,19.59,20.45,19.24,19.29
FORG,2022-01-10,19.16,19.16,17.63,19.0
FORG,2022-01-11,19.08,19.27,18.53,18.96
FORG,2022-01-12,19.34,19.45,17.8,17.84
FORG,2022-01-13,18.06,18.09,16.8,17.17
FORG,2022-01-14,16.99,17.4,15.87,16.25
FORG,2022-01-18,15.83,16.51,15.09,15.14
FORG,2022-01-19,15.25,15.41,14.28,14.75
FORG,2022-01-20,15.04,15.78,14.82,15.45
FORG,2022-01-21,15.48,15.67,14.84,15.01
FORG,2022-01-24,14.5,15.3,13.26,15.14
FORG,2022-01-25,14.9,15.44,14.34,15.0
FORG,2022-01-26,15.52,16.13,14.31,14.46
FORG,2022-01-27,14.76,14.76,13.55,13.93
FORG,2022-01-28,13.99,14.38,12.82,13.63
FORG,2022-01-31,13.73,14.91,13.7,14.24
FORG,2022-02-01,14.34,16.19,14.33,15.56
FORG,2022-02-02,15.51,15.86,14.94,14.99
FORG,2022-02-03,14.41,14.91,13.74,14.04
FORG,2022-02-04,13.89,14.81,13.76,14.41
FORG,2022-02-07,14.41,15.48,14.37,14.91
FORG,2022-02-08,14.67,15.73,14.67,15.48
FORG,2022-02-09,15.6,16.6,15.48,16.22
FORG,2022-02-10,15.65,16.44,15.11,15.47
FORG,2022-02-11,15.16,15.8,14.24,14.4
FORG,2022-02-14,14.52,14.52,13.75,14.34
FORG,2022-02-15,14.72,15.01,14.18,14.89
FORG,2022-02-16,14.84,15.47,14.56,15.22
FORG,2022-02-17,15.06,15.16,14.37,14.84
FORG,2022-02-18,14.73,14.85,13.1,13.25
FORG,2022-02-22,13.05,13.47,12.7,13.12
FORG,2022-02-23,13.02,13.29,12.05,12.34
FORG,2022-02-24,12.13,13.87,11.94,13.4
FORG,2022-02-25,13.48,14.24,12.87,13.9
FORG,2022-02-28,13.89,15.11,13.25,14.81
FORG,2022-03-01,15.22,17.69,15.0,16.62
FORG,2022-03-02,15.07,16.29,14.25,16.01
FORG,2022-03-03,16.08,16.62,15.09,16.01
FORG,2022-03-04,15.9,17.36,15.46,16.98
FORG,2022-03-07,16.49,17.46,16.22,16.78
FORG,2022-03-08,16.54,19.76,16.35,17.7
FORG,2022-03-09,17.68,18.34,17.05,18.03
FORG,2022-03-10,17.37,17.99,16.96,17.02
FORG,2022-03-11,17.05,17.64,16.09,16.19
FORG,2022-03-14,15.97,16.22,15.29,16.0
FORG,2022-03-15,15.79,16.79,15.22,16.35
FORG,2022-03-16,16.49,18.67,16.22,17.99
FORG,2022-03-17,18.08,20.18,18.0,19.1
FORG,2022-03-18,19.1,19.55,17.36,18.28
FORG,2022-03-21,18.49,20.04,18.01,19.7
FORG,2022-03-22,19.62,21.0,19.62,20.34
FORG,2022-03-23,20.19,21.23,19.99,20.94
FORG,2022-03-24,21.06,21.22,20.08,20.75
FORG,2022-03-25,20.71,21.3,20.14,21.2
FORG,2022-03-28,21.02,21.74,19.65,20.57
FORG,2022-03-29,20.61,21.75,20.42,21.43
FORG,2022-03-30,21.45,22.45,21.01,21.98
FORG,2022-03-31,21.74,22.76,21.43,21.92
FORG,2022-04-01,22.05,22.5,21.0,21.19
FORG,2022-04-04,21.4,22.98,21.39,22.52
FORG,2022-04-05,22.07,22.07,20.68,21.43
FORG,2022-04-06,21.28,21.48,20.19,20.56
FORG,2022-04-07,20.61,21.36,20.16,20.6
FORG,2022-04-08,20.37,20.99,19.7,20.31
FORG,2022-04-11,20.13,22.49,20.13,21.99
FORG,2022-04-12,22.23,22.95,21.3,21.82
FORG,2022-04-13,21.81,23.31,21.18,22.7
FORG,2022-04-14,22.71,22.93,21.93,22.27
FORG,2022-04-18,22.02,22.02,21.18,21.3
FORG,2022-04-19,21.32,23.0,21.02,22.83
FORG,2022-04-20,23.05,23.05,21.65,21.82
FORG,2022-04-21,22.06,22.06,20.21,20.35
FORG,2022-04-22,20.23,20.82,19.75,19.96
FORG,2022-04-25,19.84,22.06,19.84,21.56
FORG,2022-04-26,21.41,21.61,20.63,21.27
FORG,2022-04-27,21.27,22.14,20.34,20.54
FORG,2022-04-28,20.88,22.12,20.34,22.01
FORG,2022-04-29,21.76,22.35,20.33,20.43
FORG,2022-05-02,20.39,21.97,19.97,21.17
FORG,2022-05-03,20.86,21.42,19.55,19.87
FORG,2022-05-04,19.99,20.85,18.41,20.84
FORG,2022-05-05,20.55,20.59,19.08,19.2
FORG,2022-05-06,19.09,19.09,17.04,17.86
FORG,2022-05-09,17.37,17.69,15.49,15.79
FORG,2022-05-10,16.21,16.92,14.99,16.12
