ticker,date,open,high,low,close
GETR,2021-04-26,9.71,9.71,9.71,9.71
GETR,2021-04-27,9.71,9.71,9.71,9.71
GETR,2021-04-28,10.0,10.01,10.0,10.01
GETR,2021-04-29,10.71,10.71,9.9,10.01
GETR,2021-04-30,9.92,9.92,9.92,9.92
GETR,2021-05-03,9.92,9.92,9.92,9.92
GETR,2021-05-04,9.75,9.75,9.7,9.7
GETR,2021-05-05,9.75,9.75,9.75,9.75
GETR,2021-05-06,9.75,9.85,9.75,9.85
GETR,2021-05-07,9.86,9.9,9.75,9.78
GETR,2021-05-10,10.0,10.0,9.83,9.83
GETR,2021-05-11,9.83,9.83,9.83,9.83
GETR,2021-05-12,9.83,9.83,9.83,9.83
GETR,2021-05-13,9.83,9.83,9.83,9.83
GETR,2021-05-14,9.75,9.75,9.75,9.75
GETR,2021-05-17,9.73,9.73,9.72,9.73
GETR,2021-05-18,9.72,9.72,9.72,9.72
GETR,2021-05-19,9.72,9.85,9.72,9.85
GETR,2021-05-20,9.76,9.76,9.76,9.76
GETR,2021-05-21,9.76,9.76,9.74,9.74
GETR,2021-05-24,9.74,9.74,9.74,9.74
GETR,2021-05-25,9.73,9.74,9.72,9.74
GETR,2021-05-26,9.935,10.0,9.83,9.86
GETR,2021-05-27,9.86,9.86,9.86,9.86
GETR,2021-05-28,9.94,9.94,9.73,9.73
GETR,2021-06-01,9.75,9.75,9.75,9.75
GETR,2021-06-02,9.8,9.8,9.73,9.78
GETR,2021-06-03,9.8,9.8,9.71,9.71
GETR,2021-06-04,9.72,9.72,9.72,9.72
GETR,2021-06-07,9.72,9.72,9.71,9.72
GETR,2021-06-08,9.71,9.72,9.71,9.72
GETR,2021-06-09,9.7,9.7,9.7,9.7
GETR,2021-06-10,9.7,9.72,9.7,9.7
GETR,2021-06-11,9.77,9.77,9.77,9.77
GETR,2021-06-14,9.7,9.7,9.7,9.7
GETR,2021-06-15,9.7,9.7,9.7,9.7
GETR,2021-06-16,9.74,9.74,9.74,9.74
GETR,2021-06-17,9.74,9.74,9.74,9.74
GETR,2021-06-18,9.75,9.75,9.75,9.75
GETR,2021-06-21,9.725,9.75,9.725,9.75
GETR,2021-06-22,9.75,9.75,9.75,9.75
GETR,2021-06-23,9.77,9.77,9.77,9.77
GETR,2021-06-24,9.71,9.75,9.71,9.75
GETR,2021-06-25,9.78,9.78,9.74,9.74
GETR,2021-06-28,9.71,9.72,9.71,9.71
GETR,2021-06-29,9.7,9.725,9.7,9.7
GETR,2021-06-30,9.7,9.7,9.7,9.7
GETR,2021-07-01,9.7,9.7,9.7,9.7
