ticker,date,open,high,low,close
HLN,2022-07-25,7.41,7.45,7.16,7.3
HLN,2022-07-26,7.31,7.41,7.29,7.35
HLN,2022-07-27,7.51,7.56,7.23,7.32
HLN,2022-07-28,7.2,7.24,6.97,7.0
HLN,2022-07-29,6.92,7.08,6.89,7.03
HLN,2022-08-01,7.15,7.41,7.13,7.37
HLN,2022-08-02,7.45,7.56,7.35,7.4
HLN,2022-08-03,7.41,7.47,7.3,7.3
HLN,2022-08-04,7.4,7.4,7.29,7.31
HLN,2022-08-05,7.33,7.51,7.32,7.47
HLN,2022-08-08,7.38,7.49,7.32,7.49
HLN,2022-08-09,7.38,7.39,7.06,7.11
HLN,2022-08-10,6.93,6.97,6.33,6.51
HLN,2022-08-11,6.43,6.46,6.04,6.29
HLN,2022-08-12,6.58,6.75,6.45,6.67
HLN,2022-08-15,6.24,6.47,6.17,6.35
HLN,2022-08-16,6.39,6.52,6.24,6.35
HLN,2022-08-17,6.2,6.25,6.07,6.12
HLN,2022-08-18,6.12,6.14,6.05,6.11
HLN,2022-08-19,5.99,6.05,5.95,5.98
HLN,2022-08-22,6.17,6.24,6.1,6.22
HLN,2022-08-23,6.27,6.4,6.24,6.38
HLN,2022-08-24,6.24,6.36,6.19,6.31
HLN,2022-08-25,6.16,6.32,6.15,6.32
HLN,2022-08-26,6.3,6.35,6.2,6.23
HLN,2022-08-29,6.2,6.22,6.02,6.07
HLN,2022-08-30,6.04,6.09,5.98,6.08
HLN,2022-08-31,5.94,6.05,5.91,5.98
HLN,2022-09-01,5.76,5.83,5.73,5.8
HLN,2022-09-02,5.73,5.76,5.59,5.63
HLN,2022-09-06,5.72,5.9,5.72,5.8
HLN,2022-09-07,5.78,5.88,5.77,5.85
HLN,2022-09-08,5.82,6.05,5.78,6.03
HLN,2022-09-09,6.07,6.07,5.97,6.0
HLN,2022-09-12,6.06,6.18,6.06,6.18
HLN,2022-09-13,6.1,6.15,5.99,6.01
HLN,2022-09-14,6.14,6.27,6.11,6.13
HLN,2022-09-15,6.07,6.11,5.96,6.0
HLN,2022-09-16,5.89,5.97,5.84,5.88
HLN,2022-09-19,5.83,6.01,5.79,5.91
HLN,2022-09-20,6.01,6.03,5.91,5.99
HLN,2022-09-21,6.05,6.07,5.9,5.9
HLN,2022-09-22,5.93,6.12,5.9,6.07
HLN,2022-09-23,6.04,6.06,5.88,5.93
HLN,2022-09-26,6.01,6.2,5.98,6.07
HLN,2022-09-27,6.04,6.06,5.81,5.85
HLN,2022-09-28,5.86,6.02,5.84,5.98
HLN,2022-09-29,6.08,6.19,6.06,6.11
HLN,2022-09-30,6.06,6.23,6.03,6.09
HLN,2022-10-03,6.06,6.16,6.02,6.14
HLN,2022-10-04,6.15,6.38,6.13,6.24
HLN,2022-10-05,6.23,6.42,6.17,6.33
HLN,2022-10-06,6.28,6.39,6.26,6.28
HLN,2022-10-07,6.26,6.27,6.05,6.09
HLN,2022-10-10,6.04,6.05,5.92,5.96
