ticker,date,open,high,low,close
HSHP,2023-03-31,6.05,6.12,5.8,5.8
HSHP,2023-04-03,5.8,6.5,5.8,6.1
HSHP,2023-04-04,6.0,6.0,5.88,5.95
HSHP,2023-04-05,6.0,6.0,5.92,5.92
HSHP,2023-04-06,5.955,5.989,5.83,5.85
HSHP,2023-04-10,5.92,6.075,5.81,5.84
HSHP,2023-04-11,5.83,5.85,5.7,5.8125
HSHP,2023-04-12,5.81,5.81,5.75,5.8
HSHP,2023-04-13,5.8,5.85,5.77,5.8
HSHP,2023-04-14,5.8,5.85,5.8,5.84
HSHP,2023-04-17,5.96,5.96,5.84,5.87
HSHP,2023-04-18,5.89,5.91,5.8,5.91
HSHP,2023-04-19,5.81,5.85,5.8,5.85
