ticker,date,open,high,low,close
IRNT,2020-03-25,8.55,8.55,8.55,8.55
IRNT,2020-03-26,8.55,8.55,8.55,8.55
IRNT,2020-03-27,9.98,10.0,9.98,10.0
IRNT,2020-03-30,10.0,10.0,10.0,10.0
IRNT,2020-03-31,10.0,10.0,10.0,10.0
IRNT,2020-04-01,10.0,10.0,10.0,10.0
IRNT,2020-04-02,10.0,10.0,10.0,10.0
IRNT,2020-04-03,10.0,10.0,10.0,10.0
IRNT,2020-04-06,9.78,9.78,9.78,9.78
IRNT,2020-04-07,9.932,9.932,9.78,9.78
IRNT,2020-04-08,9.78,9.78,9.78,9.78
IRNT,2020-04-09,9.78,9.78,9.78,9.78
IRNT,2020-04-13,9.78,9.78,9.78,9.78
IRNT,2020-04-14,9.78,9.78,9.78,9.78
IRNT,2020-04-15,9.78,9.78,9.78,9.78
IRNT,2020-04-16,9.78,9.78,9.78,9.78
IRNT,2020-04-17,9.78,9.78,9.78,9.78
IRNT,2020-04-20,9.78,9.78,9.78,9.78
IRNT,2020-04-21,9.78,9.78,9.78,9.78
IRNT,2020-04-22,9.69,9.7,9.69,9.7
IRNT,2020-04-23,9.7,9.7,9.7,9.7
IRNT,2020-04-24,9.7,9.7,9.7,9.7
IRNT,2020-04-27,9.75,9.75,9.75,9.75
IRNT,2020-04-28,9.75,9.75,9.75,9.75
IRNT,2020-04-29,9.75,9.75,9.75,9.75
IRNT,2020-04-30,9.8,9.8,9.8,9.8
IRNT,2020-05-01,9.75,9.75,9.75,9.75
IRNT,2020-05-04,9.75,9.75,9.75,9.75
IRNT,2020-05-05,9.75,9.75,9.75,9.75
IRNT,2020-05-06,9.8,9.8,9.8,9.8
IRNT,2020-05-07,9.8,9.8,9.8,9.8
IRNT,2020-05-08,9.8,9.8,9.8,9.8
IRNT,2020-05-11,9.8,9.8,9.8,9.8
IRNT,2020-05-12,9.79,9.79,9.79,9.79
IRNT,2020-05-13,9.75,9.75,9.75,9.75
IRNT,2020-05-14,9.75,9.75,9.75,9.75
IRNT,2020-05-15,9.725,9.725,9.725,9.725
IRNT,2020-05-18,9.75,9.75,9.725,9.725
IRNT,2020-05-19,9.75,9.77,9.74,9.74
