ticker,date,open,high,low,close
ITCB,2005-02-25,8.145,8.145,8.085,8.1
ITCB,2005-02-28,8.1,8.127,8.094,8.103
ITCB,2005-03-01,8.085,8.094,8.052,8.094
ITCB,2005-03-02,8.073,8.073,8.07,8.07
ITCB,2005-03-03,8.07,8.07,8.04,8.04
ITCB,2005-03-04,8.055,8.121,8.055,8.121
ITCB,2005-03-07,8.133,8.19,8.13,8.13
ITCB,2005-03-08,8.1,8.103,8.07,8.1
ITCB,2005-03-09,8.094,8.094,8.07,8.07
ITCB,2005-03-10,8.022,8.022,7.953,7.953
ITCB,2005-03-11,7.953,8.01,7.95,7.95
ITCB,2005-03-14,7.905,7.905,7.815,7.815
ITCB,2005-03-15,7.815,7.815,7.74,7.743
ITCB,2005-03-16,7.755,7.773,7.752,7.773
ITCB,2005-03-17,7.773,7.833,7.773,7.833
ITCB,2005-03-18,7.845,7.92,7.83,7.899
ITCB,2005-03-21,7.86,7.86,7.815,7.815
ITCB,2005-03-22,7.818,7.854,7.812,7.812
ITCB,2005-03-23,7.77,7.77,7.71,7.758
ITCB,2005-03-24,7.794,7.794,7.794,7.794
ITCB,2005-03-28,7.77,7.803,7.734,7.8
ITCB,2005-03-29,7.74,7.74,7.71,7.725
ITCB,2005-03-30,7.755,7.791,7.755,7.785
ITCB,2005-03-31,7.815,7.815,7.785,7.815
ITCB,2005-04-01,7.8,7.8,7.8,7.8
ITCB,2005-04-04,7.725,7.725,7.725,7.725
ITCB,2005-04-05,7.725,7.725,7.725,7.725
ITCB,2005-04-06,7.722,7.728,7.701,7.728
ITCB,2005-04-07,7.812,7.833,7.8,7.815
ITCB,2005-04-08,7.848,7.992,7.848,7.992
ITCB,2005-04-11,7.992,7.992,7.992,7.992
ITCB,2005-04-12,7.992,7.992,7.992,7.992
ITCB,2005-04-13,8.022,8.055,8.022,8.055
ITCB,2005-04-14,8.055,8.055,7.971,7.971
ITCB,2005-04-15,7.971,7.971,7.971,7.971
ITCB,2005-04-18,7.92,7.92,7.8,7.8
ITCB,2005-04-19,7.857,7.875,7.8,7.845
ITCB,2005-04-20,7.89,7.89,7.89,7.89
ITCB,2005-04-21,7.905,7.905,7.851,7.851
ITCB,2005-04-22,7.92,7.92,7.92,7.92
ITCB,2005-04-25,7.92,7.92,7.887,7.887
ITCB,2005-04-26,7.89,7.905,7.797,7.8
ITCB,2005-04-27,7.755,7.755,7.71,7.71
ITCB,2005-04-28,7.71,7.71,7.71,7.71
ITCB,2005-04-29,7.71,7.71,7.683,7.683
ITCB,2005-05-02,7.68,7.683,7.68,7.683
ITCB,2005-05-03,7.713,7.77,7.713,7.77
ITCB,2005-05-04,7.83,7.905,7.83,7.893
ITCB,2005-05-05,7.863,7.863,7.833,7.833
ITCB,2005-05-06,7.833,7.833,7.8,7.8
ITCB,2005-05-09,7.785,7.785,7.755,7.77
ITCB,2005-05-10,7.725,7.725,7.725,7.725
ITCB,2005-05-11,7.665,7.707,7.665,7.707
ITCB,2005-05-12,7.701,7.701,7.68,7.68
ITCB,2005-05-13,7.65,7.65,7.596,7.596
ITCB,2005-05-16,7.575,7.575,7.575,7.575
ITCB,2005-05-17,7.56,7.56,7.497,7.533
ITCB,2005-05-18,7.512,7.515,7.512,7.515
ITCB,2005-05-19,7.524,7.596,7.524,7.569
ITCB,2005-05-20,7.524,7.524,7.44,7.47
ITCB,2005-05-23,7.47,7.47,7.47,7.47
ITCB,2005-05-24,7.47,7.5,7.44,7.464
ITCB,2005-05-25,7.485,7.53,7.47,7.47
ITCB,2005-05-26,7.47,7.5,7.44,7.5
ITCB,2005-05-27,7.497,7.62,7.497,7.59
ITCB,2005-05-31,7.593,7.845,7.593,7.788
ITCB,2005-06-01,7.8,7.875,7.8,7.845
ITCB,2005-06-02,7.857,7.887,7.83,7.83
ITCB,2005-06-03,7.815,7.815,7.725,7.728
ITCB,2005-06-06,7.725,7.725,7.725,7.725
ITCB,2005-06-07,7.722,7.725,7.647,7.647
ITCB,2005-06-08,7.647,7.647,7.575,7.584
ITCB,2005-06-09,7.545,7.548,7.545,7.548
ITCB,2005-06-10,7.548,7.62,7.545,7.62
ITCB,2005-06-13,7.65,7.65,7.62,7.62
ITCB,2005-06-14,7.605,7.632,7.605,7.623
ITCB,2005-06-15,7.635,7.644,7.635,7.644
ITCB,2005-06-16,7.662,7.731,7.662,7.731
ITCB,2005-06-17,7.767,7.92,7.767,7.92
ITCB,2005-06-20,7.86,7.86,7.86,7.86
ITCB,2005-06-21,7.863,7.863,7.86,7.86
ITCB,2005-06-22,7.905,7.992,7.905,7.992
ITCB,2005-06-23,7.89,7.89,7.89,7.89
ITCB,2005-06-24,7.89,7.89,7.89,7.89
ITCB,2005-06-27,7.893,7.893,7.893,7.893
ITCB,2005-06-28,7.875,7.875,7.8,7.8
ITCB,2005-06-29,7.845,7.878,7.845,7.875
ITCB,2005-06-30,7.86,7.86,7.8,7.83
ITCB,2005-07-01,7.827,7.872,7.827,7.872
ITCB,2005-07-05,7.863,7.863,7.863,7.863
ITCB,2005-07-06,7.8,7.8,7.8,7.8
ITCB,2005-07-07,7.758,7.758,7.755,7.755
ITCB,2005-07-08,7.743,7.743,7.686,7.731
ITCB,2005-07-11,7.737,7.875,7.737,7.83
ITCB,2005-07-12,7.863,7.869,7.863,7.869
ITCB,2005-07-13,7.869,7.869,7.869,7.869
