ticker,date,open,high,low,close
KNSW,2022-03-16,10.0,10.0,9.92,9.95
KNSW,2022-03-17,9.95,9.95,9.95,9.95
KNSW,2022-03-18,9.95,9.95,9.95,9.95
KNSW,2022-03-21,9.95,9.95,9.91,9.93
KNSW,2022-03-22,9.95,9.98,9.91,9.91
KNSW,2022-03-23,9.93,9.97,9.93,9.93
KNSW,2022-03-24,9.93,9.93,9.93,9.93
KNSW,2022-03-25,9.93,9.93,9.93,9.93
KNSW,2022-03-28,9.97,10.0,9.97,10.0
KNSW,2022-03-29,10.0,10.0,9.93,9.93
KNSW,2022-03-30,9.93,9.93,9.93,9.93
KNSW,2022-03-31,9.93,9.93,9.93,9.93
KNSW,2022-04-01,9.96,9.99,9.96,9.99
KNSW,2022-04-04,9.99,9.99,9.99,9.99
KNSW,2022-04-05,9.99,9.99,9.99,9.99
KNSW,2022-04-06,9.99,9.99,9.99,9.99
KNSW,2022-04-07,9.99,9.99,9.99,9.99
KNSW,2022-04-08,9.99,9.99,9.99,9.99
KNSW,2022-04-11,9.99,9.99,9.99,9.99
KNSW,2022-04-12,9.99,9.99,9.99,9.99
KNSW,2022-04-13,9.99,9.99,9.99,9.99
KNSW,2022-04-14,9.95,9.95,9.95,9.95
KNSW,2022-04-18,10.0,10.0,9.95,9.95
KNSW,2022-04-19,9.97,9.97,9.97,9.97
KNSW,2022-04-20,9.95,9.97,9.95,9.97
KNSW,2022-04-21,9.93,9.98,9.93,9.98
KNSW,2022-04-22,9.94,9.94,9.93,9.93
KNSW,2022-04-25,9.93,9.93,9.93,9.93
KNSW,2022-04-26,9.93,9.93,9.93,9.93
KNSW,2022-04-27,9.93,9.96,9.93,9.96
KNSW,2022-04-28,9.98,9.98,9.96,9.98
KNSW,2022-04-29,9.98,9.98,9.98,9.98
KNSW,2022-05-02,9.98,9.98,9.98,9.98
KNSW,2022-05-03,9.96,9.96,9.96,9.96
KNSW,2022-05-04,9.96,9.96,9.96,9.96
KNSW,2022-05-05,9.96,9.96,9.96,9.96
KNSW,2022-05-06,9.96,9.96,9.96,9.96
KNSW,2022-05-09,9.96,9.96,9.95,9.95
KNSW,2022-05-10,9.95,9.95,9.95,9.95
KNSW,2022-05-11,9.94,9.94,9.93,9.93
KNSW,2022-05-12,9.93,9.93,9.93,9.93
KNSW,2022-05-13,9.95,9.95,9.95,9.95
KNSW,2022-05-16,9.9,9.9,9.9,9.9
KNSW,2022-05-17,9.9,9.9,9.9,9.9
KNSW,2022-05-18,9.9,9.9,9.9,9.9
KNSW,2022-05-19,9.9,9.9,9.9,9.9
KNSW,2022-05-20,9.9,9.9,9.9,9.9
KNSW,2022-05-23,9.9,9.9,9.9,9.9
KNSW,2022-05-24,9.9,9.9,9.9,9.9
KNSW,2022-05-25,9.9,9.9,9.9,9.9
KNSW,2022-05-26,9.91,9.91,9.91,9.91
KNSW,2022-05-27,9.91,9.91,9.91,9.91
KNSW,2022-05-31,9.91,9.91,9.91,9.91
KNSW,2022-06-01,9.91,9.91,9.91,9.91
