ticker,date,open,high,low,close
LANV,2021-03-15,10.15,10.25,9.8,9.85
LANV,2021-03-16,9.9,9.9,9.88,9.9
LANV,2021-03-17,10.0,10.0,10.0,10.0
LANV,2021-03-18,10.05,10.15,9.95,10.0
LANV,2021-03-19,10.0,10.09,10.0,10.05
LANV,2021-03-22,10.0,10.0,9.91,9.95
LANV,2021-03-23,9.92,9.92,9.57,9.7
LANV,2021-03-24,9.7,9.77,9.7,9.75
LANV,2021-03-25,9.7,9.72,9.7,9.72
LANV,2021-03-26,9.75,9.82,9.7,9.79
LANV,2021-03-29,9.7,10.04,9.7,10.04
LANV,2021-03-30,9.85,9.9,9.81,9.83
LANV,2021-03-31,9.8,9.83,9.8,9.8
LANV,2021-04-01,9.85,9.85,9.8,9.83
LANV,2021-04-05,9.8,10.0,9.77,9.77
LANV,2021-04-06,9.8,9.85,9.8,9.8
LANV,2021-04-07,9.8,9.84,9.75,9.76
LANV,2021-04-08,9.81,9.9,9.8,9.9
LANV,2021-04-09,9.9,10.0,9.9,10.0
LANV,2021-04-12,9.9,10.07,9.9,10.0
LANV,2021-04-13,9.99,10.03,9.95,10.03
LANV,2021-04-14,10.04,10.07,10.0,10.07
LANV,2021-04-15,9.99,10.1,9.9,10.04
LANV,2021-04-16,10.05,10.06,9.94,10.03
LANV,2021-04-19,10.08,10.08,9.9,9.97
LANV,2021-04-20,10.05,10.05,9.8,9.82
LANV,2021-04-21,9.84,9.97,9.67,9.97
LANV,2021-04-22,10.01,10.04,9.9,10.04
LANV,2021-04-23,10.05,10.07,9.88,9.95
LANV,2021-04-26,10.05,10.06,9.86,9.86
LANV,2021-04-27,10.0,10.15,9.9,10.0
LANV,2021-04-28,10.0,10.14,9.95,10.0
LANV,2021-04-29,10.1,10.1,9.9,10.0
LANV,2021-04-30,10.1,10.15,9.95,10.07
LANV,2021-05-03,10.06,10.2,10.06,10.1
LANV,2021-05-04,10.09,10.09,9.97,10.0
LANV,2021-05-05,9.99,10.02,9.97,9.97
LANV,2021-05-06,10.02,10.03,9.96,9.97
LANV,2021-05-07,10.02,10.02,9.8,9.82
LANV,2021-05-10,9.82,9.82,9.78,9.78
LANV,2021-05-11,9.78,9.86,9.7,9.78
LANV,2021-05-12,9.75,9.83,9.68,9.76
LANV,2021-05-13,9.73,9.8,9.67,9.78
LANV,2021-05-14,9.78,9.81,9.74,9.75
LANV,2021-05-17,9.71,10.05,9.68,10.05
LANV,2021-05-18,9.95,9.95,9.64,9.69
LANV,2021-05-19,9.69,9.73,9.66,9.72
LANV,2021-05-20,9.75,9.75,9.68,9.72
LANV,2021-05-21,9.73,9.86,9.69,9.78
LANV,2021-05-24,9.73,9.73,9.65,9.65
LANV,2021-05-25,9.69,9.72,9.66,9.67
LANV,2021-05-26,9.69,9.7,9.64,9.67
LANV,2021-05-27,9.66,9.67,9.64,9.65
LANV,2021-05-28,9.65,9.68,9.64,9.66
LANV,2021-06-01,9.68,9.74,9.66,9.69
LANV,2021-06-02,9.69,9.72,9.66,9.71
LANV,2021-06-03,9.71,9.71,9.68,9.71
LANV,2021-06-04,9.7,9.72,9.7,9.72
