ticker,date,open,high,low,close
LGF.B,2016-12-09,26.1,27.01,25.5,26.37
LGF.B,2016-12-12,26.6,26.94,25.46,25.6
LGF.B,2016-12-13,25.59,26.34,25.45,25.8
LGF.B,2016-12-14,25.8,26.14,25.54,25.72
LGF.B,2016-12-15,25.57,26.24,24.95,24.95
LGF.B,2016-12-16,25.08,25.75,24.91,25.61
LGF.B,2016-12-19,25.51,26.18,25.36,25.86
LGF.B,2016-12-20,26.0,26.21,25.45,25.48
LGF.B,2016-12-21,25.31,25.82,25.3,25.46
LGF.B,2016-12-22,25.29,25.78,25.17,25.66
LGF.B,2016-12-23,25.66,25.9,25.47,25.73
LGF.B,2016-12-27,25.9,25.9,25.52,25.79
LGF.B,2016-12-28,25.73,25.82,24.96,25.22
LGF.B,2016-12-29,25.1,25.33,24.82,25.02
LGF.B,2016-12-30,24.97,25.28,24.46,24.54
LGF.B,2017-01-03,24.41,24.87,23.93,24.4
LGF.B,2017-01-04,24.35,25.13,24.29,25.03
LGF.B,2017-01-05,24.6,25.68,24.6,25.65
LGF.B,2017-01-06,25.6,26.22,25.51,25.87
LGF.B,2017-01-09,25.72,26.27,25.35,26.01
LGF.B,2017-01-10,25.91,26.42,25.85,26.2
LGF.B,2017-01-11,26.39,26.76,26.1,26.41
LGF.B,2017-01-12,26.27,26.45,26.09,26.18
LGF.B,2017-01-13,26.29,26.57,26.18,26.36
LGF.B,2017-01-17,26.45,26.59,26.04,26.2
LGF.B,2017-01-18,26.14,26.59,26.0,26.11
LGF.B,2017-01-19,25.85,26.22,25.83,25.94
LGF.B,2017-01-20,25.76,26.07,25.65,26.01
LGF.B,2017-01-23,25.8,26.29,25.75,26.03
LGF.B,2017-01-24,25.87,26.66,25.83,26.59
LGF.B,2017-01-25,26.55,26.9,26.42,26.73
LGF.B,2017-01-26,26.58,27.06,26.56,27.05
LGF.B,2017-01-27,27.1,27.14,26.69,26.76
LGF.B,2017-01-30,26.76,26.84,26.51,26.65
LGF.B,2017-01-31,26.6,26.98,26.41,26.79
LGF.B,2017-02-01,26.84,26.89,26.39,26.65
LGF.B,2017-02-02,26.69,26.69,26.43,26.6
LGF.B,2017-02-03,26.5,26.68,26.38,26.62
LGF.B,2017-02-06,26.45,26.56,26.14,26.54
LGF.B,2017-02-07,26.43,26.71,26.32,26.36
LGF.B,2017-02-08,26.12,26.28,25.91,25.98
LGF.B,2017-02-09,25.65,26.39,25.51,26.27
LGF.B,2017-02-10,26.2,26.73,26.2,26.64
LGF.B,2017-02-13,26.14,26.83,25.87,26.5
LGF.B,2017-02-14,26.28,26.54,26.11,26.35
LGF.B,2017-02-15,26.23,26.55,26.13,26.28
LGF.B,2017-02-16,26.2,26.49,25.89,26.09
LGF.B,2017-02-17,25.95,26.22,25.68,25.81
LGF.B,2017-02-21,25.68,26.28,25.56,25.72
LGF.B,2017-02-22,25.59,25.76,25.54,25.68
LGF.B,2017-02-23,25.55,25.75,25.19,25.35
LGF.B,2017-02-24,25.11,25.32,24.99,25.16
LGF.B,2017-02-27,24.88,25.27,24.77,25.03
LGF.B,2017-02-28,24.99,25.12,24.9,24.98
LGF.B,2017-03-01,25.11,25.5,24.96,25.34
LGF.B,2017-03-02,25.25,25.39,24.69,24.72
LGF.B,2017-03-03,24.74,25.01,24.63,24.82
LGF.B,2017-03-06,24.83,24.88,24.48,24.64
LGF.B,2017-03-07,24.7,24.75,24.26,24.31
LGF.B,2017-03-08,24.13,24.69,24.13,24.44
LGF.B,2017-03-09,24.28,24.5,24.06,24.45
LGF.B,2017-03-10,24.6,24.78,24.12,24.18
LGF.B,2017-03-13,24.31,24.4,23.91,24.01
LGF.B,2017-03-14,23.86,23.93,23.68,23.73
LGF.B,2017-03-15,23.79,23.92,23.23,23.63
LGF.B,2017-03-16,23.74,23.9,23.54,23.7
LGF.B,2017-03-17,23.65,23.94,23.61,23.68
LGF.B,2017-03-20,23.21,23.61,22.87,23.5
LGF.B,2017-03-21,23.6,23.65,22.72,22.98
LGF.B,2017-03-22,22.87,23.31,22.74,23.2
LGF.B,2017-03-23,23.06,24.23,23.06,23.33
LGF.B,2017-03-24,23.44,24.14,23.24,23.93
LGF.B,2017-03-27,23.66,24.78,23.57,24.71
LGF.B,2017-03-28,24.5,24.75,24.34,24.51
LGF.B,2017-03-29,24.52,24.85,24.49,24.63
LGF.B,2017-03-30,24.48,24.68,24.37,24.53
LGF.B,2017-03-31,24.52,24.62,24.28,24.38
LGF.B,2017-04-03,24.38,24.44,24.01,24.3
LGF.B,2017-04-04,24.29,24.49,24.04,24.31
LGF.B,2017-04-05,24.28,24.48,23.69,23.75
LGF.B,2017-04-06,23.74,23.8,23.15,23.23
LGF.B,2017-04-07,23.17,23.31,22.85,23.28
LGF.B,2017-04-10,23.12,23.31,23.02,23.16
LGF.B,2017-04-11,22.97,23.51,22.97,23.2
LGF.B,2017-04-12,23.26,23.42,23.11,23.28
LGF.B,2017-04-13,23.14,23.63,23.14,23.32
LGF.B,2017-04-17,23.28,23.58,23.18,23.54
LGF.B,2017-04-18,23.56,23.76,23.48,23.63
LGF.B,2017-04-19,23.82,23.91,23.69,23.73
LGF.B,2017-04-20,23.77,24.07,23.7,23.89
LGF.B,2017-04-21,23.82,24.16,23.81,23.9
LGF.B,2017-04-24,24.11,24.11,23.67,23.78
LGF.B,2017-04-25,23.88,24.2,23.74,23.98
LGF.B,2017-04-26,24.22,24.23,23.94,24.13
LGF.B,2017-04-27,24.18,24.39,23.96,24.0
LGF.B,2017-04-28,23.89,23.99,23.5,23.85
LGF.B,2017-05-01,23.97,24.09,23.66,23.83
LGF.B,2017-05-02,23.85,23.93,23.36,23.55
LGF.B,2017-05-03,23.43,23.43,22.85,22.89
LGF.B,2017-05-04,22.9,23.06,22.59,23.03
LGF.B,2017-05-05,23.01,23.17,22.75,22.85
LGF.B,2017-05-08,22.85,22.97,22.68,22.85
LGF.B,2017-05-09,22.87,23.06,22.73,23.01
LGF.B,2017-05-10,22.95,23.42,22.72,23.37
LGF.B,2017-05-11,23.24,23.58,22.96,23.34
LGF.B,2017-05-12,23.24,23.77,23.24,23.72
LGF.B,2017-05-15,23.88,24.15,23.56,23.65
LGF.B,2017-05-16,23.59,23.73,23.27,23.29
LGF.B,2017-05-17,23.0,23.05,22.53,22.6
LGF.B,2017-05-18,22.51,22.82,22.5,22.72
LGF.B,2017-05-19,22.68,23.47,22.68,23.38
LGF.B,2017-05-22,23.3,24.01,23.3,23.82
LGF.B,2017-05-23,23.83,23.86,23.22,23.45
LGF.B,2017-05-24,23.32,23.54,23.0,23.14
LGF.B,2017-05-25,23.22,23.58,23.0,23.45
LGF.B,2017-05-26,23.77,25.75,23.77,25.56
LGF.B,2017-05-30,25.41,25.56,24.74,25.22
LGF.B,2017-05-31,25.09,25.37,24.59,25.29
LGF.B,2017-06-01,25.05,26.06,25.03,26.03
LGF.B,2017-06-02,26.25,26.35,25.9,25.96
LGF.B,2017-06-05,25.84,25.95,25.52,25.53
LGF.B,2017-06-06,25.33,25.53,25.26,25.47
LGF.B,2017-06-07,25.49,25.95,25.09,25.09
LGF.B,2017-06-08,24.96,25.0,24.42,24.47
