ticker,date,open,high,low,close
LOCC,2021-11-15,9.55,9.82,9.55,9.68
LOCC,2021-11-16,10.0,10.0,9.67,9.74
LOCC,2021-11-17,9.73,9.74,9.68,9.7
LOCC,2021-11-18,9.69,9.7,9.66,9.68
LOCC,2021-11-19,9.69,9.69,9.67,9.68
LOCC,2021-11-22,9.69,9.7,9.67,9.7
LOCC,2021-11-23,9.75,9.75,9.65,9.69
LOCC,2021-11-24,9.65,9.69,9.63,9.69
LOCC,2021-11-26,9.67,9.67,9.66,9.66
LOCC,2021-11-29,9.68,9.7,9.67,9.69
LOCC,2021-11-30,9.7,9.75,9.69,9.69
LOCC,2021-12-01,9.69,9.7,9.67,9.67
LOCC,2021-12-02,9.67,9.73,9.67,9.71
LOCC,2021-12-03,9.7,9.71,9.69,9.7
LOCC,2021-12-06,9.71,9.73,9.7,9.72
LOCC,2021-12-07,9.7,9.75,9.7,9.7
LOCC,2021-12-08,9.72,9.72,9.66,9.66
LOCC,2021-12-09,9.65,9.68,9.65,9.68
LOCC,2021-12-10,9.68,9.68,9.65,9.66
LOCC,2021-12-13,9.66,9.68,9.66,9.66
LOCC,2021-12-14,9.65,9.68,9.65,9.66
LOCC,2021-12-15,9.75,9.75,9.62,9.64
LOCC,2021-12-16,9.65,9.66,9.64,9.65
LOCC,2021-12-17,9.65,9.66,9.64,9.66
LOCC,2021-12-20,9.65,9.66,9.64,9.66
LOCC,2021-12-21,9.68,9.68,9.65,9.65
LOCC,2021-12-22,9.66,9.66,9.65,9.65
LOCC,2021-12-23,9.65,9.7,9.65,9.7
LOCC,2021-12-27,9.72,9.73,9.72,9.72
LOCC,2021-12-28,9.72,9.75,9.71,9.72
LOCC,2021-12-29,9.74,9.75,9.73,9.75
LOCC,2021-12-30,9.75,9.76,9.74,9.75
LOCC,2021-12-31,9.75,9.76,9.66,9.76
LOCC,2022-01-03,9.76,9.76,9.73,9.75
LOCC,2022-01-04,9.75,9.75,9.72,9.75
LOCC,2022-01-05,9.71,9.76,9.71,9.76
LOCC,2022-01-06,9.76,9.77,9.75,9.76
LOCC,2022-01-07,9.76,9.77,9.75,9.75
LOCC,2022-01-10,9.74,9.76,9.73,9.74
LOCC,2022-01-11,9.75,9.76,9.75,9.75
LOCC,2022-01-12,9.75,9.76,9.75,9.75
LOCC,2022-01-13,9.69,9.69,9.67,9.67
LOCC,2022-01-14,9.67,9.67,9.67,9.67
LOCC,2022-01-18,9.67,9.67,9.67,9.67
LOCC,2022-01-19,9.63,9.63,9.63,9.63
LOCC,2022-01-20,9.64,9.67,9.64,9.67
LOCC,2022-01-21,9.68,9.69,9.68,9.69
LOCC,2022-01-24,9.65,9.67,9.63,9.66
LOCC,2022-01-25,9.62,9.62,9.62,9.62
LOCC,2022-01-26,9.62,9.62,9.61,9.62
LOCC,2022-01-27,9.64,9.7,9.62,9.7
LOCC,2022-01-28,9.62,9.62,9.62,9.62
LOCC,2022-01-31,9.65,9.68,9.65,9.68
LOCC,2022-02-01,9.69,9.7,9.69,9.7
LOCC,2022-02-02,9.69,9.71,9.67,9.71
LOCC,2022-02-03,9.67,9.68,9.64,9.68
LOCC,2022-02-04,9.64,9.71,9.64,9.71
LOCC,2022-02-07,9.66,9.71,9.66,9.69
LOCC,2022-02-08,9.66,9.71,9.66,9.71
LOCC,2022-02-09,9.66,9.71,9.66,9.71
LOCC,2022-02-10,9.66,9.71,9.66,9.71
LOCC,2022-02-11,9.67,9.71,9.67,9.71
LOCC,2022-02-14,9.66,9.7,9.66,9.7
LOCC,2022-02-15,9.67,9.69,9.66,9.69
LOCC,2022-02-16,9.66,9.69,9.66,9.69
LOCC,2022-02-17,9.66,9.66,9.62,9.66
LOCC,2022-02-18,9.61,9.62,9.61,9.62
LOCC,2022-02-22,9.61,9.65,9.61,9.65
LOCC,2022-02-23,9.62,9.65,9.62,9.65
LOCC,2022-02-24,9.61,9.65,9.61,9.65
LOCC,2022-02-25,9.65,9.65,9.65,9.65
LOCC,2022-02-28,9.64,9.64,9.64,9.64
LOCC,2022-03-01,9.64,9.64,9.62,9.62
LOCC,2022-03-02,9.65,9.65,9.65,9.65
LOCC,2022-03-03,9.61,9.61,9.61,9.61
LOCC,2022-03-04,9.61,9.61,9.61,9.61
LOCC,2022-03-07,9.61,9.61,9.61,9.61
LOCC,2022-03-08,9.65,9.65,9.65,9.65
LOCC,2022-03-09,9.65,9.67,9.65,9.66
LOCC,2022-03-10,9.66,9.66,9.66,9.66
