ticker,date,open,high,low,close
MMP,2001-03-19,7.5,7.75,7.46,7.75
MMP,2001-03-20,7.69,7.69,7.44,7.56
MMP,2001-03-21,7.45,7.55,7.21,7.5
MMP,2001-03-22,7.46,7.46,7.12,7.19
MMP,2001-03-23,7.21,7.36,7.16,7.32
MMP,2001-03-26,7.36,7.6,7.32,7.59
MMP,2001-03-27,7.55,7.6,7.41,7.6
MMP,2001-03-28,7.62,7.75,7.57,7.61
MMP,2001-03-29,7.65,7.65,7.36,7.36
MMP,2001-03-30,7.44,7.54,7.41,7.52
MMP,2001-04-02,7.54,7.59,7.43,7.45
MMP,2001-04-03,7.5,7.55,7.23,7.23
MMP,2001-04-04,7.23,7.41,7.23,7.41
MMP,2001-04-05,7.43,7.49,7.38,7.49
MMP,2001-04-06,7.48,7.49,7.43,7.44
MMP,2001-04-09,7.47,7.5,7.43,7.49
MMP,2001-04-10,7.5,7.57,7.43,7.47
MMP,2001-04-11,7.51,7.6,7.49,7.6
MMP,2001-04-12,7.6,7.61,7.53,7.61
MMP,2001-04-16,7.62,7.75,7.57,7.75
MMP,2001-04-17,7.78,7.85,7.68,7.82
MMP,2001-04-18,7.82,7.82,7.47,7.57
MMP,2001-04-19,7.56,7.7,7.55,7.68
MMP,2001-04-20,7.62,7.78,7.57,7.75
MMP,2001-04-23,7.78,7.84,7.69,7.76
MMP,2001-04-24,7.75,7.88,7.68,7.86
MMP,2001-04-25,7.81,8.1,7.8,8.07
MMP,2001-04-26,8.12,8.36,8.07,8.23
MMP,2001-04-27,8.1,8.18,8.07,8.15
MMP,2001-04-30,8.18,8.35,8.18,8.32
MMP,2001-05-01,8.35,8.38,8.32,8.35
MMP,2001-05-02,8.35,8.36,8.25,8.31
MMP,2001-05-03,8.29,8.29,8.14,8.19
MMP,2001-05-04,8.24,8.26,8.15,8.26
MMP,2001-05-07,8.32,8.5,8.32,8.35
MMP,2001-05-08,8.35,8.36,8.24,8.25
MMP,2001-05-09,8.29,8.31,8.19,8.21
MMP,2001-05-10,8.24,8.29,8.23,8.27
MMP,2001-05-11,8.27,8.27,8.15,8.19
MMP,2001-05-14,8.21,8.3,8.21,8.26
MMP,2001-05-15,8.24,8.32,8.2,8.32
MMP,2001-05-16,8.3,8.3,8.1,8.1
MMP,2001-05-17,8.07,8.09,8.02,8.02
MMP,2001-05-18,8.06,8.07,7.96,7.97
MMP,2001-05-21,8.0,8.1,8.0,8.07
MMP,2001-05-22,8.07,8.12,7.97,8.1
MMP,2001-05-23,8.12,8.12,8.02,8.1
MMP,2001-05-24,8.14,8.14,8.05,8.07
MMP,2001-05-25,8.12,8.19,8.07,8.12
MMP,2001-05-29,8.02,8.11,8.0,8.0
MMP,2001-05-30,8.0,8.0,7.75,7.79
MMP,2001-05-31,7.76,7.9,7.75,7.88
MMP,2001-06-01,7.85,7.87,7.56,7.56
MMP,2001-06-04,7.55,7.56,7.31,7.45
MMP,2001-06-05,7.5,7.53,7.26,7.3
MMP,2001-06-06,7.32,7.34,7.14,7.34
MMP,2001-06-07,7.32,7.6,7.3,7.5
MMP,2001-06-08,7.56,7.59,7.54,7.56
MMP,2001-06-11,7.54,7.62,7.35,7.35
MMP,2001-06-12,7.36,7.46,7.3,7.46
MMP,2001-06-13,7.47,7.53,7.45,7.51
MMP,2001-06-14,7.54,7.57,7.34,7.35
MMP,2001-06-15,7.38,7.39,7.3,7.3
MMP,2001-06-18,7.29,7.29,7.25,7.28
MMP,2001-06-19,7.3,7.34,7.25,7.25
MMP,2001-06-20,7.22,7.25,7.12,7.14
MMP,2001-06-21,7.1,7.12,7.01,7.11
MMP,2001-06-22,7.09,7.25,7.06,7.25
MMP,2001-06-25,7.28,7.35,7.26,7.35
MMP,2001-06-26,7.32,7.32,7.25,7.3
MMP,2001-06-27,7.31,7.46,7.31,7.45
MMP,2001-06-28,7.46,7.46,7.35,7.4
MMP,2001-06-29,7.38,7.38,7.35,7.35
MMP,2001-07-02,7.34,7.37,7.3,7.37
MMP,2001-07-03,7.35,7.35,7.31,7.35
MMP,2001-07-05,7.32,7.44,7.29,7.44
MMP,2001-07-06,7.44,7.44,7.43,7.44
MMP,2001-07-09,7.44,7.6,7.36,7.56
MMP,2001-07-10,7.57,7.76,7.57,7.61
MMP,2001-07-11,7.64,7.75,7.64,7.74
MMP,2001-07-12,7.76,7.8,7.75,7.75
MMP,2001-07-13,7.78,7.82,7.72,7.76
MMP,2001-07-16,7.75,7.75,7.65,7.7
MMP,2001-07-17,7.72,7.79,7.71,7.78
MMP,2001-07-18,7.75,7.85,7.69,7.85
MMP,2001-07-19,7.91,7.93,7.62,7.65
MMP,2001-07-20,7.68,7.68,7.45,7.47
MMP,2001-07-23,7.45,7.51,7.44,7.46
MMP,2001-07-24,7.49,7.74,7.47,7.74
MMP,2001-07-25,7.76,7.76,7.64,7.68
MMP,2001-07-26,7.68,7.74,7.63,7.74
MMP,2001-07-27,7.8,7.97,7.75,7.96
MMP,2001-07-30,8.01,8.21,8.01,8.2
MMP,2001-07-31,8.07,8.07,7.88,7.89
MMP,2001-08-01,7.86,7.88,7.7,7.7
MMP,2001-08-02,7.66,7.69,7.62,7.66
MMP,2001-08-03,7.66,7.66,7.54,7.55
MMP,2001-08-06,7.56,7.66,7.55,7.61
MMP,2001-08-07,7.59,7.72,7.56,7.72
MMP,2001-08-08,7.75,7.81,7.74,7.81
MMP,2001-08-09,7.84,7.96,7.82,7.96
MMP,2001-08-10,7.97,8.21,7.96,8.19
MMP,2001-08-13,8.15,8.25,8.06,8.23
MMP,2001-08-14,8.25,8.39,8.25,8.35
MMP,2001-08-15,8.38,8.6,8.38,8.52
MMP,2001-08-16,8.54,8.69,8.48,8.6
MMP,2001-08-17,8.64,8.75,8.64,8.69
MMP,2001-08-20,8.74,8.8,8.69,8.77
MMP,2001-08-21,8.77,9.35,8.77,9.27
MMP,2001-08-22,9.23,9.38,8.88,8.91
MMP,2001-08-23,8.93,9.0,8.6,8.64
MMP,2001-08-24,8.85,9.44,8.85,9.36
MMP,2001-08-27,9.4,10.0,9.27,9.43
MMP,2001-08-28,9.4,9.81,9.02,9.56
MMP,2001-08-29,9.61,9.61,9.36,9.43
MMP,2001-08-30,9.43,9.5,9.39,9.43
MMP,2001-08-31,9.43,9.62,9.41,9.52
MMP,2001-09-04,9.56,10.0,9.56,10.0
MMP,2001-09-05,10.0,10.44,9.98,10.0
MMP,2001-09-06,10.01,10.15,9.9,10.04
MMP,2001-09-07,10.02,10.35,9.8,10.1
MMP,2001-09-10,10.1,10.27,9.95,9.98
MMP,2001-09-17,9.95,10.23,9.95,9.95
MMP,2001-09-18,9.98,10.0,9.88,9.96
MMP,2001-09-19,9.99,10.01,8.5,9.04
MMP,2001-09-20,8.95,9.07,8.55,8.56
MMP,2001-09-21,8.49,8.88,8.43,8.88
MMP,2001-09-24,8.89,9.49,8.88,9.34
MMP,2001-09-25,9.27,9.38,9.11,9.21
MMP,2001-09-26,9.19,9.25,9.07,9.07
MMP,2001-09-27,9.09,9.25,9.02,9.25
MMP,2001-09-28,9.24,9.25,9.22,9.25
MMP,2001-10-01,9.25,9.25,9.12,9.25
MMP,2001-10-02,9.25,9.25,9.15,9.25
MMP,2001-10-03,9.25,9.34,9.23,9.31
MMP,2001-10-04,9.38,9.99,9.36,9.99
MMP,2001-10-05,9.99,9.99,9.81,9.88
MMP,2001-10-08,9.93,9.98,9.88,9.98
MMP,2001-10-09,9.98,9.98,9.84,9.88
MMP,2001-10-10,9.91,10.18,9.91,10.17
MMP,2001-10-11,10.23,10.25,10.04,10.25
MMP,2001-10-12,10.21,10.23,10.01,10.06
MMP,2001-10-15,10.06,10.19,10.01,10.19
MMP,2001-10-16,10.13,10.62,10.08,10.56
MMP,2001-10-17,10.6,10.6,10.38,10.5
MMP,2001-10-18,10.54,10.55,10.12,10.14
MMP,2001-10-19,10.12,10.29,10.08,10.21
MMP,2001-10-22,10.25,10.25,10.02,10.02
MMP,2001-10-23,10.0,10.0,9.85,9.96
MMP,2001-10-24,9.93,10.05,9.8,9.8
MMP,2001-10-25,9.74,9.98,9.49,9.98
MMP,2001-10-26,9.98,10.34,9.98,10.18
MMP,2001-10-29,10.24,10.36,10.2,10.32
MMP,2001-10-30,10.23,10.23,10.02,10.17
MMP,2001-10-31,10.19,10.19,10.11,10.13
MMP,2001-11-01,10.16,10.27,9.77,9.82
MMP,2001-11-02,9.88,9.97,9.88,9.92
MMP,2001-11-05,9.9,10.05,9.9,10.0
MMP,2001-11-06,10.05,10.12,9.93,10.12
MMP,2001-11-07,10.09,10.32,10.09,10.3
MMP,2001-11-08,10.34,10.35,10.23,10.27
MMP,2001-11-09,10.23,10.38,10.23,10.35
MMP,2001-11-12,10.32,11.0,10.25,11.0
MMP,2001-11-13,11.15,11.35,10.73,10.73
MMP,2001-11-14,10.75,10.93,10.41,10.85
MMP,2001-11-15,10.81,10.81,10.35,10.43
MMP,2001-11-16,10.19,10.3,9.91,10.02
MMP,2001-11-19,10.02,10.02,9.99,10.0
MMP,2001-11-20,10.04,10.2,10.0,10.2
MMP,2001-11-21,10.25,10.31,10.12,10.25
MMP,2001-11-23,10.21,10.34,10.16,10.34
MMP,2001-11-26,10.39,10.39,10.25,10.25
MMP,2001-11-27,10.25,10.36,10.21,10.36
MMP,2001-11-28,10.36,10.4,10.18,10.25
MMP,2001-11-29,10.15,10.2,10.12,10.18
MMP,2001-11-30,10.14,10.14,9.88,9.96
MMP,2001-12-03,9.94,9.98,9.82,9.88
MMP,2001-12-04,9.86,9.86,9.6,9.72
MMP,2001-12-05,9.73,9.75,9.57,9.62
MMP,2001-12-06,9.57,9.6,9.53,9.53
MMP,2001-12-07,9.57,9.79,9.52,9.76
MMP,2001-12-10,9.76,9.89,9.62,9.62
MMP,2001-12-11,9.74,9.74,9.6,9.6
MMP,2001-12-12,9.6,9.62,8.98,9.25
MMP,2001-12-13,9.27,9.64,9.27,9.6
MMP,2001-12-14,9.6,9.73,9.51,9.56
MMP,2001-12-17,9.65,9.65,9.5,9.6
MMP,2001-12-18,9.62,9.79,9.59,9.71
MMP,2001-12-19,9.7,9.75,9.68,9.68
MMP,2001-12-20,9.69,10.0,9.68,9.88
MMP,2001-12-21,9.93,9.98,9.81,9.93
MMP,2001-12-24,9.99,10.04,9.94,9.98
MMP,2001-12-26,9.98,10.11,9.98,10.02
MMP,2001-12-27,10.05,10.29,10.05,10.29
MMP,2001-12-28,10.31,10.41,10.19,10.27
MMP,2001-12-31,10.43,10.45,10.35,10.45
MMP,2002-01-02,10.41,10.45,10.27,10.27
MMP,2002-01-03,10.25,10.36,10.22,10.36
MMP,2002-01-04,10.4,10.65,10.39,10.44
MMP,2002-01-07,10.48,10.5,10.43,10.49
MMP,2002-01-08,10.52,10.57,10.3,10.45
MMP,2002-01-09,10.41,10.53,10.31,10.52
MMP,2002-01-10,10.56,10.56,10.45,10.5
MMP,2002-01-11,10.5,10.75,10.5,10.74
MMP,2002-01-14,10.94,10.94,10.68,10.75
MMP,2002-01-15,10.7,10.7,10.48,10.57
MMP,2002-01-16,10.57,10.59,10.45,10.52
MMP,2002-01-17,10.62,10.68,10.62,10.62
MMP,2002-01-18,10.66,10.7,10.64,10.68
MMP,2002-01-22,10.71,10.71,10.57,10.57
MMP,2002-01-23,10.61,10.62,10.5,10.52
MMP,2002-01-24,10.56,10.6,10.51,10.6
MMP,2002-01-25,10.64,10.73,10.63,10.68
MMP,2002-01-28,10.78,10.95,10.75,10.82
MMP,2002-01-29,10.86,10.87,9.88,10.23
MMP,2002-01-30,10.05,10.09,9.43,9.64
MMP,2002-01-31,9.62,9.84,9.27,9.84
MMP,2002-02-01,9.75,9.8,9.44,9.73
MMP,2002-02-04,9.55,9.55,8.5,8.7
MMP,2002-02-05,8.5,9.25,8.38,9.12
MMP,2002-02-06,9.21,9.43,9.14,9.25
MMP,2002-02-07,9.3,9.38,9.2,9.24
MMP,2002-02-08,9.2,9.25,9.15,9.19
MMP,2002-02-11,9.2,9.43,9.18,9.18
MMP,2002-02-12,9.07,9.3,8.88,8.91
MMP,2002-02-13,9.04,9.14,8.98,9.07
MMP,2002-02-14,9.19,9.2,8.95,9.14
MMP,2002-02-15,9.19,9.26,9.19,9.21
MMP,2002-02-19,9.23,9.34,9.21,9.34
MMP,2002-02-20,9.38,9.5,9.34,9.45
MMP,2002-02-21,9.48,9.6,9.43,9.44
MMP,2002-02-22,9.43,9.5,9.25,9.31
MMP,2002-02-25,9.31,9.31,9.01,9.02
MMP,2002-02-26,9.07,9.09,8.55,8.71
MMP,2002-02-27,8.73,8.73,8.48,8.49
MMP,2002-02-28,8.54,8.54,8.1,8.41
MMP,2002-03-01,8.43,8.48,8.21,8.21
MMP,2002-03-04,8.25,8.49,8.25,8.49
MMP,2002-03-05,8.5,8.96,8.49,8.86
MMP,2002-03-06,8.93,9.11,8.9,9.11
MMP,2002-03-07,9.11,9.35,9.05,9.1
MMP,2002-03-08,9.05,9.38,9.05,9.38
MMP,2002-03-11,9.62,9.88,9.62,9.66
MMP,2002-03-12,9.69,9.95,9.59,9.91
MMP,2002-03-13,9.98,9.99,9.85,9.9
MMP,2002-03-14,9.86,9.93,9.8,9.88
MMP,2002-03-15,9.91,9.91,9.73,9.8
MMP,2002-03-18,9.75,9.79,9.59,9.62
MMP,2002-03-19,9.62,9.74,9.52,9.73
MMP,2002-03-20,9.75,9.81,9.75,9.77
MMP,2002-03-21,9.77,9.8,9.75,9.76
MMP,2002-03-22,9.76,9.8,9.71,9.76
MMP,2002-03-25,9.76,9.8,9.73,9.76
MMP,2002-03-26,9.71,9.75,9.69,9.73
MMP,2002-03-27,9.75,9.8,9.75,9.76
MMP,2002-03-28,9.79,9.85,9.75,9.75
MMP,2002-04-01,9.77,9.81,9.76,9.76
MMP,2002-04-02,9.75,9.8,9.75,9.76
MMP,2002-04-03,9.76,9.81,9.73,9.75
MMP,2002-04-04,9.77,9.77,9.54,9.54
MMP,2002-04-05,9.52,9.54,9.5,9.52
MMP,2002-04-08,9.55,9.55,9.46,9.5
MMP,2002-04-09,9.51,9.51,9.4,9.41
MMP,2002-04-10,9.41,9.49,9.32,9.49
MMP,2002-04-11,9.49,9.54,9.41,9.45
MMP,2002-04-12,9.56,9.99,9.56,9.87
MMP,2002-04-15,9.88,10.16,9.88,10.0
MMP,2002-04-16,10.0,10.1,9.98,10.02
MMP,2002-04-17,9.98,10.07,9.96,10.06
MMP,2002-04-18,10.12,10.32,10.1,10.29
MMP,2002-04-19,10.35,10.5,10.25,10.29
MMP,2002-04-22,10.31,10.32,10.19,10.19
MMP,2002-04-23,10.24,10.34,10.24,10.3
MMP,2002-04-24,10.25,10.27,10.2,10.27
MMP,2002-04-25,10.25,10.29,10.23,10.27
MMP,2002-04-26,10.29,10.3,10.25,10.27
MMP,2002-04-29,10.27,10.3,10.19,10.3
MMP,2002-04-30,10.15,10.27,10.1,10.26
MMP,2002-05-01,10.29,10.51,10.29,10.39
MMP,2002-05-02,10.39,10.6,10.36,10.59
MMP,2002-05-03,10.56,10.57,10.44,10.45
MMP,2002-05-06,10.41,10.41,10.12,10.21
MMP,2002-05-07,10.26,10.35,10.25,10.35
MMP,2002-05-08,10.32,10.32,10.2,10.25
MMP,2002-05-09,10.25,10.25,10.1,10.14
MMP,2002-05-10,10.1,10.24,10.07,10.19
MMP,2002-05-13,10.21,10.25,10.15,10.25
MMP,2002-05-14,10.27,10.31,10.19,10.25
MMP,2002-05-15,10.3,10.31,10.25,10.27
MMP,2002-05-16,10.25,10.26,10.16,10.16
MMP,2002-05-17,10.15,10.15,10.1,10.11
MMP,2002-05-20,9.88,9.88,9.62,9.74
MMP,2002-05-21,9.7,9.72,9.54,9.56
MMP,2002-05-22,9.5,9.5,9.25,9.29
MMP,2002-05-23,9.2,9.3,9.19,9.29
MMP,2002-05-24,9.29,9.29,9.25,9.29
MMP,2002-05-28,9.29,9.29,9.24,9.25
MMP,2002-05-29,9.2,9.2,8.65,8.94
MMP,2002-05-30,8.88,8.94,8.62,8.85
MMP,2002-05-31,8.8,9.09,8.75,9.09
MMP,2002-06-03,9.06,9.14,8.12,8.31
MMP,2002-06-04,8.26,8.39,7.61,8.38
MMP,2002-06-05,8.14,8.35,8.0,8.18
MMP,2002-06-06,8.2,8.34,7.88,7.88
MMP,2002-06-07,7.82,7.88,7.66,7.69
MMP,2002-06-10,7.71,8.23,7.57,8.07
MMP,2002-06-11,8.23,8.41,8.11,8.31
MMP,2002-06-12,8.36,8.5,8.27,8.41
MMP,2002-06-13,8.47,8.55,8.44,8.48
MMP,2002-06-14,8.48,8.5,8.2,8.45
MMP,2002-06-17,8.5,8.61,8.5,8.61
MMP,2002-06-18,8.6,8.71,8.52,8.71
MMP,2002-06-19,8.74,8.81,8.68,8.69
MMP,2002-06-20,8.73,8.76,8.46,8.46
MMP,2002-06-21,8.51,8.6,8.44,8.49
MMP,2002-06-24,8.5,8.6,8.38,8.49
MMP,2002-06-25,8.46,8.53,8.41,8.48
MMP,2002-06-26,8.5,8.71,8.38,8.53
