ticker,date,open,high,low,close
MYOV,2016-10-27,15.0,15.5,13.26,13.26
MYOV,2016-10-28,13.34,14.1,12.06,13.0
MYOV,2016-10-31,13.0,13.0,11.36,12.11
MYOV,2016-11-01,11.96,12.11,11.66,11.66
MYOV,2016-11-02,11.89,11.9,10.25,11.04
MYOV,2016-11-03,11.1,11.7,11.0,11.5
MYOV,2016-11-04,11.82,12.48,11.82,12.3
MYOV,2016-11-07,12.35,12.92,11.9,12.01
MYOV,2016-11-08,11.89,12.62,10.94,10.94
MYOV,2016-11-09,10.75,11.05,10.26,10.45
MYOV,2016-11-10,10.62,13.31,10.6,12.11
MYOV,2016-11-11,12.3,12.75,11.4,11.53
MYOV,2016-11-14,11.29,11.68,10.64,11.04
MYOV,2016-11-15,11.45,11.9,11.01,11.3
MYOV,2016-11-16,11.48,11.95,10.96,11.93
MYOV,2016-11-17,11.7,11.84,10.96,11.0
MYOV,2016-11-18,10.96,11.46,10.84,11.25
MYOV,2016-11-21,11.25,11.81,10.6,11.21
MYOV,2016-11-22,11.8,11.8,11.03,11.03
MYOV,2016-11-23,11.0,12.23,10.8,11.91
MYOV,2016-11-25,11.99,14.27,11.8,14.25
MYOV,2016-11-28,14.25,14.25,12.5,12.9
MYOV,2016-11-29,13.2,13.2,12.5,12.86
MYOV,2016-11-30,13.01,13.15,12.25,12.6
MYOV,2016-12-01,12.56,12.8,11.62,11.91
MYOV,2016-12-02,11.88,12.1,11.0,11.35
MYOV,2016-12-05,11.24,11.89,10.82,10.95
MYOV,2016-12-06,11.03,11.09,10.56,10.7
MYOV,2016-12-07,10.51,10.9,10.51,10.59
MYOV,2016-12-08,10.72,11.0,10.25,10.7
MYOV,2016-12-09,10.7,11.51,10.66,11.29
MYOV,2016-12-12,11.26,11.33,10.28,11.0
MYOV,2016-12-13,11.08,12.01,10.69,11.79
MYOV,2016-12-14,12.18,12.35,10.75,11.08
MYOV,2016-12-15,11.08,11.5,10.5,10.8
MYOV,2016-12-16,10.7,11.71,10.61,11.51
MYOV,2016-12-19,11.4,11.45,10.8,11.19
MYOV,2016-12-20,11.25,11.27,10.86,11.03
MYOV,2016-12-21,11.17,11.17,10.93,11.01
MYOV,2016-12-22,10.95,11.14,10.51,10.96
MYOV,2016-12-23,11.0,11.58,10.95,11.4
MYOV,2016-12-27,11.49,11.5,10.76,10.93
MYOV,2016-12-28,10.8,11.16,10.7,10.99
MYOV,2016-12-29,11.1,12.74,10.98,12.61
MYOV,2016-12-30,12.68,12.74,12.1,12.44
MYOV,2017-01-03,12.47,12.55,11.77,11.84
MYOV,2017-01-04,11.93,12.25,11.36,12.19
MYOV,2017-01-05,12.2,12.54,11.66,12.0
MYOV,2017-01-06,12.0,12.27,11.85,12.12
MYOV,2017-01-09,12.2,12.6,11.79,11.85
MYOV,2017-01-10,11.9,11.94,11.18,11.61
MYOV,2017-01-11,11.88,12.19,11.3,12.11
MYOV,2017-01-12,12.01,12.01,11.59,11.89
MYOV,2017-01-13,11.93,12.04,11.81,11.89
MYOV,2017-01-17,11.75,12.0,11.75,11.8
MYOV,2017-01-18,11.89,12.12,11.65,11.75
MYOV,2017-01-19,11.73,11.77,11.36,11.36
MYOV,2017-01-20,11.31,11.56,11.0,11.27
MYOV,2017-01-23,11.3,11.42,11.0,11.16
MYOV,2017-01-24,11.15,11.24,10.8,11.1
MYOV,2017-01-25,11.15,11.15,10.8,10.85
MYOV,2017-01-26,10.89,11.02,10.81,10.95
MYOV,2017-01-27,11.0,11.0,10.86,10.95
MYOV,2017-01-30,11.05,11.05,10.52,10.83
MYOV,2017-01-31,11.05,11.38,10.8,11.14
MYOV,2017-02-01,11.38,11.73,10.81,10.9
MYOV,2017-02-02,10.88,11.08,10.85,11.01
MYOV,2017-02-03,11.03,11.03,10.77,10.95
MYOV,2017-02-06,10.8,10.95,10.55,10.67
MYOV,2017-02-07,10.66,10.71,10.44,10.47
MYOV,2017-02-08,10.53,10.53,10.39,10.5
MYOV,2017-02-09,10.51,10.58,10.3,10.42
MYOV,2017-02-10,10.46,10.94,10.46,10.86
MYOV,2017-02-13,10.94,11.01,10.71,10.83
MYOV,2017-02-14,10.9,10.98,10.58,10.84
MYOV,2017-02-15,10.91,11.45,10.77,11.19
MYOV,2017-02-16,11.16,11.29,11.01,11.09
MYOV,2017-02-17,11.21,11.34,11.04,11.2
MYOV,2017-02-21,11.31,11.38,11.09,11.21
MYOV,2017-02-22,11.2,11.3,10.75,10.85
MYOV,2017-02-23,10.85,11.41,10.56,10.84
MYOV,2017-02-24,10.85,11.19,10.76,11.11
MYOV,2017-02-27,11.18,11.47,11.05,11.23
MYOV,2017-02-28,11.39,11.39,10.82,10.9
MYOV,2017-03-01,11.05,11.88,10.71,11.76
MYOV,2017-03-02,11.68,12.49,11.67,11.96
MYOV,2017-03-03,12.08,12.33,11.65,11.75
MYOV,2017-03-06,11.89,11.89,11.32,11.62
MYOV,2017-03-07,11.7,12.01,11.32,11.84
MYOV,2017-03-08,11.9,12.41,11.9,12.04
MYOV,2017-03-09,12.11,12.46,12.02,12.06
MYOV,2017-03-10,12.2,12.78,12.09,12.65
MYOV,2017-03-13,12.61,12.93,12.36,12.4
MYOV,2017-03-14,12.38,12.38,12.12,12.15
MYOV,2017-03-15,12.3,12.49,12.04,12.36
MYOV,2017-03-16,12.4,12.58,12.13,12.29
MYOV,2017-03-17,12.26,12.61,12.1,12.23
MYOV,2017-03-20,12.28,12.35,11.84,12.04
MYOV,2017-03-21,12.47,12.49,11.37,11.45
MYOV,2017-03-22,11.52,11.52,10.86,11.41
MYOV,2017-03-23,11.36,11.81,11.26,11.34
MYOV,2017-03-24,11.54,11.74,11.33,11.53
MYOV,2017-03-27,11.28,11.92,11.1,11.88
MYOV,2017-03-28,11.73,12.03,11.19,11.36
MYOV,2017-03-29,11.24,11.94,11.07,11.62
MYOV,2017-03-30,11.65,11.73,11.18,11.56
MYOV,2017-03-31,11.49,11.75,11.35,11.74
MYOV,2017-04-03,11.55,11.86,10.91,11.25
MYOV,2017-04-04,11.32,11.48,10.99,11.34
MYOV,2017-04-05,11.45,12.04,10.92,11.01
MYOV,2017-04-06,11.1,11.23,10.9,11.17
MYOV,2017-04-07,11.18,11.18,10.98,11.01
MYOV,2017-04-10,11.0,11.74,11.0,11.24
MYOV,2017-04-11,11.23,11.95,11.19,11.36
MYOV,2017-04-12,11.37,11.49,11.12,11.21
MYOV,2017-04-13,11.15,11.69,11.15,11.49
MYOV,2017-04-17,11.61,11.88,11.33,11.79
MYOV,2017-04-18,11.67,11.98,11.52,11.82
