ticker,date,open,high,low,close
NEX,2017-01-20,22.0,22.19,21.25,21.65
NEX,2017-01-23,21.35,22.2,20.5,20.61
NEX,2017-01-24,20.83,21.5,20.43,21.0
NEX,2017-01-25,21.32,22.05,21.24,22.02
NEX,2017-01-26,21.94,22.25,21.56,21.65
NEX,2017-01-27,21.59,22.86,21.5,22.14
NEX,2017-01-30,22.25,22.33,21.35,22.16
NEX,2017-01-31,22.57,22.57,21.46,22.09
NEX,2017-02-01,22.41,22.7,21.62,22.18
NEX,2017-02-02,22.71,22.93,21.43,21.45
NEX,2017-02-03,21.58,22.1,21.25,21.62
NEX,2017-02-06,21.7,22.48,20.96,21.26
NEX,2017-02-07,21.27,21.49,20.89,21.04
NEX,2017-02-08,20.89,21.02,20.25,20.63
NEX,2017-02-09,20.83,21.44,20.76,21.22
NEX,2017-02-10,21.48,21.75,20.97,21.37
NEX,2017-02-13,21.37,21.91,21.35,21.62
NEX,2017-02-14,21.92,22.24,21.36,21.57
NEX,2017-02-15,21.58,21.9,20.4,20.64
NEX,2017-02-16,20.68,20.89,20.14,20.39
NEX,2017-02-17,20.22,20.49,19.35,19.47
NEX,2017-02-21,19.79,19.92,19.05,19.74
NEX,2017-02-22,19.6,20.04,19.53,19.86
NEX,2017-02-23,20.01,20.2,18.4,18.95
NEX,2017-02-24,18.89,18.89,17.84,18.2
NEX,2017-02-27,18.13,18.31,17.87,18.07
NEX,2017-02-28,17.97,18.24,16.91,17.52
NEX,2017-03-01,18.24,18.33,17.76,17.95
NEX,2017-03-02,17.91,18.06,17.58,17.77
NEX,2017-03-03,17.72,18.1,17.16,17.22
NEX,2017-03-06,17.11,17.32,16.25,17.08
NEX,2017-03-07,17.1,17.17,16.65,17.05
NEX,2017-03-08,16.95,17.09,15.35,15.94
NEX,2017-03-09,15.77,15.84,14.85,15.3
NEX,2017-03-10,15.64,16.01,15.06,15.6
NEX,2017-03-13,15.51,16.29,15.51,15.98
NEX,2017-03-14,15.62,15.97,14.49,15.5
NEX,2017-03-15,15.15,16.76,15.14,16.6
NEX,2017-03-16,16.72,17.32,16.31,16.68
NEX,2017-03-17,16.83,17.15,16.05,16.27
NEX,2017-03-20,16.16,16.42,16.0,16.16
NEX,2017-03-21,16.36,16.56,15.63,15.9
NEX,2017-03-22,15.75,16.0,15.57,15.84
NEX,2017-03-23,15.78,16.0,15.46,15.8
NEX,2017-03-24,15.82,16.17,15.04,15.21
NEX,2017-03-27,14.77,14.91,14.09,14.18
NEX,2017-03-28,14.4,14.83,13.68,14.62
NEX,2017-03-29,14.51,15.29,14.19,14.82
NEX,2017-03-30,15.06,15.26,14.25,14.51
NEX,2017-03-31,14.38,14.69,14.19,14.3
NEX,2017-04-03,14.34,14.65,14.0,14.49
NEX,2017-04-04,14.51,14.94,14.25,14.65
NEX,2017-04-05,14.85,15.16,14.0,14.19
NEX,2017-04-06,14.32,14.77,14.2,14.66
NEX,2017-04-07,14.55,14.85,14.24,14.6
NEX,2017-04-10,14.6,15.58,14.51,15.47
NEX,2017-04-11,15.39,15.83,15.35,15.71
