ticker,date,open,high,low,close
NFNT,2022-01-10,9.77,9.82,9.76,9.81
NFNT,2022-01-11,9.83,9.83,9.83,9.83
NFNT,2022-01-12,9.85,9.85,9.8,9.83
NFNT,2022-01-13,9.81,9.83,9.8,9.83
NFNT,2022-01-14,9.83,10.07,9.77,9.91
NFNT,2022-01-18,9.91,9.91,9.81,9.84
NFNT,2022-01-19,9.83,9.84,9.83,9.83
NFNT,2022-01-20,9.83,9.83,9.83,9.83
NFNT,2022-01-21,9.8,9.83,9.8,9.81
NFNT,2022-01-24,9.72,9.81,9.72,9.79
NFNT,2022-01-25,9.8,9.8,9.8,9.8
NFNT,2022-01-26,9.8,9.8,9.78,9.78
NFNT,2022-01-27,9.9,9.9,9.77,9.81
NFNT,2022-01-28,9.9,9.9,9.79,9.79
NFNT,2022-01-31,9.78,9.8,9.78,9.8
NFNT,2022-02-01,9.88,9.88,9.77,9.81
NFNT,2022-02-02,9.81,9.81,9.76,9.78
NFNT,2022-02-03,9.79,9.8,9.78,9.8
NFNT,2022-02-04,9.8,9.8,9.8,9.8
NFNT,2022-02-07,9.8,9.8,9.8,9.8
NFNT,2022-02-08,9.79,9.84,9.77,9.84
NFNT,2022-02-09,9.8,9.81,9.77,9.78
NFNT,2022-02-10,9.78,9.82,9.78,9.82
NFNT,2022-02-11,9.8,9.8,9.79,9.79
NFNT,2022-02-14,9.79,9.8,9.79,9.8
NFNT,2022-02-15,9.8,9.8,9.8,9.8
NFNT,2022-02-16,9.82,9.83,9.79,9.83
NFNT,2022-02-17,9.81,9.84,9.79,9.84
NFNT,2022-02-18,9.8,9.82,9.78,9.82
NFNT,2022-02-22,9.77,9.82,9.77,9.79
NFNT,2022-02-23,9.8,9.81,9.78,9.79
NFNT,2022-02-24,9.77,9.79,9.77,9.79
NFNT,2022-02-25,9.78,9.78,9.77,9.77
NFNT,2022-02-28,9.77,9.77,9.77,9.77
NFNT,2022-03-01,9.79,9.85,9.79,9.85
NFNT,2022-03-02,9.8,9.84,9.8,9.84
