ticker,date,open,high,low,close
ONL,2021-11-16,20.7312,21.4908,20.4392,20.9263
ONL,2021-11-17,21.1203,21.1693,20.0217,20.1765
ONL,2021-11-18,19.6709,19.7777,17.3935,17.4023
ONL,2021-11-19,17.1592,17.6561,16.0696,17.169
ONL,2021-11-22,17.5198,18.5802,17.5198,17.9961
ONL,2021-11-23,18.6,19.04,18.45,18.79
ONL,2021-11-24,19.0,19.1,18.21,18.35
ONL,2021-11-26,18.2,18.55,16.85,17.83
ONL,2021-11-29,17.6,18.71,17.1,18.6
ONL,2021-11-30,18.04,18.27,17.75,17.77
ONL,2021-12-01,17.9,18.48,17.51,17.66
ONL,2021-12-02,17.55,18.09,17.2,17.94
ONL,2021-12-03,17.99,18.23,17.52,17.8
ONL,2021-12-06,17.8,18.61,17.71,18.54
ONL,2021-12-07,18.42,18.95,18.07,18.42
ONL,2021-12-08,18.48,19.09,18.2,19.02
ONL,2021-12-09,19.1,19.2,18.53,18.9
ONL,2021-12-10,18.54,19.06,18.54,18.96
ONL,2021-12-13,18.68,18.68,17.81,18.43
ONL,2021-12-14,18.46,19.27,18.12,19.06
ONL,2021-12-15,19.06,19.06,18.28,18.79
ONL,2021-12-16,18.56,18.75,18.2,18.42
ONL,2021-12-17,18.4,19.06,18.25,18.98
ONL,2021-12-20,18.48,18.95,18.31,18.52
ONL,2021-12-21,18.57,19.15,18.55,18.96
ONL,2021-12-22,18.69,18.88,18.43,18.62
ONL,2021-12-23,18.5,18.97,18.5,18.66
ONL,2021-12-27,18.73,18.84,18.38,18.84
ONL,2021-12-28,18.57,19.18,18.49,19.02
ONL,2021-12-29,18.68,18.94,18.62,18.74
ONL,2021-12-30,18.61,18.87,18.53,18.65
ONL,2021-12-31,18.5,18.94,18.5,18.67
ONL,2022-01-03,18.51,18.75,18.38,18.66
ONL,2022-01-04,18.5,18.8,18.5,18.74
ONL,2022-01-05,18.58,18.69,17.99,18.0
ONL,2022-01-06,17.92,18.09,17.49,17.94
ONL,2022-01-07,17.82,18.21,17.77,18.0
ONL,2022-01-10,17.88,17.91,17.46,17.64
ONL,2022-01-11,17.53,17.69,17.43,17.58
ONL,2022-01-12,17.57,17.7,17.46,17.5
ONL,2022-01-13,17.5,17.69,17.47,17.6
ONL,2022-01-14,17.5,17.73,17.39,17.68
ONL,2022-01-18,17.64,17.65,16.9,17.02
ONL,2022-01-19,17.08,17.2,16.7,16.8
ONL,2022-01-20,16.75,16.97,16.39,16.39
ONL,2022-01-21,16.23,16.77,16.14,16.42
ONL,2022-01-24,16.21,16.76,15.83,16.74
ONL,2022-01-25,16.46,17.14,16.36,16.83
ONL,2022-01-26,17.04,17.19,16.33,16.4
