ticker,date,open,high,low,close
OSH,2020-08-06,42.5,43.47,34.98,40.0
OSH,2020-08-07,37.11,39.96,37.11,39.0
OSH,2020-08-10,39.0,44.4,38.22,44.0
OSH,2020-08-11,44.12,48.24,44.0,44.57
OSH,2020-08-12,44.65,45.5,40.39,44.25
OSH,2020-08-13,44.25,47.41,43.02,46.39
OSH,2020-08-14,45.4,46.97,45.0,46.64
OSH,2020-08-17,46.0,46.99,45.38,45.89
OSH,2020-08-18,45.5,46.44,42.83,46.14
OSH,2020-08-19,45.73,46.08,41.25,41.51
OSH,2020-08-20,41.11,43.6,40.84,42.5
OSH,2020-08-21,42.73,44.83,42.1,44.39
OSH,2020-08-24,45.0,45.45,42.81,44.97
OSH,2020-08-25,45.23,46.0,42.31,44.56
OSH,2020-08-26,44.05,45.09,43.5,44.32
OSH,2020-08-27,44.49,44.56,42.12,44.56
OSH,2020-08-28,44.56,45.73,44.5,45.41
OSH,2020-08-31,45.9,46.26,44.02,44.63
OSH,2020-09-01,45.02,46.87,44.33,46.06
OSH,2020-09-02,48.44,53.58,48.1,50.5
OSH,2020-09-03,51.0,51.96,45.57,47.39
OSH,2020-09-04,47.74,48.37,43.1,46.13
OSH,2020-09-08,45.35,47.48,44.41,46.63
OSH,2020-09-09,47.27,48.53,46.24,46.75
OSH,2020-09-10,47.25,47.9,43.51,43.91
OSH,2020-09-11,44.5,45.55,41.41,42.34
OSH,2020-09-14,42.79,43.98,39.09,40.58
OSH,2020-09-15,41.11,42.52,40.32,41.38
OSH,2020-09-16,42.32,43.0,39.86,41.51
OSH,2020-09-17,38.2,41.18,37.41,39.89
OSH,2020-09-18,40.2,43.71,40.2,42.25
OSH,2020-09-21,42.16,42.5,41.0,42.27
OSH,2020-09-22,41.89,44.96,41.89,43.74
OSH,2020-09-23,43.44,43.95,41.92,42.2
OSH,2020-09-24,42.41,45.45,42.22,45.12
OSH,2020-09-25,45.1,48.29,45.1,48.28
OSH,2020-09-28,49.14,50.71,48.01,50.56
OSH,2020-09-29,50.72,51.03,48.99,50.98
OSH,2020-09-30,51.24,53.87,50.47,53.44
OSH,2020-10-01,53.89,54.73,49.12,50.57
OSH,2020-10-02,49.87,51.14,49.03,50.1
OSH,2020-10-05,50.55,52.44,49.79,51.0
OSH,2020-10-06,51.0,52.51,50.63,52.01
OSH,2020-10-07,52.46,54.29,52.21,53.18
OSH,2020-10-08,53.74,54.1,52.41,52.84
OSH,2020-10-09,53.29,54.08,52.25,52.42
