ticker,date,open,high,low,close
PERF,2022-10-31,15.8,21.03,9.16,10.99
PERF,2022-11-01,10.15,10.61,8.04,9.02
PERF,2022-11-02,7.09,7.85,7.09,7.2
PERF,2022-11-03,7.3,7.62,7.09,7.25
PERF,2022-11-04,7.0,9.81,6.52,9.17
PERF,2022-11-07,10.6,10.6,8.51,8.56
PERF,2022-11-08,8.6,9.0,7.51,7.61
PERF,2022-11-09,7.15,7.53,7.15,7.29
PERF,2022-11-10,7.35,8.17,7.35,7.73
PERF,2022-11-11,7.45,8.1,7.0,7.12
PERF,2022-11-14,7.29,7.93,7.29,7.47
PERF,2022-11-15,7.35,12.75,7.35,9.95
PERF,2022-11-16,10.13,10.25,8.81,8.93
PERF,2022-11-17,8.4,12.45,8.4,9.95
PERF,2022-11-18,9.41,10.7,8.5,8.59
PERF,2022-11-21,8.11,8.89,8.0,8.66
PERF,2022-11-22,8.64,8.85,4.9,5.27
PERF,2022-11-23,5.75,8.3,5.57,7.34
PERF,2022-11-25,7.54,7.7,6.82,7.21
PERF,2022-11-28,6.99,7.54,6.99,7.42
PERF,2022-11-29,7.82,7.82,7.12,7.3
PERF,2022-11-30,7.49,8.19,7.12,7.25
PERF,2022-12-01,7.24,7.81,7.2,7.37
PERF,2022-12-02,7.31,7.67,7.2,7.2
PERF,2022-12-05,7.25,7.39,5.6,5.78
PERF,2022-12-06,6.2,6.51,6.1,6.38
PERF,2022-12-07,6.5,6.5,6.04,6.3
PERF,2022-12-08,6.75,6.75,6.16,6.2
PERF,2022-12-09,6.17,6.69,6.09,6.1
PERF,2022-12-12,6.08,6.23,6.0,6.12
PERF,2022-12-13,6.26,6.6,6.12,6.12
PERF,2022-12-14,6.5,6.6,6.3,6.3
PERF,2022-12-15,6.25,6.54,6.25,6.4
PERF,2022-12-16,6.5,6.9,6.5,6.55
PERF,2022-12-19,7.0,7.41,6.98,7.02
PERF,2022-12-20,7.06,7.32,6.92,7.0
PERF,2022-12-21,7.01,7.25,7.0,7.07
PERF,2022-12-22,7.03,7.15,7.0,7.0
PERF,2022-12-23,7.0,7.34,7.0,7.05
PERF,2022-12-27,7.06,7.17,7.0,7.16
PERF,2022-12-28,7.21,7.21,7.0,7.11
PERF,2022-12-29,7.15,7.4,7.14,7.14
PERF,2022-12-30,7.14,7.24,7.14,7.14
PERF,2023-01-03,7.2,7.39,7.2,7.2
PERF,2023-01-04,7.45,7.45,7.24,7.31
PERF,2023-01-05,7.25,7.25,7.0,7.02
PERF,2023-01-06,7.16,7.39,7.13,7.36
PERF,2023-01-09,7.29,7.29,7.2,7.26
PERF,2023-01-10,7.3,7.3,7.2,7.2
PERF,2023-01-11,7.26,7.37,6.9,6.9
PERF,2023-01-12,7.2,7.28,7.2,7.28
PERF,2023-01-13,7.2,7.32,7.2,7.21
PERF,2023-01-17,7.69,7.69,7.25,7.45
PERF,2023-01-18,7.4,7.49,7.2,7.34
PERF,2023-01-19,7.46,7.46,6.92,6.92
PERF,2023-01-20,7.2,7.29,7.2,7.2
PERF,2023-01-23,7.2,7.32,7.2,7.2
PERF,2023-01-24,7.2,7.56,7.2,7.34
PERF,2023-01-25,7.27,7.39,7.27,7.34
PERF,2023-01-26,7.35,7.53,7.3,7.49
