ticker,date,open,high,low,close
PGRU,2022-03-18,8.61,9.0,7.793,8.46
PGRU,2022-03-21,8.46,8.62,7.75,7.89
PGRU,2022-03-22,7.99,8.1,7.7,7.96
PGRU,2022-03-23,7.76,8.5,7.76,7.88
PGRU,2022-03-24,7.38,7.88,6.27,6.91
PGRU,2022-03-25,6.89,7.195,6.11,6.41
PGRU,2022-03-28,6.6,7.01,6.56,6.911
PGRU,2022-03-29,6.81,7.3,6.61,7.12
PGRU,2022-03-30,7.22,7.465,7.0,7.06
PGRU,2022-03-31,7.06,7.39,6.9,6.9
PGRU,2022-04-01,6.8,7.04,6.23,6.23
PGRU,2022-04-04,6.6,6.99,6.5,6.84
PGRU,2022-04-05,6.95,7.0,6.77,6.92
PGRU,2022-04-06,7.0,7.04,6.81,6.96
PGRU,2022-04-07,6.93,7.27,6.93,7.21
PGRU,2022-04-08,7.05,7.29,7.04,7.29
PGRU,2022-04-11,7.12,7.27,6.84,6.95
PGRU,2022-04-12,6.99,7.15,6.32,6.68
PGRU,2022-04-13,6.4,6.99,6.25,6.31
PGRU,2022-04-14,6.35,6.6,6.21,6.23
PGRU,2022-04-18,6.1,6.35,6.0,6.03
PGRU,2022-04-19,6.21,6.36,6.05,6.33
PGRU,2022-04-20,6.42,6.51,6.18,6.47
PGRU,2022-04-21,6.55,6.81,6.31,6.79
PGRU,2022-04-22,6.78,7.47,6.58,7.31
PGRU,2022-04-25,7.3,7.83,7.3,7.83
PGRU,2022-04-26,7.48,7.48,7.25,7.36
PGRU,2022-04-27,7.43,7.85,7.32,7.47
PGRU,2022-04-28,7.39,7.59,7.15,7.51
PGRU,2022-04-29,7.215,7.71,7.215,7.71
PGRU,2022-05-02,7.42,7.69,7.33,7.33
PGRU,2022-05-03,7.25,7.6,7.2,7.44
PGRU,2022-05-04,7.37,7.7,7.301,7.66
PGRU,2022-05-05,7.53,7.75,7.35,7.48
PGRU,2022-05-06,7.37,7.75,7.35,7.49
PGRU,2022-05-09,7.74,7.74,7.25,7.3
PGRU,2022-05-10,7.16,7.69,6.77,6.77
PGRU,2022-05-11,7.29,7.52,6.88,7.17
PGRU,2022-05-12,7.02,7.4,6.9,7.0
PGRU,2022-05-13,7.0,7.0,6.39,6.66
PGRU,2022-05-16,6.55,7.0,6.4,6.9
PGRU,2022-05-17,6.79,7.21,6.629,6.89
PGRU,2022-05-18,6.8,7.075,6.5,6.5
PGRU,2022-05-19,6.18,6.67,6.18,6.52
PGRU,2022-05-20,6.45,6.92,6.45,6.57
PGRU,2022-05-23,6.37,6.825,6.28,6.54
PGRU,2022-05-24,6.53,6.7,6.53,6.67
PGRU,2022-05-25,6.57,6.725,6.54,6.54
PGRU,2022-05-26,6.42,6.74,6.42,6.65
PGRU,2022-05-27,6.65,7.77,6.65,7.26
PGRU,2022-05-31,7.12,7.12,5.16,5.59
PGRU,2022-06-01,5.95,6.2,5.669,6.15
PGRU,2022-06-02,5.85,6.05,5.64,5.905
PGRU,2022-06-03,5.8,6.02,5.67,5.96
PGRU,2022-06-06,5.9,5.9,5.7,5.87
PGRU,2022-06-07,5.6,5.9,5.56,5.85
PGRU,2022-06-08,5.64,5.9,5.64,5.85
PGRU,2022-06-09,5.87,5.98,5.71,5.87
PGRU,2022-06-10,5.77,5.88,5.655,5.83
PGRU,2022-06-13,5.5,5.78,5.3,5.3
PGRU,2022-06-14,5.39,5.4,5.13,5.21
PGRU,2022-06-15,5.15,5.15,5.06,5.09
PGRU,2022-06-16,5.0,5.07,4.62,4.67
PGRU,2022-06-17,5.09,5.09,4.33,4.33
PGRU,2022-06-21,4.38,4.87,4.38,4.71
PGRU,2022-06-22,4.86,4.9,4.72,4.88
PGRU,2022-06-23,5.17,5.17,4.717,4.845
PGRU,2022-06-24,4.95,4.99,4.75,4.95
PGRU,2022-06-27,4.84,4.86,4.39,4.45
PGRU,2022-06-28,4.56,4.75,4.4,4.44
PGRU,2022-06-29,4.45,4.75,4.45,4.65
PGRU,2022-06-30,4.74,5.205,4.47,4.5
PGRU,2022-07-01,4.59,4.59,4.37,4.5
PGRU,2022-07-05,4.49,5.0,4.49,4.85
PGRU,2022-07-06,5.19,5.19,4.51,4.8
PGRU,2022-07-07,4.81,5.15,4.81,5.13
PGRU,2022-07-08,5.18,5.2,4.989,5.04
PGRU,2022-07-11,5.13,5.15,4.98,4.99
PGRU,2022-07-12,4.89,5.18,4.86,4.94
PGRU,2022-07-13,4.79,5.09,4.76,4.9
PGRU,2022-07-14,4.77,4.99,4.66,4.69
PGRU,2022-07-15,4.61,4.92,4.51,4.61
PGRU,2022-07-18,4.53,4.81,4.523,4.68
PGRU,2022-07-19,4.99,5.08,4.72,4.72
PGRU,2022-07-20,4.71,4.84,4.69,4.7
PGRU,2022-07-21,5.0,5.0,4.71,4.9
PGRU,2022-07-22,4.79,4.9,4.57,4.58
PGRU,2022-07-25,5.63,5.63,4.63,4.82
PGRU,2022-07-26,4.75,4.95,4.6,4.72
PGRU,2022-07-27,4.74,4.8,4.52,4.79
PGRU,2022-07-28,4.68,5.0,4.52,4.6
PGRU,2022-07-29,4.54,4.85,4.36,4.46
PGRU,2022-08-01,4.6,4.7,4.38,4.46
PGRU,2022-08-02,4.5,4.6,4.5,4.6
PGRU,2022-08-03,4.51,4.7,4.47,4.6
PGRU,2022-08-04,4.69,4.9,4.61,4.64
PGRU,2022-08-05,4.81,4.81,4.63,4.81
PGRU,2022-08-08,4.81,4.9,4.76,4.86
PGRU,2022-08-09,4.8,4.9,4.8,4.8
PGRU,2022-08-10,4.75,4.9,4.75,4.75
PGRU,2022-08-11,4.74,4.9,4.74,4.82
PGRU,2022-08-12,4.89,4.89,4.72,4.77
PGRU,2022-08-15,4.87,5.0,4.75,4.8
PGRU,2022-08-16,4.94,4.94,4.79,4.83
PGRU,2022-08-17,4.85,4.95,4.7,4.75
PGRU,2022-08-18,4.81,4.95,4.77,4.9
PGRU,2022-08-19,4.76,4.98,4.68,4.73
PGRU,2022-08-22,4.8,4.98,4.7,4.8
PGRU,2022-08-23,4.75,4.95,4.631,4.75
PGRU,2022-08-24,4.75,4.815,4.68,4.68
PGRU,2022-08-25,4.94,5.09,4.74,4.8
PGRU,2022-08-26,4.75,4.87,4.74,4.75
PGRU,2022-08-29,4.66,4.8,4.62,4.63
PGRU,2022-08-30,4.7,4.8,4.61,4.8
PGRU,2022-08-31,4.8,5.285,4.75,5.11
