ticker,date,open,high,low,close
PRM,2021-11-09,11.0,12.13,11.0,12.0
PRM,2021-11-10,12.7,12.8,11.9,12.33
PRM,2021-11-11,12.85,13.59,12.82,13.17
PRM,2021-11-12,13.55,15.14,13.5,14.06
PRM,2021-11-15,13.0,13.96,12.9,13.05
PRM,2021-11-16,13.45,13.85,12.76,13.39
PRM,2021-11-17,13.41,13.5,12.85,13.14
PRM,2021-11-18,13.28,13.49,12.7,12.94
PRM,2021-11-19,12.93,13.3,11.9,12.89
PRM,2021-11-22,12.94,13.3,12.69,12.93
PRM,2021-11-23,13.08,13.08,12.3,12.83
PRM,2021-11-24,13.0,13.0,12.27,12.62
PRM,2021-11-26,12.32,12.65,12.01,12.25
PRM,2021-11-29,12.08,12.49,11.72,11.95
PRM,2021-11-30,12.2,12.3,11.65,11.75
PRM,2021-12-01,11.9,11.9,11.18,11.5
PRM,2021-12-02,11.32,11.5,10.63,11.5
PRM,2021-12-03,11.5,11.55,10.8,11.45
PRM,2021-12-06,11.78,11.89,11.2,11.72
PRM,2021-12-07,11.82,11.99,11.59,11.8
PRM,2021-12-08,11.77,11.94,11.43,11.75
PRM,2021-12-09,11.67,11.87,11.42,11.75
PRM,2021-12-10,11.8,11.8,11.25,11.77
PRM,2021-12-13,11.7,11.87,11.31,11.55
PRM,2021-12-14,11.74,12.71,11.43,12.18
PRM,2021-12-15,14.81,14.81,11.95,12.3
PRM,2021-12-16,12.4,12.83,12.14,12.5
PRM,2021-12-17,12.35,12.9,12.11,12.7
PRM,2021-12-20,12.37,12.74,12.16,12.6
PRM,2021-12-21,12.83,13.21,12.67,12.84
PRM,2021-12-22,12.86,13.26,12.47,12.85
PRM,2021-12-23,13.02,14.12,13.02,14.0
PRM,2021-12-27,14.15,14.45,13.68,14.0
PRM,2021-12-28,14.18,14.46,13.39,14.0
PRM,2021-12-29,14.17,14.55,13.69,14.05
PRM,2021-12-30,14.6,14.6,13.57,13.79
PRM,2021-12-31,13.9,14.14,12.89,13.89
PRM,2022-01-03,14.12,14.7,13.88,14.0
PRM,2022-01-04,14.25,14.91,13.95,14.25
PRM,2022-01-05,14.2,14.74,14.06,14.15
PRM,2022-01-06,14.13,14.57,13.81,13.97
PRM,2022-01-07,13.98,14.2,13.52,13.79
PRM,2022-01-10,13.75,14.18,13.5,13.8
PRM,2022-01-11,13.84,14.02,13.5,13.67
PRM,2022-01-12,13.67,14.0,13.5,13.51
PRM,2022-01-13,13.75,13.93,13.37,13.41
PRM,2022-01-14,13.18,13.47,13.07,13.35
PRM,2022-01-18,13.18,13.32,12.82,13.04
PRM,2022-01-19,13.02,13.21,12.83,12.9
PRM,2022-01-20,12.9,13.19,12.8,12.8
PRM,2022-01-21,12.8,13.2,12.59,12.87
PRM,2022-01-24,12.55,12.94,12.22,12.55
PRM,2022-01-25,12.35,13.0,12.16,12.54
PRM,2022-01-26,12.77,12.88,12.28,12.36
PRM,2022-01-27,12.31,12.49,12.11,12.19
PRM,2022-01-28,12.09,12.27,11.79,12.09
PRM,2022-01-31,12.09,13.13,12.09,13.08
PRM,2022-02-01,12.92,13.84,12.88,13.03
PRM,2022-02-02,13.06,13.61,12.94,13.14
PRM,2022-02-03,12.99,13.38,12.87,13.0
PRM,2022-02-04,12.89,13.68,12.89,13.19
PRM,2022-02-07,12.95,13.41,12.94,13.2
PRM,2022-02-08,13.08,13.18,12.59,12.78
PRM,2022-02-09,12.86,13.13,12.79,12.98
PRM,2022-02-10,12.72,13.0,12.72,12.99
PRM,2022-02-11,12.96,13.01,12.86,12.99
PRM,2022-02-14,12.98,12.99,12.55,12.91
