ticker,date,open,high,low,close
RAAS,2021-02-09,81.0,177.0,78.33,144.0
RAAS,2021-02-10,136.23,140.94,91.5,93.0
RAAS,2021-02-11,98.79,106.56,96.06,96.24
RAAS,2021-02-12,96.81,97.806,87.15,93.87
RAAS,2021-02-16,92.97,94.44,87.9,88.95
RAAS,2021-02-17,88.2,97.305,87.3,88.11
RAAS,2021-02-18,87.3,92.7,87.3,91.02
RAAS,2021-02-19,92.1,101.67,92.1,100.2
RAAS,2021-02-22,96.0,96.0,86.64,86.7
RAAS,2021-02-23,77.28,77.28,63.63,73.62
RAAS,2021-02-24,72.33,81.3,72.3,78.72
RAAS,2021-02-25,74.97,75.0,63.0,63.09
RAAS,2021-02-26,63.33,64.29,56.28,56.61
RAAS,2021-03-01,60.75,68.91,59.4,66.87
RAAS,2021-03-02,65.55,66.87,57.09,57.36
RAAS,2021-03-03,59.73,62.31,57.6,59.76
RAAS,2021-03-04,57.87,59.67,51.75,53.31
RAAS,2021-03-05,55.8,60.0,49.8,59.25
RAAS,2021-03-08,57.0,59.1,50.1,52.17
RAAS,2021-03-09,54.3,56.25,53.25,54.33
RAAS,2021-03-10,56.61,56.97,48.3,48.54
RAAS,2021-03-11,51.6,53.04,50.04,50.28
RAAS,2021-03-12,49.35,52.8,48.84,50.61
RAAS,2021-03-15,51.72,53.79,50.4,53.7
RAAS,2021-03-16,54.48,61.326,54.33,60.42
RAAS,2021-03-17,56.46,61.05,55.62,59.79
RAAS,2021-03-18,57.24,63.87,57.12,61.59
RAAS,2021-03-19,60.27,68.67,60.27,68.22
RAAS,2021-03-22,66.18,67.5,59.1,59.43
RAAS,2021-03-23,58.65,62.046,57.84,58.95
RAAS,2021-03-24,58.92,58.965,45.03,45.24
RAAS,2021-03-25,45.0,45.0,41.31,43.26
RAAS,2021-03-26,43.14,45.513,31.8,35.25
RAAS,2021-03-29,36.0,39.24,34.53,34.83
RAAS,2021-03-30,34.83,43.17,34.71,41.28
RAAS,2021-03-31,40.56,42.78,39.18,41.19
RAAS,2021-04-01,41.82,42.57,37.83,38.7
RAAS,2021-04-05,39.15,39.42,34.26,36.93
RAAS,2021-04-06,36.48,38.13,35.46,38.07
