ticker,date,open,high,low,close
SBXC,2023-02-28,10.12,10.12,10.06,10.07
SBXC,2023-03-01,10.06,10.1,10.06,10.09
SBXC,2023-03-02,10.2,10.2,10.08,10.08
SBXC,2023-03-03,10.09,10.1,10.08,10.09
SBXC,2023-03-06,10.1,10.1,10.1,10.1
SBXC,2023-03-07,10.1,10.1,10.09,10.1
SBXC,2023-03-08,10.1,10.1,10.08,10.08
SBXC,2023-03-09,10.1,10.1,10.08,10.08
SBXC,2023-03-10,10.08,10.08,10.07,10.07
SBXC,2023-03-13,10.07,10.07,10.07,10.07
SBXC,2023-03-14,10.07,10.07,10.07,10.07
SBXC,2023-03-15,10.09,10.09,10.09,10.09
SBXC,2023-03-16,10.09,10.09,10.09,10.09
SBXC,2023-03-17,10.1,10.1,10.08,10.08
SBXC,2023-03-20,10.06,10.06,10.06,10.06
SBXC,2023-03-21,10.1,10.1,10.1,10.1
SBXC,2023-03-22,10.1,10.1,10.1,10.1
SBXC,2023-03-23,10.04,10.11,10.04,10.1
SBXC,2023-03-24,10.04,10.09,10.04,10.09
SBXC,2023-03-27,10.06,10.06,10.06,10.06
SBXC,2023-03-28,10.06,10.06,10.06,10.06
SBXC,2023-03-29,10.06,10.06,10.06,10.06
SBXC,2023-03-30,10.06,10.06,10.06,10.06
SBXC,2023-03-31,10.06,10.06,10.06,10.06
SBXC,2023-04-03,10.0519,10.06,10.0519,10.06
SBXC,2023-04-04,10.07,10.07,10.07,10.07
SBXC,2023-04-05,10.1,10.1,10.1,10.1
SBXC,2023-04-06,10.07,10.07,10.07,10.07
SBXC,2023-04-10,10.1,10.1,10.0996,10.1
SBXC,2023-04-12,10.08,10.08,10.08,10.08
SBXC,2023-04-14,10.09,10.09,10.09,10.09
SBXC,2023-04-18,10.1,10.1,10.1,10.1
SBXC,2023-04-19,10.1,10.1,10.1,10.1
