ticker,date,open,high,low,close
SDRL,2022-10-14,26.0,28.5,24.51,26.5
SDRL,2022-10-17,27.06,27.49,25.6,27.4
SDRL,2022-10-18,27.49,27.71,26.95,27.12
SDRL,2022-10-19,27.54,27.7,27.25,27.55
SDRL,2022-10-20,27.6,27.83,27.3,27.49
SDRL,2022-10-21,27.95,29.2,27.77,28.6
SDRL,2022-10-24,29.0,30.5,27.51,28.83
SDRL,2022-10-25,29.17,29.74,27.75,28.64
SDRL,2022-10-26,29.5,31.98,29.33,31.53
SDRL,2022-10-27,31.18,33.88,31.18,32.8
SDRL,2022-10-28,31.47,33.25,31.47,32.74
SDRL,2022-10-31,32.11,32.49,31.5,31.5
SDRL,2022-11-01,34.53,34.53,32.05,33.37
SDRL,2022-11-02,33.35,33.72,32.5,33.06
SDRL,2022-11-03,32.66,33.33,31.05,32.89
SDRL,2022-11-04,33.54,33.65,32.25,32.43
SDRL,2022-11-07,32.95,33.42,32.01,32.89
SDRL,2022-11-08,32.9,32.99,31.85,32.38
SDRL,2022-11-09,32.13,32.43,31.3,31.48
SDRL,2022-11-10,32.07,32.24,30.98,31.65
SDRL,2022-11-11,31.6,32.16,30.95,31.66
SDRL,2022-11-14,31.99,32.0,31.51,31.94
SDRL,2022-11-15,32.0,32.01,31.75,31.77
SDRL,2022-11-16,32.55,32.8,31.56,31.67
SDRL,2022-11-17,31.67,31.99,31.41,31.8
SDRL,2022-11-18,31.11,31.75,30.29,31.24
SDRL,2022-11-21,31.25,31.39,30.6,31.0
SDRL,2022-11-22,31.9,32.0,31.03,31.45
SDRL,2022-11-23,31.44,31.49,31.18,31.4
SDRL,2022-11-25,32.4,32.46,31.89,32.0
SDRL,2022-11-28,32.0,32.98,31.52,31.7
SDRL,2022-11-29,32.62,32.68,31.5,31.84
SDRL,2022-11-30,32.05,32.22,31.68,32.0
SDRL,2022-12-01,32.17,32.55,31.17,31.81
SDRL,2022-12-02,31.99,32.26,31.31,31.6
SDRL,2022-12-05,32.06,32.12,29.41,30.25
SDRL,2022-12-06,30.7,30.82,29.7,29.8
SDRL,2022-12-07,29.85,30.1,28.91,29.2
SDRL,2022-12-08,29.42,29.66,28.87,29.19
SDRL,2022-12-09,29.0,29.2,28.73,28.73
SDRL,2022-12-12,29.15,29.59,28.36,29.11
SDRL,2022-12-13,30.3,30.34,29.14,29.53
SDRL,2022-12-14,29.86,29.93,29.26,29.62
SDRL,2022-12-15,29.42,29.76,28.61,28.92
SDRL,2022-12-16,28.62,28.98,28.56,28.98
SDRL,2022-12-19,29.65,29.75,28.88,29.05
SDRL,2022-12-20,29.3,29.63,29.15,29.37
SDRL,2022-12-21,29.92,30.23,29.79,30.14
SDRL,2022-12-22,30.03,30.03,29.41,29.84
SDRL,2022-12-23,30.43,31.51,30.43,31.16
SDRL,2022-12-27,31.82,32.18,30.89,30.92
SDRL,2022-12-28,32.41,33.16,31.42,32.78
SDRL,2022-12-29,32.94,32.94,31.52,32.5
SDRL,2022-12-30,33.89,33.89,31.91,32.64
SDRL,2023-01-03,32.44,32.44,29.99,30.24
SDRL,2023-01-04,30.11,31.2,30.05,31.08
SDRL,2023-01-05,30.84,32.36,30.53,31.2
SDRL,2023-01-06,31.61,32.38,31.21,32.06
SDRL,2023-01-09,32.8,33.57,32.36,33.11
SDRL,2023-01-10,32.97,33.97,32.89,33.72
SDRL,2023-01-11,33.88,34.22,32.96,33.33
SDRL,2023-01-12,33.29,33.71,32.92,33.56
SDRL,2023-01-13,33.56,34.71,33.42,34.37
SDRL,2023-01-17,34.97,36.01,34.47,35.18
SDRL,2023-01-18,36.27,36.42,35.38,35.76
SDRL,2023-01-19,36.64,40.75,36.5,40.05
SDRL,2023-01-20,39.37,41.49,38.05,40.14
SDRL,2023-01-23,39.86,40.91,39.33,40.09
SDRL,2023-01-24,39.22,41.19,39.07,40.87
SDRL,2023-01-25,39.6,41.25,39.35,41.04
SDRL,2023-01-26,41.56,41.72,40.47,41.33
SDRL,2023-01-27,41.41,43.84,41.41,43.04
SDRL,2023-01-30,41.8,41.88,40.0,40.53
SDRL,2023-01-31,40.17,42.55,40.05,42.5
SDRL,2023-02-01,42.39,45.48,42.05,44.83
SDRL,2023-02-02,43.38,43.77,40.83,42.0
SDRL,2023-02-03,41.6,44.56,41.6,43.4
SDRL,2023-02-06,42.5,43.29,41.83,42.7
SDRL,2023-02-07,42.09,44.68,41.82,44.59
SDRL,2023-02-08,44.59,44.59,41.85,42.63
SDRL,2023-02-09,42.67,43.12,41.55,41.87
SDRL,2023-02-10,42.53,43.69,42.25,43.29
SDRL,2023-02-13,43.29,44.38,42.61,43.05
SDRL,2023-02-14,41.51,42.97,41.34,41.96
SDRL,2023-02-15,41.31,42.88,41.18,42.45
SDRL,2023-02-16,42.4,43.17,42.01,42.82
SDRL,2023-02-17,42.45,42.45,40.97,41.5
SDRL,2023-02-21,40.92,41.58,39.21,41.26
SDRL,2023-02-22,39.46,39.96,38.19,39.03
SDRL,2023-02-23,38.96,40.34,37.73,39.2
SDRL,2023-02-24,37.71,39.39,37.59,39.25
SDRL,2023-02-27,39.06,41.97,39.06,41.37
SDRL,2023-02-28,41.65,42.38,41.01,41.53
SDRL,2023-03-01,41.95,43.4,41.63,42.72
SDRL,2023-03-02,42.76,44.17,42.36,43.9
SDRL,2023-03-03,43.03,44.02,42.75,43.65
SDRL,2023-03-06,43.66,44.18,42.21,43.85
SDRL,2023-03-07,43.53,43.53,41.2,42.31
SDRL,2023-03-08,41.7,42.29,39.17,39.96
SDRL,2023-03-09,39.28,40.19,39.28,39.29
SDRL,2023-03-10,39.39,41.13,38.72,39.1
SDRL,2023-03-13,36.52,38.31,36.48,37.01
SDRL,2023-03-14,37.87,39.28,36.72,37.04
SDRL,2023-03-15,35.14,36.24,33.78,36.09
SDRL,2023-03-16,34.97,36.05,34.76,35.8
SDRL,2023-03-17,35.96,35.96,33.99,34.35
SDRL,2023-03-20,34.49,36.06,34.44,35.88
SDRL,2023-03-21,37.77,37.93,37.17,37.63
SDRL,2023-03-22,37.7,38.71,36.61,36.68
SDRL,2023-03-23,37.97,39.0,36.5,37.3
SDRL,2023-03-24,36.86,38.31,36.47,37.74
SDRL,2023-03-27,37.5,38.65,36.85,38.05
SDRL,2023-03-28,38.06,40.27,38.06,39.36
SDRL,2023-03-29,39.36,40.01,39.05,39.74
SDRL,2023-03-30,39.78,39.78,38.12,39.63
SDRL,2023-03-31,38.7,40.31,38.67,40.16
SDRL,2023-04-03,41.2,41.905,40.87,41.62
SDRL,2023-04-04,39.75,40.28,37.92,38.36
SDRL,2023-04-05,40.75,41.99,37.18,38.22
SDRL,2023-04-06,37.69,38.965,37.23,38.55
SDRL,2023-04-10,38.41,39.42,38.255,38.8
SDRL,2023-04-11,38.17,39.21,37.3,37.82
SDRL,2023-04-12,38.15,38.19,36.5,37.38
SDRL,2023-04-13,37.22,37.91,36.575,36.97
SDRL,2023-04-14,37.01,37.385,36.15,36.97
SDRL,2023-04-17,37.01,37.19,36.41,37.0
SDRL,2023-04-18,36.94,37.39,36.315,37.28
SDRL,2023-04-19,36.76,37.0,36.3,36.54
