ticker,date,open,high,low,close
SIRE,2013-09-13,18.25,18.72,17.76,18.0
SIRE,2013-09-16,18.2,18.29,18.01,18.06
SIRE,2013-09-17,18.08,18.35,18.06,18.2
SIRE,2013-09-18,18.2,18.45,18.11,18.39
SIRE,2013-09-19,18.37,18.44,18.3,18.3
SIRE,2013-09-20,18.3,18.32,18.08,18.1
SIRE,2013-09-23,18.18,18.2,18.01,18.16
SIRE,2013-09-24,18.2,18.24,18.1,18.11
SIRE,2013-09-25,18.11,18.15,18.02,18.11
SIRE,2013-09-26,18.15,18.29,18.15,18.22
SIRE,2013-09-27,18.22,18.24,18.16,18.17
SIRE,2013-09-30,18.1,18.39,18.08,18.35
SIRE,2013-10-01,18.3,18.37,18.25,18.35
SIRE,2013-10-02,18.4,18.68,18.4,18.61
SIRE,2013-10-03,18.6,18.94,18.6,18.9
SIRE,2013-10-04,18.91,19.14,18.81,19.09
SIRE,2013-10-07,19.09,19.49,18.87,19.44
SIRE,2013-10-08,19.79,20.19,19.44,20.01
SIRE,2013-10-09,20.05,20.1,19.68,19.99
SIRE,2013-10-10,19.75,20.3,19.75,20.0
SIRE,2013-10-11,20.04,20.31,19.91,19.91
SIRE,2013-10-14,19.71,20.2,19.51,20.2
SIRE,2013-10-15,20.18,20.44,19.98,20.41
SIRE,2013-10-16,20.5,20.85,20.45,20.75
SIRE,2013-10-17,20.83,20.98,20.8,20.8
SIRE,2013-10-18,21.0,21.24,20.84,21.2
SIRE,2013-10-21,21.5,22.11,21.46,22.05
SIRE,2013-10-22,22.25,22.4,21.94,22.1
SIRE,2013-10-23,22.51,22.51,21.91,22.05
SIRE,2013-10-24,22.4,22.4,21.9,22.1
SIRE,2013-10-25,22.08,22.37,21.92,22.07
SIRE,2013-10-28,22.1,22.28,21.9,22.1
SIRE,2013-10-29,22.01,22.18,21.97,22.04
SIRE,2013-10-30,22.33,22.33,21.89,21.89
SIRE,2013-10-31,21.85,22.09,21.85,21.99
SIRE,2013-11-01,22.02,22.31,22.0,22.17
SIRE,2013-11-04,22.24,22.64,22.17,22.33
SIRE,2013-11-05,22.21,22.64,21.62,22.0
SIRE,2013-11-06,21.49,21.49,20.64,21.18
SIRE,2013-11-07,21.11,21.11,20.64,20.9
SIRE,2013-11-08,20.79,21.16,20.59,21.15
SIRE,2013-11-11,21.31,21.51,21.2,21.27
SIRE,2013-11-12,21.47,21.48,20.66,20.78
SIRE,2013-11-13,20.93,21.07,20.41,20.85
SIRE,2013-11-14,21.0,21.5,21.0,21.5
SIRE,2013-11-15,21.5,21.77,21.5,21.76
SIRE,2013-11-18,21.78,22.25,21.59,21.8
SIRE,2013-11-19,21.77,21.77,21.06,21.44
SIRE,2013-11-20,21.43,21.43,21.17,21.17
SIRE,2013-11-21,21.17,21.21,20.78,21.17
SIRE,2013-11-22,21.19,21.28,21.05,21.28
SIRE,2013-11-25,21.04,21.04,20.99,21.04
SIRE,2013-11-26,21.13,21.18,21.0,21.0
SIRE,2013-11-27,20.95,21.05,20.95,21.05
SIRE,2013-11-29,21.25,21.47,21.25,21.47
SIRE,2013-12-02,21.8,21.8,20.76,20.79
SIRE,2013-12-03,20.75,20.84,20.37,20.41
SIRE,2013-12-04,20.67,20.87,20.62,20.62
SIRE,2013-12-05,20.7,20.95,20.7,20.94
SIRE,2013-12-06,21.0,21.38,21.0,21.21
SIRE,2013-12-09,21.8,21.8,21.26,21.4
SIRE,2013-12-10,21.46,21.59,21.27,21.32
SIRE,2013-12-11,21.4,21.5,20.88,20.97
SIRE,2013-12-12,20.82,21.18,20.32,20.86
SIRE,2013-12-13,20.71,20.87,20.51,20.51
SIRE,2013-12-16,20.75,20.95,20.32,20.55
SIRE,2013-12-17,20.55,20.94,20.25,20.55
SIRE,2013-12-18,20.41,20.52,20.25,20.37
SIRE,2013-12-19,20.21,20.4,20.05,20.05
SIRE,2013-12-20,20.1,20.32,20.01,20.11
SIRE,2013-12-23,20.06,20.6,20.05,20.49
SIRE,2013-12-24,20.52,21.28,20.52,21.05
SIRE,2013-12-26,21.12,21.45,20.86,20.91
SIRE,2013-12-27,20.7,20.81,20.6,20.6
SIRE,2013-12-30,20.62,20.78,20.6,20.65
SIRE,2013-12-31,20.65,20.65,20.4,20.49
SIRE,2014-01-02,20.5,20.87,20.5,20.8
SIRE,2014-01-03,20.99,20.99,20.4,20.42
SIRE,2014-01-06,20.61,21.4,20.38,20.75
SIRE,2014-01-07,20.96,21.4,20.96,21.1
SIRE,2014-01-08,21.5,22.3,21.02,21.6
SIRE,2014-01-09,21.61,21.61,20.86,21.15
SIRE,2014-01-10,21.15,21.4,20.98,21.15
SIRE,2014-01-13,21.43,21.5,20.55,20.56
SIRE,2014-01-14,20.55,21.38,20.55,20.65
SIRE,2014-01-15,20.86,21.09,20.5,20.68
SIRE,2014-01-16,20.98,20.98,20.47,20.55
SIRE,2014-01-17,20.44,21.19,20.44,20.99
SIRE,2014-01-21,21.35,21.35,21.05,21.34
SIRE,2014-01-22,21.35,21.37,21.15,21.37
SIRE,2014-01-23,21.33,21.35,21.1,21.1
SIRE,2014-01-24,21.1,21.34,20.66,20.66
SIRE,2014-01-27,20.65,21.3,20.65,20.68
SIRE,2014-01-28,20.5,21.14,20.22,20.59
SIRE,2014-01-29,20.63,21.0,20.55,21.0
SIRE,2014-01-30,21.06,21.41,21.06,21.2
SIRE,2014-01-31,21.28,21.5,21.22,21.5
SIRE,2014-02-03,21.38,21.55,21.15,21.17
SIRE,2014-02-04,21.15,21.69,20.74,20.92
SIRE,2014-02-05,21.09,21.7,20.82,21.05
SIRE,2014-02-06,21.07,21.26,20.88,20.93
SIRE,2014-02-07,21.15,21.18,20.92,20.96
SIRE,2014-02-10,21.18,21.6,21.14,21.47
SIRE,2014-02-11,21.48,21.69,21.45,21.46
SIRE,2014-02-12,21.47,21.47,21.1,21.11
SIRE,2014-02-13,21.29,21.31,21.0,21.03
SIRE,2014-02-14,21.08,21.11,20.89,20.96
SIRE,2014-02-18,21.07,21.55,20.89,21.02
SIRE,2014-02-19,21.22,21.32,21.02,21.26
SIRE,2014-02-20,21.25,21.7,21.08,21.66
SIRE,2014-02-21,21.85,22.27,21.7,21.9
SIRE,2014-02-24,21.98,22.85,21.81,22.02
SIRE,2014-02-25,22.15,22.15,22.0,22.08
SIRE,2014-02-26,21.99,22.1,21.57,21.73
SIRE,2014-02-27,22.05,22.06,21.61,21.9
SIRE,2014-02-28,22.26,22.6,22.15,22.19
SIRE,2014-03-03,22.16,22.16,21.9,22.09
SIRE,2014-03-04,22.0,22.57,22.0,22.4
SIRE,2014-03-05,22.56,22.63,22.35,22.45
SIRE,2014-03-06,22.19,22.19,21.77,22.0
SIRE,2014-03-07,21.9,22.11,21.74,21.9
SIRE,2014-03-10,22.0,22.12,21.96,22.04
SIRE,2014-03-11,22.08,22.15,21.92,21.94
SIRE,2014-03-12,22.14,22.14,21.82,21.82
SIRE,2014-03-13,21.9,22.15,21.6,22.0
SIRE,2014-03-14,22.05,22.05,21.96,21.96
SIRE,2014-03-17,21.69,21.99,21.69,21.85
SIRE,2014-03-18,21.71,21.99,21.71,21.9
SIRE,2014-03-19,21.9,22.0,21.69,21.99
SIRE,2014-03-20,22.0,22.0,21.86,21.86
SIRE,2014-03-21,21.95,22.0,21.87,22.0
SIRE,2014-03-24,21.87,22.0,21.87,22.0
SIRE,2014-03-25,22.07,22.35,21.86,21.86
SIRE,2014-03-26,21.97,22.25,21.87,21.95
SIRE,2014-03-27,21.93,22.0,21.9,21.96
SIRE,2014-03-28,21.87,21.87,21.81,21.84
SIRE,2014-03-31,21.8,21.9,21.12,21.69
SIRE,2014-04-01,21.84,21.84,21.79,21.82
SIRE,2014-04-02,21.84,22.0,21.72,22.0
SIRE,2014-04-03,22.0,22.0,21.98,21.99
SIRE,2014-04-04,22.0,22.02,21.77,22.02
SIRE,2014-04-07,22.0,22.0,21.85,21.85
SIRE,2014-04-08,21.92,22.0,21.8,21.97
SIRE,2014-04-09,21.93,21.99,21.65,21.89
SIRE,2014-04-10,21.9,21.9,21.3,21.9
SIRE,2014-04-11,21.88,21.9,21.7,21.9
SIRE,2014-04-14,21.9,21.9,21.68,21.75
SIRE,2014-04-15,21.78,21.89,21.7,21.89
SIRE,2014-04-16,21.9,22.0,21.79,22.0
SIRE,2014-04-17,21.98,21.99,21.91,21.99
SIRE,2014-04-21,22.0,22.1,21.85,21.9
SIRE,2014-04-22,21.9,22.09,21.8,21.99
SIRE,2014-04-23,22.0,22.05,21.95,22.0
SIRE,2014-04-24,22.0,22.01,21.86,22.0
SIRE,2014-04-25,22.0,22.22,21.9,21.99
SIRE,2014-04-28,21.89,22.13,21.75,21.75
SIRE,2014-04-29,21.78,21.99,21.78,21.95
SIRE,2014-04-30,22.0,22.05,21.84,21.95
SIRE,2014-05-01,21.95,21.95,21.75,21.95
SIRE,2014-05-02,22.0,22.44,21.86,21.98
SIRE,2014-05-05,22.12,23.29,22.0,22.38
SIRE,2014-05-06,22.38,22.61,22.38,22.38
SIRE,2014-05-07,22.47,22.47,22.0,22.0
SIRE,2014-05-08,22.41,22.41,21.97,22.0
SIRE,2014-05-09,22.13,22.2,21.85,21.99
SIRE,2014-05-12,22.0,22.03,21.83,21.9
SIRE,2014-05-13,22.0,22.0,21.76,21.8
SIRE,2014-05-14,21.79,21.79,21.25,21.35
SIRE,2014-05-15,21.52,21.55,21.11,21.2
SIRE,2014-05-16,21.1,21.46,21.1,21.39
SIRE,2014-05-19,22.58,22.58,21.85,22.23
SIRE,2014-05-20,22.39,22.5,21.83,21.83
SIRE,2014-05-21,22.0,22.22,21.9,21.98
SIRE,2014-05-22,22.15,22.45,21.98,22.16
SIRE,2014-05-23,22.3,22.59,22.3,22.52
SIRE,2014-05-27,22.56,23.36,22.56,23.25
SIRE,2014-05-28,23.65,24.72,23.51,23.84
SIRE,2014-05-29,23.9,24.29,23.69,23.86
SIRE,2014-05-30,23.9,24.1,23.71,23.8
SIRE,2014-06-02,24.25,24.35,23.91,24.23
SIRE,2014-06-03,24.49,24.99,24.07,24.69
SIRE,2014-06-04,24.95,25.59,24.63,25.51
SIRE,2014-06-05,25.68,26.19,25.68,25.98
SIRE,2014-06-06,26.0,26.17,25.9,25.99
SIRE,2014-06-09,26.0,26.13,25.71,25.77
SIRE,2014-06-10,25.91,26.02,25.36,25.49
SIRE,2014-06-11,25.3,25.3,24.72,25.06
SIRE,2014-06-12,25.13,25.82,24.89,25.76
SIRE,2014-06-13,25.75,26.14,25.03,25.17
SIRE,2014-06-16,25.0,25.0,23.45,23.45
SIRE,2014-06-17,24.0,24.4,24.0,24.26
SIRE,2014-06-18,24.5,24.67,24.38,24.49
SIRE,2014-06-19,24.82,25.11,24.82,24.95
SIRE,2014-06-20,25.06,25.38,24.63,24.94
