ticker,date,open,high,low,close
SQZ,2020-10-30,15.05,15.6,12.98,13.25
SQZ,2020-11-02,14.0,15.0,13.85,14.5
SQZ,2020-11-03,14.65,16.42,14.55,16.25
SQZ,2020-11-04,16.04,16.75,16.04,16.7
SQZ,2020-11-05,16.78,18.0,16.763,17.9
SQZ,2020-11-06,17.99,21.115,17.99,20.0
SQZ,2020-11-09,20.99,23.94,20.99,21.75
SQZ,2020-11-10,22.1,23.43,20.06,20.25
SQZ,2020-11-11,20.25,21.7,20.25,21.0
SQZ,2020-11-12,21.36,22.325,21.0,21.8
SQZ,2020-11-13,22.22,24.27,22.023,24.0
SQZ,2020-11-16,24.42,30.37,23.03,30.33
SQZ,2020-11-17,31.0,36.49,28.95,29.78
SQZ,2020-11-18,29.0,31.85,26.59,29.96
SQZ,2020-11-19,30.25,31.25,29.93,30.53
SQZ,2020-11-20,31.47,32.41,31.41,32.13
SQZ,2020-11-23,33.17,33.17,27.16,27.62
SQZ,2020-11-24,28.81,30.29,28.01,29.31
SQZ,2020-11-25,29.66,30.77,28.01,29.33
SQZ,2020-11-27,29.77,32.0,29.29,31.29
SQZ,2020-11-30,32.39,32.49,30.86,31.0
SQZ,2020-12-01,31.45,32.49,28.35,29.25
SQZ,2020-12-02,28.98,28.98,24.6,26.1
SQZ,2020-12-03,26.39,28.4,26.39,27.54
SQZ,2020-12-04,27.89,28.4,26.05,26.05
SQZ,2020-12-07,25.39,25.758,22.12,24.08
SQZ,2020-12-08,23.85,25.188,23.28,23.55
SQZ,2020-12-09,23.38,24.679,22.28,24.38
SQZ,2020-12-10,24.0,25.134,23.04,23.92
SQZ,2020-12-11,24.0,24.21,21.6,22.31
SQZ,2020-12-14,23.0,24.89,22.31,24.86
SQZ,2020-12-15,24.73,27.45,23.509,26.25
SQZ,2020-12-16,26.69,27.0,24.52,25.64
SQZ,2020-12-17,25.92,26.5,24.15,25.26
SQZ,2020-12-18,25.37,27.34,24.1,24.74
SQZ,2020-12-21,24.51,26.42,24.1,25.76
SQZ,2020-12-22,25.76,30.27,25.12,30.09
SQZ,2020-12-23,29.89,29.978,26.1,27.22
SQZ,2020-12-24,27.01,28.3,26.632,27.5
SQZ,2020-12-28,28.02,34.9,27.0,34.58
SQZ,2020-12-29,35.17,35.17,30.54,30.68
SQZ,2020-12-30,30.5,31.695,29.038,30.04
SQZ,2020-12-31,29.6,29.699,28.084,28.98
SQZ,2021-01-04,29.33,30.46,27.5,28.0
SQZ,2021-01-05,27.5,28.65,26.543,28.65
SQZ,2021-01-06,28.92,31.04,28.23,29.9
SQZ,2021-01-07,29.87,30.52,28.15,29.32
SQZ,2021-01-08,29.82,30.297,26.75,28.0
SQZ,2021-01-11,27.95,28.94,26.8,27.73
SQZ,2021-01-12,27.14,29.0,26.59,28.09
SQZ,2021-01-13,27.841,29.9,27.34,29.13
SQZ,2021-01-14,30.0,30.0,28.035,28.64
SQZ,2021-01-15,28.19,29.398,27.41,28.7
SQZ,2021-01-19,28.9,29.45,25.005,27.24
SQZ,2021-01-20,27.21,27.22,24.84,25.44
SQZ,2021-01-21,25.06,26.68,23.46,24.89
SQZ,2021-01-22,24.94,26.68,24.11,26.17
SQZ,2021-01-25,26.0,26.0,24.01,24.24
SQZ,2021-01-26,24.59,26.68,24.59,25.81
SQZ,2021-01-27,26.0,26.55,23.5,24.52
SQZ,2021-01-28,25.37,25.37,23.11,23.45
SQZ,2021-01-29,23.8,25.06,23.8,24.07
SQZ,2021-02-01,24.2,25.408,24.2,24.55
SQZ,2021-02-02,24.79,25.46,24.61,24.77
SQZ,2021-02-03,25.08,25.47,24.35,25.08
SQZ,2021-02-04,24.99,25.859,24.59,25.26
SQZ,2021-02-05,25.35,26.48,25.35,26.32
SQZ,2021-02-08,26.66,27.5,25.77,27.28
SQZ,2021-02-09,27.26,29.34,27.065,28.97
SQZ,2021-02-10,28.23,28.667,24.28,24.41
SQZ,2021-02-11,24.175,24.559,21.14,22.01
SQZ,2021-02-12,18.71,19.2,17.9,18.56
SQZ,2021-02-16,19.0,19.08,18.0,18.51
SQZ,2021-02-17,18.5,18.92,17.96,18.6
SQZ,2021-02-18,18.15,18.49,17.21,18.2
SQZ,2021-02-19,18.5,18.89,17.5,17.71
SQZ,2021-02-22,17.86,18.09,17.14,17.55
SQZ,2021-02-23,17.25,17.27,15.716,16.85
SQZ,2021-02-24,16.79,16.85,15.7,16.14
SQZ,2021-02-25,16.27,16.88,15.0,15.3
SQZ,2021-02-26,15.31,15.65,14.63,15.0
SQZ,2021-03-01,16.23,16.23,14.74,15.2
SQZ,2021-03-02,15.15,15.538,14.87,15.22
SQZ,2021-03-03,15.13,15.148,13.9,14.23
SQZ,2021-03-04,14.51,14.51,13.1,13.25
SQZ,2021-03-05,13.26,13.684,12.07,13.55
SQZ,2021-03-08,13.69,13.9,13.25,13.57
SQZ,2021-03-09,14.0,14.95,13.76,14.52
SQZ,2021-03-10,14.91,15.2,14.04,14.55
SQZ,2021-03-11,14.5,15.05,14.43,14.79
SQZ,2021-03-12,14.51,14.91,14.14,14.9
SQZ,2021-03-15,14.9,15.596,14.65,15.36
SQZ,2021-03-16,15.57,16.075,15.36,15.62
SQZ,2021-03-17,15.8,15.8,14.785,15.46
SQZ,2021-03-18,15.47,15.98,14.79,15.02
SQZ,2021-03-19,15.0,16.0,14.66,14.92
SQZ,2021-03-22,15.17,15.8,14.31,14.66
SQZ,2021-03-23,14.67,14.74,13.71,14.22
SQZ,2021-03-24,14.11,14.21,12.75,12.93
SQZ,2021-03-25,12.94,13.31,12.56,13.26
SQZ,2021-03-26,13.19,13.4,12.2,12.35
SQZ,2021-03-29,12.36,12.8,11.79,12.07
SQZ,2021-03-30,12.0,12.9,11.53,12.84
SQZ,2021-03-31,13.31,14.0,13.1,13.68
SQZ,2021-04-01,13.57,13.75,13.31,13.66
SQZ,2021-04-05,14.0,14.0,13.1,13.38
SQZ,2021-04-06,13.55,13.65,12.92,13.3
SQZ,2021-04-07,13.05,13.48,12.84,13.28
SQZ,2021-04-08,13.49,13.76,13.15,13.52
SQZ,2021-04-09,13.41,13.75,13.05,13.66
SQZ,2021-04-12,13.87,13.95,13.11,13.55
SQZ,2021-04-13,13.66,13.95,12.55,13.03
SQZ,2021-04-14,12.91,13.35,12.62,13.06
SQZ,2021-04-15,13.17,13.75,12.56,12.69
SQZ,2021-04-16,12.89,12.93,12.31,12.7
SQZ,2021-04-19,12.61,12.63,12.04,12.51
SQZ,2021-04-20,12.5,12.51,11.85,12.31
SQZ,2021-04-21,12.17,12.78,12.17,12.69
SQZ,2021-04-22,12.72,13.255,12.5,12.69
SQZ,2021-04-23,12.79,13.13,12.34,12.78
SQZ,2021-04-26,12.77,13.095,12.52,12.87
SQZ,2021-04-27,13.0,13.41,12.64,12.94
SQZ,2021-04-28,12.84,13.115,12.36,12.69
SQZ,2021-04-29,12.74,12.84,12.03,12.27
SQZ,2021-04-30,12.25,12.82,11.79,12.28
SQZ,2021-05-03,12.19,12.63,11.94,12.21
SQZ,2021-05-04,12.47,12.585,11.84,12.01
SQZ,2021-05-05,11.78,12.4,11.34,12.01
SQZ,2021-05-06,11.91,12.13,11.28,11.66
SQZ,2021-05-07,11.65,12.05,11.29,11.79
SQZ,2021-05-10,11.77,13.46,11.44,11.57
SQZ,2021-05-11,11.37,11.96,11.165,11.47
SQZ,2021-05-12,11.7,12.21,11.36,11.52
SQZ,2021-05-13,11.8,12.0,11.15,11.32
SQZ,2021-05-14,11.4,12.18,11.35,11.88
SQZ,2021-05-17,11.86,12.71,11.73,12.47
SQZ,2021-05-18,12.54,13.31,12.54,13.07
SQZ,2021-05-19,12.83,13.29,12.59,13.03
SQZ,2021-05-20,13.06,13.84,12.74,13.84
SQZ,2021-05-21,14.0,14.075,13.0,13.47
SQZ,2021-05-24,13.37,13.78,12.84,13.4
SQZ,2021-05-25,13.38,13.55,12.84,13.06
SQZ,2021-05-26,13.2,13.895,13.06,13.61
SQZ,2021-05-27,13.56,14.55,13.4,13.95
SQZ,2021-05-28,13.7,13.94,13.2,13.57
SQZ,2021-06-01,13.64,13.91,13.02,13.7
SQZ,2021-06-02,13.89,14.15,13.34,13.86
SQZ,2021-06-03,14.04,14.17,13.322,13.54
SQZ,2021-06-04,13.6,14.0,13.25,13.56
