ticker,date,open,high,low,close
SUNL,2021-01-15,12.5,12.5,10.83,11.11
SUNL,2021-01-19,11.1,11.27,10.8,11.1
SUNL,2021-01-20,11.15,11.18,11.02,11.16
SUNL,2021-01-21,11.34,11.34,11.05,11.29
SUNL,2021-01-22,11.29,11.85,11.1,11.81
SUNL,2021-01-25,16.47,16.66,13.6,14.33
SUNL,2021-01-26,14.76,14.8,13.25,13.47
SUNL,2021-01-27,12.7,13.42,12.43,12.9
SUNL,2021-01-28,12.9,13.17,12.68,13.05
SUNL,2021-01-29,12.96,13.12,12.68,13.04
SUNL,2021-02-01,13.3,13.6,13.185,13.48
SUNL,2021-02-02,13.56,13.6,13.21,13.52
SUNL,2021-02-03,13.52,13.54,13.3,13.43
SUNL,2021-02-04,13.48,13.48,12.85,13.1
SUNL,2021-02-05,12.92,12.99,12.57,12.79
SUNL,2021-02-08,12.9,13.23,12.72,12.76
SUNL,2021-02-09,12.68,12.7,12.5,12.63
SUNL,2021-02-10,12.79,12.797,12.14,12.17
SUNL,2021-02-11,12.23,12.495,12.06,12.39
SUNL,2021-02-12,12.24,12.73,12.24,12.73
SUNL,2021-02-16,13.0,13.41,12.83,13.28
SUNL,2021-02-17,13.28,13.28,12.66,12.73
SUNL,2021-02-18,12.5,12.7,12.16,12.55
SUNL,2021-02-19,12.52,13.0,12.5,12.9
SUNL,2021-02-22,13.37,13.52,12.82,12.92
SUNL,2021-02-23,12.4,12.4,11.49,12.02
SUNL,2021-02-24,12.02,12.255,12.0,12.16
SUNL,2021-02-25,12.09,12.1,11.12,11.14
SUNL,2021-02-26,11.16,12.02,10.97,11.9
SUNL,2021-03-01,11.97,12.04,11.56,11.88
SUNL,2021-03-02,12.0,12.08,11.09,11.11
SUNL,2021-03-03,11.0,11.083,10.19,10.21
SUNL,2021-03-04,10.48,11.0,10.1,10.8
SUNL,2021-03-05,10.47,11.35,10.15,11.35
SUNL,2021-03-08,11.2,11.2,10.6,10.81
SUNL,2021-03-09,10.88,11.18,10.7,11.01
SUNL,2021-03-10,11.05,11.15,10.75,10.87
SUNL,2021-03-11,10.93,11.45,10.85,11.1
SUNL,2021-03-12,10.88,11.3,10.83,10.94
SUNL,2021-03-15,10.91,11.2,10.63,10.82
SUNL,2021-03-16,10.79,10.79,10.37,10.51
SUNL,2021-03-17,10.28,10.59,10.25,10.5
SUNL,2021-03-18,10.48,10.53,10.27,10.44
SUNL,2021-03-19,10.46,10.58,10.22,10.51
SUNL,2021-03-22,10.44,10.56,10.35,10.5
SUNL,2021-03-23,10.36,10.48,10.25,10.27
SUNL,2021-03-24,10.25,10.275,10.0,10.0
SUNL,2021-03-25,9.91,10.31,9.73,10.15
SUNL,2021-03-26,10.24,10.48,10.12,10.41
SUNL,2021-03-29,10.22,10.29,10.02,10.05
SUNL,2021-03-30,10.02,10.21,9.95,10.19
SUNL,2021-03-31,10.24,10.46,10.04,10.46
SUNL,2021-04-01,10.48,10.48,10.22,10.29
SUNL,2021-04-05,10.29,10.42,10.07,10.31
SUNL,2021-04-06,10.28,10.3,10.15,10.21
SUNL,2021-04-07,10.18,10.229,9.99,10.11
SUNL,2021-04-08,10.1,10.13,10.02,10.09
SUNL,2021-04-09,10.07,10.085,10.05,10.07
SUNL,2021-04-12,10.03,10.1,10.0,10.04
SUNL,2021-04-13,10.02,10.12,10.02,10.11
SUNL,2021-04-14,10.02,10.13,10.02,10.09
SUNL,2021-04-15,10.09,10.105,10.0,10.02
SUNL,2021-04-16,10.0,10.08,9.97,10.0
SUNL,2021-04-19,10.0,10.035,9.91,10.0
SUNL,2021-04-20,9.92,10.04,9.92,10.01
SUNL,2021-04-21,9.94,10.01,9.939,10.01
SUNL,2021-04-22,9.97,10.018,9.97,10.01
SUNL,2021-04-23,10.01,10.04,9.97,10.0
SUNL,2021-04-26,10.0,10.04,9.98,10.01
SUNL,2021-04-27,10.01,10.05,10.0,10.02
SUNL,2021-04-28,10.0,10.05,10.0,10.02
SUNL,2021-04-29,10.01,10.03,9.97,10.02
SUNL,2021-04-30,9.98,10.04,9.98,9.99
SUNL,2021-05-03,9.99,10.03,9.99,10.03
SUNL,2021-05-04,9.98,10.04,9.975,10.03
SUNL,2021-05-05,10.0,10.03,9.99,10.03
SUNL,2021-05-06,9.99,10.02,9.98,10.01
SUNL,2021-05-07,10.02,10.07,9.97,9.99
SUNL,2021-05-10,9.99,10.01,9.965,9.99
SUNL,2021-05-11,9.91,9.97,9.88,9.94
SUNL,2021-05-12,9.9,9.94,9.88,9.94
SUNL,2021-05-13,9.9,9.93,9.89,9.91
SUNL,2021-05-14,9.9,9.92,9.86,9.91
SUNL,2021-05-17,9.91,9.92,9.87,9.9
SUNL,2021-05-18,9.88,9.92,9.88,9.92
SUNL,2021-05-19,9.89,9.909,9.85,9.88
SUNL,2021-05-20,9.88,9.93,9.87,9.88
SUNL,2021-05-21,9.87,9.92,9.87,9.92
SUNL,2021-05-24,9.9,9.92,9.9,9.91
SUNL,2021-05-25,9.9,9.92,9.89,9.91
SUNL,2021-05-26,9.9,9.93,9.9,9.92
SUNL,2021-05-27,9.89,9.94,9.89,9.93
SUNL,2021-05-28,9.94,9.94,9.91,9.94
SUNL,2021-06-01,9.91,9.94,9.91,9.93
SUNL,2021-06-02,9.91,9.93,9.91,9.93
SUNL,2021-06-03,9.93,9.97,9.92,9.95
SUNL,2021-06-04,9.95,9.96,9.94,9.95
SUNL,2021-06-07,9.92,9.96,9.92,9.95
SUNL,2021-06-08,9.94,10.07,9.94,10.03
SUNL,2021-06-09,10.06,10.08,9.935,10.0
SUNL,2021-06-10,9.96,10.02,9.95,10.0
SUNL,2021-06-11,9.97,10.03,9.97,10.0
SUNL,2021-06-14,9.96,10.01,9.96,9.98
SUNL,2021-06-15,9.97,10.0,9.96,9.98
SUNL,2021-06-16,10.0,10.0,9.97,9.99
SUNL,2021-06-17,10.0,10.028,9.94,9.99
SUNL,2021-06-18,9.98,10.0,9.96,9.98
SUNL,2021-06-21,9.98,10.0,9.96,9.99
SUNL,2021-06-22,10.0,10.01,9.96,9.99
SUNL,2021-06-23,9.98,9.99,9.96,9.99
SUNL,2021-06-24,9.96,9.99,9.96,9.96
SUNL,2021-06-25,9.97,9.99,9.97,9.97
SUNL,2021-06-28,9.99,10.0,9.96,9.97
SUNL,2021-06-29,9.98,9.99,9.98,9.99
SUNL,2021-06-30,10.0,10.0,9.97,9.99
SUNL,2021-07-01,9.98,10.0,9.98,9.99
SUNL,2021-07-02,9.99,9.99,9.56,9.88
SUNL,2021-07-06,9.92,9.92,9.76,9.85
SUNL,2021-07-07,9.89,9.96,9.75,9.94
SUNL,2021-07-08,9.67,10.01,9.62,9.96
SUNL,2021-07-09,9.9,10.0,9.4,9.46
SUNL,2021-07-12,9.5,9.97,9.5,9.92
SUNL,2021-07-13,9.86,9.92,9.34,9.58
SUNL,2021-07-14,9.5,9.65,8.19,8.485
SUNL,2021-07-15,8.5,8.56,8.06,8.43
SUNL,2021-07-16,8.48,8.5,7.65,8.13
SUNL,2021-07-19,8.05,8.15,7.56,7.66
SUNL,2021-07-20,7.85,8.51,7.77,8.15
SUNL,2021-07-21,8.35,8.61,8.33,8.46
SUNL,2021-07-22,9.0,9.04,8.67,8.85
SUNL,2021-07-23,8.81,9.05,8.69,8.75
SUNL,2021-07-26,8.68,8.99,8.62,8.73
SUNL,2021-07-27,8.66,8.79,8.28,8.63
SUNL,2021-07-28,8.7,8.94,7.9,8.25
SUNL,2021-07-29,8.25,8.37,7.91,7.96
SUNL,2021-07-30,7.87,8.38,7.86,8.21
SUNL,2021-08-02,8.09,8.4,8.08,8.25
SUNL,2021-08-03,8.34,8.47,8.04,8.11
SUNL,2021-08-04,8.32,8.38,7.82,7.97
SUNL,2021-08-05,8.0,8.2,7.91,7.98
SUNL,2021-08-06,8.1,8.1,7.9,8.05
SUNL,2021-08-09,8.06,8.32,7.9,8.32
SUNL,2021-08-10,8.38,8.64,8.35,8.52
SUNL,2021-08-11,8.58,9.069,8.57,8.69
SUNL,2021-08-12,8.6,8.6,8.31,8.32
SUNL,2021-08-13,8.22,8.23,7.91,7.96
SUNL,2021-08-16,7.99,8.06,7.4,7.44
SUNL,2021-08-17,6.94,6.94,5.42,5.47
SUNL,2021-08-18,5.72,5.87,5.6,5.7
SUNL,2021-08-19,5.76,5.865,5.07,5.2
SUNL,2021-08-20,5.14,5.29,5.11,5.18
SUNL,2021-08-23,5.23,5.49,5.165,5.46
SUNL,2021-08-24,5.57,5.68,5.46,5.6
SUNL,2021-08-25,5.83,5.84,5.608,5.74
SUNL,2021-08-26,5.8,5.81,5.55,5.59
SUNL,2021-08-27,5.55,5.74,5.55,5.64
SUNL,2021-08-30,5.66,5.79,5.36,5.48
SUNL,2021-08-31,5.44,5.56,5.21,5.45
SUNL,2021-09-01,5.45,5.56,5.25,5.27
SUNL,2021-09-02,5.43,6.02,5.43,5.69
SUNL,2021-09-03,5.8,5.88,5.31,5.32
SUNL,2021-09-07,5.4,5.66,5.38,5.47
SUNL,2021-09-08,5.32,5.94,5.21,5.52
SUNL,2021-09-09,5.61,5.85,5.61,5.65
SUNL,2021-09-10,5.74,5.84,5.31,5.35
SUNL,2021-09-13,5.39,5.53,5.13,5.27
SUNL,2021-09-14,5.6,5.69,5.32,5.45
SUNL,2021-09-15,5.55,5.83,5.51,5.68
SUNL,2021-09-16,5.99,6.67,5.98,6.18
SUNL,2021-09-17,6.18,6.287,5.55,5.8
SUNL,2021-09-20,5.47,5.83,5.37,5.42
SUNL,2021-09-21,5.48,5.529,5.3,5.36
SUNL,2021-09-22,5.41,5.59,5.38,5.58
SUNL,2021-09-23,5.63,5.75,5.31,5.41
SUNL,2021-09-24,5.37,5.58,5.32,5.47
SUNL,2021-09-27,5.5,5.52,5.34,5.39
SUNL,2021-09-28,5.3,5.36,5.02,5.06
SUNL,2021-09-29,5.08,5.42,5.03,5.32
SUNL,2021-09-30,5.4,5.47,5.2,5.31
SUNL,2021-10-01,5.2,5.35,5.03,5.05
SUNL,2021-10-04,5.25,5.25,4.87,4.88
SUNL,2021-10-05,4.97,5.11,4.86,4.95
SUNL,2021-10-06,4.88,5.18,4.87,5.06
SUNL,2021-10-07,5.09,5.3,5.09,5.21
SUNL,2021-10-08,5.21,5.28,4.98,4.98
SUNL,2021-10-11,5.08,5.08,4.9,4.92
SUNL,2021-10-12,4.99,5.15,4.74,4.77
SUNL,2021-10-13,4.84,4.94,4.75,4.94
SUNL,2021-10-14,4.94,5.2,4.94,5.2
SUNL,2021-10-15,5.24,5.25,4.85,4.87
SUNL,2021-10-18,4.8,4.94,4.71,4.76
SUNL,2021-10-19,4.75,4.97,4.74,4.96
SUNL,2021-10-20,5.06,5.23,4.96,5.2
SUNL,2021-10-21,5.19,5.285,5.02,5.05
SUNL,2021-10-22,5.06,5.186,4.91,5.15
SUNL,2021-10-25,5.14,5.36,5.06,5.36
SUNL,2021-10-26,5.36,5.49,5.25,5.29
SUNL,2021-10-27,5.39,5.9,5.33,5.63
SUNL,2021-10-28,5.62,6.02,5.62,6.01
SUNL,2021-10-29,5.85,6.0,5.74,5.91
SUNL,2021-11-01,5.97,6.36,5.88,6.2
SUNL,2021-11-02,6.23,6.23,5.7,5.82
SUNL,2021-11-03,5.78,5.9,5.56,5.82
SUNL,2021-11-04,5.78,5.81,5.62,5.65
SUNL,2021-11-05,5.74,5.74,5.41,5.61
SUNL,2021-11-08,5.65,5.71,5.51,5.55
SUNL,2021-11-09,5.65,5.65,5.39,5.46
SUNL,2021-11-10,5.36,5.42,5.06,5.35
SUNL,2021-11-11,5.46,5.48,5.275,5.29
SUNL,2021-11-12,5.36,5.49,5.325,5.49
SUNL,2021-11-15,5.555,5.9,5.555,5.89
SUNL,2021-11-16,5.435,5.65,5.05,5.47
SUNL,2021-11-17,5.41,5.7,5.4,5.6
SUNL,2021-11-18,5.6,5.65,4.84,4.91
SUNL,2021-11-19,5.01,5.11,4.87,5.1
SUNL,2021-11-22,5.07,5.29,4.86,4.87
