ticker,date,open,high,low,close
TCN,2021-09-28,13.05,13.05,13.05,13.05
TCN,2021-10-07,12.5,13.25,12.5,13.05
TCN,2021-10-08,13.38,13.72,13.0,13.0
TCN,2021-10-11,13.25,13.64,12.99,13.14
TCN,2021-10-12,13.16,13.49,13.13,13.23
TCN,2021-10-13,13.37,13.86,13.27,13.71
TCN,2021-10-14,13.83,14.23,13.78,14.08
TCN,2021-10-15,14.06,14.2,13.93,13.99
TCN,2021-10-18,13.98,14.02,13.9,13.96
TCN,2021-10-19,14.02,14.16,14.0,14.03
TCN,2021-10-20,14.04,14.2,13.94,13.97
TCN,2021-10-21,13.94,14.1,13.94,14.06
TCN,2021-10-22,14.12,14.35,14.12,14.22
TCN,2021-10-25,14.15,14.32,14.15,14.24
TCN,2021-10-26,14.27,14.34,14.19,14.28
TCN,2021-10-27,14.28,14.41,14.21,14.33
TCN,2021-10-28,14.5,14.54,14.36,14.51
TCN,2021-10-29,14.51,14.71,14.45,14.56
TCN,2021-11-01,14.6,14.7,14.12,14.41
TCN,2021-11-02,14.35,14.47,14.25,14.28
TCN,2021-11-03,14.27,14.45,14.23,14.42
TCN,2021-11-04,14.43,14.56,14.35,14.43
TCN,2021-11-05,14.5,14.5,14.14,14.28
TCN,2021-11-08,14.37,14.37,14.06,14.18
TCN,2021-11-09,14.2,14.34,14.08,14.28
TCN,2021-11-10,14.34,14.54,14.15,14.3
TCN,2021-11-11,14.35,14.41,14.24,14.34
TCN,2021-11-12,14.39,14.46,14.34,14.41
TCN,2021-11-15,14.44,14.44,14.29,14.31
TCN,2021-11-16,14.3,14.36,14.05,14.06
TCN,2021-11-17,14.09,14.09,13.7,13.7
TCN,2021-11-18,13.67,13.7,13.52,13.62
TCN,2021-11-19,13.49,13.81,13.49,13.78
TCN,2021-11-22,13.81,13.9,13.7,13.79
TCN,2021-11-23,13.82,14.05,13.82,14.04
TCN,2021-11-24,14.0,14.22,13.97,14.17
TCN,2021-11-26,14.03,14.03,13.76,13.88
TCN,2021-11-29,14.03,14.03,13.73,13.95
TCN,2021-11-30,13.9,13.9,13.54,13.75
TCN,2021-12-01,13.9,14.23,13.81,13.95
TCN,2021-12-02,14.01,14.38,13.95,14.32
TCN,2021-12-03,14.35,14.44,14.01,14.07
TCN,2021-12-06,14.24,14.53,14.24,14.33
TCN,2021-12-07,14.5,14.57,14.36,14.38
TCN,2021-12-08,14.34,14.51,14.29,14.37
TCN,2021-12-09,14.4,14.7,14.38,14.67
TCN,2021-12-10,14.68,14.84,14.6,14.77
TCN,2021-12-13,14.81,14.81,14.59,14.74
TCN,2021-12-14,14.73,14.73,14.62,14.67
TCN,2021-12-15,14.67,14.98,14.59,14.93
TCN,2021-12-16,15.01,15.12,14.47,14.57
