ticker,date,open,high,low,close
TOST,2021-09-22,65.26,65.99,58.21,62.51
TOST,2021-09-23,62.32,64.94,59.0,59.0
TOST,2021-09-24,59.5,61.19,53.0,55.78
TOST,2021-09-27,55.51,56.37,54.11,54.9
TOST,2021-09-28,54.02,54.25,50.1,50.85
TOST,2021-09-29,50.6,52.86,49.0,49.78
TOST,2021-09-30,49.93,52.89,49.84,49.95
TOST,2021-10-01,50.09,53.85,49.89,53.55
TOST,2021-10-04,53.55,53.65,50.66,52.07
TOST,2021-10-05,51.82,55.6,51.57,52.1
TOST,2021-10-06,51.54,53.5,51.07,52.12
TOST,2021-10-07,52.51,55.3,52.42,53.0
TOST,2021-10-08,53.55,54.0,51.18,51.82
TOST,2021-10-11,51.79,52.35,50.2,51.36
TOST,2021-10-12,51.36,52.13,50.41,50.94
TOST,2021-10-13,51.38,54.66,51.25,54.43
TOST,2021-10-14,54.68,56.75,53.57,56.36
TOST,2021-10-15,56.79,58.45,54.82,56.21
TOST,2021-10-18,55.49,56.74,51.43,51.5
TOST,2021-10-19,51.7,54.8,51.4,52.54
TOST,2021-10-20,52.72,52.85,50.55,50.96
TOST,2021-10-21,50.5,52.85,50.5,51.33
TOST,2021-10-22,51.35,51.99,48.65,49.62
TOST,2021-10-25,49.62,53.43,49.61,52.74
TOST,2021-10-26,52.81,54.14,51.32,53.28
TOST,2021-10-27,52.91,56.38,52.53,52.76
TOST,2021-10-28,53.29,55.82,52.71,53.05
TOST,2021-10-29,52.98,54.97,52.71,53.22
TOST,2021-11-01,54.54,57.2,54.54,57.16
TOST,2021-11-02,57.16,65.73,57.16,65.22
TOST,2021-11-03,66.13,69.93,60.43,62.99
TOST,2021-11-04,63.3,64.05,58.2,60.26
TOST,2021-11-05,60.3,62.69,57.31,59.0
TOST,2021-11-08,56.3,58.62,55.58,58.34
TOST,2021-11-09,57.93,61.75,55.58,60.75
TOST,2021-11-10,54.15,55.25,49.51,50.01
TOST,2021-11-11,47.96,50.0,46.4,48.36
TOST,2021-11-12,48.0,49.98,46.64,48.13
TOST,2021-11-15,48.0,48.99,47.05,47.97
TOST,2021-11-16,47.5,48.33,47.28,48.0
TOST,2021-11-17,47.9,48.01,46.19,47.0
TOST,2021-11-18,47.0,47.18,42.75,43.1
TOST,2021-11-19,43.08,45.29,42.07,45.07
TOST,2021-11-22,44.99,45.4,43.13,43.72
TOST,2021-11-23,43.64,44.45,40.02,41.5
TOST,2021-11-24,40.7,43.69,40.1,43.25
TOST,2021-11-26,41.31,43.23,41.1,43.1
TOST,2021-11-29,43.5,44.34,42.5,43.68
TOST,2021-11-30,43.23,43.9,39.77,39.99
TOST,2021-12-01,41.22,41.22,34.33,35.31
TOST,2021-12-02,36.01,36.18,32.65,35.69
TOST,2021-12-03,36.19,36.19,32.2,34.44
TOST,2021-12-06,34.11,37.09,32.95,36.74
TOST,2021-12-07,38.14,40.16,38.0,39.65
TOST,2021-12-08,39.58,40.8,38.28,40.38
TOST,2021-12-09,40.12,41.4,36.71,37.19
TOST,2021-12-10,37.2,38.27,36.01,37.27
TOST,2021-12-13,36.98,37.52,33.81,34.5
TOST,2021-12-14,33.18,35.38,33.03,34.0
TOST,2021-12-15,33.34,34.79,30.85,33.43
TOST,2021-12-16,35.37,37.65,32.76,32.85
TOST,2021-12-17,32.29,35.92,30.69,34.89
TOST,2021-12-20,33.68,35.2,33.25,34.13
TOST,2021-12-21,34.66,38.14,34.13,37.64
TOST,2021-12-22,37.58,39.76,36.98,37.84
TOST,2021-12-23,37.74,40.26,37.25,39.63
TOST,2021-12-27,39.94,40.13,38.63,38.95
TOST,2021-12-28,38.67,38.67,35.85,36.78
TOST,2021-12-29,35.75,37.53,35.13,37.11
TOST,2021-12-30,37.38,38.32,36.36,36.76
TOST,2021-12-31,36.47,37.52,34.5,34.71
TOST,2022-01-03,34.9,35.55,32.65,33.03
TOST,2022-01-04,33.46,33.59,29.15,30.86
TOST,2022-01-05,30.85,30.99,27.53,27.88
TOST,2022-01-06,27.4,28.88,25.95,28.5
TOST,2022-01-07,28.91,30.03,28.01,28.4
TOST,2022-01-10,27.6,28.18,26.15,27.7
TOST,2022-01-11,27.93,30.38,27.75,29.77
TOST,2022-01-12,30.14,30.94,27.71,28.41
TOST,2022-01-13,28.42,28.69,26.53,26.95
TOST,2022-01-14,26.5,27.45,24.69,25.2
TOST,2022-01-18,24.65,25.5,23.71,24.27
TOST,2022-01-19,24.75,25.41,24.14,24.2
TOST,2022-01-20,24.45,26.44,22.75,23.02
TOST,2022-01-21,22.7,23.73,20.8,22.56
TOST,2022-01-24,21.71,23.37,19.87,23.14
TOST,2022-01-25,22.07,23.18,20.53,21.21
TOST,2022-01-26,22.07,23.25,18.72,19.61
TOST,2022-01-27,20.72,20.8,19.28,19.93
TOST,2022-01-28,20.01,20.78,18.86,20.36
TOST,2022-01-31,20.47,23.35,20.4,22.88
TOST,2022-02-01,23.87,26.33,23.25,25.72
TOST,2022-02-02,25.34,26.33,24.2,24.46
TOST,2022-02-03,22.39,24.25,21.56,22.05
TOST,2022-02-04,22.02,23.35,21.59,23.06
TOST,2022-02-07,22.99,24.91,22.97,24.67
TOST,2022-02-08,24.26,25.95,23.77,25.81
TOST,2022-02-09,26.44,28.69,26.34,27.88
TOST,2022-02-10,26.06,30.6,26.02,27.76
TOST,2022-02-11,27.92,29.45,26.86,27.59
TOST,2022-02-14,27.49,28.9,26.88,27.44
TOST,2022-02-15,28.27,29.37,26.93,28.12
TOST,2022-02-16,22.95,24.4,22.1,23.0
TOST,2022-02-17,21.5,21.85,20.19,21.67
TOST,2022-02-18,20.96,21.9,19.75,20.87
TOST,2022-02-22,20.2,21.87,19.14,19.49
TOST,2022-02-23,19.92,20.1,17.64,17.79
TOST,2022-02-24,16.6,20.13,16.6,20.08
TOST,2022-02-25,20.2,20.43,18.42,20.26
TOST,2022-02-28,20.15,21.21,19.55,20.52
TOST,2022-03-01,20.4,21.04,19.23,19.59
TOST,2022-03-02,19.74,20.86,19.55,20.5
TOST,2022-03-03,20.58,20.68,19.52,19.64
TOST,2022-03-04,19.51,19.52,17.81,17.89
TOST,2022-03-07,17.55,17.7,16.52,17.21
TOST,2022-03-08,17.0,18.45,16.53,17.57
TOST,2022-03-09,18.12,19.85,18.12,19.45
TOST,2022-03-10,19.0,19.86,18.58,19.61
TOST,2022-03-11,19.6,20.15,17.56,17.63
TOST,2022-03-14,17.42,17.83,15.82,16.26
TOST,2022-03-15,16.46,17.49,16.25,17.38
TOST,2022-03-16,17.68,18.92,17.65,18.72
TOST,2022-03-17,18.74,19.37,17.93,18.94
TOST,2022-03-18,18.92,20.94,18.62,19.65
TOST,2022-03-21,19.06,20.37,18.25,20.05
TOST,2022-03-22,19.67,21.02,19.04,20.24
TOST,2022-03-23,20.08,20.92,19.48,19.91
TOST,2022-03-24,20.12,20.47,18.99,20.0
TOST,2022-03-25,20.14,20.39,18.96,19.44
TOST,2022-03-28,19.25,19.92,18.08,19.23
TOST,2022-03-29,19.84,22.05,19.77,21.64
TOST,2022-03-30,20.99,23.05,20.71,21.89
TOST,2022-03-31,22.0,22.67,21.52,21.73
TOST,2022-04-01,21.96,23.64,21.95,22.76
TOST,2022-04-04,23.12,24.36,22.78,24.05
TOST,2022-04-05,22.72,22.86,20.78,21.19
TOST,2022-04-06,20.6,20.86,19.56,20.6
TOST,2022-04-07,20.31,20.35,18.65,19.07
TOST,2022-04-08,18.22,19.38,17.92,18.81
TOST,2022-04-11,18.49,19.18,18.11,18.81
TOST,2022-04-12,19.21,20.05,18.55,18.76
TOST,2022-04-13,18.55,20.17,18.19,19.62
TOST,2022-04-14,19.34,19.53,18.73,19.3
TOST,2022-04-18,19.16,19.36,18.14,19.17
TOST,2022-04-19,19.2,20.5,19.14,20.2
TOST,2022-04-20,20.31,20.39,19.35,19.71
TOST,2022-04-21,20.21,20.95,19.04,19.23
TOST,2022-04-22,19.24,20.05,18.48,18.8
TOST,2022-04-25,18.61,19.73,18.25,19.27
TOST,2022-04-26,19.5,19.73,18.11,18.96
TOST,2022-04-27,18.93,20.19,18.77,19.21
TOST,2022-04-28,19.35,20.87,18.91,20.59
TOST,2022-04-29,19.28,20.14,18.37,18.63
TOST,2022-05-02,18.72,19.48,18.38,19.41
TOST,2022-05-03,19.27,19.94,18.46,18.51
TOST,2022-05-04,18.2,18.39,16.19,18.26
TOST,2022-05-05,17.8,17.88,16.13,16.45
TOST,2022-05-06,16.13,16.39,14.41,15.37
TOST,2022-05-09,14.98,15.29,13.42,13.77
TOST,2022-05-10,14.12,14.64,13.07,13.92
TOST,2022-05-11,13.49,13.87,12.45,12.68
TOST,2022-05-12,12.31,14.56,11.91,14.29
TOST,2022-05-13,16.29,16.53,14.48,14.99
TOST,2022-05-16,15.2,15.24,13.78,13.9
TOST,2022-05-17,13.94,14.83,13.01,13.51
TOST,2022-05-18,13.21,14.08,12.84,13.21
TOST,2022-05-19,13.03,15.34,13.03,14.79
TOST,2022-05-20,15.26,16.17,14.15,15.36
TOST,2022-05-23,15.25,15.51,14.61,15.32
TOST,2022-05-24,15.04,15.04,13.98,14.37
TOST,2022-05-25,14.36,15.33,14.36,14.95
TOST,2022-05-26,14.83,16.14,14.7,15.64
TOST,2022-05-27,15.74,17.0,15.74,16.52
TOST,2022-05-31,16.73,16.96,16.06,16.24
TOST,2022-06-01,15.6,16.41,15.13,15.64
TOST,2022-06-02,15.58,17.38,15.48,16.93
TOST,2022-06-03,16.57,17.0,16.26,16.72
TOST,2022-06-06,17.25,17.67,15.69,16.11
TOST,2022-06-07,15.82,16.87,15.64,16.25
TOST,2022-06-08,16.35,17.24,16.12,16.23
TOST,2022-06-09,16.12,17.21,15.75,15.94
TOST,2022-06-10,15.44,15.56,14.27,14.98
TOST,2022-06-13,14.01,14.65,13.53,14.03
TOST,2022-06-14,14.16,14.38,13.68,13.85
TOST,2022-06-15,13.98,14.29,13.32,13.73
TOST,2022-06-16,13.21,14.1,12.88,13.06
TOST,2022-06-17,13.25,13.99,12.91,13.12
TOST,2022-06-21,13.29,14.95,13.29,13.88
TOST,2022-06-22,13.58,14.36,13.56,13.93
TOST,2022-06-23,14.02,15.18,14.02,14.82
TOST,2022-06-24,15.12,15.32,14.72,15.15
TOST,2022-06-27,15.15,15.31,14.32,14.82
TOST,2022-06-28,14.63,15.05,13.9,13.94
TOST,2022-06-29,13.82,13.88,12.98,13.16
TOST,2022-06-30,12.91,12.99,12.15,12.94
TOST,2022-07-01,12.99,13.77,12.99,13.7
TOST,2022-07-05,13.46,14.24,13.21,14.0
TOST,2022-07-06,14.08,14.57,13.74,13.91
TOST,2022-07-07,13.88,15.1,13.88,14.96
TOST,2022-07-08,14.95,15.01,14.13,14.57
TOST,2022-07-11,14.28,14.39,13.75,14.03
TOST,2022-07-12,14.1,15.09,13.63,14.39
TOST,2022-07-13,13.76,14.62,13.66,14.46
TOST,2022-07-14,14.39,14.5,13.66,13.7
TOST,2022-07-15,13.98,14.43,13.54,13.99
TOST,2022-07-18,14.26,14.71,13.94,14.03
TOST,2022-07-19,14.23,14.61,13.67,14.56
TOST,2022-07-20,14.53,15.5,14.53,15.24
TOST,2022-07-21,14.9,15.42,14.87,15.2
TOST,2022-07-22,15.34,15.71,14.43,14.68
TOST,2022-07-25,14.66,14.69,14.2,14.37
TOST,2022-07-26,14.2,14.2,13.65,13.95
TOST,2022-07-27,14.41,15.2,14.3,15.05
TOST,2022-07-28,15.09,16.1,14.98,15.97
TOST,2022-07-29,15.91,16.44,15.45,15.98
TOST,2022-08-01,15.76,15.97,15.37,15.89
TOST,2022-08-02,14.85,16.02,14.66,15.94
TOST,2022-08-03,16.1,17.07,15.94,16.7
TOST,2022-08-04,16.9,17.32,16.33,16.88
TOST,2022-08-05,16.15,16.8,15.61,16.56
TOST,2022-08-08,16.79,18.11,16.61,17.64
TOST,2022-08-09,17.33,17.4,16.42,16.98
TOST,2022-08-10,18.0,18.74,17.69,18.46
