ticker,date,open,high,low,close
TRTN,2005-10-12,18.0,18.25,17.75,18.0
TRTN,2005-10-13,18.0,18.1,18.0,18.0
TRTN,2005-10-14,18.0,18.11,18.0,18.0
TRTN,2005-10-17,18.0,18.26,18.0,18.22
TRTN,2005-10-18,18.2,18.5,18.2,18.3
TRTN,2005-10-19,18.35,18.4,18.2,18.35
TRTN,2005-10-20,18.36,18.36,18.05,18.1
TRTN,2005-10-21,18.15,18.28,18.1,18.28
TRTN,2005-10-24,18.45,18.51,18.35,18.45
TRTN,2005-10-25,18.45,18.51,18.45,18.5
TRTN,2005-10-26,18.5,18.55,18.4,18.5
TRTN,2005-10-27,18.5,18.5,18.5,18.5
TRTN,2005-10-28,18.4,18.6,18.2,18.2
TRTN,2005-10-31,18.2,18.2,18.1,18.11
TRTN,2005-11-01,18.1,18.1,18.05,18.05
TRTN,2005-11-02,18.05,18.05,17.95,17.96
TRTN,2005-11-03,17.95,17.95,17.8,17.81
TRTN,2005-11-04,17.8,17.8,17.75,17.76
TRTN,2005-11-07,17.76,17.8,17.5,17.6
TRTN,2005-11-08,17.5,17.57,17.5,17.56
TRTN,2005-11-09,17.5,17.57,17.5,17.51
TRTN,2005-11-10,17.5,17.58,17.45,17.49
TRTN,2005-11-11,17.45,17.45,17.05,17.25
TRTN,2005-11-14,17.2,17.25,17.05,17.1
TRTN,2005-11-15,17.2,17.25,17.1,17.25
TRTN,2005-11-16,17.2,17.5,17.2,17.5
TRTN,2005-11-17,17.45,17.97,17.45,17.79
TRTN,2005-11-18,17.9,17.9,17.5,17.77
TRTN,2005-11-21,18.0,18.35,18.0,18.25
TRTN,2005-11-22,18.3,18.63,18.3,18.63
TRTN,2005-11-23,18.6,18.7,18.49,18.66
TRTN,2005-11-25,18.56,18.65,18.15,18.3
TRTN,2005-11-28,18.15,18.8,18.15,18.51
TRTN,2005-11-29,18.5,18.8,18.5,18.65
TRTN,2005-11-30,18.7,18.78,18.63,18.69
TRTN,2005-12-01,18.66,18.72,18.48,18.6
TRTN,2005-12-02,18.55,18.6,18.5,18.6
TRTN,2005-12-05,18.75,19.05,18.61,19.02
TRTN,2005-12-06,19.02,19.45,18.9,19.3
TRTN,2005-12-07,19.25,19.5,19.15,19.5
TRTN,2005-12-08,19.35,20.06,19.28,20.0
TRTN,2005-12-09,20.1,20.25,19.9,20.14
TRTN,2005-12-12,20.39,20.39,20.13,20.16
TRTN,2005-12-13,20.1,20.26,19.95,20.0
TRTN,2005-12-14,19.99,20.21,19.99,20.19
TRTN,2005-12-15,20.19,20.27,20.1,20.26
TRTN,2005-12-16,20.26,20.89,20.25,20.76
TRTN,2005-12-19,20.66,20.66,19.89,20.0
TRTN,2005-12-20,20.0,20.0,19.86,20.0
TRTN,2005-12-21,19.9,20.17,19.85,19.95
TRTN,2005-12-22,20.0,20.21,19.98,20.12
TRTN,2005-12-23,20.12,20.32,20.05,20.32
TRTN,2005-12-27,20.2,20.25,20.1,20.2
TRTN,2005-12-28,20.2,20.35,20.2,20.32
TRTN,2005-12-29,20.4,20.45,20.25,20.25
TRTN,2005-12-30,20.25,20.67,20.2,20.65
TRTN,2006-01-03,20.65,20.96,20.28,20.9
TRTN,2006-01-04,20.95,21.13,20.6,20.75
TRTN,2006-01-05,20.8,20.83,20.35,20.65
TRTN,2006-01-06,20.6,21.21,20.53,21.21
TRTN,2006-01-09,21.21,21.69,21.16,21.6
TRTN,2006-01-10,21.5,21.95,21.37,21.89
TRTN,2006-01-11,21.89,22.16,21.65,22.16
TRTN,2006-01-12,22.0,22.1,21.2,21.25
TRTN,2006-01-13,21.25,21.6,21.25,21.41
TRTN,2006-01-17,21.41,21.41,21.1,21.2
TRTN,2006-01-18,21.1,21.1,20.85,21.08
TRTN,2006-01-19,21.15,21.9,21.15,21.2
TRTN,2006-01-20,21.25,21.25,20.7,20.86
TRTN,2006-01-23,20.95,21.15,20.75,20.97
TRTN,2006-01-24,20.97,20.97,20.75,20.83
TRTN,2006-01-25,20.87,21.15,20.75,20.98
TRTN,2006-01-26,21.05,21.45,20.92,21.1
TRTN,2006-01-27,21.2,21.61,21.2,21.5
TRTN,2006-01-30,21.5,21.6,21.5,21.51
TRTN,2006-01-31,21.43,21.43,21.25,21.36
TRTN,2006-02-01,21.25,21.51,21.1,21.5
TRTN,2006-02-02,21.5,21.65,21.15,21.32
TRTN,2006-02-03,21.2,21.81,21.2,21.73
TRTN,2006-02-06,21.73,21.75,21.51,21.52
TRTN,2006-02-07,21.57,21.74,21.5,21.5
TRTN,2006-02-08,21.6,21.7,21.5,21.5
TRTN,2006-02-09,21.6,21.84,21.5,21.65
TRTN,2006-02-10,21.65,21.9,21.4,21.79
TRTN,2006-02-13,21.85,21.9,21.2,21.21
TRTN,2006-02-14,21.1,21.68,21.01,21.3
TRTN,2006-02-15,21.3,21.56,21.3,21.56
TRTN,2006-02-16,21.7,21.9,21.52,21.78
TRTN,2006-02-17,21.83,21.83,21.35,21.37
TRTN,2006-02-21,21.37,21.4,21.0,21.11
TRTN,2006-02-22,21.28,21.6,21.28,21.6
TRTN,2006-02-23,21.45,21.51,21.22,21.4
TRTN,2006-02-24,21.3,21.52,21.17,21.5
TRTN,2006-02-27,21.5,21.7,21.5,21.65
TRTN,2006-02-28,21.65,21.65,21.28,21.34
TRTN,2006-03-01,21.34,21.55,21.3,21.55
TRTN,2006-03-02,21.6,21.6,21.45,21.6
TRTN,2006-03-03,21.5,21.7,21.42,21.5
TRTN,2006-03-06,21.4,21.46,21.19,21.43
TRTN,2006-03-07,21.3,21.38,21.11,21.3
TRTN,2006-03-08,21.4,21.7,21.3,21.67
TRTN,2006-03-09,21.67,21.73,21.4,21.6
TRTN,2006-03-10,21.6,21.7,21.45,21.69
TRTN,2006-03-13,21.7,21.74,21.55,21.74
TRTN,2006-03-14,21.85,22.49,21.71,21.81
TRTN,2006-03-15,21.96,21.96,21.72,21.93
TRTN,2006-03-16,22.0,22.0,21.85,22.0
TRTN,2006-03-17,22.0,22.0,21.8,21.9
TRTN,2006-03-20,22.0,22.19,21.78,22.15
TRTN,2006-03-21,22.05,22.15,21.95,22.01
TRTN,2006-03-22,21.81,22.25,21.7,22.25
TRTN,2006-03-23,22.1,23.01,22.1,23.0
