ticker,date,open,high,low,close
TXO,2023-01-27,22.0,22.99,21.56,22.0
TXO,2023-01-30,22.08,22.09,21.5,21.5
TXO,2023-01-31,21.8,22.51,21.28,22.4
TXO,2023-02-01,22.7,22.7,22.31,22.43
TXO,2023-02-02,22.84,22.9,22.45,22.61
TXO,2023-02-03,22.74,23.0,22.51,22.91
TXO,2023-02-06,22.6,23.15,22.06,22.9
TXO,2023-02-07,23.17,23.17,22.53,22.99
TXO,2023-02-08,22.7,23.0,22.68,22.86
TXO,2023-02-09,22.86,23.28,22.85,22.86
TXO,2023-02-10,23.05,23.08,22.79,22.93
TXO,2023-02-13,22.65,23.12,22.65,23.01
TXO,2023-02-14,23.37,23.44,22.92,22.99
TXO,2023-02-15,23.15,23.47,23.03,23.23
TXO,2023-02-16,23.36,23.36,22.74,22.93
TXO,2023-02-17,23.07,23.07,22.5,22.66
TXO,2023-02-21,22.9,23.25,22.81,23.25
TXO,2023-02-22,23.89,24.55,23.4,24.1
TXO,2023-02-23,24.22,24.34,23.63,23.9
TXO,2023-02-24,24.19,24.52,23.71,23.83
TXO,2023-02-27,23.95,24.0,23.53,23.74
TXO,2023-02-28,24.62,24.62,23.79,24.11
TXO,2023-03-01,23.5,24.13,23.5,24.07
TXO,2023-03-02,23.9,24.05,23.82,23.96
TXO,2023-03-03,24.89,25.0,23.38,23.62
TXO,2023-03-06,23.46,23.7,23.04,23.3
TXO,2023-03-07,23.5,23.93,22.84,22.94
TXO,2023-03-08,22.81,23.77,22.81,23.08
TXO,2023-03-09,23.26,24.08,22.8,23.82
TXO,2023-03-10,24.31,24.31,22.36,22.58
TXO,2023-03-13,22.84,22.84,21.78,22.35
TXO,2023-03-14,22.22,23.64,22.22,23.64
TXO,2023-03-15,23.49,23.49,22.39,22.51
TXO,2023-03-16,22.51,23.15,22.02,22.86
TXO,2023-03-17,22.98,23.08,22.16,22.59
TXO,2023-03-20,22.63,23.49,21.59,22.02
TXO,2023-03-21,22.29,22.98,21.71,22.84
TXO,2023-03-22,22.62,23.25,22.35,22.92
TXO,2023-03-23,23.0,23.83,22.28,22.78
TXO,2023-03-24,22.69,23.41,22.28,22.75
TXO,2023-03-27,22.9,23.69,22.3,23.06
TXO,2023-03-28,23.0,23.76,22.9,23.21
TXO,2023-03-29,23.02,23.24,22.0,22.66
TXO,2023-03-30,22.93,24.45,22.93,23.09
TXO,2023-03-31,23.31,23.54,23.11,23.11
TXO,2023-04-03,23.15,24.35,23.15,23.92
TXO,2023-04-04,24.11,24.49,23.35,24.49
TXO,2023-04-05,24.99,24.99,23.45,24.5
TXO,2023-04-06,24.29,24.5,23.5,23.91
TXO,2023-04-10,23.62,24.3952,23.62,23.98
TXO,2023-04-11,24.27,24.8263,23.47,23.75
TXO,2023-04-12,23.8446,23.8446,23.2975,23.56
TXO,2023-04-13,23.37,24.18,23.15,23.37
TXO,2023-04-14,23.45,23.99,23.45,23.85
TXO,2023-04-17,23.64,23.695,22.32,22.45
TXO,2023-04-18,22.5,23.15,22.5,22.75
TXO,2023-04-19,22.89,23.0753,22.6,22.9
