ticker,date,open,high,low,close
UBA,1998-08-17,8.88,9.44,8.88,9.44
UBA,1998-08-18,9.5,9.69,9.25,9.5
UBA,1998-08-19,9.5,9.5,9.0,9.25
UBA,1998-08-20,9.25,9.25,9.0,9.0
UBA,1998-08-21,8.88,8.94,8.88,8.88
UBA,1998-08-24,8.88,8.88,8.88,8.88
UBA,1998-08-25,8.62,8.62,8.06,8.19
UBA,1998-08-26,8.06,8.06,8.06,8.06
UBA,1998-08-27,8.06,8.75,8.06,8.75
UBA,1998-08-28,8.62,8.62,8.5,8.62
UBA,1998-08-31,8.5,8.5,8.31,8.31
UBA,1998-09-01,8.0,8.12,7.88,8.12
UBA,1998-09-02,8.0,8.0,8.0,8.0
UBA,1998-09-03,8.0,8.0,7.81,7.88
UBA,1998-09-04,8.0,8.5,8.0,8.5
UBA,1998-09-08,8.5,8.5,8.38,8.38
UBA,1998-09-09,8.25,8.25,8.25,8.25
UBA,1998-09-10,8.25,8.25,8.25,8.25
UBA,1998-09-11,8.25,8.25,8.25,8.25
UBA,1998-09-14,8.25,8.25,8.25,8.25
UBA,1998-09-15,8.25,8.75,8.25,8.75
UBA,1998-09-16,8.62,8.62,8.5,8.5
UBA,1998-09-17,8.38,8.38,8.12,8.12
UBA,1998-09-18,8.12,8.12,8.12,8.12
UBA,1998-09-21,8.12,8.25,8.12,8.25
UBA,1998-09-22,8.5,8.5,8.12,8.12
UBA,1998-09-23,8.12,8.38,8.12,8.38
UBA,1998-09-24,8.5,8.5,8.31,8.31
UBA,1998-09-25,8.25,8.25,8.25,8.25
UBA,1998-09-28,8.38,8.5,8.38,8.5
UBA,1998-09-29,8.19,8.25,8.19,8.25
UBA,1998-09-30,8.12,8.12,8.12,8.12
UBA,1998-10-01,8.12,8.12,8.12,8.12
UBA,1998-10-02,8.0,8.0,8.0,8.0
UBA,1998-10-05,8.0,8.25,8.0,8.25
UBA,1998-10-06,8.12,8.12,8.06,8.06
UBA,1998-10-07,8.06,8.06,8.06,8.06
UBA,1998-10-08,8.06,8.06,8.0,8.06
UBA,1998-10-09,8.0,8.0,8.0,8.0
UBA,1998-10-12,8.0,8.0,8.0,8.0
UBA,1998-10-13,8.38,8.38,8.0,8.0
UBA,1998-10-14,8.0,8.0,7.88,7.88
UBA,1998-10-15,8.0,8.0,7.88,7.88
UBA,1998-10-16,7.88,8.12,7.88,8.12
UBA,1998-10-19,8.0,8.0,8.0,8.0
UBA,1998-10-20,8.0,8.38,8.0,8.12
UBA,1998-10-21,8.0,8.25,8.0,8.25
UBA,1998-10-22,8.25,8.25,8.25,8.25
UBA,1998-10-23,8.25,8.25,8.25,8.25
UBA,1998-10-26,8.12,8.19,8.06,8.06
UBA,1998-10-27,8.06,8.06,8.06,8.06
UBA,1998-10-28,8.0,8.0,8.0,8.0
UBA,1998-10-29,8.0,8.0,8.0,8.0
UBA,1998-10-30,8.0,8.0,8.0,8.0
UBA,1998-11-02,8.06,8.12,8.06,8.12
UBA,1998-11-03,8.06,8.06,8.06,8.06
UBA,1998-11-04,8.12,8.12,8.12,8.12
UBA,1998-11-05,8.0,8.0,8.0,8.0
UBA,1998-11-06,8.0,8.0,8.0,8.0
UBA,1998-11-09,8.0,8.0,8.0,8.0
UBA,1998-11-10,7.56,7.88,7.56,7.75
UBA,1998-11-11,7.5,7.75,7.5,7.5
UBA,1998-11-12,7.56,7.56,7.56,7.56
UBA,1998-11-13,7.56,7.56,7.56,7.56
UBA,1998-11-16,7.75,7.75,7.75,7.75
UBA,1998-11-17,7.88,8.25,7.88,7.88
UBA,1998-11-18,7.94,8.0,7.75,7.88
UBA,1998-11-19,7.75,7.88,7.75,7.88
UBA,1998-11-20,7.88,8.06,7.81,8.0
UBA,1998-11-23,8.0,8.0,7.81,7.81
UBA,1998-11-24,7.88,7.88,7.88,7.88
UBA,1998-11-25,8.0,8.0,8.0,8.0
UBA,1998-11-27,8.0,8.0,8.0,8.0
UBA,1998-11-30,8.0,8.0,8.0,8.0
UBA,1998-12-01,8.0,8.0,7.94,7.94
UBA,1998-12-02,7.81,7.81,7.81,7.81
UBA,1998-12-03,7.75,7.75,7.75,7.75
UBA,1998-12-04,7.62,7.62,7.56,7.56
UBA,1998-12-07,7.69,7.69,7.56,7.56
UBA,1998-12-08,7.75,7.75,7.62,7.69
UBA,1998-12-09,7.62,7.62,7.38,7.5
