ticker,date,open,high,low,close
UNVR,2015-06-17,22.0,22.0,22.0,22.0
UNVR,2015-06-18,24.1,25.76,24.05,25.4
UNVR,2015-06-19,25.25,27.75,24.67,27.25
UNVR,2015-06-22,27.35,27.35,26.17,26.75
UNVR,2015-06-23,26.48,27.4,26.16,27.0
UNVR,2015-06-24,27.0,27.0,26.15,26.15
UNVR,2015-06-25,26.0,26.48,25.59,26.33
UNVR,2015-06-26,26.7,26.75,25.02,26.49
UNVR,2015-06-29,25.79,26.5,25.67,25.99
UNVR,2015-06-30,25.96,26.1,25.69,26.03
UNVR,2015-07-01,26.5,26.75,25.84,25.96
UNVR,2015-07-02,25.9,26.55,25.34,25.94
UNVR,2015-07-06,25.47,26.05,25.05,25.31
UNVR,2015-07-07,25.2,25.5,24.29,25.41
UNVR,2015-07-08,24.7,25.28,24.57,24.86
UNVR,2015-07-09,25.2,25.26,24.59,24.91
UNVR,2015-07-10,25.0,25.22,24.63,24.9
UNVR,2015-07-13,24.75,25.15,24.61,25.06
UNVR,2015-07-14,25.28,25.52,24.69,24.91
UNVR,2015-07-15,24.85,25.3,24.81,24.99
UNVR,2015-07-16,25.43,25.45,24.68,24.91
UNVR,2015-07-17,24.91,26.0,24.91,25.01
UNVR,2015-07-20,24.87,24.89,24.27,24.54
UNVR,2015-07-21,24.87,24.87,24.28,24.48
UNVR,2015-07-22,24.27,24.52,24.26,24.5
UNVR,2015-07-23,24.42,24.58,24.31,24.5
UNVR,2015-07-24,24.41,24.5,24.25,24.36
UNVR,2015-07-27,24.25,24.28,23.57,23.65
UNVR,2015-07-28,23.6,23.72,22.69,22.84
UNVR,2015-07-29,22.4,22.88,21.41,22.13
UNVR,2015-07-30,21.98,24.12,21.87,23.94
UNVR,2015-07-31,23.9,24.23,23.77,23.9
UNVR,2015-08-03,23.52,23.69,22.38,22.71
UNVR,2015-08-04,22.85,23.46,22.78,22.91
UNVR,2015-08-05,23.04,23.74,22.82,23.47
UNVR,2015-08-06,23.8,23.8,22.76,23.42
UNVR,2015-08-07,23.6,24.0,23.31,23.43
UNVR,2015-08-10,23.37,23.65,23.03,23.21
UNVR,2015-08-11,23.55,23.55,22.52,22.65
UNVR,2015-08-12,22.44,22.72,22.0,22.21
UNVR,2015-08-13,22.43,23.16,22.25,22.82
UNVR,2015-08-14,23.0,23.0,21.94,22.04
UNVR,2015-08-17,22.0,22.47,21.89,22.2
UNVR,2015-08-18,22.38,22.51,22.01,22.37
UNVR,2015-08-19,22.37,23.23,22.22,22.52
UNVR,2015-08-20,22.4,22.78,22.04,22.46
UNVR,2015-08-21,22.01,22.6,22.01,22.03
UNVR,2015-08-24,20.74,21.69,18.92,21.49
UNVR,2015-08-25,21.89,22.47,20.97,21.15
UNVR,2015-08-26,20.93,21.72,19.53,21.57
UNVR,2015-08-27,21.54,22.18,21.54,22.12
UNVR,2015-08-28,22.03,22.84,21.87,22.27
UNVR,2015-08-31,22.15,23.05,22.15,22.64
UNVR,2015-09-01,21.96,22.73,21.9,22.5
UNVR,2015-09-02,22.51,22.73,22.31,22.62
UNVR,2015-09-03,22.63,23.25,22.5,23.07
UNVR,2015-09-04,22.74,22.83,22.41,22.49
UNVR,2015-09-08,22.3,23.29,22.3,22.8
UNVR,2015-09-09,22.78,23.5,22.4,22.48
UNVR,2015-09-10,22.4,23.26,22.4,22.88
UNVR,2015-09-11,22.87,23.43,22.83,22.99
UNVR,2015-09-14,22.87,23.07,22.61,22.74
UNVR,2015-09-15,22.84,22.84,22.39,22.7
UNVR,2015-09-16,22.74,23.19,22.62,23.0
UNVR,2015-09-17,22.86,23.0,22.51,22.59
UNVR,2015-09-18,22.45,22.66,20.77,20.77
UNVR,2015-09-21,21.27,22.36,20.3,20.37
UNVR,2015-09-22,20.29,20.64,19.71,20.38
UNVR,2015-09-23,20.3,20.65,19.99,20.33
UNVR,2015-09-24,20.13,21.0,19.84,20.65
UNVR,2015-09-25,20.69,20.79,20.17,20.47
UNVR,2015-09-28,20.27,20.46,19.07,19.09
UNVR,2015-09-29,19.07,19.18,18.37,19.12
UNVR,2015-09-30,19.3,19.58,17.75,18.15
UNVR,2015-10-01,18.29,18.86,17.47,17.54
UNVR,2015-10-02,17.44,17.44,16.84,17.18
UNVR,2015-10-05,17.3,18.07,17.04,18.03
UNVR,2015-10-06,18.0,18.45,17.94,18.13
UNVR,2015-10-07,18.22,18.3,17.75,18.14
UNVR,2015-10-08,18.06,18.81,17.98,18.74
UNVR,2015-10-09,18.75,19.57,18.63,19.38
UNVR,2015-10-12,19.45,19.69,18.97,19.18
UNVR,2015-10-13,19.1,19.25,18.82,19.02
UNVR,2015-10-14,18.97,19.16,18.62,18.73
UNVR,2015-10-15,18.76,19.08,18.46,19.07
UNVR,2015-10-16,19.08,19.19,18.47,18.61
UNVR,2015-10-19,18.53,18.67,18.19,18.45
UNVR,2015-10-20,18.41,18.78,18.22,18.68
UNVR,2015-10-21,18.69,18.69,18.13,18.4
UNVR,2015-10-22,18.52,18.77,18.2,18.55
UNVR,2015-10-23,18.61,18.73,17.95,17.99
UNVR,2015-10-26,17.94,18.25,17.81,17.98
UNVR,2015-10-27,17.83,18.07,17.58,18.0
UNVR,2015-10-28,18.09,18.21,17.5,17.7
UNVR,2015-10-29,17.59,17.91,17.52,17.62
UNVR,2015-10-30,17.62,17.73,17.28,17.66
UNVR,2015-11-02,17.67,18.44,17.67,18.27
UNVR,2015-11-03,17.18,19.16,17.18,19.11
UNVR,2015-11-04,22.09,22.09,19.48,19.99
UNVR,2015-11-05,19.93,20.16,18.95,19.32
UNVR,2015-11-06,19.29,19.95,19.09,19.94
UNVR,2015-11-09,19.94,19.94,18.53,18.95
UNVR,2015-11-10,18.97,18.98,18.23,18.37
UNVR,2015-11-11,18.37,18.45,18.06,18.38
UNVR,2015-11-12,18.3,18.65,18.03,18.31
UNVR,2015-11-13,18.22,18.7,18.2,18.59
UNVR,2015-11-16,18.5,19.02,18.27,18.87
UNVR,2015-11-17,18.83,19.31,18.44,18.5
UNVR,2015-11-18,18.58,19.16,18.4,19.01
UNVR,2015-11-19,18.99,19.5,18.91,19.39
UNVR,2015-11-20,19.52,19.71,18.95,19.0
UNVR,2015-11-23,18.96,19.36,18.92,19.22
UNVR,2015-11-24,19.21,19.61,19.06,19.51
UNVR,2015-11-25,19.47,19.59,19.33,19.4
UNVR,2015-11-27,19.35,19.35,18.86,19.01
UNVR,2015-11-30,19.03,19.2,18.91,18.94
UNVR,2015-12-01,19.02,19.06,18.45,18.49
UNVR,2015-12-02,18.4,18.87,18.3,18.42
UNVR,2015-12-03,18.54,18.81,17.85,18.03
UNVR,2015-12-04,18.02,18.33,17.82,18.24
UNVR,2015-12-07,18.13,18.25,17.29,17.33
UNVR,2015-12-08,17.2,17.44,16.93,16.94
UNVR,2015-12-09,16.96,17.34,16.74,16.95
UNVR,2015-12-10,16.98,17.9,16.9,17.09
UNVR,2015-12-11,16.81,17.15,16.62,16.81
UNVR,2015-12-14,16.85,17.06,16.18,16.28
UNVR,2015-12-15,16.41,17.03,16.37,16.62
UNVR,2015-12-16,16.66,17.06,16.51,16.96
UNVR,2015-12-17,16.98,17.24,16.64,16.69
UNVR,2015-12-18,16.6,17.06,16.51,16.68
UNVR,2015-12-21,16.75,17.13,16.69,16.8
UNVR,2015-12-22,16.81,17.7,16.81,17.56
UNVR,2015-12-23,17.65,17.98,17.52,17.8
UNVR,2015-12-24,17.77,18.0,17.6,17.8
UNVR,2015-12-28,17.7,17.8,16.74,17.31
UNVR,2015-12-29,17.46,17.57,16.62,16.99
UNVR,2015-12-30,16.99,17.15,16.81,16.89
UNVR,2015-12-31,16.86,17.24,16.38,17.01
UNVR,2016-01-04,16.78,16.78,16.08,16.39
UNVR,2016-01-05,16.42,16.51,15.93,16.12
UNVR,2016-01-06,15.86,16.05,15.58,15.83
UNVR,2016-01-07,15.61,15.83,15.42,15.5
UNVR,2016-01-08,15.59,15.6,15.0,15.05
UNVR,2016-01-11,15.19,15.19,14.8,15.03
UNVR,2016-01-12,15.14,15.34,14.31,14.68
UNVR,2016-01-13,14.68,14.96,14.16,14.32
UNVR,2016-01-14,14.35,15.11,14.25,14.87
UNVR,2016-01-15,14.43,14.9,14.1,14.3
UNVR,2016-01-19,14.46,15.0,14.17,14.26
UNVR,2016-01-20,13.9,13.9,12.4,12.75
UNVR,2016-01-21,12.75,13.14,12.62,12.85
UNVR,2016-01-22,13.11,13.52,12.92,13.28
UNVR,2016-01-25,13.19,13.36,12.81,12.9
UNVR,2016-01-26,12.98,13.16,12.75,12.87
UNVR,2016-01-27,12.8,12.96,12.53,12.68
UNVR,2016-01-28,12.81,12.91,12.42,12.43
UNVR,2016-01-29,12.57,12.83,12.48,12.71
UNVR,2016-02-01,12.64,12.7,12.38,12.57
UNVR,2016-02-02,12.4,12.47,11.66,11.68
UNVR,2016-02-03,11.83,11.83,11.19,11.71
UNVR,2016-02-04,11.73,12.97,11.73,12.79
UNVR,2016-02-05,12.68,12.82,11.91,11.97
UNVR,2016-02-08,11.8,11.8,11.33,11.74
UNVR,2016-02-09,11.58,11.67,11.23,11.39
UNVR,2016-02-10,11.41,11.62,11.07,11.12
UNVR,2016-02-11,10.88,11.24,10.65,11.12
UNVR,2016-02-12,11.27,12.08,11.02,11.99
UNVR,2016-02-16,12.64,12.64,11.8,12.17
UNVR,2016-02-17,12.31,13.17,12.28,12.92
UNVR,2016-02-18,13.0,13.18,12.52,12.88
UNVR,2016-02-19,12.86,12.99,12.52,12.96
UNVR,2016-02-22,13.2,13.99,13.05,13.96
UNVR,2016-02-23,13.82,13.98,13.6,13.9
UNVR,2016-02-24,13.2,14.09,11.6,14.01
UNVR,2016-02-25,13.82,15.91,13.82,15.43
UNVR,2016-02-26,15.4,15.62,15.1,15.28
UNVR,2016-02-29,15.4,15.87,15.26,15.73
UNVR,2016-03-01,16.05,16.92,15.76,16.18
UNVR,2016-03-02,16.19,16.71,16.09,16.56
UNVR,2016-03-03,16.5,17.04,16.46,16.54
UNVR,2016-03-04,16.54,16.89,16.11,16.45
UNVR,2016-03-07,16.41,16.86,16.41,16.67
UNVR,2016-03-08,16.55,16.68,15.75,15.85
UNVR,2016-03-09,16.0,16.39,15.62,16.36
UNVR,2016-03-10,16.48,16.65,16.0,16.41
UNVR,2016-03-11,16.62,17.04,16.62,16.85
UNVR,2016-03-14,16.77,17.1,16.58,16.97
UNVR,2016-03-15,16.87,16.87,16.04,16.1
UNVR,2016-03-16,16.06,16.73,16.04,16.68
UNVR,2016-03-17,16.75,17.15,16.68,16.83
UNVR,2016-03-18,16.95,16.99,16.13,16.52
UNVR,2016-03-21,16.54,16.87,16.26,16.85
UNVR,2016-03-22,16.7,16.91,16.6,16.76
UNVR,2016-03-23,16.67,16.72,16.37,16.53
UNVR,2016-03-24,16.44,16.66,16.06,16.52
UNVR,2016-03-28,16.61,16.77,16.37,16.61
UNVR,2016-03-29,16.52,17.13,16.47,17.08
UNVR,2016-03-30,17.17,17.72,17.17,17.41
UNVR,2016-03-31,17.36,17.38,16.97,17.18
UNVR,2016-04-01,16.97,17.28,16.89,17.24
UNVR,2016-04-04,17.2,17.29,16.94,16.99
UNVR,2016-04-05,16.85,16.92,16.54,16.82
UNVR,2016-04-06,16.8,16.92,16.51,16.78
UNVR,2016-04-07,16.63,17.02,16.57,16.8
UNVR,2016-04-08,17.02,17.21,16.72,16.93
UNVR,2016-04-11,17.1,17.32,16.94,17.05
UNVR,2016-04-12,17.04,17.51,17.04,17.46
UNVR,2016-04-13,17.58,17.72,17.42,17.71
UNVR,2016-04-14,17.74,17.81,17.5,17.69
UNVR,2016-04-15,17.59,17.98,17.59,17.9
UNVR,2016-04-18,18.0,18.06,17.73,18.05
UNVR,2016-04-19,18.15,18.33,18.01,18.14
UNVR,2016-04-20,18.15,18.33,17.97,18.11
UNVR,2016-04-21,18.11,18.27,17.9,17.9
UNVR,2016-04-22,17.97,18.2,17.81,18.08
UNVR,2016-04-25,17.98,18.1,17.65,17.7
UNVR,2016-04-26,17.78,18.08,17.65,18.04
UNVR,2016-04-27,17.97,18.2,17.83,18.09
UNVR,2016-04-28,18.06,18.18,17.55,17.58
UNVR,2016-04-29,17.64,17.67,17.26,17.4
UNVR,2016-05-02,17.48,17.9,17.1,17.74
UNVR,2016-05-03,17.57,17.6,16.98,16.98
UNVR,2016-05-04,17.0,17.64,16.07,17.0
UNVR,2016-05-05,17.57,17.57,16.48,16.68
UNVR,2016-05-06,16.75,17.44,16.61,17.39
UNVR,2016-05-09,17.44,17.48,17.08,17.32
UNVR,2016-05-10,17.43,17.82,17.36,17.75
UNVR,2016-05-11,18.45,19.03,18.42,18.57
UNVR,2016-05-12,18.68,18.68,17.99,18.01
UNVR,2016-05-13,18.0,18.19,17.95,18.04
UNVR,2016-05-16,18.23,18.71,18.14,18.68
UNVR,2016-05-17,18.65,18.75,18.34,18.41
UNVR,2016-05-18,18.27,18.59,18.18,18.4
UNVR,2016-05-19,18.23,18.4,18.02,18.22
UNVR,2016-05-20,18.34,18.61,18.26,18.46
UNVR,2016-05-23,18.45,18.6,18.28,18.46
UNVR,2016-05-24,18.59,18.74,18.45,18.62
UNVR,2016-05-25,18.72,18.96,18.61,18.87
UNVR,2016-05-26,19.01,19.14,18.79,18.89
UNVR,2016-05-27,18.84,19.08,18.75,18.93
UNVR,2016-05-31,18.97,19.07,18.56,18.66
UNVR,2016-06-01,18.56,18.91,18.3,18.91
UNVR,2016-06-02,18.77,19.32,18.66,19.28
UNVR,2016-06-03,19.36,19.45,19.09,19.43
UNVR,2016-06-06,19.44,19.77,19.31,19.5
UNVR,2016-06-07,19.39,19.87,19.39,19.74
UNVR,2016-06-08,19.9,19.9,19.56,19.56
UNVR,2016-06-09,19.41,19.61,19.21,19.42
UNVR,2016-06-10,19.28,19.28,19.0,19.2
UNVR,2016-06-13,19.16,19.2,18.78,19.0
UNVR,2016-06-14,18.9,19.06,18.22,18.5
UNVR,2016-06-15,18.61,18.8,18.51,18.54
UNVR,2016-06-16,18.36,18.5,18.0,18.44
UNVR,2016-06-17,18.46,18.54,18.2,18.3
UNVR,2016-06-20,18.64,18.95,18.46,18.57
UNVR,2016-06-21,18.56,18.56,18.06,18.27
UNVR,2016-06-22,18.26,18.49,18.22,18.27
UNVR,2016-06-23,18.53,19.36,18.29,19.12
UNVR,2016-06-24,17.85,18.41,17.19,18.24
UNVR,2016-06-27,17.93,18.11,17.68,18.04
UNVR,2016-06-28,18.22,18.38,18.04,18.3
UNVR,2016-06-29,18.57,18.82,18.24,18.68
UNVR,2016-06-30,18.71,18.92,18.55,18.91
UNVR,2016-07-01,18.92,19.45,18.92,19.16
UNVR,2016-07-05,18.97,19.18,18.49,18.69
UNVR,2016-07-06,18.56,19.14,18.27,19.01
UNVR,2016-07-07,19.01,19.29,18.76,18.85
UNVR,2016-07-08,19.1,19.44,18.93,19.34
UNVR,2016-07-11,19.5,19.63,19.22,19.25
UNVR,2016-07-12,19.55,19.91,19.46,19.82
UNVR,2016-07-13,19.82,19.96,19.13,19.37
UNVR,2016-07-14,19.56,19.61,19.41,19.45
UNVR,2016-07-15,19.6,19.61,19.36,19.51
UNVR,2016-07-18,19.49,19.66,19.29,19.49
UNVR,2016-07-19,19.45,19.59,19.33,19.4
UNVR,2016-07-20,19.42,19.58,19.18,19.41
UNVR,2016-07-21,19.35,19.51,19.13,19.14
UNVR,2016-07-22,19.13,19.13,18.87,18.91
UNVR,2016-07-25,18.85,18.95,18.6,18.78
UNVR,2016-07-26,18.73,18.97,18.7,18.82
UNVR,2016-07-27,18.96,18.96,18.24,18.52
UNVR,2016-07-28,18.55,18.65,18.33,18.41
UNVR,2016-07-29,18.18,18.31,18.01,18.31
UNVR,2016-08-01,18.21,18.33,17.91,17.96
UNVR,2016-08-02,17.97,18.1,17.6,17.69
UNVR,2016-08-03,17.71,18.3,17.7,18.2
UNVR,2016-08-04,18.24,18.44,18.16,18.17
UNVR,2016-08-05,18.26,18.73,18.26,18.64
UNVR,2016-08-08,18.67,19.05,18.67,18.86
UNVR,2016-08-09,19.83,19.83,17.0,18.53
UNVR,2016-08-10,18.59,19.14,18.35,18.72
UNVR,2016-08-11,18.79,19.62,18.71,19.39
UNVR,2016-08-12,19.34,19.74,19.17,19.6
UNVR,2016-08-15,19.88,20.27,19.73,20.1
UNVR,2016-08-16,18.7,18.99,18.68,18.74
UNVR,2016-08-17,18.67,18.99,18.6,18.88
UNVR,2016-08-18,18.94,19.55,18.79,19.5
UNVR,2016-08-19,19.61,20.07,19.43,19.89
UNVR,2016-08-22,19.86,19.96,19.6,19.73
UNVR,2016-08-23,19.86,20.12,19.76,20.02
UNVR,2016-08-24,19.99,20.34,19.65,19.71
UNVR,2016-08-25,19.65,20.0,19.65,20.0
UNVR,2016-08-26,19.94,20.57,19.94,20.53
UNVR,2016-08-29,20.52,20.7,20.38,20.62
UNVR,2016-08-30,20.58,20.8,20.53,20.67
UNVR,2016-08-31,20.63,20.73,20.52,20.69
UNVR,2016-09-01,20.66,20.86,20.55,20.85
UNVR,2016-09-02,20.9,21.08,20.87,21.0
UNVR,2016-09-06,21.05,21.05,20.69,20.72
UNVR,2016-09-07,20.73,20.73,20.38,20.57
UNVR,2016-09-08,20.6,20.62,20.38,20.49
UNVR,2016-09-09,20.55,20.61,19.51,19.53
UNVR,2016-09-12,19.34,19.8,19.33,19.79
UNVR,2016-09-13,19.53,19.59,19.13,19.37
UNVR,2016-09-14,19.38,19.44,19.13,19.25
UNVR,2016-09-15,19.26,19.51,19.17,19.49
UNVR,2016-09-16,19.42,19.97,19.42,19.96
UNVR,2016-09-19,20.0,20.54,19.97,20.23
UNVR,2016-09-20,20.32,20.32,19.8,19.83
UNVR,2016-09-21,20.07,20.79,20.05,20.54
UNVR,2016-09-22,20.83,21.05,20.74,20.88
UNVR,2016-09-23,20.85,21.22,20.79,21.2
UNVR,2016-09-26,21.08,21.08,20.68,20.77
UNVR,2016-09-27,20.64,20.92,20.64,20.85
UNVR,2016-09-28,20.87,21.26,20.81,21.23
UNVR,2016-09-29,21.26,21.59,20.96,21.19
UNVR,2016-09-30,21.3,22.0,21.17,21.85
UNVR,2016-10-03,21.86,21.97,21.68,21.78
UNVR,2016-10-04,21.89,21.95,21.64,21.83
UNVR,2016-10-05,22.0,22.31,21.89,22.07
UNVR,2016-10-06,22.13,22.52,21.99,22.47
UNVR,2016-10-07,22.47,22.47,22.06,22.27
UNVR,2016-10-10,22.38,22.76,22.06,22.08
UNVR,2016-10-11,21.99,21.99,21.34,21.44
UNVR,2016-10-12,21.47,21.52,21.21,21.28
UNVR,2016-10-13,20.98,21.1,20.63,21.07
UNVR,2016-10-14,21.24,21.58,21.16,21.23
UNVR,2016-10-17,21.25,21.55,21.2,21.48
UNVR,2016-10-18,21.77,21.78,21.38,21.49
UNVR,2016-10-19,21.6,21.95,21.43,21.88
UNVR,2016-10-20,21.81,22.13,21.75,22.02
UNVR,2016-10-21,21.79,22.43,21.78,22.36
UNVR,2016-10-24,22.37,22.67,22.19,22.28
UNVR,2016-10-25,22.25,22.25,21.93,22.16
UNVR,2016-10-26,22.0,22.5,21.91,22.4
UNVR,2016-10-27,22.61,22.62,22.2,22.31
UNVR,2016-10-28,22.3,22.66,22.3,22.41
UNVR,2016-10-31,22.27,22.38,22.14,22.25
UNVR,2016-11-01,22.35,22.35,21.97,22.22
UNVR,2016-11-02,21.88,22.23,21.88,22.07
UNVR,2016-11-03,22.11,22.54,21.91,21.96
UNVR,2016-11-04,20.91,22.51,20.54,22.2
UNVR,2016-11-07,22.58,22.89,22.51,22.7
UNVR,2016-11-08,22.6,23.48,22.49,23.35
UNVR,2016-11-09,23.01,24.08,22.95,23.76
UNVR,2016-11-10,23.97,24.05,23.4,23.64
UNVR,2016-11-11,23.68,24.02,23.49,23.71
UNVR,2016-11-14,23.77,24.35,23.48,23.93
UNVR,2016-11-15,23.97,24.58,23.91,24.48
UNVR,2016-11-16,24.37,24.48,23.94,24.38
UNVR,2016-11-17,24.52,24.66,24.17,24.39
UNVR,2016-11-18,24.44,24.66,24.25,24.57
UNVR,2016-11-21,24.86,24.99,24.45,24.69
UNVR,2016-11-22,24.82,24.89,24.51,24.85
UNVR,2016-11-23,24.85,25.18,24.7,24.9
UNVR,2016-11-25,24.97,25.04,24.82,25.03
UNVR,2016-11-28,24.99,24.99,24.43,24.48
UNVR,2016-11-29,24.3,24.56,24.27,24.37
UNVR,2016-11-30,24.66,25.0,24.65,24.9
UNVR,2016-12-01,25.0,25.0,24.42,24.54
UNVR,2016-12-02,24.48,24.75,24.25,24.72
UNVR,2016-12-05,24.9,25.19,24.57,25.05
UNVR,2016-12-06,25.08,25.59,24.92,25.53
UNVR,2016-12-07,25.55,26.91,25.41,26.51
UNVR,2016-12-08,26.56,26.72,25.51,25.82
UNVR,2016-12-09,26.73,27.41,25.92,26.36
UNVR,2016-12-12,26.44,26.57,25.96,26.11
UNVR,2016-12-13,25.91,26.26,25.8,26.01
UNVR,2016-12-14,26.01,26.22,25.4,25.46
UNVR,2016-12-15,25.91,26.75,25.81,26.1
UNVR,2016-12-16,26.31,26.45,25.94,26.1
UNVR,2016-12-19,26.06,26.69,26.04,26.67
UNVR,2016-12-20,26.79,27.28,26.24,27.26
UNVR,2016-12-21,27.29,27.86,27.14,27.69
UNVR,2016-12-22,27.62,28.09,27.51,28.04
UNVR,2016-12-23,28.18,28.53,28.0,28.39
UNVR,2016-12-27,28.47,28.69,28.38,28.56
UNVR,2016-12-28,28.6,28.8,28.44,28.6
UNVR,2016-12-29,28.52,28.87,28.44,28.59
UNVR,2016-12-30,28.58,28.66,28.28,28.37
UNVR,2017-01-03,28.53,28.98,28.41,28.72
UNVR,2017-01-04,28.8,28.8,28.06,28.21
UNVR,2017-01-05,28.12,28.24,27.53,27.68
UNVR,2017-01-06,27.83,27.83,27.37,27.49
UNVR,2017-01-09,27.38,27.47,27.21,27.36
UNVR,2017-01-10,27.43,28.01,27.33,27.98
UNVR,2017-01-11,27.8,28.77,27.77,28.6
UNVR,2017-01-12,28.8,28.8,27.92,28.54
UNVR,2017-01-13,28.65,28.85,28.5,28.77
UNVR,2017-01-17,28.8,28.8,28.42,28.67
UNVR,2017-01-18,28.63,29.3,28.58,29.01
UNVR,2017-01-19,29.05,29.36,28.66,28.8
UNVR,2017-01-20,28.9,29.63,28.9,29.45
UNVR,2017-01-23,29.1,29.81,28.75,29.45
UNVR,2017-01-24,29.5,30.09,29.5,30.0
UNVR,2017-01-25,30.22,30.92,30.2,30.91
UNVR,2017-01-26,31.02,31.06,30.53,30.6
UNVR,2017-01-27,30.55,30.74,30.22,30.46
UNVR,2017-01-30,30.27,30.27,29.63,29.88
UNVR,2017-01-31,29.9,30.16,29.42,29.82
UNVR,2017-02-01,29.05,29.38,28.65,29.12
UNVR,2017-02-02,29.14,29.45,28.73,28.73
