ticker,date,open,high,low,close
USX,2018-06-14,16.3,16.94,16.07,16.68
USX,2018-06-15,16.45,16.83,16.05,16.62
USX,2018-06-18,16.44,16.5,16.03,16.1
USX,2018-06-19,15.89,15.89,15.0,15.11
USX,2018-06-20,15.2,15.8,15.15,15.79
USX,2018-06-21,15.8,15.94,15.39,15.63
USX,2018-06-22,15.57,15.6,15.05,15.3
USX,2018-06-25,15.38,15.44,14.34,14.46
USX,2018-06-26,14.38,14.5,13.46,13.52
USX,2018-06-27,13.44,13.95,12.63,12.66
USX,2018-06-28,12.79,13.72,12.61,13.67
USX,2018-06-29,13.58,15.55,13.58,15.14
USX,2018-07-02,15.12,15.3,14.71,15.2
USX,2018-07-03,15.3,15.6,15.27,15.31
USX,2018-07-05,15.37,15.45,15.15,15.33
USX,2018-07-06,15.44,15.79,15.35,15.77
USX,2018-07-09,16.03,16.04,15.3,15.49
USX,2018-07-10,15.5,15.88,15.36,15.64
USX,2018-07-11,15.6,16.07,15.35,15.82
USX,2018-07-12,16.0,16.0,15.4,15.59
USX,2018-07-13,15.56,15.83,14.98,15.64
USX,2018-07-16,15.61,15.67,14.33,14.71
USX,2018-07-17,14.56,14.74,14.4,14.42
USX,2018-07-18,14.4,15.11,14.34,14.84
USX,2018-07-19,14.9,15.3,14.0,14.79
USX,2018-07-20,14.7,15.14,14.59,14.85
USX,2018-07-23,15.06,15.49,14.65,15.29
USX,2018-07-24,15.43,15.43,13.82,14.16
USX,2018-07-25,14.22,14.22,13.25,13.34
USX,2018-07-26,13.31,13.34,12.66,13.1
USX,2018-07-27,13.23,13.64,12.7,13.09
USX,2018-07-30,13.03,13.33,12.85,13.07
USX,2018-07-31,12.9,13.35,12.75,13.1
USX,2018-08-01,12.95,13.24,12.77,13.02
USX,2018-08-02,13.0,13.5,12.91,13.48
USX,2018-08-03,13.76,13.86,13.0,13.33
USX,2018-08-06,13.45,13.74,13.43,13.66
USX,2018-08-07,13.72,14.08,13.62,13.92
USX,2018-08-08,13.87,14.17,13.87,14.09
USX,2018-08-09,14.08,14.16,13.71,14.05
USX,2018-08-10,13.95,14.1,13.61,14.04
USX,2018-08-13,14.07,14.1,13.83,13.99
USX,2018-08-14,14.01,14.32,13.81,14.18
USX,2018-08-15,14.11,14.25,13.61,14.0
USX,2018-08-16,14.03,14.24,13.8,14.07
USX,2018-08-17,13.96,14.07,13.77,14.0
USX,2018-08-20,14.03,14.25,13.91,14.17
USX,2018-08-21,14.19,14.32,14.12,14.28
USX,2018-08-22,14.27,14.49,14.15,14.42
USX,2018-08-23,14.42,14.66,14.35,14.38
USX,2018-08-24,14.62,14.85,14.39,14.54
USX,2018-08-27,14.63,15.04,14.57,14.88
USX,2018-08-28,14.91,14.99,14.58,14.77
USX,2018-08-29,14.73,15.05,14.63,14.82
USX,2018-08-30,14.88,14.95,14.72,14.78
USX,2018-08-31,14.76,14.95,14.57,14.79
USX,2018-09-04,14.69,14.97,14.63,14.82
USX,2018-09-05,14.82,15.08,14.55,15.01
USX,2018-09-06,15.08,15.44,14.7,15.21
USX,2018-09-07,15.15,15.84,15.15,15.78
USX,2018-09-10,15.93,16.34,15.93,16.11
USX,2018-09-11,16.01,16.15,15.23,15.92
USX,2018-09-12,15.79,16.2,15.47,15.67
USX,2018-09-13,15.62,15.62,14.5,14.89
USX,2018-09-14,14.79,15.12,14.73,15.01
USX,2018-09-17,14.99,15.48,14.77,15.14
USX,2018-09-18,15.18,15.41,14.79,15.06
USX,2018-09-19,15.03,15.08,14.58,14.66
USX,2018-09-20,14.68,15.0,14.46,14.49
USX,2018-09-21,14.5,14.56,13.88,14.09
USX,2018-09-24,14.02,14.21,13.78,14.02
USX,2018-09-25,14.02,14.15,13.81,13.89
USX,2018-09-26,13.91,14.03,13.68,13.7
USX,2018-09-27,13.71,13.72,13.4,13.67
USX,2018-09-28,13.61,13.97,13.41,13.8
USX,2018-10-01,14.0,14.0,13.51,13.62
USX,2018-10-02,13.55,13.67,13.31,13.39
USX,2018-10-03,13.4,13.76,13.31,13.58
USX,2018-10-04,13.58,13.76,13.27,13.28
USX,2018-10-05,13.25,13.38,12.34,12.61
USX,2018-10-08,12.55,12.63,12.2,12.39
USX,2018-10-09,12.34,12.55,12.07,12.27
USX,2018-10-10,12.2,12.3,11.72,11.79
USX,2018-10-11,11.7,11.92,11.13,11.24
USX,2018-10-12,11.45,11.45,10.73,11.19
USX,2018-10-15,11.05,11.44,10.94,11.31
USX,2018-10-16,11.38,11.58,11.02,11.3
USX,2018-10-17,11.27,11.27,10.63,10.75
USX,2018-10-18,10.67,10.67,9.9,9.99
USX,2018-10-19,9.99,10.32,9.65,9.96
USX,2018-10-22,10.0,10.23,9.72,10.01
USX,2018-10-23,9.85,9.99,9.64,9.85
USX,2018-10-24,9.86,10.21,9.5,9.54
USX,2018-10-25,9.61,9.93,9.54,9.82
USX,2018-10-26,9.69,9.69,9.31,9.42
USX,2018-10-29,9.54,9.64,9.28,9.38
USX,2018-10-30,9.36,9.66,9.28,9.65
USX,2018-10-31,9.74,9.82,9.21,9.63
USX,2018-11-01,9.66,10.33,9.47,10.14
USX,2018-11-02,9.0,9.0,6.54,7.1
USX,2018-11-05,7.42,7.5,6.8,6.95
USX,2018-11-06,7.0,8.03,6.97,8.02
USX,2018-11-07,8.08,8.68,8.08,8.26
USX,2018-11-08,8.23,8.69,7.89,8.31
USX,2018-11-09,8.31,8.31,7.48,7.67
USX,2018-11-12,7.6,7.73,7.31,7.44
USX,2018-11-13,7.49,7.62,7.36,7.45
USX,2018-11-14,7.54,7.92,7.54,7.7
USX,2018-11-15,7.7,7.8,7.36,7.79
USX,2018-11-16,7.73,7.87,7.5,7.79
USX,2018-11-19,7.75,7.92,7.55,7.91
USX,2018-11-20,7.77,7.89,7.45,7.47
USX,2018-11-21,7.48,7.66,7.21,7.35
USX,2018-11-23,7.34,7.47,7.31,7.43
USX,2018-11-26,7.49,7.59,7.31,7.45
USX,2018-11-27,7.44,7.53,7.24,7.28
USX,2018-11-28,7.28,7.68,7.13,7.66
USX,2018-11-29,7.69,7.74,7.41,7.64
USX,2018-11-30,7.6,8.3,7.59,8.23
USX,2018-12-03,8.43,8.59,8.12,8.19
USX,2018-12-04,8.13,8.13,6.95,7.03
USX,2018-12-06,7.04,7.12,6.65,6.86
USX,2018-12-07,6.83,7.03,6.36,6.37
USX,2018-12-10,6.43,6.43,5.84,6.0
USX,2018-12-11,6.2,6.67,6.1,6.33
USX,2018-12-12,6.49,6.49,6.0,6.08
USX,2018-12-13,6.05,6.15,5.61,5.72
USX,2018-12-14,5.72,5.73,5.42,5.5
USX,2018-12-17,5.5,5.54,5.1,5.14
USX,2018-12-18,5.13,5.45,5.08,5.1
USX,2018-12-19,5.14,5.44,4.92,4.95
USX,2018-12-20,4.97,5.05,4.83,4.96
USX,2018-12-21,4.99,5.14,4.9,5.05
USX,2018-12-24,4.93,5.1,4.89,4.94
USX,2018-12-26,4.94,5.65,4.92,5.38
USX,2018-12-27,5.26,5.43,5.1,5.42
USX,2018-12-28,5.39,5.6,5.27,5.43
USX,2018-12-31,5.49,5.64,5.31,5.61
USX,2019-01-02,5.45,6.18,5.43,5.82
USX,2019-01-03,5.85,6.06,5.53,5.73
USX,2019-01-04,5.87,5.95,5.61,5.9
USX,2019-01-07,5.9,5.93,5.72,5.86
USX,2019-01-08,5.94,6.56,5.93,6.55
USX,2019-01-09,6.65,6.88,6.4,6.82
USX,2019-01-10,6.75,7.11,6.63,7.1
USX,2019-01-11,7.02,7.04,6.8,7.0
USX,2019-01-14,6.92,7.29,6.8,6.95
USX,2019-01-15,6.97,7.0,6.41,6.87
USX,2019-01-16,6.85,7.22,6.8,6.96
USX,2019-01-17,7.03,7.2,6.95,7.15
USX,2019-01-18,7.23,7.73,7.1,7.4
USX,2019-01-22,7.32,7.45,7.15,7.32
USX,2019-01-23,7.3,7.49,7.26,7.41
USX,2019-01-24,7.43,7.64,7.36,7.56
USX,2019-01-25,7.63,7.8,7.3,7.56
USX,2019-01-28,7.49,7.49,7.1,7.17
USX,2019-01-29,7.2,7.46,7.05,7.36
USX,2019-01-30,7.44,7.59,7.2,7.57
USX,2019-01-31,7.57,7.63,7.36,7.38
USX,2019-02-01,7.4,7.4,7.13,7.28
USX,2019-02-04,7.58,7.76,7.4,7.69
USX,2019-02-05,7.77,7.85,7.63,7.81
USX,2019-02-06,7.85,8.09,7.75,8.01
USX,2019-02-07,7.9,8.06,7.54,7.76
USX,2019-02-08,7.8,9.2,7.72,8.38
USX,2019-02-11,8.45,9.11,8.45,8.93
USX,2019-02-12,9.1,9.64,9.0,9.33
USX,2019-02-13,9.33,9.87,9.15,9.84
USX,2019-02-14,9.81,9.86,9.48,9.55
USX,2019-02-15,9.6,9.77,9.3,9.43
USX,2019-02-19,9.42,9.67,9.32,9.4
USX,2019-02-20,9.41,9.63,9.24,9.3
USX,2019-02-21,9.38,9.46,9.1,9.4
USX,2019-02-22,9.4,9.4,9.1,9.25
USX,2019-02-25,9.36,9.6,9.23,9.24
USX,2019-02-26,9.23,9.4,9.1,9.12
USX,2019-02-27,9.14,9.22,8.96,8.99
USX,2019-02-28,8.96,9.0,8.7,8.75
USX,2019-03-01,8.89,9.28,8.75,9.08
USX,2019-03-04,9.03,9.03,8.26,8.28
USX,2019-03-05,8.3,8.36,7.9,7.95
USX,2019-03-06,8.02,8.05,7.76,7.9
USX,2019-03-07,7.9,7.95,7.75,7.87
USX,2019-03-08,7.79,8.12,7.75,8.07
USX,2019-03-11,8.1,8.58,8.09,8.52
USX,2019-03-12,8.56,8.65,8.27,8.61
