ticker,date,open,high,low,close
VNTR,2017-08-03,20.89,21.34,20.41,20.65
VNTR,2017-08-04,20.65,20.74,20.35,20.63
VNTR,2017-08-07,20.44,20.65,20.3,20.53
VNTR,2017-08-08,20.43,20.52,17.85,19.5
VNTR,2017-08-09,19.74,19.86,19.0,19.04
VNTR,2017-08-10,18.95,19.5,18.5,19.14
VNTR,2017-08-11,19.11,19.84,18.83,19.55
VNTR,2017-08-14,19.61,20.0,19.22,19.22
VNTR,2017-08-15,19.37,19.44,18.79,18.98
VNTR,2017-08-16,18.85,19.29,18.75,18.99
VNTR,2017-08-17,19.06,19.06,18.5,18.65
VNTR,2017-08-18,18.77,18.78,18.54,18.57
VNTR,2017-08-21,18.75,18.9,18.26,18.4
VNTR,2017-08-22,18.45,18.73,18.05,18.36
VNTR,2017-08-23,18.31,18.95,18.31,18.68
VNTR,2017-08-24,18.88,19.66,18.65,19.45
VNTR,2017-08-25,19.56,20.54,19.41,20.07
VNTR,2017-08-28,20.2,20.48,19.91,20.05
VNTR,2017-08-29,20.12,20.5,19.97,20.19
VNTR,2017-08-30,20.12,20.48,19.86,20.34
VNTR,2017-08-31,20.28,20.46,20.11,20.3
VNTR,2017-09-01,20.37,21.0,20.37,20.85
VNTR,2017-09-05,20.79,21.0,20.55,20.84
VNTR,2017-09-06,20.87,21.0,20.6,20.7
VNTR,2017-09-07,20.77,21.23,20.74,21.18
VNTR,2017-09-08,21.11,21.59,20.75,21.41
VNTR,2017-09-11,21.6,22.37,21.5,21.98
VNTR,2017-09-12,21.98,22.37,21.74,22.28
VNTR,2017-09-13,22.32,23.0,22.23,22.23
VNTR,2017-09-14,22.28,22.45,21.28,22.06
VNTR,2017-09-15,22.19,22.7,22.16,22.29
VNTR,2017-09-18,22.25,23.25,22.02,22.88
VNTR,2017-09-19,22.9,23.44,22.84,22.9
VNTR,2017-09-20,23.08,23.42,22.2,22.58
VNTR,2017-09-21,22.58,22.9,22.25,22.41
VNTR,2017-09-22,22.44,23.27,21.75,22.88
VNTR,2017-09-25,22.83,23.14,22.27,22.43
VNTR,2017-09-26,22.54,22.93,22.3,22.78
VNTR,2017-09-27,22.84,23.15,22.72,22.83
VNTR,2017-09-28,22.79,22.94,22.45,22.72
VNTR,2017-09-29,22.79,22.79,22.07,22.6
VNTR,2017-10-02,22.66,23.19,22.31,23.0
VNTR,2017-10-03,23.15,23.44,22.55,22.81
VNTR,2017-10-04,22.89,23.33,22.52,22.92
VNTR,2017-10-05,23.21,23.73,22.92,23.01
VNTR,2017-10-06,22.99,23.06,22.55,22.78
VNTR,2017-10-09,22.94,23.46,22.65,23.19
VNTR,2017-10-10,23.15,23.53,23.04,23.27
VNTR,2017-10-11,23.3,24.04,23.09,24.0
VNTR,2017-10-12,24.7,24.73,24.07,24.23
VNTR,2017-10-13,24.47,24.59,24.03,24.4
VNTR,2017-10-16,24.54,24.7,24.31,24.51
VNTR,2017-10-17,24.61,25.13,24.51,24.6
VNTR,2017-10-18,24.69,24.94,23.86,24.02
VNTR,2017-10-19,23.9,24.05,23.51,23.68
VNTR,2017-10-20,23.79,24.22,23.64,23.85
VNTR,2017-10-23,24.11,24.4,23.74,24.21
VNTR,2017-10-24,24.28,24.88,24.28,24.74
VNTR,2017-10-25,24.81,25.24,24.65,25.08
VNTR,2017-10-26,25.47,25.58,24.89,25.5
VNTR,2017-10-27,26.5,26.9,24.55,24.81
VNTR,2017-10-30,25.05,25.05,24.4,24.64
VNTR,2017-10-31,25.0,25.23,24.62,25.0
VNTR,2017-11-01,25.16,25.23,24.71,24.86
VNTR,2017-11-02,24.88,25.11,24.13,24.43
VNTR,2017-11-03,24.41,24.73,23.5,23.69
VNTR,2017-11-06,23.69,23.69,22.62,22.86
VNTR,2017-11-07,22.96,23.12,22.19,22.4
VNTR,2017-11-08,22.34,22.69,21.77,22.4
VNTR,2017-11-09,22.38,23.14,22.26,22.77
VNTR,2017-11-10,22.63,23.14,22.56,22.9
VNTR,2017-11-13,22.69,22.99,22.03,22.53
VNTR,2017-11-14,22.52,23.18,22.5,22.88
VNTR,2017-11-15,22.77,22.77,22.18,22.21
VNTR,2017-11-16,22.22,23.09,22.17,23.01
VNTR,2017-11-17,23.09,23.15,22.84,23.1
VNTR,2017-11-20,22.99,23.67,22.92,23.59
VNTR,2017-11-21,23.47,23.81,23.3,23.81
VNTR,2017-11-22,23.7,24.01,23.47,23.61
VNTR,2017-11-24,23.65,23.83,23.23,23.28
VNTR,2017-11-27,23.1,23.59,22.73,23.16
VNTR,2017-11-28,22.5,24.22,22.37,24.06
