ticker,date,open,high,low,close
WNNR,2022-03-07,9.9,9.9,9.85,9.9
WNNR,2022-03-08,9.85,9.94,9.84,9.92
WNNR,2022-03-09,9.9,9.92,9.9,9.91
WNNR,2022-03-10,9.91,9.92,9.91,9.91
WNNR,2022-03-11,9.92,9.93,9.92,9.93
WNNR,2022-03-14,9.91,9.92,9.91,9.92
WNNR,2022-03-15,9.91,9.97,9.91,9.96
WNNR,2022-03-16,9.92,9.99,9.92,9.99
WNNR,2022-03-17,9.99,9.99,9.99,9.99
WNNR,2022-03-18,9.97,10.31,9.92,9.92
WNNR,2022-03-21,10.07,10.07,9.97,9.97
WNNR,2022-03-22,9.96,9.96,9.93,9.95
WNNR,2022-03-23,9.95,9.95,9.95,9.95
WNNR,2022-03-24,9.95,9.95,9.95,9.95
WNNR,2022-03-25,9.96,9.96,9.96,9.96
WNNR,2022-03-28,9.95,9.95,9.95,9.95
WNNR,2022-03-29,10.23,10.23,9.96,9.96
WNNR,2022-03-30,10.06,10.06,9.97,9.97
WNNR,2022-03-31,9.97,9.97,9.97,9.97
WNNR,2022-04-01,9.97,9.97,9.97,9.97
WNNR,2022-04-04,9.94,9.94,9.94,9.94
WNNR,2022-04-05,9.94,9.96,9.94,9.96
WNNR,2022-04-06,9.96,9.96,9.96,9.96
WNNR,2022-04-07,9.96,9.96,9.94,9.94
WNNR,2022-04-08,9.94,9.94,9.94,9.94
WNNR,2022-04-11,9.95,9.96,9.95,9.96
WNNR,2022-04-12,9.97,9.97,9.97,9.97
WNNR,2022-04-13,9.94,9.94,9.94,9.94
WNNR,2022-04-14,9.94,9.97,9.94,9.97
WNNR,2022-04-18,10.0,10.0,9.95,9.98
WNNR,2022-04-19,10.0,10.0,9.93,9.93
WNNR,2022-04-20,10.01,10.01,9.95,9.96
WNNR,2022-04-21,9.97,9.98,9.97,9.98
WNNR,2022-04-22,9.94,10.01,9.94,10.01
WNNR,2022-04-25,9.97,9.97,9.97,9.97
WNNR,2022-04-26,9.97,9.97,9.97,9.97
WNNR,2022-04-27,9.97,9.97,9.97,9.97
WNNR,2022-04-28,9.94,9.94,9.94,9.94
WNNR,2022-04-29,9.94,9.94,9.94,9.94
WNNR,2022-05-02,9.96,9.96,9.96,9.96
WNNR,2022-05-03,9.96,9.96,9.96,9.96
WNNR,2022-05-04,9.96,9.96,9.96,9.96
WNNR,2022-05-05,9.96,9.96,9.95,9.95
WNNR,2022-05-06,9.95,9.95,9.95,9.95
WNNR,2022-05-09,9.96,9.96,9.96,9.96
WNNR,2022-05-10,9.96,9.96,9.94,9.95
WNNR,2022-05-11,9.92,9.94,9.91,9.92
WNNR,2022-05-12,9.91,9.91,9.91,9.91
WNNR,2022-05-13,9.91,9.91,9.91,9.91
WNNR,2022-05-16,9.91,9.91,9.91,9.91
WNNR,2022-05-17,9.91,9.91,9.91,9.91
WNNR,2022-05-18,9.91,9.91,9.91,9.91
WNNR,2022-05-19,9.96,9.96,9.96,9.96
WNNR,2022-05-20,9.96,9.96,9.96,9.96
WNNR,2022-05-23,9.96,9.96,9.96,9.96
WNNR,2022-05-24,9.96,9.96,9.96,9.96
WNNR,2022-05-25,9.96,9.96,9.96,9.96
WNNR,2022-05-26,9.96,9.96,9.96,9.96
WNNR,2022-05-27,9.96,9.96,9.96,9.96
WNNR,2022-05-31,9.96,9.96,9.94,9.94
WNNR,2022-06-01,9.94,9.94,9.94,9.94
WNNR,2022-06-02,9.94,9.94,9.94,9.94
WNNR,2022-06-03,9.95,9.96,9.95,9.96
WNNR,2022-06-06,9.96,9.96,9.96,9.96
WNNR,2022-06-07,9.96,9.99,9.96,9.97
WNNR,2022-06-08,10.1,10.11,9.94,9.96
WNNR,2022-06-09,10.0,10.0,9.99,9.99
WNNR,2022-06-10,9.99,9.99,9.95,9.95
WNNR,2022-06-13,9.95,9.95,9.95,9.95
WNNR,2022-06-14,9.98,9.98,9.95,9.95
WNNR,2022-06-15,10.0,10.0,9.95,9.95
WNNR,2022-06-16,9.95,9.95,9.95,9.95
WNNR,2022-06-17,9.95,9.95,9.92,9.95
WNNR,2022-06-21,9.98,9.98,9.94,9.94
WNNR,2022-06-22,9.98,9.98,9.98,9.98
WNNR,2022-06-23,9.98,9.98,9.98,9.98
WNNR,2022-06-24,9.98,9.98,9.98,9.98
WNNR,2022-06-27,9.99,10.0,9.97,9.97
WNNR,2022-06-28,10.15,10.15,10.06,10.06
WNNR,2022-06-29,10.06,10.06,9.97,9.97
WNNR,2022-06-30,9.97,9.98,9.97,9.98
WNNR,2022-07-01,9.98,10.23,9.98,10.03
WNNR,2022-07-05,9.99,10.01,9.98,9.98
WNNR,2022-07-06,9.98,9.98,9.97,9.98
WNNR,2022-07-07,9.98,9.98,9.98,9.98
WNNR,2022-07-08,9.98,9.98,9.97,9.97
WNNR,2022-07-11,9.97,9.98,9.97,9.98
WNNR,2022-07-12,9.99,9.99,9.98,9.99
WNNR,2022-07-13,9.99,9.99,9.99,9.99
WNNR,2022-07-14,9.99,9.99,9.98,9.98
WNNR,2022-07-15,9.99,10.0,9.98,9.98
