ticker,date,open,high,low,close
ZEV,2020-07-02,10.0,10.0,9.8,9.8
ZEV,2020-07-06,9.95,9.95,9.8,9.8
ZEV,2020-07-07,10.0,10.0,9.794,9.85
ZEV,2020-07-08,9.9,10.03,9.873,10.0
ZEV,2020-07-09,9.95,9.95,9.9,9.9
ZEV,2020-07-10,9.9,9.965,9.88,9.965
ZEV,2020-07-13,10.0,10.0,9.935,9.935
ZEV,2020-07-14,9.98,10.0,9.89,10.0
ZEV,2020-07-15,9.91,9.91,9.91,9.91
ZEV,2020-07-16,9.92,9.92,9.91,9.91
ZEV,2020-07-17,9.91,10.0,9.91,9.97
ZEV,2020-07-20,9.98,9.98,9.95,9.95
ZEV,2020-07-21,10.05,10.05,9.95,9.95
ZEV,2020-07-22,9.98,9.99,9.95,9.95
ZEV,2020-07-23,9.95,9.97,9.95,9.97
ZEV,2020-07-24,9.97,9.97,9.97,9.97
ZEV,2020-07-27,10.02,10.02,9.975,9.99
ZEV,2020-07-28,9.99,9.99,9.98,9.99
ZEV,2020-07-29,9.95,9.95,9.95,9.95
ZEV,2020-07-30,9.92,9.96,9.92,9.96
ZEV,2020-07-31,9.94,9.97,9.93,9.96
ZEV,2020-08-03,9.99,9.99,9.9,9.9
ZEV,2020-08-04,9.87,9.93,9.86,9.86
ZEV,2020-08-05,9.86,9.86,9.86,9.86
ZEV,2020-08-06,9.86,9.88,9.86,9.88
ZEV,2020-08-07,9.87,9.9,9.85,9.85
ZEV,2020-08-10,9.945,9.945,9.86,9.86
ZEV,2020-08-11,9.872,9.905,9.87,9.87
ZEV,2020-08-12,9.92,9.92,9.86,9.9
ZEV,2020-08-13,9.89,9.9,9.89,9.9
ZEV,2020-08-14,9.89,9.94,9.88,9.93
ZEV,2020-08-17,9.95,9.96,9.87,9.95
ZEV,2020-08-18,10.01,10.01,9.9,9.9
ZEV,2020-08-19,9.9,9.9,9.9,9.9
ZEV,2020-08-20,9.85,9.88,9.85,9.88
ZEV,2020-08-21,9.87,9.9,9.85,9.87
ZEV,2020-08-24,9.82,9.821,9.82,9.821
ZEV,2020-08-25,9.89,9.9,9.852,9.89
ZEV,2020-08-26,9.9,9.91,9.87,9.91
ZEV,2020-08-27,9.87,9.915,9.87,9.91
ZEV,2020-08-28,9.88,9.9,9.88,9.9
ZEV,2020-08-31,9.9,9.9,9.87,9.87
ZEV,2020-09-01,9.87,9.94,9.87,9.93
ZEV,2020-09-02,9.88,9.94,9.87,9.87
ZEV,2020-09-03,9.87,9.94,9.87,9.92
ZEV,2020-09-04,9.99,9.99,9.85,9.88
ZEV,2020-09-08,9.97,9.97,9.88,9.95
ZEV,2020-09-09,9.98,10.02,9.9,9.91
ZEV,2020-09-10,10.0,10.15,9.92,9.92
ZEV,2020-09-11,9.9,9.9,9.9,9.9
ZEV,2020-09-14,9.9,9.9,9.9,9.9
ZEV,2020-09-15,10.0,10.0,9.85,9.9
