ticker,date,open,high,low,close
ZGN,2021-12-20,10.3,11.32,10.11,10.74
ZGN,2021-12-21,11.89,12.49,11.0,11.87
ZGN,2021-12-22,12.4,12.65,11.93,12.25
ZGN,2021-12-23,12.2,12.45,11.89,12.0
ZGN,2021-12-27,12.15,12.2,11.3,11.65
ZGN,2021-12-28,11.81,11.81,11.22,11.52
ZGN,2021-12-29,11.5,11.5,11.01,11.02
ZGN,2021-12-30,11.11,11.12,10.59,10.9
ZGN,2021-12-31,10.9,10.9,10.43,10.48
ZGN,2022-01-03,10.45,11.0,10.35,10.79
ZGN,2022-01-04,10.98,11.02,10.5,10.71
ZGN,2022-01-05,10.81,10.94,10.05,10.07
ZGN,2022-01-06,10.08,10.33,9.22,9.26
ZGN,2022-01-07,9.56,10.24,9.5,10.02
ZGN,2022-01-10,10.2,10.25,9.6,9.99
ZGN,2022-01-11,10.0,10.27,9.69,10.16
ZGN,2022-01-12,10.2,10.24,9.92,10.06
ZGN,2022-01-13,10.0,10.16,9.66,9.73
ZGN,2022-01-14,9.72,9.79,9.55,9.75
ZGN,2022-01-18,10.0,10.16,9.75,10.03
ZGN,2022-01-19,10.05,10.25,9.89,9.94
ZGN,2022-01-20,10.11,10.11,9.52,9.55
ZGN,2022-01-21,9.51,9.97,9.51,9.95
ZGN,2022-01-24,9.9,9.9,9.3,9.8
ZGN,2022-01-25,9.7,9.89,9.56,9.64
ZGN,2022-01-26,9.8,9.85,9.45,9.57
ZGN,2022-01-27,9.62,9.97,9.48,9.69
ZGN,2022-01-28,9.6,9.81,9.5,9.61
ZGN,2022-01-31,9.61,10.28,9.56,10.24
ZGN,2022-02-01,10.8,10.8,10.2,10.5
ZGN,2022-02-02,10.58,10.78,10.21,10.28
ZGN,2022-02-03,10.34,10.4,10.11,10.23
ZGN,2022-02-04,10.5,10.67,10.2,10.65
ZGN,2022-02-07,10.51,10.58,10.16,10.24
ZGN,2022-02-08,10.11,10.4,9.9,10.05
ZGN,2022-02-09,10.05,10.39,10.02,10.18
ZGN,2022-02-10,10.24,10.3,10.1,10.27
ZGN,2022-02-11,10.63,10.9,9.95,10.08
ZGN,2022-02-14,9.94,10.02,9.81,9.97
ZGN,2022-02-15,9.89,10.08,9.77,10.0
ZGN,2022-02-16,10.0,10.05,9.68,9.91
ZGN,2022-02-17,9.7,9.85,9.7,9.77
ZGN,2022-02-18,9.81,9.96,9.66,9.7
ZGN,2022-02-22,9.58,9.78,9.53,9.7
ZGN,2022-02-23,9.79,9.79,9.41,9.7
ZGN,2022-02-24,9.53,9.75,9.06,9.72
ZGN,2022-02-25,9.5,9.81,9.5,9.62
ZGN,2022-02-28,9.71,9.85,9.51,9.67
ZGN,2022-03-01,9.5,9.67,9.24,9.56
ZGN,2022-03-02,9.48,9.75,9.37,9.61
ZGN,2022-03-03,9.7,9.71,9.39,9.65
ZGN,2022-03-04,9.41,9.61,9.2,9.55
ZGN,2022-03-07,9.39,9.39,8.89,9.04
ZGN,2022-03-08,9.13,9.73,8.97,9.71
ZGN,2022-03-09,9.74,9.9,9.34,9.89
ZGN,2022-03-10,9.73,9.9,9.63,9.64
ZGN,2022-03-11,9.94,9.94,9.51,9.51
ZGN,2022-03-14,9.55,9.9,9.36,9.69
ZGN,2022-03-15,9.58,10.38,9.58,10.15
ZGN,2022-03-16,10.32,10.32,9.97,10.03
ZGN,2022-03-17,9.88,10.27,9.86,10.19
ZGN,2022-03-18,10.15,10.61,10.15,10.56
ZGN,2022-03-21,10.46,10.62,10.29,10.56
ZGN,2022-03-22,10.52,11.0,10.52,10.83
ZGN,2022-03-23,10.98,10.98,10.62,10.77
ZGN,2022-03-24,10.74,10.97,10.68,10.72
ZGN,2022-03-25,10.62,10.88,10.48,10.61
ZGN,2022-03-28,10.53,10.83,10.53,10.67
ZGN,2022-03-29,10.69,10.73,10.55,10.62
ZGN,2022-03-30,10.61,10.61,10.55,10.6
ZGN,2022-03-31,10.49,10.61,10.44,10.55
ZGN,2022-04-01,10.47,10.61,10.47,10.56
ZGN,2022-04-04,10.78,10.78,10.37,10.59
ZGN,2022-04-05,10.6,10.63,10.47,10.52
ZGN,2022-04-06,10.45,10.56,10.2,10.53
ZGN,2022-04-07,10.52,10.56,10.22,10.49
ZGN,2022-04-08,10.46,10.5,10.35,10.38
ZGN,2022-04-11,10.45,10.46,10.11,10.33
ZGN,2022-04-12,10.49,10.5,10.25,10.38
ZGN,2022-04-13,10.39,10.4,10.16,10.19
ZGN,2022-04-14,10.3,10.4,10.07,10.08
ZGN,2022-04-18,10.18,10.22,9.99,10.2
ZGN,2022-04-19,10.29,10.5,9.99,10.3
ZGN,2022-04-20,10.5,10.5,10.15,10.2
ZGN,2022-04-21,10.29,10.34,10.2,10.21
ZGN,2022-04-22,10.21,10.49,10.2,10.28
ZGN,2022-04-25,10.37,10.5,10.07,10.49
ZGN,2022-04-26,10.35,10.5,10.24,10.49
ZGN,2022-04-27,10.38,10.76,10.24,10.45
ZGN,2022-04-28,10.59,10.59,10.21,10.24
ZGN,2022-04-29,10.2,10.34,9.82,9.83
ZGN,2022-05-02,9.68,9.9,9.33,9.75
ZGN,2022-05-03,9.58,9.84,9.58,9.67
ZGN,2022-05-04,9.57,9.96,9.5,9.96
ZGN,2022-05-05,9.96,9.96,9.55,9.6
ZGN,2022-05-06,9.27,9.57,9.25,9.52
ZGN,2022-05-09,9.26,9.43,9.12,9.22
ZGN,2022-05-10,9.81,9.89,9.17,9.24
ZGN,2022-05-11,9.17,9.91,9.17,9.88
ZGN,2022-05-12,9.67,9.82,9.67,9.71
ZGN,2022-05-13,9.65,9.92,9.65,9.78
ZGN,2022-05-16,9.9,9.96,9.67,9.92
ZGN,2022-05-17,9.96,10.22,9.75,10.22
ZGN,2022-05-18,10.39,10.39,10.06,10.25
ZGN,2022-05-19,10.02,10.49,10.02,10.48
ZGN,2022-05-20,10.47,10.49,10.19,10.49
ZGN,2022-05-23,10.3,10.55,10.3,10.42
ZGN,2022-05-24,10.31,10.64,10.16,10.52
ZGN,2022-05-25,10.44,10.48,10.33,10.33
ZGN,2022-05-26,10.39,10.67,10.17,10.47
ZGN,2022-05-27,10.15,10.45,10.15,10.28
ZGN,2022-05-31,10.11,10.39,10.01,10.24
ZGN,2022-06-01,10.17,10.37,10.17,10.27
ZGN,2022-06-02,10.17,10.65,10.17,10.65
ZGN,2022-06-03,10.33,10.72,10.33,10.62
ZGN,2022-06-06,10.59,10.59,10.0,10.05
ZGN,2022-06-07,10.04,10.16,9.77,9.88
ZGN,2022-06-08,9.74,9.86,9.54,9.62
ZGN,2022-06-09,10.6,11.02,9.89,10.05
ZGN,2022-06-10,10.06,10.49,9.88,10.41
ZGN,2022-06-13,10.2,10.5,9.93,10.17
ZGN,2022-06-14,10.13,10.31,9.9,10.25
ZGN,2022-06-15,10.38,10.47,10.1,10.38
ZGN,2022-06-16,10.19,10.5,10.16,10.48
ZGN,2022-06-17,10.42,10.57,10.34,10.52
ZGN,2022-06-21,10.55,10.78,10.34,10.48
ZGN,2022-06-22,10.4,10.4,10.03,10.05
ZGN,2022-06-23,10.21,10.55,10.06,10.48
ZGN,2022-06-24,10.41,12.06,10.35,11.54
ZGN,2022-06-27,11.25,11.25,10.86,10.97
ZGN,2022-06-28,10.98,10.98,10.5,10.66
ZGN,2022-06-29,10.55,10.55,10.17,10.18
ZGN,2022-06-30,10.2,10.55,9.79,10.55
ZGN,2022-07-01,10.55,11.17,10.47,11.09
ZGN,2022-07-05,10.98,11.72,10.73,11.72
ZGN,2022-07-06,11.53,11.66,10.93,11.22
ZGN,2022-07-07,10.98,11.38,10.61,10.69
ZGN,2022-07-08,10.53,10.71,10.36,10.68
ZGN,2022-07-11,10.53,10.6,10.21,10.42
