GVKEY,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,iid,datadate,tic,prccd,prchd,prcld,prcod,ccmbegdt
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-04,AAPL,214.0100,214.5000,212.3800,213.4300,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-05,AAPL,214.3800,215.5900,213.2500,214.6000,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-06,AAPL,210.9700,215.2300,210.7500,214.3800,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-07,AAPL,210.5800,212.0000,209.0500,211.7500,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-08,AAPL,211.9800,212.0000,209.0600,210.3000,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-11,AAPL,210.1100,213.0000,208.4500,212.8000,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-12,AAPL,207.7200,209.7700,206.4200,209.1900,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-13,AAPL,210.6500,210.9300,204.1000,207.8700,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-14,AAPL,209.4300,210.4600,209.0200,210.1100,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-15,AAPL,205.9300,211.6000,205.8700,210.9300,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-19,AAPL,215.0400,215.1900,207.2400,208.3300,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-20,AAPL,211.7250,215.5500,209.5000,214.9100,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-21,AAPL,208.0720,213.3138,207.2100,212.0800,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-22,AAPL,197.7500,207.5000,197.1600,206.7800,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-25,AAPL,203.0750,204.7000,200.1900,202.5100,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-26,AAPL,205.9400,213.7100,202.5800,205.9500,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-27,AAPL,207.8840,210.5800,199.5310,206.8500,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-28,AAPL,199.2900,205.5000,198.7000,204.9300,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-01-29,AAPL,192.0630,202.2000,190.2500,201.0800,2009-02-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-01,AAPL,194.7300,196.0000,191.3000,192.3700,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-02,AAPL,195.8600,196.3200,193.3800,195.9100,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-03,AAPL,199.2300,200.2000,194.4200,195.1700,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-04,AAPL,192.0500,198.3700,191.5700,196.7300,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-05,AAPL,195.4600,196.0000,190.8500,192.6250,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-08,AAPL,194.1200,197.8800,194.0000,195.6900,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-09,AAPL,196.1900,197.5000,194.7500,196.4200,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-10,AAPL,195.1160,196.6000,194.2600,195.8900,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-11,AAPL,198.6700,199.7500,194.0600,194.8800,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-12,AAPL,200.3800,201.6400,195.5000,198.1100,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-16,AAPL,203.4000,203.6900,201.5200,201.9400,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-17,AAPL,202.5500,204.3100,200.8600,204.1900,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-18,AAPL,202.9280,203.8900,200.9200,201.6300,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-19,AAPL,201.6700,203.2000,201.1100,201.8600,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-22,AAPL,200.4160,202.5000,199.1900,202.3400,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-23,AAPL,197.0590,201.3300,195.7100,200.0000,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-24,AAPL,200.6560,201.4400,197.8400,198.2300,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-25,AAPL,202.0000,202.8600,196.8900,197.3800,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-02-26,AAPL,204.6200,205.1700,202.0000,202.3800,2009-03-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-01,AAPL,208.9900,209.5000,205.4500,205.7500,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-02,AAPL,208.8500,210.8300,207.7400,209.9300,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-03,AAPL,209.3300,209.8700,207.9400,208.9400,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-04,AAPL,210.7100,210.9200,208.6300,209.2800,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-05,AAPL,218.9500,219.7000,214.6300,214.9400,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-08,AAPL,219.0800,220.0900,218.2500,220.0100,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-09,AAPL,223.0200,225.0000,217.8900,218.3100,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-10,AAPL,224.8400,225.4800,223.2000,223.8300,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-11,AAPL,225.5000,225.5000,223.3200,223.9100,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-12,AAPL,226.6000,227.7300,225.7500,227.3700,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-15,AAPL,223.8400,225.5000,220.2500,225.3800,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-16,AAPL,224.4500,224.9800,222.5100,224.1800,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-17,AAPL,224.1200,226.4500,223.2700,224.9000,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-18,AAPL,224.6500,225.0000,222.6100,224.1000,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-19,AAPL,222.2499,225.2400,221.2300,224.7900,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-22,AAPL,224.7500,226.0000,220.1500,220.4700,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-23,AAPL,228.3600,228.7800,224.1000,225.6400,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-24,AAPL,229.3700,230.2000,227.5100,227.6400,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-25,AAPL,226.6500,230.9700,226.2500,230.9200,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-26,AAPL,230.9000,231.9500,228.5500,228.9500,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-29,AAPL,232.3900,233.8699,231.6200,233.0000,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-30,AAPL,235.8450,237.4800,234.2500,236.6030,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-03-31,AAPL,235.0000,236.6100,234.4600,235.4900,2009-04-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-01,AAPL,235.9700,238.7300,232.7500,237.4900,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-05,AAPL,238.4900,238.5100,234.7700,234.9750,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-06,AAPL,239.5400,240.2400,237.0000,238.2000,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-07,AAPL,240.6000,241.9200,238.6601,239.7200,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-08,AAPL,239.9500,241.5400,238.0400,240.4400,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-09,AAPL,241.7900,241.8900,240.4600,241.4300,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-12,AAPL,242.2900,243.0700,241.8100,242.2000,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-13,AAPL,242.4300,242.8000,241.1100,241.8600,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-14,AAPL,245.6900,245.8100,244.0700,245.2800,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-15,AAPL,248.9200,249.0300,245.5100,245.7800,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-16,AAPL,247.4000,251.1400,244.5500,248.5700,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-19,AAPL,247.0700,247.8900,241.7700,247.0300,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-20,AAPL,244.5900,249.2500,242.9550,248.5400,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-21,AAPL,259.2200,260.2500,255.7300,258.8050,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-22,AAPL,266.4695,266.7500,256.2000,258.2400,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-23,AAPL,270.8300,272.1800,267.0000,267.9900,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-26,AAPL,269.5000,272.4600,268.1900,271.8800,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-27,AAPL,262.0400,267.8400,260.5200,267.2700,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-28,AAPL,261.6000,264.0000,256.4100,263.2500,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-29,AAPL,268.6400,270.0000,262.0100,263.0200,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-04-30,AAPL,261.0900,270.5700,261.0000,269.3100,2009-05-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-03,AAPL,266.3500,267.8800,262.8800,263.8400,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-04,AAPL,258.6800,263.2900,256.7500,262.8900,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-05,AAPL,255.9850,258.1400,248.7300,253.0300,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-06,AAPL,246.2500,258.2500,199.2500,253.8300,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-07,AAPL,235.8600,246.5700,225.2100,243.7100,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-10,AAPL,253.9900,254.6500,248.5300,250.2500,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-11,AAPL,256.5200,259.8900,250.5000,251.8400,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-12,AAPL,262.0900,263.1300,258.7000,259.2450,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-13,AAPL,258.3600,265.0000,256.4000,263.2200,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-14,AAPL,253.8200,256.4800,249.5000,255.1650,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-17,AAPL,254.2200,256.1800,247.7100,254.7000,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-18,AAPL,252.3600,258.5500,250.2600,256.9800,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-19,AAPL,248.3400,252.9200,244.8500,249.5000,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-20,AAPL,237.7600,243.8500,236.2100,241.8800,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-21,AAPL,242.3200,244.5000,231.3500,232.8200,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-24,AAPL,246.7600,250.9000,246.2600,247.2800,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-25,AAPL,245.2200,246.7600,237.1600,239.3500,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-26,AAPL,244.1090,252.1300,243.7500,250.0800,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-27,AAPL,253.3500,253.8900,249.1100,250.6000,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-05-28,AAPL,256.8800,259.4000,253.3500,259.3880,2009-06-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-06-01,AAPL,260.8300,265.9400,258.9600,259.6900,2009-07-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-06-02,AAPL,263.9500,264.8000,260.3350,264.5400,2009-07-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-06-03,AAPL,263.1200,265.5500,260.4100,265.1800,2009-07-01
001690,P,01,LU,14593,7,1980-12-12,E,01,2010-06-04,AAPL,255.9650,261.9000,254.6300,258.2100,2009-07-01
