ticker,date,open,high,low,close
GOOG,2004-08-19,2.49,2.59,2.39,2.5
GOOG,2004-08-20,2.52,2.72,2.5,2.7
GOOG,2004-08-23,2.76,2.83,2.72,2.72
GOOG,2004-08-24,2.77,2.78,2.58,2.61
GOOG,2004-08-25,2.61,2.69,2.59,2.64
GOOG,2004-08-26,2.61,2.69,2.61,2.69
GOOG,2004-08-27,2.69,2.71,2.63,2.64
GOOG,2004-08-30,2.62,2.63,2.54,2.54
GOOG,2004-08-31,2.55,2.58,2.54,2.55
GOOG,2004-09-01,2.56,2.56,2.48,2.5
GOOG,2004-09-02,2.47,2.55,2.46,2.53
GOOG,2004-09-03,2.51,2.53,2.47,2.49
GOOG,2004-09-07,2.52,2.54,2.48,2.53
GOOG,2004-09-08,2.51,2.57,2.5,2.55
GOOG,2004-09-09,2.55,2.56,2.52,2.55
GOOG,2004-09-10,2.53,2.65,2.52,2.62
GOOG,2004-09-13,2.66,2.7,2.65,2.68
GOOG,2004-09-14,2.68,2.79,2.66,2.78
GOOG,2004-09-15,2.75,2.85,2.74,2.79
GOOG,2004-09-16,2.8,2.88,2.78,2.84
GOOG,2004-09-17,2.85,2.93,2.83,2.93
GOOG,2004-09-20,2.91,3.03,2.91,2.97
GOOG,2004-09-21,2.98,3.0,2.93,2.93
GOOG,2004-09-22,2.92,2.98,2.91,2.95
GOOG,2004-09-23,2.96,3.05,2.91,3.01
GOOG,2004-09-24,3.01,3.09,2.98,2.98
GOOG,2004-09-27,2.98,3.01,2.93,2.95
GOOG,2004-09-28,3.02,3.17,2.99,3.16
GOOG,2004-09-29,3.16,3.36,3.14,3.26
GOOG,2004-09-30,3.24,3.3,3.21,3.23
GOOG,2004-10-01,3.26,3.34,3.21,3.3
GOOG,2004-10-04,3.37,3.41,3.34,3.36
GOOG,2004-10-05,3.35,3.45,3.29,3.45
GOOG,2004-10-06,3.43,3.45,3.39,3.41
GOOG,2004-10-07,3.41,3.48,3.4,3.46
GOOG,2004-10-08,3.46,3.48,3.41,3.43
GOOG,2004-10-11,3.41,3.46,3.33,3.37
GOOG,2004-10-12,3.35,3.43,3.32,3.42
GOOG,2004-10-13,3.57,3.58,3.49,3.51
GOOG,2004-10-14,3.51,3.55,3.45,3.54
GOOG,2004-10-15,3.61,3.62,3.54,3.59
GOOG,2004-10-18,3.57,3.72,3.52,3.72
GOOG,2004-10-19,3.75,3.8,3.67,3.68
GOOG,2004-10-20,3.69,3.71,3.48,3.5
GOOG,2004-10-21,3.6,3.74,3.53,3.72
GOOG,2004-10-22,4.25,4.49,4.09,4.29
GOOG,2004-10-25,4.39,4.84,4.3,4.67
GOOG,2004-10-26,4.64,4.8,4.48,4.53
GOOG,2004-10-27,4.55,4.72,4.53,4.63
GOOG,2004-10-28,4.65,4.84,4.62,4.81
GOOG,2004-10-29,4.95,4.98,4.75,4.75
GOOG,2004-11-01,4.82,4.92,4.76,4.88
GOOG,2004-11-02,4.95,4.96,4.82,4.85
GOOG,2004-11-03,4.94,5.02,4.75,4.77
GOOG,2004-11-04,4.69,4.74,4.57,4.6
GOOG,2004-11-05,4.53,4.54,4.2,4.22
GOOG,2004-11-08,4.26,4.37,4.22,4.3
GOOG,2004-11-09,4.34,4.36,4.12,4.2
GOOG,2004-11-10,4.25,4.3,4.14,4.18
GOOG,2004-11-11,4.21,4.58,4.17,4.56
GOOG,2004-11-12,4.61,4.73,4.42,4.53
GOOG,2004-11-15,4.49,4.69,4.45,4.6
GOOG,2004-11-16,4.42,4.47,4.25,4.3
GOOG,2004-11-17,4.21,4.42,4.21,4.3
GOOG,2004-11-18,4.24,4.34,4.13,4.17
GOOG,2004-11-19,4.21,4.23,4.15,4.22
GOOG,2004-11-22,4.1,4.22,4.02,4.11
GOOG,2004-11-23,4.18,4.25,4.15,4.17
GOOG,2004-11-24,4.35,4.41,4.3,4.35
GOOG,2004-11-26,4.38,4.48,4.37,4.47
GOOG,2004-11-29,4.49,4.56,4.42,4.51
GOOG,2004-11-30,4.5,4.56,4.49,4.53
GOOG,2004-12-01,4.53,4.55,4.47,4.48
GOOG,2004-12-02,4.48,4.52,4.45,4.47
GOOG,2004-12-03,4.48,4.51,4.42,4.49
GOOG,2004-12-06,4.46,4.5,4.38,4.39
GOOG,2004-12-07,4.38,4.39,4.25,4.27
GOOG,2004-12-08,4.24,4.33,4.2,4.23
GOOG,2004-12-09,4.24,4.32,4.2,4.32
GOOG,2004-12-10,4.32,4.36,4.27,4.28
GOOG,2004-12-13,4.29,4.31,4.22,4.25
GOOG,2004-12-14,4.26,4.45,4.22,4.45
GOOG,2004-12-15,4.43,4.5,4.4,4.48
GOOG,2004-12-16,4.41,4.5,4.38,4.4
GOOG,2004-12-17,4.4,4.5,4.4,4.49
GOOG,2004-12-20,4.53,4.69,4.53,4.61
GOOG,2004-12-21,4.64,4.68,4.57,4.58
GOOG,2004-12-22,4.58,4.65,4.56,4.64
GOOG,2004-12-23,4.67,4.7,4.63,4.68
GOOG,2004-12-27,4.71,4.81,4.71,4.78
GOOG,2004-12-28,4.78,4.82,4.76,4.8
GOOG,2004-12-29,4.78,4.82,4.78,4.8
GOOG,2004-12-30,4.81,4.94,4.78,4.92
GOOG,2004-12-31,4.96,4.98,4.8,4.8
GOOG,2005-01-03,4.92,5.07,4.87,5.05
GOOG,2005-01-04,5.02,5.05,4.82,4.84
GOOG,2005-01-05,4.82,4.9,4.79,4.82
GOOG,2005-01-06,4.86,4.88,4.68,4.7
GOOG,2005-01-07,4.75,4.84,4.7,4.83
GOOG,2005-01-10,4.84,4.93,4.78,4.86
GOOG,2005-01-11,4.87,4.92,4.81,4.82
GOOG,2005-01-12,4.84,4.88,4.74,4.87
GOOG,2005-01-13,4.87,4.92,4.83,4.87
GOOG,2005-01-14,4.88,4.98,4.84,4.98
GOOG,2005-01-18,5.01,5.11,4.95,5.08
GOOG,2005-01-19,5.1,5.11,4.9,4.91
GOOG,2005-01-20,4.79,4.89,4.78,4.83
GOOG,2005-01-21,4.85,4.87,4.69,4.69
GOOG,2005-01-24,4.7,4.72,4.49,4.5
GOOG,2005-01-25,4.53,4.54,4.39,4.41
GOOG,2005-01-26,4.47,4.72,4.46,4.71
GOOG,2005-01-27,4.7,4.7,4.61,4.68
GOOG,2005-01-28,4.73,4.85,4.64,4.74
GOOG,2005-01-31,4.82,4.89,4.78,4.87
GOOG,2005-02-01,4.84,4.9,4.75,4.78
GOOG,2005-02-02,5.37,5.4,5.07,5.13
GOOG,2005-02-03,5.13,5.31,5.13,5.25
GOOG,2005-02-04,5.14,5.17,5.05,5.09
GOOG,2005-02-07,5.11,5.14,4.87,4.88
GOOG,2005-02-08,4.91,4.98,4.85,4.95
