ticker,date,open,high,low,close
QQQ,1999-03-10,51.12,51.16,50.28,43.84
QQQ,1999-03-11,51.44,51.73,50.31,44.05
QQQ,1999-03-12,51.12,51.16,49.66,42.98
QQQ,1999-03-15,50.44,51.56,49.91,44.21
QQQ,1999-03-16,51.72,52.16,51.16,44.59
QQQ,1999-03-17,51.94,52.0,51.41,44.27
QQQ,1999-03-18,51.5,52.59,51.48,45.13
QQQ,1999-03-19,53.25,53.25,51.19,43.97
QQQ,1999-03-22,51.44,51.56,50.5,43.44
QQQ,1999-03-23,50.31,50.5,48.72,41.91
QQQ,1999-03-24,49.25,50.5,48.5,43.33
QQQ,1999-03-25,51.25,52.31,50.91,44.91
QQQ,1999-03-26,51.88,52.47,51.53,44.43
QQQ,1999-03-29,52.38,53.66,52.06,46.04
QQQ,1999-03-30,53.56,54.0,53.03,45.72
QQQ,1999-03-31,54.12,54.19,52.31,45.05
QQQ,1999-04-01,54.0,54.06,52.69,45.98
QQQ,1999-04-05,54.43,55.58,54.09,47.65
QQQ,1999-04-06,55.44,56.22,54.97,47.74
QQQ,1999-04-07,56.12,56.25,53.84,47.25
QQQ,1999-04-08,54.94,55.73,53.81,47.62
QQQ,1999-04-09,55.38,55.94,55.22,47.92
QQQ,1999-04-12,54.5,55.81,54.44,47.59
QQQ,1999-04-13,55.78,55.91,54.25,46.95
QQQ,1999-04-14,55.38,55.44,52.51,45.34
QQQ,1999-04-15,53.0,53.62,51.12,45.96
QQQ,1999-04-16,53.41,53.41,51.69,44.62
QQQ,1999-04-19,52.31,52.75,49.01,42.52
QQQ,1999-04-20,49.31,51.06,48.84,43.49
QQQ,1999-04-21,51.12,53.19,50.44,45.64
QQQ,1999-04-22,53.66,54.75,53.3,46.87
QQQ,1999-04-23,54.31,55.72,53.75,47.49
QQQ,1999-04-26,55.69,57.0,55.51,48.58
QQQ,1999-04-27,57.0,57.28,55.01,47.84
QQQ,1999-04-28,55.25,55.44,53.57,46.2
QQQ,1999-04-29,53.56,53.88,52.25,45.82
QQQ,1999-04-30,54.12,54.41,51.81,46.12
QQQ,1999-05-03,53.56,53.78,52.54,45.88
QQQ,1999-05-04,53.53,54.38,52.28,45.15
QQQ,1999-05-05,52.62,54.19,51.03,46.52
QQQ,1999-05-06,53.69,54.16,51.72,44.83
QQQ,1999-05-07,52.69,53.12,51.56,45.47
QQQ,1999-05-10,53.31,53.86,52.69,45.93
QQQ,1999-05-11,53.94,54.62,53.62,46.66
QQQ,1999-05-12,54.59,55.66,53.0,47.62
QQQ,1999-05-13,55.91,56.0,54.19,46.74
QQQ,1999-05-14,53.38,54.0,53.0,45.85
QQQ,1999-05-17,52.94,54.53,52.41,46.68
QQQ,1999-05-18,54.31,54.62,53.5,46.47
QQQ,1999-05-19,54.34,54.91,53.5,47.11
QQQ,1999-05-20,54.99,54.99,53.28,45.82
QQQ,1999-05-21,53.53,53.69,52.59,45.39
QQQ,1999-05-24,52.97,53.06,51.19,44.24
QQQ,1999-05-25,51.47,52.22,49.62,42.79
QQQ,1999-05-26,50.5,51.44,48.94,43.99
QQQ,1999-05-27,51.03,51.93,50.38,43.95
QQQ,1999-05-28,51.5,52.31,50.84,44.67
QQQ,1999-06-01,51.94,52.19,50.59,43.68
QQQ,1999-06-02,50.84,52.0,49.57,44.42
QQQ,1999-06-03,52.12,52.12,50.69,43.78
QQQ,1999-06-04,51.38,52.74,51.38,45.13
QQQ,1999-06-07,52.93,53.99,52.81,46.07
QQQ,1999-06-08,53.78,54.03,52.04,44.91
QQQ,1999-06-09,52.5,53.34,52.47,45.66
QQQ,1999-06-10,52.62,52.94,51.95,45.14
QQQ,1999-06-11,52.94,52.99,51.31,44.46
QQQ,1999-06-14,51.97,51.97,50.69,43.62
QQQ,1999-06-15,50.93,51.87,50.78,44.27
QQQ,1999-06-16,52.84,54.21,52.78,46.54
QQQ,1999-06-17,53.5,55.06,53.5,47.06
QQQ,1999-06-18,54.31,55.22,54.22,47.27
QQQ,1999-06-21,55.44,56.74,55.34,48.69
QQQ,1999-06-22,56.38,57.09,55.0,47.22
QQQ,1999-06-23,55.01,56.0,54.66,47.96
QQQ,1999-06-24,55.84,55.88,54.5,47.01
QQQ,1999-06-25,55.12,55.56,54.19,46.95
QQQ,1999-06-28,55.16,56.06,54.7,48.06
QQQ,1999-06-29,55.94,56.97,55.66,48.72
QQQ,1999-06-30,56.8,59.94,56.13,49.47
QQQ,1999-07-01,57.81,58.34,56.81,49.81
QQQ,1999-07-02,58.0,58.81,58.0,50.44
QQQ,1999-07-06,59.06,59.66,58.06,50.12
QQQ,1999-07-07,58.34,58.72,57.94,50.2
QQQ,1999-07-08,58.47,59.49,58.19,50.87
QQQ,1999-07-09,59.47,59.91,59.03,51.38
QQQ,1999-07-12,60.06,60.38,59.19,51.11
QQQ,1999-07-13,59.25,59.47,58.78,50.87
QQQ,1999-07-14,59.84,60.38,59.0,51.73
QQQ,1999-07-15,60.47,60.81,60.13,52.21
QQQ,1999-07-16,60.84,61.72,60.82,52.69
QQQ,1999-07-19,61.62,61.62,60.51,52.16
QQQ,1999-07-20,60.01,60.09,58.25,50.14
QQQ,1999-07-21,58.53,59.2,58.06,50.38
QQQ,1999-07-22,58.69,58.69,57.03,49.1
QQQ,1999-07-23,57.62,57.87,56.69,49.18
QQQ,1999-07-26,56.5,57.12,55.78,47.97
QQQ,1999-07-27,57.0,57.88,56.52,48.94
QQQ,1999-07-28,57.69,58.44,56.95,49.9
QQQ,1999-07-29,57.03,57.5,56.31,48.83
QQQ,1999-07-30,57.12,57.75,56.51,48.59
QQQ,1999-08-02,56.69,57.81,56.22,48.45
QQQ,1999-08-03,57.21,57.22,55.25,48.14
QQQ,1999-08-04,56.07,56.49,55.01,47.27
QQQ,1999-08-05,55.06,55.93,53.75,48.02
QQQ,1999-08-06,55.53,56.56,54.94,47.5
QQQ,1999-08-09,55.53,55.69,54.51,46.89
QQQ,1999-08-10,54.47,54.87,52.94,46.47
QQQ,1999-08-11,55.09,56.0,54.27,48.0
QQQ,1999-08-12,56.12,56.5,55.12,47.43
QQQ,1999-08-13,56.41,57.72,56.31,49.5
QQQ,1999-08-16,57.62,58.31,57.25,49.9
QQQ,1999-08-17,58.62,58.69,57.34,50.14
QQQ,1999-08-18,58.12,58.84,57.53,49.58
QQQ,1999-08-19,57.22,57.62,56.7,48.99
QQQ,1999-08-20,57.12,57.97,56.81,49.77
QQQ,1999-08-23,58.5,59.81,58.37,51.35
QQQ,1999-08-24,59.38,60.88,59.26,51.7
QQQ,1999-08-25,60.59,61.75,59.94,52.8
QQQ,1999-08-26,61.5,61.72,60.38,51.92
QQQ,1999-08-27,60.93,60.94,59.72,51.4
QQQ,1999-08-30,60.12,60.31,58.88,50.68
QQQ,1999-08-31,59.44,60.06,58.12,51.24
QQQ,1999-09-01,60.06,60.62,59.69,51.61
QQQ,1999-09-02,59.0,60.22,58.88,51.43
QQQ,1999-09-03,61.62,62.68,61.41,53.79
QQQ,1999-09-07,62.53,63.16,62.28,53.55
QQQ,1999-09-08,62.0,62.62,61.03,52.83
QQQ,1999-09-09,61.56,62.56,61.25,53.58
QQQ,1999-09-10,63.25,63.74,62.53,54.19
QQQ,1999-09-13,63.06,63.19,62.03,53.54
QQQ,1999-09-14,62.12,63.15,62.0,53.84
QQQ,1999-09-15,63.49,63.49,61.44,52.8
QQQ,1999-09-16,61.47,62.03,60.2,52.77
QQQ,1999-09-17,62.03,63.44,61.94,54.36
QQQ,1999-09-20,63.5,63.75,63.03,54.48
QQQ,1999-09-21,62.91,63.03,61.76,53.17
QQQ,1999-09-22,62.03,62.92,61.28,53.74
QQQ,1999-09-23,63.25,63.38,59.63,51.51
QQQ,1999-09-24,59.62,60.31,58.62,51.58
QQQ,1999-09-27,60.94,61.38,60.31,51.94
QQQ,1999-09-28,60.2,61.0,58.91,52.18
QQQ,1999-09-29,60.78,61.22,59.56,51.14
QQQ,1999-09-30,60.12,60.81,59.38,51.67
QQQ,1999-10-01,59.38,60.21,58.75,51.69
QQQ,1999-10-04,60.53,61.78,60.19,52.85
QQQ,1999-10-05,61.78,62.75,60.69,53.23
QQQ,1999-10-06,62.38,63.34,61.43,54.29
QQQ,1999-10-07,63.59,63.9,62.62,54.17
QQQ,1999-10-08,62.84,63.94,62.0,54.74
QQQ,1999-10-11,63.94,64.69,63.78,55.51
QQQ,1999-10-12,64.44,64.95,63.0,54.25
QQQ,1999-10-13,62.47,63.22,61.06,52.64
QQQ,1999-10-14,61.53,62.12,60.53,52.97
QQQ,1999-10-15,60.12,61.0,59.51,51.4
QQQ,1999-10-18,59.94,60.16,57.41,50.75
QQQ,1999-10-19,59.76,60.06,58.44,51.03
QQQ,1999-10-20,60.34,61.74,59.75,52.58
QQQ,1999-10-21,60.25,62.25,59.81,53.44
QQQ,1999-10-22,62.62,63.25,61.75,53.2
QQQ,1999-10-25,61.69,62.68,61.44,53.23
QQQ,1999-10-26,62.75,63.09,61.38,52.8
QQQ,1999-10-27,61.34,61.62,60.45,52.72
QQQ,1999-10-28,62.38,63.75,61.81,54.54
QQQ,1999-10-29,65.0,66.25,64.78,56.45
QQQ,1999-11-01,65.75,66.53,65.32,56.15
QQQ,1999-11-02,65.75,66.56,65.2,56.19
QQQ,1999-11-03,66.38,67.12,66.19,57.31
QQQ,1999-11-04,67.68,67.81,66.78,57.95
QQQ,1999-11-05,68.88,69.22,68.19,58.54
QQQ,1999-11-08,68.44,69.8,68.22,59.72
QQQ,1999-11-09,70.12,70.25,68.5,59.32
QQQ,1999-11-10,69.12,70.59,68.81,60.1
QQQ,1999-11-11,70.75,71.34,70.12,61.17
QQQ,1999-11-12,71.62,72.25,69.38,61.97
QQQ,1999-11-15,72.25,72.5,71.69,61.85
QQQ,1999-11-16,72.31,74.22,72.0,63.42
QQQ,1999-11-17,73.88,74.2,72.5,62.56
QQQ,1999-11-18,73.38,75.11,72.94,64.48
QQQ,1999-11-19,74.78,75.91,74.5,65.06
QQQ,1999-11-22,75.94,77.5,74.62,64.07
QQQ,1999-11-23,76.44,76.5,74.25,64.36
QQQ,1999-11-24,75.19,77.74,74.41,66.48
QQQ,1999-11-26,78.41,78.78,77.38,66.7
QQQ,1999-11-29,77.53,78.19,76.31,65.6
QQQ,1999-11-30,76.56,76.69,73.5,63.1
QQQ,1999-12-01,74.31,75.47,73.75,64.47
QQQ,1999-12-02,75.38,77.62,75.33,66.52
QQQ,1999-12-03,79.31,80.19,78.91,67.93
QQQ,1999-12-06,79.43,80.5,78.69,68.55
QQQ,1999-12-07,80.09,80.41,78.84,68.55
QQQ,1999-12-08,79.87,80.49,78.69,67.72
QQQ,1999-12-09,80.0,80.44,77.25,68.04
QQQ,1999-12-10,79.91,80.19,78.12,68.6
QQQ,1999-12-13,79.63,81.34,79.28,69.53
QQQ,1999-12-14,80.75,81.22,79.0,68.28
QQQ,1999-12-15,78.62,81.06,77.94,69.59
QQQ,1999-12-16,82.12,83.25,81.75,71.31
QQQ,1999-12-17,84.5,84.88,83.43,71.93
QQQ,1999-12-20,84.41,85.25,83.69,72.87
QQQ,1999-12-21,85.12,89.44,84.64,76.78
QQQ,1999-12-22,89.19,89.31,87.44,76.54
QQQ,1999-12-23,89.87,90.75,89.0,77.45
