ticker,date,open,high,low,close
SPY,1993-01-29,43.97,43.97,43.75,25.12
SPY,1993-02-01,43.97,44.25,43.97,25.3
SPY,1993-02-02,44.22,44.38,44.12,25.35
SPY,1993-02-03,44.41,44.84,44.38,25.62
SPY,1993-02-04,44.97,45.09,44.47,25.73
SPY,1993-02-05,44.97,45.06,44.72,25.71
SPY,1993-02-08,44.97,45.12,44.91,25.71
SPY,1993-02-09,44.81,44.81,44.56,25.53
SPY,1993-02-10,44.66,44.75,44.53,25.57
SPY,1993-02-11,44.78,45.12,44.78,25.69
SPY,1993-02-12,44.88,44.88,44.59,25.5
SPY,1993-02-16,44.47,44.47,43.41,24.85
SPY,1993-02-17,43.47,43.53,43.28,24.84
SPY,1993-02-18,43.94,43.94,42.81,24.82
SPY,1993-02-19,43.41,43.56,43.34,24.91
SPY,1993-02-22,43.69,43.78,43.56,25.0
SPY,1993-02-23,43.84,43.88,43.47,24.98
SPY,1993-02-24,43.72,44.25,43.72,25.3
SPY,1993-02-25,44.22,44.38,44.12,25.35
SPY,1993-02-26,44.44,44.44,44.19,25.39
SPY,1993-03-01,44.56,44.56,44.22,25.32
SPY,1993-03-02,44.31,44.94,44.25,25.69
SPY,1993-03-03,45.0,45.16,44.94,25.8
SPY,1993-03-04,45.19,45.19,44.88,25.66
SPY,1993-03-05,44.94,45.12,44.72,25.59
SPY,1993-03-08,44.84,45.75,44.84,26.16
SPY,1993-03-09,45.66,45.69,45.5,26.07
SPY,1993-03-10,45.59,45.69,45.41,26.12
SPY,1993-03-11,45.72,45.84,45.5,26.05
SPY,1993-03-12,45.19,45.22,44.81,25.78
SPY,1993-03-15,45.06,45.31,45.06,25.91
SPY,1993-03-16,45.31,45.44,45.31,25.91
SPY,1993-03-17,45.25,45.25,44.97,25.75
SPY,1993-03-18,45.22,45.5,45.22,25.91
SPY,1993-03-19,45.28,45.28,45.03,25.87
SPY,1993-03-22,44.59,44.88,44.56,25.73
SPY,1993-03-23,44.91,44.94,44.81,25.78
SPY,1993-03-24,44.81,45.06,44.59,25.78
SPY,1993-03-25,44.91,45.25,44.84,25.94
SPY,1993-03-26,45.12,45.16,44.88,25.8
SPY,1993-03-29,44.94,45.31,44.94,25.91
SPY,1993-03-30,45.16,45.22,45.09,25.98
SPY,1993-03-31,45.34,45.47,45.19,25.96
SPY,1993-04-01,45.25,45.25,44.94,25.87
SPY,1993-04-02,44.66,44.66,44.09,25.33
SPY,1993-04-05,44.44,44.44,44.19,25.46
SPY,1993-04-06,44.41,44.41,44.06,25.38
SPY,1993-04-07,44.25,44.34,44.16,25.47
SPY,1993-04-08,44.53,44.53,44.09,25.44
SPY,1993-04-12,44.72,44.94,44.66,25.8
SPY,1993-04-13,44.88,45.16,44.84,25.85
SPY,1993-04-14,45.03,45.06,44.91,25.82
SPY,1993-04-15,44.91,45.03,44.75,25.82
SPY,1993-04-16,44.97,45.03,44.88,25.82
SPY,1993-04-19,44.94,45.06,44.72,25.71
SPY,1993-04-20,44.69,44.75,44.25,25.58
SPY,1993-04-21,44.62,44.62,44.38,25.56
SPY,1993-04-22,44.31,44.69,43.94,25.24
SPY,1993-04-23,43.84,43.97,43.69,25.13
SPY,1993-04-26,43.78,43.94,43.28,24.94
SPY,1993-04-27,43.34,43.88,43.34,25.21
SPY,1993-04-28,43.81,43.91,43.72,25.15
SPY,1993-04-29,43.88,43.97,43.62,25.26
SPY,1993-04-30,44.12,44.28,44.03,25.29
SPY,1993-05-03,44.09,44.31,43.91,25.46
SPY,1993-05-04,44.41,44.62,44.34,25.55
SPY,1993-05-05,44.47,44.75,44.47,25.62
SPY,1993-05-06,44.53,44.56,44.41,25.53
SPY,1993-05-07,44.47,44.47,44.28,25.47
SPY,1993-05-10,44.41,44.69,44.41,25.53
SPY,1993-05-11,44.44,44.62,44.31,25.64
SPY,1993-05-12,44.44,44.59,44.44,25.6
SPY,1993-05-13,44.38,44.38,44.0,25.29
SPY,1993-05-14,44.03,44.16,43.97,25.28
SPY,1993-05-17,44.12,44.16,43.94,25.37
SPY,1993-05-18,44.19,44.22,43.97,25.35
SPY,1993-05-19,44.12,45.03,43.84,25.87
SPY,1993-05-20,45.03,45.16,44.94,25.94
SPY,1993-05-21,45.19,45.25,44.72,25.71
SPY,1993-05-24,44.84,45.09,44.84,25.82
SPY,1993-05-25,45.12,45.12,45.03,25.87
